Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,25/06/2024,Exp - Purchase Of Goods/Services - Consultancy,ELM TRIALS AND TESTS,CLINTON DEVON ESTATES,42319,29864.90,ECM_65554 T&T Clinton Devon Estates will undertake a Landscape Recovery scale test and provide a real-life case study of the opportunities and constraints of transacting on ecosystem service benefits related to ELM,EX9 7BL,SUPPLIER,65554,DEA10485,Expense,321152022
DEFRA,DEFRA,03/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,LONDON BOROUGH OF HACKNEY,8195957,43667.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities - Hackney London Borough Council,E8 1DY,LOCAL AUTHORITIES,GIA,00000000,Expense,GB22 055 2995
DEFRA,DEFRA,03/06/2024,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,FORESTRY,CHESHIRE WEST CHESTER COUNCIL,12700191782,20000000.00,NCF Yr4 (FY23/24) - Part two of the S.31 payment to Cheshire West Chester Council for the Community Forest Tree Planting Grant. used in the purchasing contract field-31/7008 .,CH1 2NP,LOCAL AUTHORITIES,GIA,00000000,Expense,945 1011 54
DEFRA,DEFRA,03/06/2024,Exp - Purchase Of Goods/Services - Consultancy,F&W COMMERCIAL POLICY,LOCAL PARTNERSHIPS LLP,CI1247,41754.70,Support to the Waste Infrastructure Delivery Programme 2024/25,SW1P 3HZ,SUPPLIER,C24062,DEA10139,Expense,143774695
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF G&S - ACCOM & BLDNG MGMT - ESTATES PROFESSIONAL FEES & SERVS,PROPERTY STRATEGY - CORPORATE PROPERTY,MONTAGU EVANS LLP,ADV241835,71366.00,FRN0766 - 000 Multiple Sites - Defra Asset Valuations 31/3/2024,W1J 8BA,SUPPLIER(1),23810,00000000,Expense,GB 991226409
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,"SYSTEMS, POLICY, PROCESS AND DATA",THE HACKETT GROUP,3610960,32200.00,THE HACKETT GROUP PROCUREMENT DIGITAL WORLD CLASS® ADVISORY MEMBERSHIP PROGRAM,EC4R 0DP,SUPPLIER(1),SUBS,00000000,Expense,
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,CSC COMPUTER SCIENCES LTD,4201054113,45092.11,Digital Workplace project charges - work commissioned April 2023 - March 2024,GU11 1PZ,SUPPLIER,ecm_52093,DEP00319,Expense,584686581
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,CSC COMPUTER SCIENCES LTD,4201054157,68387.67,Digital Workplace project charges - work commissioned April 2023 - March 2024 - extension,GU11 1PZ,SUPPLIER,ecm_52093,DEP00319,Expense,584686581
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,CSC COMPUTER SCIENCES LTD,4201054158,100020.86,Digital Workplace project charges - work commissioned April 2023 - March 2024 - extension,GU11 1PZ,SUPPLIER,ecm_52093,DEP00319,Expense,584686581
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,CSC COMPUTER SCIENCES LTD,4201054160,56272.24,Digital Workplace project charges - work commissioned April 2024 - March 2025,GU11 1PZ,SUPPLIER,ecm_52093,DEP00319,Expense,584686581
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,WASTE AND RECYCLING,ABP MARINE ENVIRONMENTAL RESEARCH LTD,INV0006132,45122.25,Barriers and Opportunities for Circularity in Plastics,WC2E 9ES,SUPPLIER,C22660,DEA10530,Expense,GB 23 24 25 103
DEFRA,DEFRA,03/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,NORTHERN IRELAND INFRASTRUCTURE,JOHN GRAHAM CONSTRUCTION LTD,920641,1596796.76,Graham Construction Infrastructure builds in Larne for Project Habitat (DAERA/Defra) CDEL,BT26 6HX,SUPPLIER,19671,DEA15338,Asset,GB 390813838
DEFRA,DEFRA,03/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,NORTHERN IRELAND INFRASTRUCTURE,CTS PROJECTS LTD,42335,629280.67,CTS Infrastructure builds in Warrenpoint for Project Habitat (DAERA/Defra) CDEL,BT34 3PN,CIS SUPPLIER,19839,DEA15340,Asset,
DEFRA,DEFRA,03/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CURRENT PAYMENTS,PROTECTING THE MARINE ENVIRONMENT,CHATHAM HOUSE,PLASTICTREATYINFORMALINTERSESSIONALWORK-24/25,36023.01,C24168 - PLASTIC TREATY INFORMAL INTERSESSIONAL WORK (2024),SW1Y 4LE,SUPPLIER,,00000000,Expense,
DEFRA,DEFRA,04/06/2024,Exp - Purchase Of Goods/Services - Consultancy,F&W COMMERCIAL POLICY,LOCAL PARTNERSHIPS LLP,CI1248,101323.12,C12897 contract for FY 2023/2024 - WIDP -Central Support Memorandum of Agreement with Local Partnerships,SW1P 3HZ,SUPPLIER,C12897,DEA10139,Expense,143774695
DEFRA,DEFRA,04/06/2024,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,F&W COMMERCIAL POLICY,LOCAL PARTNERSHIPS LLP,CI1244,67725.00,Grant Funding for Support to the Waste Infrastructure Delivery Programme 2024-25,SW1P 3HZ,SUPPLIER,C24063,DEA10139,Expense,143774695
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,GROUP INFRASTRUCTURE & OPERATIONS,CROWN HOSTING DATA CENTRES LTD,24588,33322.80,Crown Hosting Data Centres from 01/01/2024,SN13 9GB,SUPPLIER,C22898,DECHPSNC,Expense,207 0003 75
DEFRA,DEFRA,04/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,SURREY COUNTY COUNCIL,20492400,26807.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities -Surrey County Council,KT1 2DN,CUSTOMER,GIA,00000000,Expense,GB 216947249
DEFRA,DEFRA,04/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,SCAH CAPITAL PROGRAMME,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,PRIV00024603,111696.00,TURNER AND TOWNSEND C22673 SCAH Interim Cost Management Services 2023 - 2024. Project ref: 89000,LS18 4GH,SUPPLIER,C22673,DE029000,Asset,"764244132	"
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,FUTURE FUNDING FOR UK SEAFOOD FUND,SUBSTANCE,6366,138275.09,Contract: Lot 1 –Fisheries Data Collection Round 3 of the UK Seafood Fund -Science & Innovation Pillar –Part B on Behalf of Defra - Substance,M4 6WX,SUPPLIER,ecm_66391,00000000,Expense,
DEFRA,DEFRA,04/06/2024,Exp - Purchase Of Goods/Services - Consultancy,GIODP,UBDS IT CONSULTING LTD,INV001465,25170.00,SoW 007 - Workpackage 3 GIO DP Delivery Outcomes – End User Services Finance Support Service Uplift for   EUSF-1 Milestone 4,W2 1BE,SUPPLIER,C21695,DEP01075,Expense,GB417155704
DEFRA,DEFRA,04/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,ROSSENDALE BOROUGH COUNCIL,4515980,26807.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities - Rossendale Borough Council,OL13 0BB,SUPPLIER,GIA,00000000,Expense,149405559
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - EVIDENCE NON R&D,AIR QUALITY & INDUSTRIAL EMISSIONS,RICARDO AEA LTD,6206406,49415.85,Evaluation of the Daily Air Quality Index - DAQI.  RDE429 AQIE 060.,OX11 0QR,CIS SUPPLIER,ATAMIS C22505,00000000,Expense,GB 212 836524
DEFRA,DEFRA,04/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,SCIENCE FACILITIES - PROJECTS (WEYBRIDGE),KIER CONSTRUCTION LIMITED TRADINGF AS KIER CONSTRUCTION STRATEGIC PROJECTS,10337753,49628.89,"KIER CONSTRUCTION LTD. Defra Contract C24434, end date 30/04/2025. MSC Remedial works carried out as part of Defra Project DEFCOOD2S0008830.",M50 3XP,SUPPLIER,C24434,DES00028,Asset,GB166099927
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,IT SERVICE OPERATIONS,KYNDRYL UK LIMITED,6716007118,188248.12,Managed Network Infrastructure Services (Network Services) for hosting and the data centres,EC2M 2AT,SUPPLIER,C15660,DEP01107,Expense,GB380621802
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,GROUP INFRASTRUCTURE & OPERATIONS,VODAFONE LTD,106058781,54068.16,EA Data Sharer FY 2024-25,RG14 2FN,SUPPLIER,C15540,DEP00581,Expense,GB 569 9532 77
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,GROUP INFRASTRUCTURE & OPERATIONS,VODAFONE LTD,106058783,26322.77,DEFRA/ RPA Data Sharer FY 2024-25,RG14 2FN,SUPPLIER,C15540,DEAMOBSS,Expense,GB 569 9532 77
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,SCIENCE FACILITIES - OPERATIONS  (WEYBRIDGE),SOL SERVICES,29566,28344.00,087 Weybridge_Bld 4 HWS feasibility study_SOL Services,MK1 1HW,SUPPLIER,C22966,DE008700,Expense,815866207
DEFRA,DEFRA,04/06/2024,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,INNOVATIVE SUSTAINABLE FARMING,DEVON COUNTY COUNCIL,55450843A,302962.12,ECM_65122 -Devon County Council - FY23-24.   Future Farming Resilience Funding - Scale Up - FY2,EX2 4QD,Access to Work,65112,DEA10425,Expense,142208113
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF G&S - ACCOM & BLDNG MGMT - ESTATES IFM CORE MAINTENANCE,FM DELIVERY DEPUTY DIRECTOR'S OFFICE,MITIE FM LTD,229939/93055028,222131.96,Description: Mitie contract: CORE - FM PO for 2023/24 - Std 12 mthly invoices,SE1 9SG,SUPPLIER,44060,00000000,Expense,GB 362869361
DEFRA,DEFRA,04/06/2024,PPE - POA & AUC (OWNED) - COST - O/BAL,DATA ANALYTICS AND SCIENCE HUB (DASH),"JUMPING RIVERS LTD	",INV-1549,74129.00,C24806 Data Analytics & Science Hub (DASH) - Posit Connect Licences & Support,NE4 5TG,SUPPLIER,C24806,DEA15299,Asset,252733608
DEFRA,DEFRA,04/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,SCIENCE FACILITIES - OPERATIONS  (WEYBRIDGE),ENVIRONMENTAL RESOURCES MANAGEMENT LTD,UK12-21252-0731605,25185.00,ERM– functional safety engineer support for January-March 2024_Contract C22907,EC3A 8AA,SUPPLIER,C22907,DE008700,Expense,GB  404618080
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,"FOOD AND FARMING STRATEGY, INNOVATION, SYSTEMS",RSK ADAS LTD,SI6942137,41793.75,SCF0107 - UK Agricultural Inventory of Ammonia & GHG Emissions 2023-2033 ( Contract Ref. C21258 ) - FY 24/25 - CDEL(100%)  -  RSK ADAS,WA6 0AR,SUPPLIER,C21258,DEA15188,Expense,256435886
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,GIO RESOURCES,COFORGE UK LTD,26537009,203425.00,"SOW_CFR_0001 : GIO Capability Service –
Software Development & Architecture",EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,GIO RESOURCES,COFORGE UK LTD,26540371,223700.00,"SOW_CFR_0001 : GIO Capability Service –
Software Development & Architecture",EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SOLUTION ARCHITECTURE,COFORGE UK LTD,26540380,106875.00,SOW_CFR_0001 : GIO Capability Service –Software Development & Architecture,EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SOLUTION ARCHITECTURE,COFORGE UK LTD,26540381,162525.00,SOW_CFR_0001 : GIO Capability Service –Software Development & Architecture,EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SOLUTION ARCHITECTURE,COFORGE UK LTD,26540318,162825.00,SOW_CFR_0001 : GIO Capability Service –Software Development & Architecture,EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SOLUTION ARCHITECTURE,COFORGE UK LTD,26540376,35175.00,"SOW_CFR_0002 : GIO Capability Service –
Software Development & Architecture",EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SOLUTION ARCHITECTURE,COFORGE UK LTD,26540366,253500.00,"SOW_CFR_0002 : GIO Capability Service –
Software Development & Architecture",EC2M 4RB,SUPPLIER,C22459,00000000,Expense,GB584395693
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,EQUALITY,DURADIAMOND HEALTHCARE LTD,0000949081,33567.89,Occupational health and physiotherapy services for Core Defra,TN22 5AA,SUPPLIER,ECM63799,00000000,Expense,806426440
DEFRA,DEFRA,05/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,SCIENCE FACILITIES - PROJECTS (WEYBRIDGE),AECOM LTD,28556537,44390.00,"AECOM: CQR-AEC-8978 Penrith PM room upgrade and fume cabinet relocation. Defra Contract C12808, end date 30/06/2024. Defra Project S0008978",AL1 9WQ,SUPPLIER,C12808,DE008978,Asset,"611853162	"
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GROUP INFRASTRUCTURE & OPERATIONS,CORE TECHNOLOGY SYSTEMS (UK) LTD,113502,49559.44,"Re-procurement of MPLS Hub Connectivity Service
ecm_60879",E1 8DE,SUPPLIER(1),ecm_60879,DEMPLS92,Expense,787421792
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SHARED SERVICES CONTRACT MANAGEMENT,SHARED SERVICES CONNECTED LTD,100042042,34251.71,GOV-9099 - RPA onboarding to SOP. Annual and monthly ongoing charges to October 2025.,HP2 7AH,SUPPLIER,ecm_4524,00000000,Expense,171798078
DEFRA,DEFRA,05/06/2024,Exp - Purchase Of Goods/Services - Consultancy,LEGACY APPS PROGRAMME (LAP),UBDS IT CONSULTING LTD,INV001469,49695.00,SoW 009 - Workpackage 8 STAR Service Assurance and Readiness 24DEFR0111-1 DEFRA STAR,W2 1BE,SUPPLIER,C21695,DEP01055,Expense,GB417155704
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF G&S - ICT OUTSOURCING & MAINT/SUPPORT - COMPUTER & IT SERVICES,GIODP,UBDS IT CONSULTING LTD,INV001470,78979.00,UBDS Work Package 7 DOSD Asset Management Business Analysis outcomes,W2 1BE,SUPPLIER,C21695,DEP00928,Expense,GB417155704
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GIODP,UBDS IT CONSULTING LTD,INV001471,76550.00,UBDS Work Package 7 DOSD Auto Security Monitoring,W2 1BE,SUPPLIER,C21695,DEP01042,Expense,GB417155704
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,GIODP,UBDS IT CONSULTING LTD,INV001468,35000.00,UBDS Work Package 7 DOSD Resilience and Disaster Recovery Business Analysis outcomes,W2 1BE,SUPPLIER,C21695,DEP01031,Expense,GB417155704
DEFRA,DEFRA,05/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,SCIENCE FACILITIES - PROJECTS (WEYBRIDGE),"NOV FIBER GLASS SYSTEMS UK, A DIVISION OF NATIONAL OILWELL VARCO UK LTD",13065,37600.20,NATIONAL OILWELL VARCO (previously Pipex Ltd) Defra Atamis Contract C21768. Dung Clamps Upgrade Defra Project S0008854.,PL6 7BP,SUPPLIER,C21768,DES00030,Asset,GB582895876
DEFRA,DEFRA,05/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,LONDON BOROUGH OF SOUTHWARK,10011231503,43467.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities - Southwark London Borough,SE1 4DQ,SUPPLIER,GIA,00000000,Expense,GB220670890
DEFRA,DEFRA,05/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,SCAH CAPITAL PROGRAMME,WSP UK LTD,50001875,200231.91,WSP UK LIMITED - C17104. SCAH Interim Multidisciplinary Technical Services. End date July 2024 .,M15 4RP,SUPPLIER,C17104,DE089067,Expense,GB 905 0549 42
DEFRA,DEFRA,05/06/2024,IA - POA & AUC - COST - ADDITIONS,DDTS - CHEMICALS,RISUAL LTD,SI1005480,222311.56,"SOWRIS29 - Chemicals REACH IT Beta – Dev, Testing & PRD Deployment",ST18 0WP,SUPPLIER,C19708iv,DEAER001,Asset,864480893
DEFRA,DEFRA,06/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,LEGACY APPS PROGRAMME (LAP),HITACHI SOLUTIONS EUROPE LTD,I009118P-GB01,106902.61,Regulatory Services Platform Programme LAP - Nov 23 to April 24,EC2N 1HQ,SUPPLIER,C15505,DEP01175,Expense,GB830529539
DEFRA,DEFRA,06/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,CONSISTENT WASTE COLLECTION,JACOBS UK LTD,B2068803-017,30156.82,"WasteDataFlow administration and management, including the fly-tipping module (10021441)",SE1 2QG,SUPPLIER,C5457,DEA10528,Expense,GB624298920
DEFRA,DEFRA,06/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,SCIENCE FACILITIES - PROJECTS (WEYBRIDGE),MITIE FM LTD,229939/93054820,54537.34,MITIE BCP B960329 contract ecm_62366 Coombelands Animal House Generator Project Ref S0008891,SE1 9SG,SUPPLIER,ecm_62366,00000000,Asset,GB 362869361
DEFRA,DEFRA,06/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,NATURAL CAPITAL & ECOSYSTEM ASSESSMENT (TERRESTRIAL),MITIE FM LTD,229939/93054827,31361.63,"B1142062 - NE20012 - Olympia House Laboratory - 2nd floor refurbishment of the lab including installation and procurement of new lab equipment, labour for works ",SE1 9SG,SUPPLIER,C19881,DEA15190,Asset,GB 362869361
DEFRA,DEFRA,06/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,PLANT HEALTH,CHICHESTER DISTRICT COUNCIL,100312525,76642.72,Shared outcome Fund - promoting Trees outside Woodlands - Chichester DC - FY24/25,PO19 1TY,SUPPLIER,C22254,00000000,Expense,193548138
DEFRA,DEFRA,06/06/2024,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,EXMOOR NATIONAL PARK AUTHORITY,Exmoor Q124-25a,62500.00,Annex 4 - grant claim - Exmoor National Park Authority capital,TA22 9HL,Access to Work,,DEA10076,Expense,
DEFRA,DEFRA,06/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,EXMOOR NATIONAL PARK AUTHORITY,Exmoor Q124-25,1025950.00,Annex 4 - grant claim - Exmoor National Park Authority Q1 25%,TA22 9HL,Access to Work,,DEA10076,Expense,
DEFRA,DEFRA,06/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS - BUILDINGS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,ABACO UK LTD,27/B/24,254173.20,Abaco UK LTD Work Pack 21 WS a Agri-Transition / Combined Offer Development and Delivery,EC4N1TX,SUPPLIER,C16424,DEP00577,Asset,
DEFRA,DEFRA,06/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,PROPERTY PORTFOLIO DELIVERY (CAPITAL),WSP UK LTD,50006601,40151.87,"BLDBPP22-007D - Multiple Defra Sites - ATEMIS C22936, WSP UK -  Multiple Defra Sites in Reading, Consultancy services to provide RIBA stages 2-4 input",M15 4RP,SUPPLIER,C22936,DES00083,Asset,GB 905 0549 42
DEFRA,DEFRA,06/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,LONDON BOROUGH OF HARROW,710931526,26807.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities - Harrow London Borough Council,HA3 3QR,SUPPLIER,GIA,00000000,Expense,222421318
DEFRA,DEFRA,06/06/2024,EXP CAPITAL GRANTS TO PTE SECTOR - PERSONS & NON PROFIT INSTIT'NS SERVING H'HOLD,FORESTRY,WOODLAND TRUST,808902,1201908.75,FY 23/24- Nature for Climate additional CDEL Y4 allocation (CDEL)- Bravo 62246,NG31 6LL,SUPPLIER,62246,DEA10514,Expense,520 611 104
DEFRA,DEFRA,06/06/2024,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,LANDSCAPES,SOUTH DOWNS NATIONAL PARK AUTHORITY,South Downs Q124-25a,62500.00,Annex 4 - grant claim - South National Park Authority capital,GU29 9SB,SUPPLIER,,DEA10082,Expense,GB111756535
