Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WARWICKSHIRE COUNTY CNCL,3700288050,Grant payable by the Exchequer,CV34 4RH,"£1,544,229.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WATFORD COUNCIL,3700287832,Grant payable by the Exchequer,WD17 3EX,"£341,060.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WAVERLEY BC,3700287897,Grant payable by the Exchequer,GU7 1HR,"£388,875.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEALDEN DC,3700288320,Grant payable by the Exchequer,BN22 9LN,"£554,880.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WELWYN HATFIELD COUNCIL,3700287827,Grant payable by the Exchequer,AL8 6AE,"£324,674.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST BERKSHIRE COUNCIL,3700287229,Grant payable by the Exchequer,RG14 5LD,"£67,209.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST BERKSHIRE COUNCIL,3700287371,Grant payable by the Exchequer,RG14 5LD,"£745,564.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST BERKSHIRE COUNCIL,3700287374,Grant payable by the Exchequer,RG14 5LD,"£182,619.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST BERKSHIRE COUNCIL,3700287787,Grant payable by the Exchequer,RG14 2AF,"£990,588.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST DEVON BC,3700288136,Grant payable by the Exchequer,PL19 0BZ,"£190,364.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST LANCASHIRE BC,3700288129,Grant payable by the Exchequer,L39 2DF,"£322,296.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST LINDSEY DC,3700287932,Grant payable by the Exchequer,DN21 2NA,"£213,607.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST MIDLANDS FIRE SERVICE,3700288439,Grant payable by the Exchequer,B7 4HW,"£743,305.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST NORTHAMPTONSHIRE COUNCIL,3700287191,Grant payable by the Exchequer,NN1 1ED,"£530,474.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST NORTHAMPTONSHIRE COUNCIL,3700287302,Grant payable by the Exchequer,NN1 1ED,"£196,065.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST NORTHAMPTONSHIRE COUNCIL,3700287617,Grant payable by the Exchequer,NN1 1ED,"£839,087.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST NORTHAMPTONSHIRE COUNCIL,3700287682,Grant payable by the Exchequer,NN1 1ED,"£2,101,973.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST NORTHAMPTONSHIRE COUNCIL,3700288096,Grant payable by the Exchequer,NN1 1ED,"£2,360,363.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST OF ENGLAND COMB AUTHORITY,3700288056,Grant payable by the Exchequer,BS1 6EW,"£233,143.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST OXFORDSHIRE DC,3700287781,Grant payable by the Exchequer,OX28 1NB,"£459,346.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUFFOLK DC,3700288353,Grant payable by the Exchequer,IP33 3YU,"£642,445.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700287206,Grant payable by the Exchequer,PO19 1RG,"£1,717,722.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700287294,Grant payable by the Exchequer,PO19 1RG,"£1,204,383.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700287382,Grant payable by the Exchequer,PO19 1RG,"£401,370.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700287660,Grant payable by the Exchequer,PO19 1RG,"£5,054,299.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700288279,Grant payable by the Exchequer,PO19 1RG,"£1,913,068.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST YORKSHIRE FIRE & RESCUE AUTH,3700288124,Grant payable by the Exchequer,BD11 2DY,"£574,874.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287259,Grant payable by the Exchequer,SW1E 6QP,"£1,470,751.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287326,Grant payable by the Exchequer,SW1E 6QP,"£482,402.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287507,Grant payable by the Exchequer,SW1E 6QP,"£2,896,710.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287593,Grant payable by the Exchequer,SW1E 6QP,"£343,662.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287867,Grant payable by the Exchequer,SW1E 6QP,"£60,713.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700287902,Grant payable by the Exchequer,SW1E 6QP,"£4,430,500.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Westmorland & Furness Council,3700287300,Grant payable by the Exchequer,LA9 4UF,"£1,910,950.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Westmorland & Furness Council,3700287637,Grant payable by the Exchequer,LA9 4UF,"£775,320.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Westmorland & Furness Council,3700287647,Grant payable by the Exchequer,LA9 4UF,"£407,568.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Westmorland & Furness Council,3700287653,Grant payable by the Exchequer,LA9 4UF,"£181,165.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Westmorland & Furness Council,3700288209,Grant payable by the Exchequer,LA9 4UF,"£2,018,073.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700287195,Grant payable by the Exchequer,WN1 1AZ,"£580,498.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700287275,Grant payable by the Exchequer,WN1 1AZ,"£1,396,927.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700287554,Grant payable by the Exchequer,WN1 1AZ,"£3,167,879.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700287587,Grant payable by the Exchequer,WN1 1AZ,"£326,411.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700287963,Grant payable by the Exchequer,WN1 1AZ,"£2,960,617.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700287792,Grant payable by the Exchequer,BA14 4DS,"£2,521,776.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700287409,Grant payable by the Exchequer,BA14 4DS,"£2,681,227.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700287478,Grant payable by the Exchequer,BA14 4DS,"£853,509.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700287624,Grant payable by the Exchequer,BA14 4DS,"£664,659.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700287736,Grant payable by the Exchequer,BA14 4DS,"£199,434.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINCHESTER CITY CNCL,3700287766,Grant payable by the Exchequer,SO23 9LJ,"£490,562.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700287336,Grant payable by the Exchequer,SL6 1RF,"£686,581.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700287337,Grant payable by the Exchequer,SL6 1RF,"£188,032.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700287361,Grant payable by the Exchequer,SL6 1RF,"£43,937.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700287492,Grant payable by the Exchequer,SL6 1RF,"£173,708.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700287769,Grant payable by the Exchequer,SL6 1RF,"£763,652.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIRRAL MBC,3700287215,Grant payable by the Exchequer,CH41 6BU,"£374,620.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIRRAL MBC,3700287290,Grant payable by the Exchequer,CH41 6BU,"£656,385.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIRRAL MBC,3700287588,Grant payable by the Exchequer,CH41 6BU,"£3,491,613.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIRRAL MBC,3700287779,Grant payable by the Exchequer,CH27 9FQ,"£2,755,105.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKING BC,3700288020,Grant payable by the Exchequer,GU21 1YL,"£300,138.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKINGHAM DC,3700287328,Grant payable by the Exchequer,RG11 1WJ,"£592,863.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKINGHAM DC,3700287331,Grant payable by the Exchequer,RG11 1WJ,"£146,413.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKINGHAM DC,3700287363,Grant payable by the Exchequer,RG11 1WJ,"£39,319.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKINGHAM DC,3700288042,Grant payable by the Exchequer,RG11 1WJ,"£641,236.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700287285,Grant payable by the Exchequer,WV1 1RL,"£501,841.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700287538,Grant payable by the Exchequer,WV1 1RL,"£2,690,831.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700287539,Grant payable by the Exchequer,WV1 1RL,"£1,230,097.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700287601,Grant payable by the Exchequer,WV1 1RL,"£287,430.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700288346,Grant payable by the Exchequer,WV1 1RL,"£2,667,982.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTER CITY CNCL,3700288338,Grant payable by the Exchequer,WR1 2EZ,"£301,791.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700287283,Grant payable by the Exchequer,WR5 2NP,"£4,061,997.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700287313,Grant payable by the Exchequer,WR5 2NP,"£1,585,372.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700287317,Grant payable by the Exchequer,WR5 2NP,"£370,445.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700287474,Grant payable by the Exchequer,WR5 2NP,"£869,395.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700288086,Grant payable by the Exchequer,WR5 2NP,"£1,478,724.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORTHING BC,3700288323,Grant payable by the Exchequer,BN11 1HB,"£262,679.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYCHAVON DISTRICT COUNCIL,3700288247,Grant payable by the Exchequer,WR10 1PT,"£485,435.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYRE BC,3700287859,Grant payable by the Exchequer,FY6 7PU,"£377,555.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYRE FOREST DISTRICT COUNCIL,3700288254,Grant payable by the Exchequer,DY11 7WF,"£316,717.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,YORK CITY CNCL,3700287466,Grant payable by the Exchequer,YO1 0EG,"£104,542.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,YORK CITY CNCL,3700287506,Grant payable by the Exchequer,YO1 0EG,"£447,400.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,YORK CITY CNCL,3700287570,Grant payable by the Exchequer,YO1 0EG,"£266,802.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,YORK CITY CNCL,3700287586,Grant payable by the Exchequer,YO1 0EG,"£1,133,923.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,YORK CITY CNCL,3700288009,Grant payable by the Exchequer,YO1 1XH,"£1,290,108.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,York&North Yorkshire Combined Autho,3700287774,Grant payable by the Exchequer,DL7 8AD,"£183,887.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",LEIGH ATHERTON TYLDESLEY HERITAGE G,2100345462,Grant payable by the Exchequer,WN7 2TW,"£50,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",MEADS (EASTBOURNE) COMM CENTRE,2100345466,Grant payable by the Exchequer,BN21 4BE,"£50,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,Barnardos,2100345391,Grant funding to support integration of Hong Kong British Nationals Overseas,IG6 1QG,"£134,797.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,16/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Strategy and Communications,TPXimpact Limited,5106315322,"Digital and data infrastructure and products supporting department delivery - development, deployment and support",SE1 9RG,"£41,050.00",,Strategy and Communications,Tom Smith
"Housing, Communities & Local Government",MHCLG,17/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",STANWELL EVENTS,2100345550,COF23 151 STANWELL EVENTS,TW19 7SX,"£42,178.40",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,17/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,MIDDLESBROUGH BC,2100345552,Grant Funding for Hong Kong British Nationals Welcome Hubs,TS1 1QP,"£87,646.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,17/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,DRAKE WALKWELSH LOCAL GOV ASSOCIATI,2100345554,Grant Funding for Hong Kong British Nationals Welcome Hubs,CF10 4LG,"£93,527.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,17/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,SOUTH WEST COUNCILS,2100345553,Grant Funding for Hong Kong British Nationals Welcome Hubs,TA1 1SH,"£160,075.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,17/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",SOFTWIRE TECHNOLOGY LTD,5106315353,EIP Development SoW 2,NW5 1TL,"£508,552.50",,"Local Growth, Communities and Devolution",Stuart Ison
"Housing, Communities & Local Government",MHCLG,17/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Safer and Greener Buildings,ADROIT ECONOMICS LTD,5106315343,Adroit 24-25 Extension,WA15 9RE,"£63,058.80",,Safer and Greener Buildings,Chandru Dissanayeke
"Housing, Communities & Local Government",MHCLG,17/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Strategy and Communications,TPXimpact Limited,5106315352,"Digital and data infrastructure and products supporting department delivery - development, deployment and support",SE1 9RG,"£143,543.75",,Strategy and Communications,Tom Smith
"Housing, Communities & Local Government",MHCLG,17/09/2024,IT - Software Maintenance,CFO and Corporate,DATAVID LIMITED,5106315349,Continuous improvement,RG2 9BE,"£29,306.25",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,18/09/2024,External Audit,Safer and Greener Buildings,JACOBS UK LTD,5106315411,Extension of services to audit FSAs and,SE1 2QG,"£275,968.01",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,18/09/2024,IT - Service Contracts,CFO and Corporate,County HR Solutions Ltd T/A CHR Sol,5106315382,"SF Assessment, Talent, LMS",CM2 6DH,"£225,000.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,18/09/2024,IT - Service Contracts,CFO and Corporate,County HR Solutions Ltd T/A CHR Sol,5106315383,Digital Academy & Digital Excellence,CM2 6DH,"£77,730.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,18/09/2024,IT - Service Contracts,Regeneration Housing and Planning,TPXimpact Limited,5106315392,Technical Support ,SE1 9RG,"£413,600.46",,Regeneration Housing and Planning,Caroline Crowther
"Housing, Communities & Local Government",MHCLG,18/09/2024,IT - Service Contracts,Regeneration Housing and Planning,TPXimpact Limited,5106315393,Technical Support ,SE1 9RG,"£245,483.40",,Regeneration Housing and Planning,Caroline Crowther
"Housing, Communities & Local Government",MHCLG,18/09/2024,Legal Consultancy,Safer and Greener Buildings,WALKER MORRIS LLP,5106315409,Legal Advice,LS1 4DL,"£33,637.80",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,18/09/2024,Professional services,Local Government & Public Services,VALUATION OFFICE AGENCY,5106315396,Valuation of HMOs for council tax purpos,W1D 5BU,"£595,118.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,18/09/2024,Professional services,Regeneration Housing and Planning,LAW COMMISSION,5106315404,Professional Services,SW1H 9AG,"£229,787.00",,Regeneration Housing and Planning,Caroline Crowther
"Housing, Communities & Local Government",MHCLG,18/09/2024,Support services,"Local Growth, Communities and Devolution",LOCALITY,5106315380,Delivery Partner Support,N1 6DR,"£141,325.98",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",BLACKBURN WITH DARWEN BC,2100345394,High Street Accelerator Green Spaces Funding CDEL,BB1 7DY,"£450,000.00",Yes,"Local Growth, Communities and Devolution",Kay Withers
"Housing, Communities & Local Government",MHCLG,19/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",KINGSTON UPON HULL CITY COUNCIL,2100345396,High Street Accelerator Green Spaces Funding CDEL,HU1 2AB,"£450,000.00",Yes,"Local Growth, Communities and Devolution",Kay Withers
"Housing, Communities & Local Government",MHCLG,19/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Barrowden Village Hall CIO,2100345659,COF23 037 BARROWDEN VILLAGE HALL CIO,LE158EP,"£113,516.82",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
