Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700287622,Grant payable by the Exchequer,TR1 3AY,"£474,267.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700287628,Grant payable by the Exchequer,TR1 3AY,"£1,018,422.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COTSWOLD DC,3700288394,Grant payable by the Exchequer,GL7 1PX,"£539,914.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COVENTRY CITY CNCL,3700287347,Grant payable by the Exchequer,CV1 2QL,"£2,983,237.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COVENTRY CITY CNCL,3700287384,Grant payable by the Exchequer,CV1 2QL,"£307,411.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COVENTRY CITY CNCL,3700287404,Grant payable by the Exchequer,CV1 2QL,"£1,315,611.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COVENTRY CITY CNCL,3700287681,Grant payable by the Exchequer,CV1 2QL,"£565,491.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,COVENTRY CITY CNCL,3700288216,Grant payable by the Exchequer,CV1 2QL,"£2,981,346.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CRAWLEY BC,3700287860,Grant payable by the Exchequer,RH10 1UZ,"£286,443.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CROYDON LB,3700287256,Grant payable by the Exchequer,CR0 1EA,"£194,294.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CROYDON LB,3700287353,Grant payable by the Exchequer,CR0 1EA,"£2,085,428.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CROYDON LB,3700287400,Grant payable by the Exchequer,CR0 1EA,"£510,905.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CROYDON LB,3700287470,Grant payable by the Exchequer,CR0 1EA,"£831,509.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,CROYDON LB,3700287840,Grant payable by the Exchequer,CR0 1EA,"£2,078,190.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumberland Council,3700287282,Grant payable by the Exchequer,CA1 1RD,"£1,218,034.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumberland Council,3700287501,Grant payable by the Exchequer,CA1 1RD,"£284,611.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumberland Council,3700287584,Grant payable by the Exchequer,CA1 1RD,"£2,673,461.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumberland Council,3700287634,Grant payable by the Exchequer,CA1 1RD,"£506,523.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumberland Council,3700287765,Grant payable by the Exchequer,CA1 1RD,"£2,078,898.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Cumbria Commissioner Fire&Rescue Au,3700288396,Grant payable by the Exchequer,CA10 2AU,"£146,744.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DACORUM BC,3700287782,Grant payable by the Exchequer,HP1 1DN,"£465,876.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARLINGTON BC,3700287469,Grant payable by the Exchequer,TS19 1JA,"£374,012.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARLINGTON BC,3700287664,Grant payable by the Exchequer,TS19 1JA,"£908,829.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARLINGTON BC,3700287673,Grant payable by the Exchequer,TS19 1JA,"£182,719.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARLINGTON BC,3700287708,Grant payable by the Exchequer,TS19 1JA,"£87,393.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARLINGTON BC,3700288266,Grant payable by the Exchequer,TS19 1JA,"£771,040.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DARTFORD BC,3700287785,Grant payable by the Exchequer,DA1 1DR,"£376,087.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBY CITY CNCL,3700287493,Grant payable by the Exchequer,DE1 2FS,"£418,750.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBY CITY CNCL,3700287498,Grant payable by the Exchequer,DE1 2FS,"£234,541.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBY CITY CNCL,3700287645,Grant payable by the Exchequer,DE1 2FS,"£1,003,751.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBY CITY CNCL,3700287707,Grant payable by the Exchequer,DE1 2FS,"£2,177,072.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBY CITY CNCL,3700288392,Grant payable by the Exchequer,DE1 2FS,"£1,664,576.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBYSHIRE COUNTYCOUNCIL,3700287548,Grant payable by the Exchequer,DE4 3AG,"£695,787.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBYSHIRE COUNTYCOUNCIL,3700287550,Grant payable by the Exchequer,DE4 3AG,"£6,685,599.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBYSHIRE COUNTYCOUNCIL,3700287576,Grant payable by the Exchequer,DE4 3AG,"£2,977,722.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBYSHIRE COUNTYCOUNCIL,3700287709,Grant payable by the Exchequer,DE4 3AG,"£1,322,456.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,DERBYSHIRE COUNTYCOUNCIL,3700287776,Grant payable by the Exchequer,DE4 3AG,"£2,445,662.00",Yes,Local Government & Public Services,Nico Heslop
