Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,Disclosure and Barring Services,31/01/2024,DIRECT COSTS TICKET PRICE,DBS - Disclosure & Barring Service,HINDUJA GLOBAL SOLUTIONS UK LTD,2891780-23-1300-53040-314044-1-2024,376852.8
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1682114-29718708-56679-79291-1-2024,951.49
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682114-2949716-560478-15426-1-2024,1851.12
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1750000-2949716-560478-31503-1-2024,3780.36
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1709106-2949716-560478-73507-1-2024,8820.84
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682113-2949716-560478-866325-1-2024,10395.9
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1735100-2949716-560478-1889436-1-2024,22673.23
Home Office,Home Office,03/01/2024,RAIL FARES,CD - Corporate & Delivery,CORPORATE TRAVEL MANAGEMENT (NORTH),0000000-19101-245986-42425219-1-2024,424261.49
Home Office,Home Office,03/01/2024,ENTERPRISE,CD - Corporate & Delivery,ENTERPRISE RENT-A-CAR UK LTD,0000000-34766103-107797-44681023-1-2024,536128.01
Home Office,Home Office,04/01/2024,RAIL FARES,CD - Corporate & Delivery,CORPORATE TRAVEL MANAGEMENT (NORTH),0000000-19120-245986-17563571-1-2024,175636.57
Home Office,Home Office,05/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682113-2952165-560478-173265-1-2024,2079.18
Home Office,Home Office,05/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682114-2952165-560478-281574-1-2024,3378.89
Home Office,Home Office,05/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1735100-2952165-560478-98199-1-2024,11783.88
Home Office,Home Office,05/01/2024,ARVAL FUEL,CD - Corporate & Delivery,ALLSTAR BUSINESS SOLUTIONS LTD,0000000-E2018131904-255582-11320278-1-2024,135843.28
Home Office,Home Office,05/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681105-30782870-24-100385-28739-1-2024,344.87
Home Office,Home Office,05/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681500-30782870-24-100385-42735-1-2024,512.82
Home Office,Home Office,05/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1686201-30782870-24-100385-328779-1-2024,3945.33
Home Office,Home Office,05/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1682114-30782870-24-100385-614957-1-2024,7379.49
Home Office,Home Office,05/01/2024,IT RUN COST,CD - Corporate & Delivery,MADE TECH LTD,1750000-INV004338-56527-42325-1-2024,50790
Home Office,Home Office,05/01/2024,IT RUN COST,CD - Corporate & Delivery,MADE TECH LTD,1750000-INV004269-56527-75875-1-2024,91050
Home Office,Home Office,08/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1682114-29724672-56679-47146-1-2024,565.75
Home Office,Home Office,08/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1686201-29724672-56679-48218-1-2024,578.62
Home Office,Home Office,09/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,0000000-20011260-113026-1004876-1-2024,10048.76
Home Office,Home Office,09/01/2024,ADVICE,CD - Corporate & Delivery,FSP CONSULTING SERVICES LTD,1709106-INV-206530-54884-4567357-1-2024,45673.57
Home Office,Home Office,11/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,BOXXE LTD,0000000-INV0027116-100762-82260-1-2024,98712
Home Office,Home Office,11/01/2024,RAIL FARES,CD - Corporate & Delivery,CORPORATE TRAVEL MANAGEMENT (NORTH),0000000-19193-245986-12569356-1-2024,125694.36
Home Office,Home Office,11/01/2024,OFFICE RELATED,CD - Corporate & Delivery,RESTORE PLC,1709106-1438761-549843-3555006-1-2024,35550.06
Home Office,Home Office,11/01/2024,MULTIMEDIA,CD - Corporate & Delivery,STORY UK LTD,1686202-SI0006868ST-52450-31512-1-2024,31512
Home Office,Home Office,12/01/2024,ADVICE,CD - Corporate & Delivery,BLOOM PROCUREMENT SERVICES LTD,1735100-SIN047823-518536-96250-1-2024,115500
Home Office,Home Office,12/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681500-30791401-24-100385-5698-1-2024,683.76
Home Office,Home Office,12/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1496251-30791401-24-100385-6747-1-2024,809.64
Home Office,Home Office,12/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681105-30791401-24-100385-102073-1-2024,1224.88
Home Office,Home Office,12/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1686201-30791401-24-100385-6679-1-2024,8014.8
Home Office,Home Office,12/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1682114-30791401-24-100385-1070898-1-2024,12850.79
Home Office,Home Office,12/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-524511-113504-973539-1-2024,97353.9
Home Office,Home Office,12/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-526713-113504-10063474-1-2024,100634.74
Home Office,Home Office,12/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-530063-113504-1156233-1-2024,115623.3
Home Office,Home Office,12/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-528747-113504-11783899-1-2024,117838.99
Home Office,Home Office,12/01/2024,OFFICE RELATED,CD - Corporate & Delivery,IRON MOUNTAIN (UK) LTD,1709106-0800187-116000-35289817-1-2024,352898.17
Home Office,Home Office,12/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,SOCITM ADVISORY,0000000-IN0001300-60539-45550-1-2024,54660
Home Office,Home Office,12/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,SOCITM ADVISORY,0000000-IN0001333-60539-69690-1-2024,83628
Home Office,Home Office,15/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1686201-29727575-56679-63219-1-2024,758.63
Home Office,Home Office,15/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1682114-29727575-56679-143582-1-2024,1722.99
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682113-2955329-560478-23102-1-2024,2772.24
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1735100-2955329-560478-1260484-1-2024,15125.83
Home Office,Home Office,16/01/2024,GCDA,CD - Corporate & Delivery,KINTO UK LTD,0000000-4963737-150319-3522795-1-2024,35227.95
Home Office,Home Office,16/01/2024,GCDA,CD - Corporate & Delivery,KINTO UK LTD,0000000-4963736-150319-13135947-1-2024,157631.51
Home Office,Home Office,17/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,GAMMA TELECOM LTD,0000000-GA1721045-194326-2648695-1-2024,31784.34
Home Office,Home Office,17/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,GAMMA TELECOM LTD,0000000-GA1754576-194326-4726065-1-2024,56712.78
Home Office,Home Office,17/01/2024,OCCUPATIONAL HEALTH,CD - Corporate & Delivery,HEALIX INTERNATIONAL LTD,1681500-52233-230715-3519547-1-2024,42234.56
Home Office,Home Office,18/01/2024,END USER COMPUTER SOFTWARE,CD - Corporate & Delivery,DUN & BRADSTREET LTD,1735100-CI-00176098-100371-24778-1-2024,29733.6
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1709106-2959353-560478-147014-1-2024,1764.17
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682113-2959353-560478-23102-1-2024,2772.24
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1750000-2959353-560478-252024-1-2024,3024.29
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682114-2959353-560478-499166-1-2024,5989.99
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1735100-2959353-560478-3013286-1-2024,36159.43
Home Office,Home Office,19/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681500-30801357-24-100385-71603-1-2024,859.24
Home Office,Home Office,19/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1496251-30801357-24-100385-84186-1-2024,1010.23
Home Office,Home Office,19/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681105-30801357-24-100385-147421-1-2024,1769.04
Home Office,Home Office,19/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1686201-30801357-24-100385-971909-1-2024,11662.9
Home Office,Home Office,19/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1682114-30801357-24-100385-1470224-1-2024,17642.65
Home Office,Home Office,19/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,DELOITTE LLP,0000000-8004269016-112904-627875-1-2024,75345
Home Office,Home Office,19/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-532407-113504-9186206-1-2024,91862.06
Home Office,Home Office,19/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-531227-113504-10054476-1-2024,100544.76
Home Office,Home Office,19/01/2024,LEGAL ADVICE,CD - Corporate & Delivery,GOVERNMENT LEGAL DEPARTMENT,1682199-533802-113504-14233474-1-2024,142334.74
Home Office,Home Office,19/01/2024,PROCUREMENT CARD - GPC,CD - Corporate & Delivery,RBS,0000000-GPC1901241058-102384-0-1-2024,155566.25
Home Office,Home Office,22/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1686201-29731917-56679-79291-1-2024,951.49
Home Office,Home Office,22/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1682114-29731917-56679-158582-1-2024,1902.98
Home Office,Home Office,23/01/2024,MINOR WORK,CD - Corporate & Delivery,FM SYSTEMS EUROPE,1750000-INV-U12569-52659-49450-1-2024,59340
Home Office,Home Office,23/01/2024,MINOR WORK,CD - Corporate & Delivery,FM SYSTEMS EUROPE,1750000-INV-U12571-52659-87015-1-2024,104418
Home Office,Home Office,23/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,VERACITY OSI UK LIMITED,1752000-INV-00001842-50153-186600-1-2024,223920
Home Office,Home Office,24/01/2024,RAIL FARES,CD - Corporate & Delivery,CORPORATE TRAVEL MANAGEMENT (NORTH),0000000-19213-245986-109929106-1-2024,1099725.18
Home Office,Home Office,24/01/2024,IT RUN COST,CD - Corporate & Delivery,KPMG LLP,1684110-5502766364-120914-55936-1-2024,67123.2
Home Office,Home Office,26/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682114-2963750-560478-15426-1-2024,1851.12
Home Office,Home Office,26/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1682113-2963750-560478-288775-1-2024,3465.3
Home Office,Home Office,26/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1709106-2963750-560478-367535-1-2024,4410.42
Home Office,Home Office,26/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ALEXANDER MANN SOLUTIONS LTD,1735100-2963750-560478-2381078-1-2024,28572.94
Home Office,Home Office,26/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,BOXXE LTD,0000000-INV0031254-100762-73163403-1-2024,877960.85
Home Office,Home Office,26/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1496251-30816320-24-100385-6804-1-2024,816.48
Home Office,Home Office,26/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681500-30816320-24-100385-71435-1-2024,857.22
Home Office,Home Office,26/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1681105-30816320-24-100385-147112-1-2024,1765.34
Home Office,Home Office,26/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1686201-30816320-24-100385-954959-1-2024,11459.47
Home Office,Home Office,26/01/2024,FULL COST,CD - Corporate & Delivery,BROOK STREET (UK) LTD,1682114-30816320-24-100385-1486587-1-2024,17839.02
Home Office,Home Office,26/01/2024,RECRUITMENT ADVERTISING,CD - Corporate & Delivery,CABINET OFFICE,1686202-3836713-113009-318185-1-2024,31818.5
Home Office,Home Office,26/01/2024,AUDIT SERVICES,CD - Corporate & Delivery,GOVERNMENT INTERNAL AUDIT AGENCY (GIAA),1757075-46162-467816-644750-1-2024,644750
Home Office,Home Office,26/01/2024,EXTERNAL,CD - Corporate & Delivery,HM TREASURY,1752000-46160-113038-125000-1-2024,125000
Home Office,Home Office,26/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,KPMG LLP,0000000-5502752585-120914-121808-1-2024,146169.6
Home Office,Home Office,26/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,0000000-2505-214026-324996721-1-2024,3899960.65
Home Office,Home Office,26/01/2024,AR REFUNDS CTRL,CD - Corporate & Delivery,MINISTRY OF DEFENCE,0000000-7751813-192639-1575000-1-2024,1575000
Home Office,Home Office,29/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1686201-29736445-56679-79291-1-2024,951.49
Home Office,Home Office,29/01/2024,CONTINGENT LABOUR OTHER,CD - Corporate & Delivery,ADECCO UK LTD,1682114-29736445-56679-158582-1-2024,1902.98
Home Office,Home Office,29/01/2024,RECRUITMENT ADVERTISING,CD - Corporate & Delivery,CABINET OFFICE,1686202-3836809-113009-105720308-1-2024,1057203.08
Home Office,Home Office,29/01/2024,EXTERNAL,CD - Corporate & Delivery,ERNST AND YOUNG LLP,1433006-GB01G000501815-113852-69218-1-2024,69218
Home Office,Home Office,29/01/2024,AUDIT SERVICES,CD - Corporate & Delivery,GOVERNMENT INTERNAL AUDIT AGENCY (GIAA),1417701-46185-467816-7597473-1-2024,75974.73
Home Office,Home Office,30/01/2024,EXTERNAL,CD - Corporate & Delivery,CABINET OFFICE,1735100-3831803-113009-30500-1-2024,30500
Home Office,Home Office,30/01/2024,EXTERNAL,CD - Corporate & Delivery,CABINET OFFICE,1735100-3831804-113009-113300-1-2024,113300
Home Office,Home Office,30/01/2024,OTHER ICT COSTS,CD - Corporate & Delivery,FCDO SERVICES,1709106-70008226-162152-5880314-1-2024,58803.14
Home Office,Home Office,30/01/2024,OTHER ICT COSTS,CD - Corporate & Delivery,FCDO SERVICES,1709106-70008227-162152-16209185-1-2024,162091.85
Home Office,Home Office,30/01/2024,OCCUPATIONAL HEALTH,CD - Corporate & Delivery,HEALTH MANAGEMENT LTD,1151500-INV549948-215148-6009334-1-2024,72112.01
Home Office,Home Office,30/01/2024,IT RUN COST,CD - Corporate & Delivery,SHARED SERVICES CONNECTED LTD (SSCL),1751064-100042646-378790-228068-1-2024,273681.6
Home Office,Home Office,30/01/2024,IT RUN COST,CD - Corporate & Delivery,SHARED SERVICES CONNECTED LTD (SSCL),1751064-100042863-378790-74519678-1-2024,745196.78
Home Office,Home Office,30/01/2024,IT RUN COST,CD - Corporate & Delivery,SHARED SERVICES CONNECTED LTD (SSCL),1751064-100042645-378790-149299016-1-2024,1492990.16
Home Office,Home Office,31/01/2024,ADVICE,CD - Corporate & Delivery,CABINET OFFICE,1735100-3836873-113009-538875-1-2024,64665
Home Office,Home Office,16/01/2024,AD PRODUCTION,COMMS - Communications Directorate,STORY UK LTD,1810000-SI0006944ST-52450-30300-1-2024,30300
Home Office,Home Office,16/01/2024,AD PRODUCTION,COMMS - Communications Directorate,WAVEMAKER LIMITED,1810000-M38002-534582-50000-1-2024,50000
Home Office,Home Office,19/01/2024,AD PRODUCTION,COMMS - Communications Directorate,FCB INFERNO LIMITED,1810000-9045014862-523379-331684-1-2024,33168.4
Home Office,Home Office,31/01/2024,AD PRODUCTION,COMMS - Communications Directorate,STORY UK LTD,1810000-SI0006991ST-52450-4937638-1-2024,49376.38
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1283024-2949716-560478-398634-1-2024,4783.61
Home Office,Home Office,02/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1283020-2949716-560478-798517-1-2024,9582.2
Home Office,Home Office,08/01/2024,CONFERENCES,HSG - Homeland Security Group,CALDER CONFERENCES LTD,1282019-513534-112824-3046685-1-2024,36560.22
Home Office,Home Office,09/01/2024,BUILDING SERVICE CHARGES,HSG - Homeland Security Group,CAPITA BUSINESS SERVICES LTD,1283002-6004163617-138018-6589875-1-2024,79078.5
Home Office,Home Office,09/01/2024,OTHER,HSG - Homeland Security Group,FERA SCIENCE LTD,1283002-6138069473-414818-3580514-1-2024,35805.14
Home Office,Home Office,09/01/2024,OTHER,HSG - Homeland Security Group,FERA SCIENCE LTD,1283002-6138069472-414818-6336846-1-2024,63368.46
Home Office,Home Office,12/01/2024,IT RUN COST,HSG - Homeland Security Group,TOPLEVEL COMPUTING LTD,1283002-19130850-102136-23324-1-2024,27988.8
Home Office,Home Office,15/01/2024,ADVICE,HSG - Homeland Security Group,PRICE WATERHOUSE COOPERS LLP,1286523-1356099455-112713-512325-1-2024,51232.5
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1433609-2955329-560478-122184-1-2024,1466.21
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1283024-2955329-560478-131908-1-2024,1582.9
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1282027-2955329-560478-157515-1-2024,1890.18
Home Office,Home Office,16/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1283020-2955329-560478-223788-1-2024,2685.46
Home Office,Home Office,17/01/2024,SYSTEM CLEARING,HSG - Homeland Security Group,NAIMURI LTD,1282033-3699-54310-3074092-1-2024,30740.92
Home Office,Home Office,17/01/2024,IT RUN COST,HSG - Homeland Security Group,NAIMURI LTD,1282033-3709-54310-11662947-1-2024,116629.47
Home Office,Home Office,17/01/2024,MULTIMEDIA,HSG - Homeland Security Group,ONE TWO AGENCY LTD,1283020-00001-103176-24947-1-2024,24947
Home Office,Home Office,18/01/2024,RESEARCH AND DEVELOPMENT,HSG - Homeland Security Group,CT CENTRE (MOD) LTD T/A DSTL,1282033-10002934-208273-2373546-1-2024,23735.46
Home Office,Home Office,19/01/2024,CONTINGENT LABOUR OTHER,HSG - Homeland Security Group,ALEXANDER MANN SOLUTIONS LTD,1283024-2959353-560478-263815-1-2024,3165.78
