Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,1021
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Rapid Response,735.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,1177.97
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,851.34
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1403.65
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,555.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,1767.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,4520.85
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,1341.79
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2096.61
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,687.52
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3583.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,570.45
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,918.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,519.87
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,834.01
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,909.97
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2462.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,795.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,880.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,676.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1114.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1829.22
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45301,Health and Adult Care (formerly OCO),Community Care - Bury East INT,528.33
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),110 UK Ltd T/A Alternative Systems Protection,45320,Department of Operations,Radcliffe,1895
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45294,Children & Young People,Safeguarding Team - External Legal,1540
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45299,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45299,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45299,Children & Young People,Safeguarding Team - External Legal,650
Bury Metropolitan Borough Council,Legal Services,18 St John Street Chambers,45315,Children & Young People,Safeguarding Team - External Legal,830
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1483.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1588.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,4614.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,365 Support Limited,45294,Health and Adult Care (formerly OCO),Community Care - North INT,510.57
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),369 Electrical Ltd,45321,Department of Operations,Bury Market,700
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),369 Electrical Ltd,45321,Department of Operations,Bury Market,700
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45308,Children & Young People,Childrens Residential,22142.85
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,4 Pure Heart Limited,45308,Children & Young People,Childrens Residential,22142.85
Bury Metropolitan Borough Council,Environmental Services,Keep Bury Clean,45322,Corporate Core Services,Strategic Partnerships,1025
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,AAT (GB) LTD,45321,Children & Young People,EHCP Team,1790
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,632.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1265.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,632.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,1265.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,994.22
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,13294.6
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbendon Healthcare Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbey Healthcare (Farnworth) Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2612
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,1265.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeycliffe Care Home,45322,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,632.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,1265.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,1265.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2169.28
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,1052.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,1228.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,1228.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,632.7
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Abbeywood Nursing Home,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
