Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Catering,Tiffin Sandwiches Ltd,45315,Department of Operations,Catering High,726.99
Bury Metropolitan Borough Council,Human Resources,Tile Hill Interim & Executive Ltd,45306,Non-Service Specific,Chief Executive,15120
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Timeout Childrens Homes Ltd,45294,Children & Young People,Childrens Residential,20000
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Total Social Work Ltd,45294,Health and Adult Care (formerly OCO),Strategic Safeguarding Team,540
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Total Social Work Ltd,45303,Health and Adult Care (formerly OCO),Strategic Safeguarding Team,832
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Total Social Work Ltd,45307,Health and Adult Care (formerly OCO),Strategic Safeguarding Team,1740
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Total Solutions Cleaning Services UK Ltd,45314,Health and Adult Care (formerly OCO),Community Care - Adult Care,1200
Bury Metropolitan Borough Council,Art & Leisure Services,Tottington St John´s Cricket Club,45322,Corporate Core Services,Strategic Partnerships,2000
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Trafford MBC,45321,Corporate Core Finance,STAR Procurement,8812.5
Bury Metropolitan Borough Council,Street & Traffic Management,Transoft Solutions (UK) Ltd,45308,Department of Operations,Consultancy Holding Account,1270
Bury Metropolitan Borough Council,Street & Traffic Management,Transoft Solutions (UK) Ltd,45320,Department of Operations,Traffic Management Holding Account,1380
Bury Metropolitan Borough Council,Vehicle Management,Econ Engineering Limited,45322,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicle Management,Econ Engineering Limited,45322,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicle Management,Econ Engineering Limited,45322,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Vehicle Management,Econ Engineering Limited,45322,Department of Operations,Transport Fleet Management,3906
Bury Metropolitan Borough Council,Legal Services,Trinity Chambers,45321,Corporate Core Services,Six Town Housing Holding Account,2000
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Tripod Partners Limited,45299,Children & Young People,Safeguarding Teams,6424.65
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Tripod Partners Limited,45317,Children & Young People,Safeguarding Teams,2465.38
Bury Metropolitan Borough Council,Education,Triumphant Living Academy Ltd,45313,Children & Young People,Governor Learning Collaborative,1500
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,TRU (Transitional Rehabilitation Unit) Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2257.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,TRU (Transitional Rehabilitation Unit) Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Bury West INT,8100
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,TRU (Transitional Rehabilitation Unit) Ltd,45322,Health and Adult Care (formerly OCO),Community Care - Bury West INT,8100
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45299,Department of Operations,Grounds Maintenance,541.67
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45299,Department of Operations,Grounds Maintenance,541.67
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45299,Department of Operations,Grounds Maintenance,541.67
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45320,Department of Operations,Grounds Maintenance,541.67
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45320,Department of Operations,Grounds Maintenance,541.67
