Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Harbour Healthcare Bolton Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2896
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Harbour Healthcare Bolton Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2896
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Harbour Healthcare Bolton Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2896
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,GP Care Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2900
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Qualia Care Ltd T/A Millfield Nursing Home,45182,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2900
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Riverside Nursing Home,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2900
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,TRU (Transitional Rehabilitation Unit) Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2902.47
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Mediline Supported Living Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2903.6
Bury Metropolitan Borough Council,Healthcare,Crawshaw Hall Healthcare Ltd,45182,Health and Adult Care (formerly OCO),Community Care - North INT,2905
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2909.06
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Alcedo Orange Ltd T/A Alcedo Care Bury,45183,Children & Young People,Short Breaks Service,2912
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Rockmount Northwest Limited,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2913.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Engage Care Services,45189,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2919.78
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Langdon Community,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2922.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Langdon Community,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2922.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Langdon Community,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2922.84
Bury Metropolitan Borough Council,Healthcare,Pennine Care NHS Foundation Trust,45176,Children & Young People,CAMHS Social Work Team,2940.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Focus Foundation,45182,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2942.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Care Connect Bury Ltd T/A Care Connect,45189,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2945.53
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45189,Health and Adult Care (formerly OCO),Community Care - Whitefield INT,2946.94
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Oldham Metropolitan Borough Council Total Care,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2966.56
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Build - Bury Independent Living Development,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2969.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Build - Bury Independent Living Development,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2969.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Build - Bury Independent Living Development,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2969.24
Bury Metropolitan Borough Council,Consultancy,Constellia Public Ltd,45184,Children & Young People,Dedicated Schools Grant - Safety Valve Project,2975.03
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2981.1
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Clarity Homecare (Bury) Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,2983.81
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2983.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,I Care GB Limited,45189,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2984.62
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Redacted,45188,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,2991.54
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Robertson Nursing Home,45182,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,3002.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,The Focus Foundation,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Outreach Community & Residential Services,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - North INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Brookdale Care Home Limited,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Brookdale Care Home Limited,45182,Health and Adult Care (formerly OCO),Community Care - Bury West INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Apollo Home Healthcare Limited,45174,Children & Young People,Short Breaks Service,3020.82
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Cinnabar Support & Living Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3033.92
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Amicura Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,3037.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ash Cottage,45182,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3037.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ash Cottage,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3037.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ash Cottage,45182,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,3037.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Craigneil Residential Road,45182,Health and Adult Care (formerly OCO),Community Care - North INT,3037.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Royal Mencap Society,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3042.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Royal Mencap Society,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3042.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Royal Mencap Society,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3042.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Royal Mencap Society,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3042.68
Bury Metropolitan Borough Council,ICT,Computer Futures Solutions,45184,Corporate Core Services,ICT - Staffing,3060
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Outreach Community & Residential Services,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3062.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Outreach Community & Residential Services,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3062.08
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Engage Care Services,45189,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3075.52
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Kingsview Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3078.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Kingsview Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3078.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Kingsview Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3078.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Kingsview Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3078.2
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Olive Branch Fostering Ltd,45173,Children & Young People,Independent Foster Agency,3095.35
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,1 Homecare Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3114.38
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Agincare Southwark Ltd - Bluegrove House,45182,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,3120
