Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business and Resources Capital,Capital Advisors & Consultants Fees,Road Resurfacing,01/06/23,2850.00,£0.00,Causeway Technologies Ltd,850000,Capital,STC175783
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Equipment & Materials,Engineer Works D.L.O. - Cont. Highways,01/06/23,2908.80,£0.00,James Burrell Ltd,227630,Revenue,STC175796
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Human Resources,01/06/23,3000.00,£0.00,DDH Psychological Solutions Limited,230600,Revenue,STC175820
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Leisure Facilities,01/06/23,3020.00,£0.00,Rentokil - Hygiene Division,232822,Revenue,STC175827
South Tyneside Council,00CL,Economic Regeneration Group,Non-Staff Advertising,General Tourism Marketing,01/06/23,3076.48,£0.00,Bauer Radio Ltd,236057,Revenue,STC175840
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175881
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175882
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175883
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175884
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175885
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3232.68,£0.00,Fostering People Ltd,213500,Revenue,STC175886
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3620.49,£0.00,Fostering People Ltd,213500,Revenue,STC175969
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3620.49,£0.00,Fostering People Ltd,213500,Revenue,STC175970
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3620.49,£0.00,Fostering People Ltd,213500,Revenue,STC175971
