Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,775.00,£0.00,Dere Street Barristers,231100,Revenue,STC183610
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,775.00,£0.00,Dere Street Barristers,231100,Revenue,STC183611
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,775.00,£0.00,Dere Street Barristers,231100,Revenue,STC183612
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Heritage,01/09/2023,798.00,£0.00,AM & B Wilson Limited,232826,Revenue,STC183646
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,SLPD - Health Intervention,01/09/2023,810.00,£0.00,Perth Green Community Association,224081,Revenue,STC183668
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01/09/2023,810.00,£0.00,Tough Furniture Limited,819002,Capital,STC183669
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,820.00,£0.00,Redacted - Personal info,219830,Revenue,STC183682
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Sec 17 -  Central Pot,01/09/2023,821.50,£0.00,Healthworks Newcastle,213602,Revenue,STC183684
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,875.00,£0.00,Dere Street Barristers,231100,Revenue,STC183738
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,875.00,£0.00,Dere Street Barristers,231100,Revenue,STC183739
South Tyneside Council,00CL,Business & Resources Group,Cleaning Expenses,Haven Point,01/09/2023,875.26,£0.00,Greenham Trading Limited,222950,Revenue,STC183740
South Tyneside Council,00CL,Business and Resources Capital,Capital Advisors & Consultants Fees,Road Resurfacing,01/09/2023,884.88,£0.00,Waterman Aspen Ltd,850000,Capital,STC183748
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,CES Pressure Nursing Alternating,01/09/2023,912.00,£0.00,Direct Healthcare Group,221430,Revenue,STC183784
South Tyneside Council,00CL,Business and Resources,Postage Expenses,Digitalised Mail,01/09/2023,1002.10,£0.00,Critiqom Limited,230385,Revenue,STC183859
South Tyneside Council,00CL,Business & Resources Group,"Hire of Plant, Scaffolding & Skips",Fleet Management - Transport Operations,01/09/2023,1008.00,£0.00,Cleveland Land Services (Guisborough) Ltd,227000,Revenue,STC183863
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,1062.00,£0.00,Redacted - Personal info,219830,Revenue,STC183905
South Tyneside Council,00CL,Business & Resources Group,Subscriptions,Libraries Admin,01/09/2023,1090.00,£0.00,CIPFA Business Ltd,223170,Revenue,STC183932
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,1124.50,£0.00,Redacted - Personal info,219830,Revenue,STC183973
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/09/2023,1204.60,£0.00,Mencap,221004,Revenue,STC184065
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/09/2023,1209.34,£0.00,Mencap,221004,Revenue,STC184066
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Sundry Costs,South Shields Town Centre Regen,01/09/2023,1239.12,£0.00,BT - British Telecommunications PLC,828512,Capital,STC184078
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,Learning Disability Support,01/09/2023,1252.08,£0.00,North Star previously Endeavour Housing Association,221004,Revenue,STC184097
South Tyneside Council,00CL,Business & Resources Group,Servicing/Electric Testing of Equipment,ICT & Digital Services,01/09/2023,1252.36,£0.00,Vodafone Ltd,230440,Revenue,STC184098
South Tyneside Council,00CL,Business & Resources Group,Other Fees,South Shields Crematorium,01/09/2023,1272.00,£0.00,Obitus (Vividea Ltd t/a),226760,Revenue,STC184117
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Technology & Independence,01/09/2023,1287.25,£0.00,Oysta Technology Limited,221500,Revenue,STC184129
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/09/2023,1495.48,£0.00,Places for People Living+ Limited,213300,Revenue,STC184223
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/09/2023,1495.48,£0.00,Places for People Living+ Limited,213300,Revenue,STC184224
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,1500.00,£0.00,Allure Academy Group Ltd (Melissa Wright),219830,Revenue,STC184233
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Summer Festival,01/09/2023,1561.95,£0.00,Direct Communications Radio Services Limited (DCRS Limited),222840,Revenue,STC184265
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Playground Inspection & Maintenance,01/09/2023,1662.94,£0.00,Sutcliffe Play Ltd,223560,Revenue,STC184315
South Tyneside Council,00CL,Economic Regeneration Group,Contributions to Community Associations,Asset Management,01/09/2023,1666.66,£0.00,Clegwell Community Association,232300,Revenue,STC184319
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,1750.00,£0.00,Dere Street Barristers,231100,Revenue,STC184361
South Tyneside Council,00CL,Business and Resources Capital,Capital Enhancement Costs,South Shields Museum & Arts Gallery,01/09/2023,1800.00,£0.00,CK21 Limited,827051,Capital,STC184376
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Head of Adult Services,01/09/2023,1830.00,£0.00,Baltimore Consulting Ltd,220200,Revenue,STC184393
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,1840.00,£0.00,Wilkinson Travel,219830,Revenue,STC184398
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Mortuary Services,Burial And Cremation,01/09/2023,1851.00,£0.00,Manor House Funeral Services Limited,220030,Revenue,STC184401
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/09/2023,1861.55,£0.00,Team Fostering (formerly Team Fostering North East),213300,Revenue,STC184408
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Staying Put Placements,Commissioned Fostering,01/09/2023,1957.43,£0.00,St Cuthberts Care,213500,Revenue,STC184433
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Regeneration & Property,01/09/2023,2013.60,£0.00,Pickerings Europe Ltd,232810,Revenue,STC184458
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,2025.00,£0.00,Ocean Road Community Association,219830,Revenue,STC184460
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,01/09/2023,2052.00,£0.00,The Chair Shop - Peach (Sit UK Ltd),221420,Revenue,STC184464
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/09/2023,2123.57,£0.00,Data Fire & Security LLP,232860,Revenue,STC184487
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,2250.00,£0.00,Redacted - Personal info,219830,Revenue,STC184533
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Children & Families,01/09/2023,2295.00,£0.00,AM & B Wilson Limited,232840,Revenue,STC184551
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,01/09/2023,2408.00,£0.00,EVENT-X LIMITED,230641,Revenue,STC184577
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,2419.00,£0.00,DAC Beachcroft Claims Ltd,231100,Revenue,STC184580
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/09/2023,2565.60,£0.00,United Response,221004,Revenue,STC184606
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Council Tax and Business Rates Collection,01/09/2023,2662.73,£0.00,Allpay Limited,230140,Revenue,STC184625
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,2850.00,£0.00,Dere Street Barristers,231100,Revenue,STC184653
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,01/09/2023,2904.00,£0.00,Stannah Lift Services Ltd,819000,Capital,STC184661
South Tyneside Council,00CL,Business and Resources,Postage Expenses,Digitalised Mail,01/09/2023,2905.05,£0.00,Critiqom Limited,230385,Revenue,STC184664
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,3105.00,£0.00,South Shields FC Foundation Limited,219830,Revenue,STC184696
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,3220.00,£0.00,Redacted - Personal info,219830,Revenue,STC184733
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184736
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184737
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184738
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184739
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184740
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184741
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3232.99,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184742
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,01/09/2023,3240.00,£0.00,Horticultural Landscape Solutions,230641,Revenue,STC184744
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01/09/2023,3252.39,£0.00,Easibathe and Easiaccess Solutions,819002,Capital,STC184768
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,3303.50,£0.00,The Customs House,219830,Revenue,STC184776
South Tyneside Council,00CL,"Childrens, Adults, & Families Group",Agency Staff - Non-Teachers,Commissioning Unit - Transactional,01/09/2023,3401.15,£0.00,Hampton’s Resourcing,219040,Revenue,STC184799
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Haven Point,01/09/2023,3412.36,£0.00,Wolseley UK Limited,222950,Revenue,STC184802
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,01/09/2023,3727.00,£0.00,Ward Hadaway Solicitors,231100,Revenue,STC184861
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,01/09/2023,3732.40,£0.00,St Cuthberts Care,213700,Revenue,STC184866
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,3808.58,£0.00,St Cuthberts Care,213500,Revenue,STC184881
South Tyneside Council,00CL,"Childrens, Adults & Families Group",The Matrix - NECA Ltd contract,The Matrix,01/09/2023,3929.12,£0.00,Turning Point Services Limited,216510,Revenue,STC184895
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Parks General,01/09/2023,4063.40,£0.00,Historic Property Restoration Limited,223640,Revenue,STC184918
South Tyneside Council,00CL,Economic Regeneration Group,Non-Staff Advertising,General Tourism Marketing,01/09/2023,4144.71,£0.00,Bauer Radio Ltd,236057,Revenue,STC184930
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Travel & Expenses,ILAC General,01/09/2023,4379.28,£0.00,Stockton on Tees Borough Council,213300,Revenue,STC184962
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,4413.78,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184965
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,4452.22,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184968
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,4452.22,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184969
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Monies Received,Housing Rents Suspense Account,01/09/2023,4506.53,£0.00,Karbon Homes Ltd formerly ISOS Housing Ltd,710010,Revenue,STC184981
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,4580.87,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184987
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,4580.87,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC184988
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,4800.00,£0.00,Jumbo Jim Indoor Play Centre,219830,Revenue,STC185004
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Playground Inspection & Maintenance,01/09/2023,4837.34,£0.00,Kompan Scotland Limited,223560,Revenue,STC185009
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,01/09/2023,4898.00,£0.00,TACT - The Adolescent and Children's Trust,213700,Revenue,STC185011
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,5250.00,£0.00,Clegwell & Hartleyburn Community Hub,219830,Revenue,STC185029
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,5400.00,£0.00,Redacted - Personal info,219830,Revenue,STC185040
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Software,Commissioning Unit,01/09/2023,5450.00,£0.00,Access UK Ltd,219030,Revenue,STC185044
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,5500.00,£0.00,Hebburn Town Football Club,219830,Revenue,STC185045
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,The Place,01/09/2023,5900.00,£0.00,Mikenda Plant Therapy and Consultation Services,214200,Revenue,STC185088
South Tyneside Council,00CL,Childrens Adults and Health,Other Service Contracts & Supplies,Holiday Activities & Food Grant,01/09/2023,6120.00,£0.00,NECA,219830,Revenue,STC185101
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Public Health Salaries & Overheads,01/09/2023,7265.63,£0.00,Wriggle Productions Ltd (t/a Wriggle Marketing),225000,Revenue,STC185150
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - General,Voluntary Sector Funding,01/09/2023,7269.00,£0.00,Your Voice Counts,220020,Revenue,STC185151
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,01/09/2023,7597.00,£0.00,Stannah Lift Services Ltd,819000,Capital,STC185160
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,7938.17,£0.00,Team Fostering (formerly Team Fostering North East),213500,Revenue,STC185173
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/09/2023,8321.67,£0.00,Rediweld Traffic Products Ltd,227630,Revenue,STC185187
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,Head of Adult Services,01/09/2023,8900.00,£0.00,Time Designers Ltd,220200,Revenue,STC185206
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Consultancy,Primary Education,01/09/2023,8925.00,£0.00,Edupedia Ltd,210550,Revenue,STC185207
South Tyneside Council,00CL,Business & Resources Group,Routine Contract Ground Maintenance,Grounds Maintenance Routine Works,01/09/2023,9800.00,£0.00,Tivoli Group,226830,Revenue,STC185232
South Tyneside Council,00CL,Childrens Adults and Health,Furniture & Equipment - General,Childrens Services Family Hubs,01/09/2023,10401.26,£0.00,Browns Books for Students,212095,Revenue,STC185253
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Human Resources,01/09/2023,10564.00,£0.00,North East Regional Employers Organisation,230600,Revenue,STC185261
South Tyneside Council,00CL,Childrens Adults & Health Capital,Capital Construction Costs,Childrens Home Grant Street Jarrow - Council,01/09/2023,13731.98,£0.00,Surgo Construction Ltd,819700,Capital,STC185329
South Tyneside Council,00CL,Business and Resources Capital,Capital Equipment Purchases,ICT - Mobile Phone Refresh,01/09/2023,14500.00,£0.00,Vodafone Ltd,857524,Capital,STC185336
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/09/2023,15092.00,£0.00,St Cuthberts Care,213500,Revenue,STC185348
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Block Gross Accommodation Costs,Young Peoples Services Consortium,01/09/2023,18853.33,£0.00,Depaul UK,222120,Revenue,STC185401
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Equipment & Materials,Engineer Works D.L.O. - Cont. Highways,01/09/2023,18928.00,£0.00,North East Concrete Limited,227630,Revenue,STC185403
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Monies Received,Housing Rents Suspense Account,01/09/2023,19193.93,£0.00,Karbon Homes Ltd formerly ISOS Housing Ltd,710010,Revenue,STC185407
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,ASC TRANSFORMATION,01/09/2023,22092.00,£0.00,Bloom Procurement Services,220208,Revenue,STC185444
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Assistive Technologies,01/09/2023,23500.00,£0.00,Tunstall Healthcare (UK) Ltd,221520,Revenue,STC185458
South Tyneside Council,00CL,Business and Resources Capital,Capital Enhancement Costs,Finance and HR Payroll System,01/09/2023,23750.00,£0.00,Socitm Advisory Limited,857527,Capital,STC185460
South Tyneside Council,00CL,Childrens Adults & Health Capital,Capital Construction Costs,Assessment Centre- Seton Avenue – DfE,01/09/2023,23759.88,£0.00,Surgo Construction Ltd,819701,Capital,STC185461
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Learning Disability Support,01/09/2023,26598.88,£0.00,Ashdown Care Homes Ltd,221004,Revenue,STC185484
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Learning Disability Support,01/09/2023,26598.88,£0.00,Ashdown Care Homes Ltd,221004,Revenue,STC185485
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Demolition Costs,Future High Streets Fund,01/09/2023,29711.22,£0.00,MGL Demolition Limited,828532,Capital,STC185503
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,01/09/2023,53069.58,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC185569
South Tyneside Council,00CL,Childrens Adults and Health,Independent Sector Payments Public Health,SSMTR,01/09/2023,68503.00,£0.00,Humankind Charity formerly DISC Ltd (Developing Initiatives for Support in the Community),225180,Revenue,STC185584
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,01/09/2023,232495.10,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC185648
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,01/09/2023,241345.39,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC185649
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Parks General,04/09/2023,599.89,£0.00,S Davison (Electricals) Ltd,223640,Revenue,STC183262
South Tyneside Council,00CL,Business & Resources Group,Legal Advisors,Legal Services - Support,04/09/2023,600.00,£0.00,Dere Street Barristers,231100,Revenue,STC183265
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,04/09/2023,607.04,£0.00,Flexible Support Options Limited,221004,Revenue,STC183302
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,04/09/2023,645.00,£0.00,AAT (GB) Ltd,221420,Revenue,STC183351
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,04/09/2023,645.50,£0.00,Total Resources (UK) Limited t/a TM Lincs,227630,Revenue,STC183352
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,04/09/2023,663.40,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC183371
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,04/09/2023,663.40,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC183372
South Tyneside Council,00CL,Balance Sheet,Debtors - Pay Advances,Balance Sheet Corporate Finance,04/09/2023,680.00,£0.00,Redacted - Personal info,999999,Balance Sheet,STC183488
