Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,5417.75,£0.00,Ashfield Nursery & Early Learning Centre Ltd,217765,Revenue,STC179150
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,6354.86,£0.00,Beach Hill Nursery,217765,Revenue,STC179219
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,6587.10,£0.00,Ashfield Day Nursery,217765,Revenue,STC179231
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,7236.89,£0.00,Best Nurseries Ltd (Happy Days Nursery),217765,Revenue,STC179261
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Academies,2 Year Old Funding,03/07/2023,7684.95,£0.00,St Marys Academy (formerly St Marys RC Primary School),217765,Revenue,STC179289
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,7924.00,£0.00,Redacted - personal info,214410,Revenue,STC179298
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,03/07/2023,8300.00,£0.00,Redacted - personal info,819000,Capital,STC179307
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,22364.29,£0.00,Cambian Group plc,213700,Revenue,STC179518
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,23692.86,£0.00,Cambian Group plc,213700,Revenue,STC179525
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,23954.14,£0.00,Cambian Group plc,213700,Revenue,STC179529
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,26350.00,£0.00,Cambian Group plc,213700,Revenue,STC179548
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Physical Support,03/07/2023,34891.29,£0.00,Cera Homecare Ltd (previously CRG Homecare Limited),221001,Revenue,STC179584
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,37443.57,£0.00,Cambian Group plc,213700,Revenue,STC179592
South Tyneside Council,00CL,Childrens Adults and Health,Payments to Academies,Over 6k High Needs Top Ups,03/07/2023,42045.23,£0.00,Ridgeway Academy,211510,Revenue,STC179605
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03/07/2023,46819.57,£0.00,BCE Northern Limited,227630,Revenue,STC179617
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03/07/2023,53188.30,£0.00,BCE Northern Limited,227630,Revenue,STC179631
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,76017.61,£0.00,Witherslack Group,213700,Revenue,STC179661
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,113406.67,£0.00,Witherslack Group,213700,Revenue,STC179691
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,117354.00,£0.00,Witherslack Group,213700,Revenue,STC179693
South Tyneside Council,00CL,Childrens Adults and Health,Payments to Academies,Over 6k High Needs Top Ups,03/07/2023,137169.41,£0.00,Bishop Chadwick Catholic EducationTrust,211510,Revenue,STC179705
