query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,701439,Allstar Business Solutions Limited,1.90,R3000,Petrol,23/05/2023,191147844,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,137.06,R3000,Petrol,23/05/2023,191147844,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,"1,817.70",R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,85.50,R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,29.17,R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,151.01,R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,253.30,R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701439,Allstar Business Solutions Limited,147.03,R3000,Petrol,04/05/2023,191140750,Fleet Services,Fleet Management
INSERTED DETAIL,701451,Als-Holdings Limited T/A Ac Education,162.00,R1650,Training Expenses,15/05/2023,130389067,Children & Young People In Care,LAC Pupil Premium
INSERTED DETAIL,701502,Andrews Creative Services,130.00,R4612,Hospitality,31/05/2023,130390791,Governance Services,Mayoral Expenses
INSERTED DETAIL,701509,Angel Springs Limited (Waterlogic),36.94,R4101,Provisions (Not for resale),10/05/2023,130386900,Transportation,Passenger Transport  General
INSERTED DETAIL,701509,Angel Springs Limited (Waterlogic),12.38,R4101,Provisions (Not for resale),30/05/2023,130386898,Highways Maintenance,Patching
INSERTED DETAIL,701512,Anglia Dna Services Limited,169.34,R4400,Services - Professional Fees,31/05/2023,130390612,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701534,Antalis Limited,"3,300.00",R4007,Materials,03/05/2023,130388086,Digital and IT,Digital Print Solutions
INSERTED DETAIL,701534,Antalis Limited,396.60,R4007,Materials,18/05/2023,130388085,Digital and IT,Digital Print Solutions
INSERTED DETAIL,701534,Antalis Limited,396.60,R4007,Materials,03/05/2023,130387969,Digital and IT,Digital Print Solutions
INSERTED DETAIL,701535,Anthony Collins Solicitors Llp,641.00,R4400,Services - Professional Fees,03/05/2023,130385648,City Planning,Planning
INSERTED DETAIL,701547,Apetito Limited,"1,710.21",R4102,Provisions (Resale),23/05/2023,130386710,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"1,283.76",R4102,Provisions (Resale),23/05/2023,130387359,Catering,Meals on Wheels
