,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
INSERTED DETAIL,701603,Arnold Clark Finance Limited,162.83,R3200,Hire of Vehicles,22/03/2024,191265263,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,62.16,R3200,Hire of Vehicles,22/03/2024,191265259,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,45.78,R3200,Hire of Vehicles,22/03/2024,191265261,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,381.08,R3200,Hire of Vehicles,22/03/2024,191265243,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,65.00,R3200,Hire of Vehicles,22/03/2024,191265242,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,85.10,R3200,Hire of Vehicles,22/03/2024,191265244,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,147.55,R3200,Hire of Vehicles,22/03/2024,191265246,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,45.78,R3200,Hire of Vehicles,22/03/2024,191265247,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,71.60,R3200,Hire of Vehicles,22/03/2024,191265245,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,475.97,R3200,Hire of Vehicles,22/03/2024,191265248,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,141.01,R3200,Hire of Vehicles,22/03/2024,191265249,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,142.47,R3200,Hire of Vehicles,22/03/2024,191265250,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,85.10,R3200,Hire of Vehicles,22/03/2024,191265253,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,381.08,R3200,Hire of Vehicles,22/03/2024,191265251,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,442.68,R3200,Hire of Vehicles,22/03/2024,191265252,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,401.11,R3200,Hire of Vehicles,22/03/2024,191265254,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,602.20,R3200,Hire of Vehicles,06/03/2024,191255898,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,120.28",R3200,Hire of Vehicles,06/03/2024,191255899,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,452.68,R3200,Hire of Vehicles,06/03/2024,191255900,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,142.70,R3200,Hire of Vehicles,06/03/2024,191255901,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,06/03/2024,191255902,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,102.34,R3200,Hire of Vehicles,06/03/2024,191255903,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,45.78,R3200,Hire of Vehicles,06/03/2024,191255904,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,162.15,R3200,Hire of Vehicles,06/03/2024,191255905,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,442.68,R3200,Hire of Vehicles,06/03/2024,191255906,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,98.38,R3200,Hire of Vehicles,06/03/2024,191255907,Fleet Services,Fleet Management
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,"1,449.24",R4102,Provisions (Resale),13/03/2024,130420917,Arts and Culture,Art Gallery Tea Room
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,83.29,R4102,Provisions (Resale),19/03/2024,130421880,Catering,Civic Centre Catering
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,184.36,R4102,Provisions (Resale),19/03/2024,130421881,Catering,Meals on Wheels
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,"1,532.88",R4102,Provisions (Resale),19/03/2024,130421878,Arts and Culture,Art Gallery Tea Room
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,158.97,R4102,Provisions (Resale),19/03/2024,130421879,Arts and Culture,Bantock  Tea Rooms
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,27.20,R4102,Provisions (Resale),19/03/2024,130421882,Catering,"West Park Tea Room	"
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,"1,006.77",R4102,Provisions (Resale),19/03/2024,130421884,Catering,Education Catering  General Overheads
INSERTED DETAIL,701613,Arthur Brett (Catering) Limited,"5,979.88",R4102,Provisions (Resale),20/03/2024,130421883,Catering,Education Catering  General Overheads
INSERTED DETAIL,701680,Associated  Radio Taxi's,945.00,R3042,Client Transport,08/03/2024,130420576,Travel Unit,Special  Transport
INSERTED DETAIL,701680,Associated  Radio Taxi's,641.70,R3042,Client Transport,08/03/2024,130420577,Travel Unit,Special  Transport
INSERTED DETAIL,701680,Associated  Radio Taxi's,953.56,R3042,Client Transport,08/03/2024,130420578,Travel Unit,Special  Transport
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,219.00,R2700,Contract Cleaning,05/03/2024,130418953,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,701784,Bains Supersave Limited,47.20,R4309,Books,08/03/2024,130420579,Libraries,Ashmore Park Library
INSERTED DETAIL,701788,Baker Ross Limited,193.38,R4000,Equipment - Purchase,01/03/2024,130419296,Libraries,Global Budgets
INSERTED DETAIL,701788,Baker Ross Limited,495.01,R4000,Equipment - Purchase,18/03/2024,130421680,Arts and Culture,Art Galleries - Schools Art SLA Service
INSERTED DETAIL,701798,Barbour Logic Limited,"5,813.00",R4531,Computing - Purchase of Software,05/03/2024,130419698,Parking Services,Parking Enforcement
INSERTED DETAIL,701805,Barnardos Childrens Charity,"35,565.00",R5200,TPP - Payments to voluntary groups,07/03/2024,130420213,Regional Adoption Agency Consortium,"Regional Adoption Agency 			"
INSERTED DETAIL,701805,Barnardos Childrens Charity,"1,213.44",R6310,Direct Work With Children,12/03/2024,130420919,Regional Adoption Agency Consortium,"Adoption At Heart ASF			"
INSERTED DETAIL,701817,Base 25,"1,600.00",R4408,Services - Supplies and Services to service users,22/03/2024,191265357,Strengthening Families,EI Area 3 - Graiseley
INSERTED DETAIL,701817,Base 25,"36,469.11",R5501,TPP - Social Care Support Services,13/03/2024,130421040,Head of Children's Improvement,"Emotional Mental Health Wellbeing Service			"
INSERTED DETAIL,701837,SS Peter & Paul Cath. Primary & Nursery,"1,000.00",R5035,TPP - Private Nursery Education Funding,20/03/2024,191263676,Early Years,Early Years SEN Inclusion Fund
INSERTED DETAIL,701837,SS Peter & Paul Cath. Primary & Nursery,"1,000.00",R5035,TPP - Private Nursery Education Funding,20/03/2024,191263677,Early Years,Early Years SEN Inclusion Fund
INSERTED DETAIL,701843,Beacon Land Surveys,"1,275.00",R4400,Services - Professional Fees,20/03/2024,130421445,Corporate Asset Management,Statutory Surveys
INSERTED DETAIL,701905,Bevan Brittan Llp,544.00,R4400,Services - Professional Fees,21/03/2024,130422255,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701905,Bevan Brittan Llp,"6,562.50",R4400,Services - Professional Fees,22/03/2024,130422256,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701905,Bevan Brittan Llp,903.62,R4400,Services - Professional Fees,22/03/2024,130422257,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701905,Bevan Brittan Llp,"6,622.50",R4400,Services - Professional Fees,22/03/2024,130422258,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701905,Bevan Brittan Llp,"3,195.00",R4400,Services - Professional Fees,22/03/2024,130422259,Legal Services,Centralised External Legal Costs
INSERTED DETAIL,701905,Bevan Brittan Llp,"1,777.50",R4400,Services - Professional Fees,07/03/2024,130419946,Estates and Valuations,Estates and Valuations Team
INSERTED DETAIL,701905,Bevan Brittan Llp,195.00,R4400,Services - Professional Fees,08/03/2024,130420581,People Services,HR Advice
INSERTED DETAIL,701905,Bevan Brittan Llp,"7,515.50",R4400,Services - Professional Fees,08/03/2024,130420580,Corporate Asset Management,Statutory Surveys
INSERTED DETAIL,701905,Bevan Brittan Llp,"2,066.50",R4400,Services - Professional Fees,18/03/2024,130420582,Corporate Asset Management,Statutory Surveys
INSERTED DETAIL,701905,Bevan Brittan Llp,425.00,C1100,Construction and Conversion,20/03/2024,130420364,,GF - Brewers Yard Phase 1 - Culwell Street
INSERTED DETAIL,701905,Bevan Brittan Llp,700.00,C1100,Construction and Conversion,20/03/2024,130420364,,GF - Brewers Yard Phase 1 - Culwell Street
INSERTED DETAIL,701927,Bilston C Of E Primary School Fund,100.00,R4700,Grant Payments,20/03/2024,191263784,Ward Funds,Ward Fund - Ettingshall
INSERTED DETAIL,701930,Bilston Resource Centre,"5,346.30",R4400,Services - Professional Fees,18/03/2024,130421681,Adult Education,Skills for Work
INSERTED DETAIL,701944,Birmingham CC - General Fund,"1,368.25",R4503,Comms - Postage,04/03/2024,130415083,Governance Services,Electoral Registration
INSERTED DETAIL,701944,Birmingham CC - General Fund,"10,010.01",R4503,Comms - Postage,04/03/2024,130419210,Governance Services,Electoral Registration
INSERTED DETAIL,701944,Birmingham CC - General Fund,"2,531.26",R4503,Comms - Postage,19/03/2024,130421886,Governance Services,Electoral Registration
INSERTED DETAIL,701945,Birmingham City University,116.00,R4400,Services - Professional Fees,18/03/2024,130421682,Educational Excellence,Music Support Team
INSERTED DETAIL,701966,Black Country Museum Trust Limited,69.00,R4970,"Education trips, Holidays, Outings & Activities",20/03/2024,130421887,Adult Education,Discretionary Fund
INSERTED DETAIL,701966,Black Country Museum Trust Limited,115.00,R4970,"Education trips, Holidays, Outings & Activities",20/03/2024,130421888,Adult Education,Discretionary Fund
INSERTED DETAIL,701983,Blakenhall Neighbourhood Nursery,200.00,R5035,TPP - Private Nursery Education Funding,21/03/2024,191264930,Early Years,"Early Years  - Professional Development Fund			"
INSERTED DETAIL,701983,Blakenhall Neighbourhood Nursery,200.00,R5035,TPP - Private Nursery Education Funding,21/03/2024,191264931,Early Years,"Early Years  - Professional Development Fund			"
INSERTED DETAIL,701999,Blue Mountain Foods Limited,364.00,R4102,Provisions (Resale),21/03/2024,130419947,Catering,Meals on Wheels
