Transparency Report October 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45211,SOT0992544,Advinia Health Care Ltd,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45225,SOT0999283,Advinia Health Care Ltd,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45211,SOT0992544,Advinia Health Care Ltd,-520.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45225,SOT0999283,Advinia Health Care Ltd,-520.44
Stoke City Council,4HDG,"Housing, Development & Growth",da101,Equipment  furniture and mater,45217,SOT0995548,AEBI Schmidt Uk Limited,1179.11
Stoke City Council,4HDG,"Housing, Development & Growth",da101,Equipment  furniture and mater,45217,SOT0995570,AEBI Schmidt Uk Limited,734.87
Stoke City Council,4HDG,"Housing, Development & Growth",da101,Equipment  furniture and mater,45217,SOT0995571,AEBI Schmidt Uk Limited,546.86
Stoke City Council,4HDG,"Housing, Development & Growth",da101,Equipment  furniture and mater,45217,SOT0995573,AEBI Schmidt Uk Limited,1375.47
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45224,SOT0998658,AEBI Schmidt Uk Limited,1406.17
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNE,External Fees,45201,SOT0989096,AECOM Infrastructure and Environment UK Limited,1650
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNE,External Fees,45222,SOT0991967,AECOM Infrastructure and Environment UK Limited,1113.96
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45205,SOT0990979,Affinity Fostering Services,22592
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988403,Aggregate Industries UK Limited,1310.87
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988478,Aggregate Industries UK Limited,619.5
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988480,Aggregate Industries UK Limited,892.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988481,Aggregate Industries UK Limited,634.37
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988482,Aggregate Industries UK Limited,2306.76
