Transparency Report August 2024,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Exp Category Code,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109762,Abbey Court Care Home,1456
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115926,Abbey Court Care Home,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115926,Abbey Court Care Home,1456
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45505,SOT1105893,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109762,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45533,SOT1115926,Abbey Court Care Home,1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45505,SOT1105893,Abbey Court Care Home,-557.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45519,SOT1109762,Abbey Court Care Home,-557.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45533,SOT1115926,Abbey Court Care Home,-557.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45505,SOT1105893,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45519,SOT1109762,Abbey Court Care Home,-1976
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45533,SOT1115926,Abbey Court Care Home,-1976
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45516,SOT1107796,ABC Coaches (2002) LTD T/A ABC Supreme,8300
Stoke City Council,4CAF,Children and Family Services,eg217,6EG1,45520,SOT1100655,ABC Coaches (2002) LTD T/A ABC Supreme,657.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DA100,6DA1,45511,SOT1106615,ABILITY SMART LTD,3210
Stoke City Council,4STARC,Strategy & Resources Capital,QXPSE,6XFE,45509,SOT1106409,Absoft Limited,12455.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE216,6DE1,45506,SOT1105738,ACCESS UK ,4865.01
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE216,6DE1,45509,SOT1103813,ACCESS UK ,4865.01
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE216,6DE1,45509,SOT1106258,ACCESS UK ,4865.01
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG429,6EG1,45516,SOT1109120,Accomplish Group Ltd,4087.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG433,6EG1,45516,SOT1109120,Accomplish Group Ltd,19054.440000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45505,SOT1105819,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109690,Accord Housing Association Ltd,2246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45533,SOT1115855,Accord Housing Association Ltd,2246.92
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113867,Acheron Care Ltd,41827.86
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113868,Acheron Care Ltd,24565.64
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113869,Acheron Care Ltd,28649.31
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG429,6EG1,45516,SOT1109154,Achieve Together,1875.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG433,6EG1,45516,SOT1109154,Achieve Together,1684.28
Stoke City Council,4CAF,Children and Family Services,DE113,6DE1,45518,SOT1107381,Acorn Care & Education Ltd,-25313.1
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107334,Acorn Care & Education Ltd,5152.64
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107374,Acorn Care & Education Ltd,24812.08
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107375,Acorn Care & Education Ltd,7179.63
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107376,Acorn Care & Education Ltd,7179.63
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107377,Acorn Care & Education Ltd,3600
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107378,Acorn Care & Education Ltd,3579.63
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107379,Acorn Care & Education Ltd,3579.63
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107384,Acorn Care & Education Ltd,-25971.43
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107385,Acorn Care & Education Ltd,3989.04
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107387,Acorn Care & Education Ltd,41306.66
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1107389,Acorn Care & Education Ltd,-41306.66
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45525,SOT1107386,Acorn Care & Education Ltd,16202.42
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45506,SOT1105261,Acorn Fostering Services Ltd,5917.2
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113856,Acorn Residential Care Limited,33493.73
Stoke City Council,4CAF,Children and Family Services,de100,6DE1,45513,SOT1108593,Action for Children Limited,125000
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45525,SOT1113042,Active Resilience,17034.2
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45511,SOT1107371,Active Resilience,87523.6
Stoke City Council,4STAR,Strategy & Resources,DE158,6DE1,45509,SOT1106393,Acuma Solutions Ltd,2585
Stoke City Council,4CITD,City Director,de100,6DE1,45506,SOT1105571,Ad Gifts Online,1012.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,6DK1,45525,SOT1110796,Adams & Sons Removals and Storage,534
Stoke City Council,4STAR,Strategy & Resources,BE100,6BE1,45511,SOT1106473,Adanced Demand Side Management Limited,52466.35
Stoke City Council,4STAR,Strategy & Resources,BE100,6BE1,45511,SOT1106475,Adanced Demand Side Management Limited,46894.56
Stoke City Council,4PUBH,Public Health,EA175,6EA1,45520,SOT1109284,Adderley Green Medical Service/Adderley Green Surg,1380
Stoke City Council,4PUBH,Public Health,EA175,6EA1,45520,SOT1109301,Adderley Green Medical Services/Willowbank Surgery,2155
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45511,SOT1106740,Advanced Child Care Assessment,520.5
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45511,SOT1106741,Advanced Child Care Assessment,2760.95
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45511,SOT1106742,Advanced Child Care Assessment,2747.5
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45511,SOT1106743,Advanced Child Care Assessment,2886.25
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45525,SOT1110712,Advanced Child Care Assessment,4205.85
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45525,SOT1110713,Advanced Child Care Assessment,2322.35
Stoke City Council,4STAR,Strategy & Resources,DE147,6DE1,45520,SOT1110036,Advanced Visualisation Technologies Limited,16434.07
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45505,SOT1105969,Advinia Health Care Ltd,23580.799999999985
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109834,Advinia Health Care Ltd,2307.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45533,SOT1115996,Advinia Health Care Ltd,2307.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45505,SOT1105969,Advinia Health Care Ltd,-520.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45519,SOT1109834,Advinia Health Care Ltd,-520.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45533,SOT1115996,Advinia Health Care Ltd,-520.44
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45525,SOT1108672,AEBI Schmidt Uk Limited,627.96
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45525,SOT1110801,AEBI Schmidt Uk Limited,902.72
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45525,SOT1110893,AEBI Schmidt Uk Limited,1158.31
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,6DA1,45534,SOT1113663,AEBI Schmidt Uk Limited,831.94
Stoke City Council,4PUBH,Public Health,dh107,6DH1,45518,SOT1107779,AECOM LTD,2490
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45518,SOT1109638,Affinity Fostering Services,28245.14
Stoke City Council,4STAR,Strategy & Resources,DG105,6DG1,45523,SOT1110506,AG Family Support Ltd,9781.31
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1104466,Aggregate Industries UK Limited,1494.57
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1104468,Aggregate Industries UK Limited,763.95
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1104469,Aggregate Industries UK Limited,645.42
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1104470,Aggregate Industries UK Limited,533.37
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1104471,Aggregate Industries UK Limited,875.07
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1105378,Aggregate Industries UK Limited,1150.23
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1105383,Aggregate Industries UK Limited,555.6
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1105386,Aggregate Industries UK Limited,1100.26
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1105388,Aggregate Industries UK Limited,828.67
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45505,SOT1105390,Aggregate Industries UK Limited,2065.03
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106773,Aggregate Industries UK Limited,1013.97
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106775,Aggregate Industries UK Limited,866.83
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106777,Aggregate Industries UK Limited,1217.09
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106779,Aggregate Industries UK Limited,1939.56
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106780,Aggregate Industries UK Limited,511.89
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45512,SOT1106781,Aggregate Industries UK Limited,1306.31
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113054,Aggregate Industries UK Limited,1943.48
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113056,Aggregate Industries UK Limited,900.07
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113062,Aggregate Industries UK Limited,1631.1
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113066,Aggregate Industries UK Limited,838.61
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113068,Aggregate Industries UK Limited,2061.23
Stoke City Council,4HDG,"Housing, Development & Growth",da205,6DA1,45526,SOT1113078,Aggregate Industries UK Limited,1393.92
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,6XW,45505,SOT1104451,Aggregate Industries UK Limited,85752.47
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,6XW,45505,SOT1104453,Aggregate Industries UK Limited,173970.2
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWNC,6XW,45505,SOT1104454,Aggregate Industries UK Limited,144246.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105928,Agnes & Arthur,17693.260000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105928,Agnes & Arthur,948.57
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109796,Agnes & Arthur,22736.120000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109796,Agnes & Arthur,3400
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115960,Agnes & Arthur,20341.830000000005
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45505,SOT1105928,Agnes & Arthur,11916.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109796,Agnes & Arthur,11916.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45533,SOT1115960,Agnes & Arthur,11916.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45533,SOT1115960,Agnes & Arthur,648
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45505,SOT1105928,Agnes & Arthur,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109796,Agnes & Arthur,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45533,SOT1115960,Agnes & Arthur,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45505,SOT1105928,Agnes & Arthur,-1258.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45505,SOT1105928,Agnes & Arthur,-948.57
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45519,SOT1109796,Agnes & Arthur,-1244.6599999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45519,SOT1109796,Agnes & Arthur,4268.57
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45533,SOT1115960,Agnes & Arthur,-6011.459999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45505,SOT1105928,Agnes & Arthur,-699.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45519,SOT1109796,Agnes & Arthur,-699.32
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45533,SOT1115960,Agnes & Arthur,-629.42
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45520,SOT1110035,AJS Passenger Travel,21556.8
Stoke City Council,4PUBH,Public Health,dh101,6DH1,45527,SOT1114356,Alice Charity,9750
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105845,Alison House,1216.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109714,Alison House,1216.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115879,Alison House,1216.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45505,SOT1105845,Alison House,12979.200000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109714,Alison House,12979.200000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45533,SOT1115879,Alison House,12979.200000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45505,SOT1105845,Alison House,1318.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45519,SOT1109714,Alison House,1318.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45533,SOT1115879,Alison House,1318.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45505,SOT1105845,Alison House,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109714,Alison House,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45533,SOT1115879,Alison House,2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45505,SOT1105845,Alison House,-3722.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45519,SOT1109714,Alison House,-3722.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45533,SOT1115879,Alison House,-3722.88
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45505,SOT1105845,Alison House,-680.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45519,SOT1109714,Alison House,-680.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45533,SOT1115879,Alison House,-680.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45505,SOT1105947,Allendale Residential,5614.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45519,SOT1109814,Allendale Residential,5614.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,6EG1,45533,SOT1115976,Allendale Residential,5614.98
Stoke City Council,4STAR,Strategy & Resources,DK113,6DK1,45506,SOT1103402,Allpay Limited,3960.92
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,6DA1,45511,SOT1106662,Almec Fencing Ltd                                 ,1150
Stoke City Council,4HDG,"Housing, Development & Growth",DA191,6DA1,45532,SOT1114420,Almec Fencing Ltd                                 ,1428
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1109529,Alpha Learning Staffordshire Ltd,5440
Stoke City Council,4DSG,Dedicated Schools Grant,DE113,6DE1,45518,SOT1109530,Alpha Learning Staffordshire Ltd,5440
Stoke City Council,4DSG,Dedicated Schools Grant,EC105,6EC1,45534,SOT1116093,Alpha Learning Staffordshire Ltd,11790
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45532,SOT1114523,ALPHA OMEGA SECURITIES LIMITED,3953.79
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45534,SOT1115839,ALPHA OMEGA SECURITIES LIMITED,2804.62
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45534,SOT1115840,ALPHA OMEGA SECURITIES LIMITED,67919.14
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45534,SOT1115841,ALPHA OMEGA SECURITIES LIMITED,9870.91
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45534,SOT1115842,ALPHA OMEGA SECURITIES LIMITED,59550.51
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,6DE1,45534,SOT1116037,ALPHA OMEGA SECURITIES LIMITED,10668.94
Stoke City Council,4HDG,"Housing, Development & Growth",DF111,6DF1,45534,SOT1115843,ALPHA OMEGA SECURITIES LIMITED,614.18
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45513,SOT1108535,Alpha Transport Service Ltd,3580
Stoke City Council,4CAF,Children and Family Services,CC109,6CC1,45532,SOT1115246,Alpha Transport Service Ltd,2685
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBC,6XW,45516,SOT1107804,Amanda For Blinds,1635.83
Stoke City Council,4HDG,"Housing, Development & Growth",AA700,6AA7,45532,SOT1114142,Amaze Umbrella,5865
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45518,SOT1109640,Amber Fostering Ltd,3398
Stoke City Council,4CAF,Children and Family Services,EG133,6EG1,45518,SOT1109640,Amber Fostering Ltd,3476
Stoke City Council,4CAF,Children and Family Services,DK135,6DK1,45525,SOT1113834,Amberleigh Care Ltd,25916
Stoke City Council,4CAF,Children and Family Services,EG218,6EG1,45516,SOT1098807,AMG Nursing and Care Services,2287.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,17766.840000000004
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,17013.580000000005
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,17013.580000000005
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,31678.780000000013
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,32996.98000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,847.41
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,23957.890000000007
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,9240.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,9240.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,1318.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,6EG1,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,9240.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,-1806.2400000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,-3106.2400000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,6IC2,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,-3106.2400000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,-5229.640000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,-5755.160000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,6IC2,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,-5755.160000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45505,SOT1105913,Anchor Hanover Group T/A Park Hall Care Home,-2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45519,SOT1109782,Anchor Hanover Group T/A Park Hall Care Home,-2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,6IC2,45533,SOT1115946,Anchor Hanover Group T/A Park Hall Care Home,-2636.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45505,SOT1105917,Anchor Hanover Group T/A The Cedars Home,10324.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45519,SOT1109786,Anchor Hanover Group T/A The Cedars Home,10324.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,6EG1,45533,SOT1115950,Anchor Hanover Group T/A The Cedars Home,12249.300000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45505,SOT1105917,Anchor Hanover Group T/A The Cedars Home,12926.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,6EG1,45519,SOT1109786,Anchor Hanover Group T/A The Cedars Home,-1456.0300000000025
