Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45174.999444444446,SOT0976911,AMG Nursing and Care Services,1168.84
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987437,AMG Nursing and Care Services,1053.69
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987434,AMG Nursing and Care Services,1284.5
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987436,AMG Nursing and Care Services,1304.57
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987441,AMG Nursing and Care Services,1314.6
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987433,AMG Nursing and Care Services,1364.77
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987429,AMG Nursing and Care Services,1374.81
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987439,AMG Nursing and Care Services,1487.35
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987430,AMG Nursing and Care Services,1515.3
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987440,AMG Nursing and Care Services,1565.49
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987431,AMG Nursing and Care Services,1585.54
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987438,AMG Nursing and Care Services,1667.77
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987322,AMG Nursing and Care Services,1705.96
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987432,AMG Nursing and Care Services,1746.1
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987425,AMG Nursing and Care Services,1941.78
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987422,AMG Nursing and Care Services,2007.01
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987443,AMG Nursing and Care Services,2320.04
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987428,AMG Nursing and Care Services,2348.2
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987442,AMG Nursing and Care Services,2370.22
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987426,AMG Nursing and Care Services,2440.19
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987435,AMG Nursing and Care Services,2460.54
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987427,AMG Nursing and Care Services,2563.96
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987424,AMG Nursing and Care Services,2789.74
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45197.999444444446,SOT0987423,AMG Nursing and Care Services,2918.52
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45174.999444444446,SOT0977792,ANEW Young People Services Limited,2300.12
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45193.999444444446,SOT0966581,Ansa Environmental Services Ltd ,-3530.5
