,Transparency Report November 2023,,,,,,,
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003241,Advinia Health Care Ltd,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011152,Advinia Health Care Ltd,1700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45239,SOT1003241,Advinia Health Care Ltd,-520.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45253,SOT1011152,Advinia Health Care Ltd,-520.44
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002325,Affinity Fostering Services,22592
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012330,Affinity Fostering Services,22592
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45239,SOT1001868,Aggregate Industries UK Limited,1383.09
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45239,SOT1001870,Aggregate Industries UK Limited,810.46
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45239,SOT1001871,Aggregate Industries UK Limited,771.14
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45239,SOT1001886,Aggregate Industries UK Limited,1368.05
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45240,SOT1001850,Aggregate Industries UK Limited,688.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45239,SOT1002239,Aggregate Industries UK Limited,957.09
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45239,SOT1002262,Aggregate Industries UK Limited,1647.34
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45239,SOT1002263,Aggregate Industries UK Limited,1033.41
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45239,SOT1002268,Aggregate Industries UK Limited,747.29
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004919,Aggregate Industries UK Limited,1486.24
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004922,Aggregate Industries UK Limited,2435.14
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004954,Aggregate Industries UK Limited,2594.65
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004959,Aggregate Industries UK Limited,1335.06
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004962,Aggregate Industries UK Limited,3323.25
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45244,SOT1004963,Aggregate Industries UK Limited,980.63
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45250,SOT1008227,Aggregate Industries UK Limited,1170.49
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45250,SOT1008247,Aggregate Industries UK Limited,1911.98
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45252,SOT1008245,Aggregate Industries UK Limited,1043.24
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45259,SOT1011302,Aggregate Industries UK Limited,1091.75
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45245,SOT1002237,Aggregate Industries UK Limited,595097.79
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003201,Agnes & Arthur,26931.94
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011110,Agnes & Arthur,19874.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003201,Agnes & Arthur,15184.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011110,Agnes & Arthur,14441.66
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003201,Agnes & Arthur,5044
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011110,Agnes & Arthur,5044
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003201,Agnes & Arthur,-649.62
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011110,Agnes & Arthur,-649.62
Stoke City Council,4HDG,"Housing, Development & Growth",de125,Services,45243,SOT1001038,Aib Solutions                                     ,670
Stoke City Council,4STAR,Strategy & Resources,BA100,Repairs alterations mtce of bu,45236,SOT1000097,Aib Solutions                                     ,1350
Stoke City Council,4HDG,"Housing, Development & Growth",CC105,Contract hire&operating leases,45231,SOT1001217,Air Products Plc,794.72
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45236,SOT1002341,AJS Passenger Travel,11720
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45254,SOT1011228,AJS Passenger Travel,24656.96
Stoke City Council,4PUBH,Public Health,EA174,Independent units within CC,45245,SOT1004580,Aka Pharma Ltd t/a Longton Pharmacy,1560
Stoke City Council,4PUBH,Public Health,EA174,Independent units within CC,45245,SOT1004860,Aka Pharma Ltd t/a Longton Pharmacy,1600.05
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003116,Alison House,700
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011022,Alison House,2414.29
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003116,Alison House,7500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011022,Alison House,18457.14
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003116,Alison House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011022,Alison House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003116,Alison House,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011022,Alison House,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003116,Alison House,600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003116,Alison House,-645.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011022,Alison House,-645.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45239,SOT1003116,Alison House,-633.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45253,SOT1011022,Alison House,-633.5
Stoke City Council,4CAF,Children and Family Services,de113,Services,45236,SOT1001942,REDACTED - Personal Data,515
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1012157,REDACTED - Personal Data,1425
Stoke City Council,4CITD,City Director,DA105,Equipment  furniture and mater,45236,SOT1002067,Allbranded Limited,555
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003217,Allendale Residential,5614.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011128,Allendale Residential,5614.98
Stoke City Council,4HRAHT,Housing Transformation,DK113,Miscellaneous expenses,45238,SOT1002782,Allpay Limited,2484.3
Stoke City Council,4HRAHT,Housing Transformation,DK113,Miscellaneous expenses,45238,SOT1002783,Allpay Limited,2458.8
Stoke City Council,4STAR,Strategy & Resources,DK113,Miscellaneous expenses,45231,SOT0999508,Allpay Limited,4094.36
Stoke City Council,4STAR,Strategy & Resources,DK113,Miscellaneous expenses,45231,SOT1000272,Allpay Limited,4004.81
Stoke City Council,4STAR,Strategy & Resources,DK113,Miscellaneous expenses,45245,SOT1007569,Allpay Limited,4021.38
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998437,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998438,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998439,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998440,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998441,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998442,Alpha Learning Staffordshire Ltd,700
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT0998443,Alpha Learning Staffordshire Ltd,700
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001650,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001652,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001653,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001655,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001658,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001660,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45233,SOT1001663,Alpha Learning Staffordshire Ltd,800
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45240,SOT0998445,Alpha Learning Staffordshire Ltd,600
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45259,SOT1011886,Alpha Learning Staffordshire Ltd,720
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000224,ALPHA OMEGA SECURITIES LIMITED,2829
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000226,ALPHA OMEGA SECURITIES LIMITED,3972.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000229,ALPHA OMEGA SECURITIES LIMITED,2777.06
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000230,ALPHA OMEGA SECURITIES LIMITED,1544.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000231,ALPHA OMEGA SECURITIES LIMITED,1559.25
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000232,ALPHA OMEGA SECURITIES LIMITED,2455.7
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45231,SOT1000233,ALPHA OMEGA SECURITIES LIMITED,1930.5
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001359,ALPHA OMEGA SECURITIES LIMITED,1247.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001363,ALPHA OMEGA SECURITIES LIMITED,1247.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001365,ALPHA OMEGA SECURITIES LIMITED,521.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001366,ALPHA OMEGA SECURITIES LIMITED,1247.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001520,ALPHA OMEGA SECURITIES LIMITED,5524.2
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45233,SOT1001707,ALPHA OMEGA SECURITIES LIMITED,1425.6
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007677,ALPHA OMEGA SECURITIES LIMITED,2086.48
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007679,ALPHA OMEGA SECURITIES LIMITED,3942.69
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007682,ALPHA OMEGA SECURITIES LIMITED,2903.28
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007690,ALPHA OMEGA SECURITIES LIMITED,1425.6
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007691,ALPHA OMEGA SECURITIES LIMITED,1455.3
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007692,ALPHA OMEGA SECURITIES LIMITED,2266.8
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45250,SOT1007693,ALPHA OMEGA SECURITIES LIMITED,1782
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010856,ALPHA OMEGA SECURITIES LIMITED,2275.82
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010858,ALPHA OMEGA SECURITIES LIMITED,3905.56
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010861,ALPHA OMEGA SECURITIES LIMITED,2777.05
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010862,ALPHA OMEGA SECURITIES LIMITED,1663.2
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010863,ALPHA OMEGA SECURITIES LIMITED,1247.4
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010864,ALPHA OMEGA SECURITIES LIMITED,2644.6
Stoke City Council,4HDG,"Housing, Development & Growth",DA105,Equipment  furniture and mater,45259,SOT1010865,ALPHA OMEGA SECURITIES LIMITED,2079
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45231,SOT1000223,ALPHA OMEGA SECURITIES LIMITED,7884.8
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45231,SOT1000225,ALPHA OMEGA SECURITIES LIMITED,6435
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45231,SOT1000227,ALPHA OMEGA SECURITIES LIMITED,7172.64
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45231,SOT1000228,ALPHA OMEGA SECURITIES LIMITED,2788.19
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45250,SOT1007676,ALPHA OMEGA SECURITIES LIMITED,7321.6
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45250,SOT1007678,ALPHA OMEGA SECURITIES LIMITED,6305.2
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45250,SOT1007680,ALPHA OMEGA SECURITIES LIMITED,6637.95
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45250,SOT1007681,ALPHA OMEGA SECURITIES LIMITED,2825.31
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45259,SOT1010855,ALPHA OMEGA SECURITIES LIMITED,7264.4
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45259,SOT1010857,ALPHA OMEGA SECURITIES LIMITED,6085.2
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45259,SOT1010859,ALPHA OMEGA SECURITIES LIMITED,6370.65
Stoke City Council,4HDG,"Housing, Development & Growth",DE101,Services,45259,SOT1010860,ALPHA OMEGA SECURITIES LIMITED,2661.96
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45233,SOT1001769,Alpha Transport Service Ltd,7182
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003903,Alpine4Care Services LTD,26549.29
Stoke City Council,4HDG,"Housing, Development & Growth",AA700,Agency staff,45247,SOT1008194,Amaze Umbrella,3450
Stoke City Council,4CITD,City Director,DK100,Miscellaneous expenses,45257,000011215281711,AMAZON  ,625
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002327,Amber Fostering Ltd,9143.58
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003866,Amberleigh Care Ltd,25916
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001157,AMG Nursing and Care Services,734.99
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001159,AMG Nursing and Care Services,1543.03
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001160,AMG Nursing and Care Services,771.76
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001161,AMG Nursing and Care Services,947.16
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001196,AMG Nursing and Care Services,1686.49
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001201,AMG Nursing and Care Services,758.24
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001203,AMG Nursing and Care Services,1332.55
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001206,AMG Nursing and Care Services,1031.01
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001207,AMG Nursing and Care Services,686.49
