Body,Division of Service,Purpose of Expenditure,Merchant Category,Department,Payment Date,Transaction Code,Net Amount,Supplier Name
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
City of London,Dron House,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2541922,50,Wates Property Services Limited 
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45021,RT2542104,1650,Ernest Doe & Sons Ltd
City of London,Barbican and Community Libraries,Supplies  and  Services,Books,DCCS Libraries,45021,RT2542303,633.48,Askews & Holts Library Services Ltd
City of London,Structural Mtce/Inspections,Supplies  and  Services,Fees  and  Services,Built Environment,45021,RT2542324,1740.52,Arcadis Consulting (UK) Limited 
City of London,Barbican Own Events,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45021,RT2542913,3140,White Light Limited 
City of London,Schools Delegated Budget,Employees,Direct Employee Expenses,DCCS The Aldgate School,45021,RT2542938,1729.6,Tradewind Recruitment Ltd
City of London,Cemetery and Crematorium,Premises,Rates,Open Spaces,45021,RT2543156,1446.69,London Borough of Newham
City of London,Cemetery and Crematorium,Premises,Rates,Open Spaces,45021,RT2543164,1446.69,London Borough of Newham
City of London,Buildings Division,Premises,Repairs and Maintenance,City Surveyors,45021,RT2543202,3762.99,Skanska Construction UK Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2543203,7814.75,Skanska Construction UK Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2543203,1601.85,Skanska Construction UK Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2543203,1254.98,Skanska Construction UK Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2543203,641.45,Skanska Construction UK Ltd
City of London,Off Street Parking,Premises,Repairs and Maintenance,City Surveyors,45021,RT2543203,450.69,Skanska Construction UK Ltd
City of London,CL and BHE(City Fund) Estate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2543204,3081.06,Skanska Construction UK Ltd
City of London,Golden Lane Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2543293,5140.04,TSG Building Services PLC
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2543318,520,Metro Digital Television Limited 
City of London,Cemetery and Crematorium,Premises,Rates,Open Spaces,45021,RT2543329,1627.53,London Borough of Newham
City of London,Cemetery and Crematorium,Premises,Rates,Open Spaces,45021,RT2543331,1265.85,London Borough of Newham
City of London,Buildings Division,Supplies  and  Services,Communications  and  Computing,GSMD,45021,RT2543391,3043.98,Quadient UK Limited 
City of London,National Lead Force,Supplies  and  Services,Expenses,City of London Police,45021,RT2543696,28525,Quadrant Events Ltd
City of London,National Lead Force,Supplies  and  Services,Expenses,City of London Police,45021,RT2543696,204,Quadrant Events Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2544109,1192.99,F M Conway Ltd
City of London,Programming Division,Transport,Public Transport,Barbican Centre,45021,RT2544252,371.64,Addison Lee Limited
City of London,Barbican Own Events,Transport,Public Transport,Barbican Centre,45021,RT2544252,253.97,Addison Lee Limited
City of London,Barbican Own Events,Transport,Public Transport,Barbican Centre,45021,RT2544252,94.01,Addison Lee Limited
City of London,CO&FO Division,Supplies  and  Services,"Equipment, Furniture  and  Materials",Barbican Centre,45021,RT2544262,2732.88,Boutinot Ltd
City of London,Structural Mtce/Inspections,Supplies  and  Services,Fees  and  Services,Built Environment,45021,RT2544342,652.53,Arcadis Consulting (UK) Limited 
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2544872,3108.34,TSG Building Services PLC
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2544873,2655.56,TSG Building Services PLC
City of London,Corporate Services,Supplies  and  Services,"Equipment, Furniture  and  Materials",City of London Police,45021,RT2545242,805,Newbody Fitness Limited
City of London,Human Resources Division,Employees,Indirect Employee Expenses,Barbican Centre,45021,RT2545271,6879.6,Law Morgan Limited T/A Morgan Law 
City of London,Housing HRA Direct,Premises,Rates,DCCS Housing,45021,RT2545416,821.24,London Borough of Lambeth
City of London,Schools Delegated Budget,Employees,Direct Employee Expenses,DCCS The Aldgate School,45021,RT2545532,650,Master Class Education Ltd
City of London,Walbrook Wharf,Premises,Repairs and Maintenance,City Surveyors,45021,RT2545755,37675,Sykes & Son Ltd
City of London,Walbrook Wharf,Premises,Repairs and Maintenance,City Surveyors,45021,RT2545755,0.14,Sykes & Son Ltd
City of London,National Lead Force,Supplies  and  Services,Expenses,City of London Police,45021,RT2545863,8000,The Police and Crime Commissioner for Thames Valley
City of London,Animal Health Services,Supplies  and  Services,Fees  and  Services,Markets & Consumer Ptn,45021,RT2545868,9965.1,Working Time Solutions Limited
City of London,National Lead Force,Transport,Direct Transport Costs,City of London Police,45021,RT2545933,1005.54,Allstar Business Solutions Ltd
City of London,National Lead Force,Transport,Direct Transport Costs,City of London Police,45021,RT2545933,413.36,Allstar Business Solutions Ltd
City of London,Barbican Own Events,Supplies  and  Services,Fees  and  Services,Barbican Centre,45021,RT2546143,3000,Drum Works CIC
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2546159,58576.93,British Telecommunications Plc
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546337,30000,Eric Parry Architects Ltd
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546456,4687.5,Schroeders Begg (UK) LLP
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546695,44827.16,Sykes & Son Ltd
City of London,Other Schools Related Activities,Third Party Payments,Other Local Authorities,DCCS Housing,45021,RT2546696,3643.54,London Borough of Islington
City of London,Innovation & Growth,Supplies  and  Services,Grants  and  Subscriptions,Innovation & Growth,45021,RT2546717,7878.18,London Borough of Haringey 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546746,2053.5,Delva Patman Redler LLP 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546753,936.25,Delva Patman Redler LLP 
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,City Surveyors,45021,RT2546858,1850,BPTW LLP
City of London,Central Balance Sheet,Tangible Fixed Asset,Capital Outlay,Built Environment,45021,RT2546876,987.5,Hop Consulting Limited
City of London,Cemetery and Crematorium,Supplies  and  Services,"Equipment, Furniture  and  Materials",Open Spaces,45021,RT2546906,647.52,EPOS Group 
City of London,Buildings Division,Premises,Repairs and Maintenance,Barbican Centre,45021,RT2546978,2121.6,Allcool (London) Limited 
City of London,On Street Parking,Third Party Payments,Private Contractors,Built Environment,45021,RT2547223,121616.73,Marston (Holdings) Limited
City of London,Avondale Square Estate,Premises,Grounds Maintenance Costs,DCCS Housing,45021,RT2547253,827.75,Community Resourcing Limited
City of London,Local Policing,Supplies  and  Services,Communications  and  Computing,City of London Police,45021,RT2547330,1185.6,Vohkus Limited
City of London,LMA Projects,Supplies  and  Services,Fees  and  Services,"LMA, SBREC & Guildhall Library",45021,RT2547633,875,Mr Paul D Coleman
City of London,Cost Of Collection,Supplies  and  Services,Communications  and  Computing,Chamberlains,45021,RT2547704,3500,Capita Business Services Ltd 
City of London,CL and BHE(City Fund) Estate,Supplies  and  Services,Fees  and  Services,City Surveyors,45021,RT2547722,1625,Poole & Co Surveyors Limited
City of London,Economic Crime Directorate (CF),Supplies  and  Services,Fees  and  Services,Comp & City Solicitor,45021,RT2547749,1036,Knapp Richardson Limited
City of London,Programming Division,Supplies  and  Services,Fees  and  Services,Barbican Centre,45021,RT2547750,600,Linden Walcott-Burton
City of London,CO&FO Division,Supplies  and  Services,Fees  and  Services,Barbican Centre,45021,RT2547752,5250,MrConsultantUK Ltd 
City of London,On Street Parking,Supplies  and  Services,Communications  and  Computing,Built Environment,45021,RT2547780,643.38,Ringgo Limited
City of London,National Lead Force,Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2547794,359.99,Bloom Procurement Services Ltd 
City of London,Economic Crime Directorate (CF),Supplies  and  Services,Fees  and  Services,City of London Police,45021,RT2547794,2797.9,Bloom Procurement Services Ltd 
City of London,Asylum Seekers Services,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,RT2547917,1787.57,Step Ahead Services Ltd
City of London,Asylum Seekers Services,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,RT2547929,3453.53,Phase II Care Limited
City of London,Asylum Seekers Services,Third Party Payments,Other Agencies,DCCS Fam & Young People,45021,RT2547929,270.37,Phase II Care Limited
City of London,Golden Lane Estate,Supplies  and  Services,Fees  and  Services,Comp & City Solicitor,45021,RT2547941,971.25,Mr Terry J Gallivan 
City of London,On Street Parking,Third Party Payments,Private Contractors,Built Environment,45021,RT2547959,16953.63,London Councils 
City of London,Early Years and Primary Education,Supplies  and  Services,Fees  and  Services,DCCS Fam & Young People,45021,RT2548056,2100,Assessment Services Limited 
City of London,Business Services Directorate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548060,20614.93,Skanska Construction UK Ltd
City of London,Central Criminal Court (CF),Premises,Repairs and Maintenance,City Surveyors,45021,RT2548060,18084.45,Skanska Construction UK Ltd
City of London,Business Services Directorate,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548060,305.41,Skanska Construction UK Ltd
City of London,Cemetery and Crematorium,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,12126.55,Skanska Construction UK Ltd
City of London,Off Street Parking,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,6641.16,Skanska Construction UK Ltd
City of London,New Spitalfields Market - All Divisions,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,6205.05,Skanska Construction UK Ltd
City of London,Animal Health Services,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,5777.61,Skanska Construction UK Ltd
City of London,Port and Launches,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,1448.87,Skanska Construction UK Ltd
City of London,City Open Spaces,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,1379.21,Skanska Construction UK Ltd
City of London,Commissioning,Premises,Repairs and Maintenance,City Surveyors,45021,RT2548076,682.41,Skanska Construction UK Ltd
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2548081,645.28,Guardian Water Treatment
City of London,York Way Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2548086,860.28,Guardian Water Treatment
City of London,Avondale Square Estate,Premises,Repairs and Maintenance,DCCS Housing,45021,RT2548092,574.28,Guardian Water Treatment
City of London,Car Parking,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,9592.06,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,5360.25,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,4716.16,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,3506.25,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,2046.17,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,1975.3,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,1349.06,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,1169.58,Metwin Limited
City of London,Car Parking,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,1069.24,Metwin Limited
City of London,Landlords Services,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,1036.68,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,989.4,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,623.73,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,621.44,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,495.24,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,425.86,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,413.2,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,390.56,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,374.5,Metwin Limited
City of London,Landlords Services,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,371.91,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,276.52,Metwin Limited
City of London,Landlords Services,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,256.38,Metwin Limited
City of London,Service Charge Account,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,241.14,Metwin Limited
City of London,Car Parking,Premises,Repairs and Maintenance,DCCS Barbican Estate,45021,RT2548114,226.32,Metwin Limited
