Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,REDACTED PERSONAL DATA,1002865,4768,04/05/2023,"1,533.39",0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Meadows Care Limited,1001434,4930,02/05/2023,"7,500.00",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Integrate Provision T/A Withslack Group Ltd,1007253,4953,03/05/2023,"23,216.75",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Horizon Care & Education Group Ltd,1001031,4962,03/05/2023,"16,729.46",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Exceptional Care Ltd,1007377,4970,03/05/2023,"39,857.13",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Jenx Ltd T/A Jiraffe,1000879,5004,03/05/2023,384,64,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Transitional Plus Care Community Interest Co,1007420,5048,11/05/2023,583.92,0,Leaving Care,10530,65554,Personal Needs (Lca Only),Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Nonstop Consulting Ltd,1002770,5054,15/05/2023,"1,691.46",281.91,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Blackpool Council,City Electrical Factors Limited,1000420,5818,03/05/2023,329.04,54.84,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Blackpool Council,Haldane Fisher,1004232,5839,02/05/2023,884.54,147.42,E.O.D. (Erection/Operation/Dis,50094,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJAA1,"Erection, Operation & Dismantl"
Blackpool Council,Teletrac Navman (Uk) Ltd,1001116,5856,03/05/2023,"2,471.54",411.92,Main Garage Account,30228,64501,Private Contractors,Community & Env Services,,BPLSER,Community & Env Services,CVMU,Cvmu,CVMU2,Cvmu
Blackpool Council,Calico Enterprise Limited,1002574,5862,02/05/2023,"3,504.00",584,Calico,30173,64501,Private Contractors,Community & Env Services,,BPLSER,Community & Env Services,WASTE,Waste Management,DOMPFI1,Domestic Waste
Blackpool Council,Venn Group Limited,1001263,5923,16/05/2023,"1,170.00",195,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Ps & P Limited,1001914,5939,03/05/2023,582.98,97.16,Housing Benefits,60004,63401,General Services,Budgets Outside Cash Limits,,BUDOCL,Budgets Outside Cash Limits,HBSTOT1,Housing Benefits,HBSTOT3,Housing Benefits
Blackpool Council,Ricardo-Aea Ltd,1003321,5953,03/05/2023,"1,651.20",275.2,Core-Environmental Protection,30206,63313,General Expenses,Community & Env Services,,BPLSER,Community & Env Services,PUBPRO,Public Protection,PYEP1,Environmental P
Blackpool Council,Cornerstone Design And Marketing Limited,1005360,5969,19/05/2023,"1,152.00",192,Moor Park Pool,30017,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Davies Casualty(Inc Garwyn & Argent),1001239,5977,25/05/2023,799.2,133.2,Davies Group Sensitive,64518,64711,Admin Fees,General Fund,,RNONGF,General Fund,RNONGF2,General Fund,RNONGF4,General fund
Blackpool Council,Bambers Remedial Contractors Limited,1000516,5998,12/05/2023,"1,199.74",199.96,Csdp,20443,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Bambers Remedial Contractors Limited,1000516,6000,02/05/2023,330.96,55.16,Csdp,20443,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Bambers Remedial Contractors Limited,1000516,6012,12/05/2023,678,113,Csdp,20424,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Jsb Forensic Practice,1001559,6073,12/05/2023,633.37,0,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Pnp Care Homes Ltd,1003031,6140,05/05/2023,"3,090.80",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6163,05/05/2023,522.52,0,Residential Placements,20502,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6264,05/05/2023,938.9,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6504,05/05/2023,"1,334.94",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6562,05/05/2023,"31,934.47",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6599,05/05/2023,855.34,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6669,05/05/2023,"1,503.22",0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,New Care Project Lytham (Opco) Ltd,1003407,6694,19/05/2023,"2,092.38",0,Residential Placements,20208,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6798,05/05/2023,738.2,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Pnp Care Homes Ltd,1003031,6836,05/05/2023,"1,234.94",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,New Care Project Lytham (Opco) Ltd,1003407,7230,19/05/2023,"2,093.54",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,New Care Project Lytham (Opco) Ltd,1003407,7247,19/05/2023,"2,184.84",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Stannah Lift Services Ltd,1000811,7301,02/05/2023,436.64,72.77,Csdp,20424,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Stannah Lift Services Ltd,1000811,7307,09/05/2023,"1,947.42",324.57,Csdp,20424,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Stannah Lift Services Ltd,1000811,7311,02/05/2023,724,120.67,Csdp,20443,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Stannah Lift Services Ltd,1000811,7316,02/05/2023,"2,790.76",465.13,Csdp,20443,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Stannah Lift Services Ltd,1000811,7322,02/05/2023,680.04,113.34,Csdp,20424,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Whistl Uk Limited,1001944,7340,16/05/2023,"3,599.32",599.89,Post Team,40115,63511,Postages,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Blackpool Council,Bedspace Resource Ltd,1002502,7581,03/05/2023,"1,098.00",183,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Bedspace Resource Ltd,1002502,7583,03/05/2023,401.13,66.85,Sct 17- 16+ Accomm,90000,64501,VAT ADJUSTMENT,Not Applicable,,NA,Not Applicable,NA,Senior Management,NA,Senior Management
Blackpool Council,Haldane Fisher,1004232,7616,02/05/2023,555.37,92.56,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Blackpool Council,Smirthwaite Ltd,1000700,7618,03/05/2023,"2,314.80",385.8,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,The Olive School Blackburn,1004648,7627,02/05/2023,"1,200.00",0,St John Vianney -General,10215,63701,Grants,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED221,St John Vianney Catholic
Blackpool Council,Ams International,1002201,7632,03/05/2023,"1,239.12",206.52,Oral Health,62017,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,UNION HOUSE NW LTD,1139470,7633,03/05/2023,"16,585.80",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Ams International,1002201,7634,03/05/2023,506.16,84.36,Oral Health,62017,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,Ams International,1002201,7636,03/05/2023,488.16,81.36,Oral Health,62017,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,Blackpool Transport Services Limited,1000020,7685,02/05/2023,735.48,0,Youth Justice,10560,65552,Bus Pass,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Taylek Ltd,1002821,7686,03/05/2023,672,112,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Blackpool Council,Automatic Alarms Ltd,1000535,7703,15/05/2023,606.94,101.16,R&M Recharge Acct - Bpl Boys&Girls Club,40038,61171,Alarms,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDEC,Buildings - External Clients
Blackpool Council,Weldlag Limited,1003300,7706,09/05/2023,"1,252.84",208.81,Suspense - Int - P2,99969,99969,Suspense - Int - P2,Not Applicable,,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable
Blackpool Council,Thomason Partnership Limited,1004908,7707,09/05/2023,"4,404.00",734,Project Recharges Holding A/C,40124,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,BLMTCE,Building Maintenence,BLMTCE2,Building Maintenence
Blackpool Council,Pitch And Track Ltd,1005254,7709,09/05/2023,672,112,B'Pool Sports Centre,40011,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDLC,Buildings - Leisure Centres
Blackpool Council,J & J Decorating Services Ltd,1004101,7722,02/05/2023,"3,684.00",614,Enterprise Centre,50180,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,DC,Economic Development Division,PTA1,Economic Development
Blackpool Council,G2 Recruitment Solutions,1004046,7732,03/05/2023,"2,376.78",396.13,Facilities,40269,60791,Agency Staff,Resources,,TRSTOT,Resources,AEF,Facilities,AEF2,Facilities
Blackpool Council,G2 Recruitment Solutions,1004046,7733,16/05/2023,"2,431.50",405.25,Facilities,40269,60791,Agency Staff,Resources,,TRSTOT,Resources,AEF,Facilities,AEF2,Facilities
Blackpool Council,Cassidy + Ashton Group Limited,1000808,7741,03/05/2023,"4,967.28",827.88,Project Recharges Holding A/C,40124,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,BLMTCE,Building Maintenence,BLMTCE2,Building Maintenence
Blackpool Council,Waterman Environmental Services Limited,1001603,7742,09/05/2023,456,76,Municipal Buildings,40060,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDMB,Buildings -Municipal Buildings
Blackpool Council,Wyre Scaffolding Ltd,1004403,7749,03/05/2023,"1,456.20",242.7,Tower,50041,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Blackpool Council,Wyre Scaffolding Ltd,1004403,7750,03/05/2023,516,86,Tower,50041,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Blackpool Council,Rj Lift Services Ltd,1004100,7751,03/05/2023,303.42,50.57,Arc,40055,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDAD,Buildings - Adult Services
Blackpool Council,Rj Lift Services Ltd,1004100,7753,03/05/2023,"9,756.70","1,626.12",Coastal House,40028,61101,Lifts,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDAAAA,Buildings - Operational
Blackpool Council,Rj Lift Services Ltd,1004100,7755,16/05/2023,497.52,82.92,Bickerstaffe,40062,61101,Lifts,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDBH,Buildings - Bickerstaffe House
Blackpool Council,Fylde Maintenance Services Ltd,1002195,7786,16/05/2023,351.24,58.54,R&M Recharge Acct - St Georges Academy,40020,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDEC,Buildings - External Clients
Blackpool Council,Mobile Mini Uk Limited,1000158,7788,12/05/2023,378.24,63.04,Burials,61062,61012,Maintenance Private Contractor,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Blackpool Council,Amulet (Churchill Security Solutions) Ltd,1003692,7791,03/05/2023,"29,986.84","4,997.81",Municipal Building - DWP,40254,63418,Security Services,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDMB,Buildings -Municipal Buildings
Blackpool Council,Fox Fire Security Limited,1002168,7795,11/05/2023,320.4,53.4,Coopers Way,40056,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDAD,Buildings - Adult Services
Blackpool Council,Automatic Alarms Ltd,1000535,7801,03/05/2023,"1,023.16",170.53,R&M Recharge Acct - Park Primary,40025,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AE,Asset & Estate Management,BDEC,Buildings - External Clients
Blackpool Council,Lindsay Cunningham Limited,1003412,7825,12/05/2023,"2,842.68",473.78,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Rlss Uk Enterprises Ltd T/A Rlss Uk Shop,1001437,7832,16/05/2023,"1,475.00",0,Palatine Pool,30021,60911,Training Expenses,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Lextox,1004032,7870,12/05/2023,326.41,54.4,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Les Mills Fitness Uk Ltd,1002165,7871,10/05/2023,450,75,Blackpool Sports Centre,30027,63711,Subscriptions,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Blackpool Council,Cassidy + Ashton Group Limited,1000808,7876,03/05/2023,"8,280.00","1,380.00",Winter Gardens,50039,64515,Contract Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Blackpool Council,Planning Jungle Limited,1003837,7879,16/05/2023,300,0,Planning Development Management,50137,63711,Subscriptions,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
Blackpool Council,REDACTED PERSONAL DATA,1000767,7880,03/05/2023,"12,480.00","2,080.00",Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1001231,7881,03/05/2023,984,164,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1000688,7883,19/05/2023,"25,890.00","4,315.00",Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1003302,7886,03/05/2023,378,63,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Lancashire Interpretation & Translation Serv,1002862,7887,12/05/2023,415.44,69.24,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1000594,7889,15/05/2023,630,105,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1002056,7890,15/05/2023,"2,172.00",362,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,REDACTED PERSONAL DATA,1002056,7892,15/05/2023,"10,008.00","1,668.00",Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Blackpool Council,Alpha Biolabs,1001839,7894,12/05/2023,336,56,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Lindsay Cunningham Limited,1003412,7895,12/05/2023,"4,105.68",684.28,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1003423,8131,15/05/2023,"1,960.00",0,Foster Care Payments,10526,64832,Carer Level 2,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,David Holloway-  The Foodbank Cookbook Unltd,1003417,8289,04/05/2023,500,0,Benefits Shared Service,40095,63401,General Services,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
