Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Active 8 Support Services,1004404,16989,01/06/2023,"1,778.57",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Paramount Children'S Services,1006277,16999,02/06/2023,"25,692.86",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Pearce Clinical Psychology Services Ltd,1002189,17041,05/06/2023,"1,892.00",0,Corporate Health,64003,60992,Medical Fees,Chief Executive,,CEXTOT,Chief Executive,OCHEALT,Doesn?t Exist,OCHEALT2,Doesn?t Exist
Lifeline Language Services Ltd,1001286,17174,01/06/2023,568.8,94.8,Sct17,10545,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
REDACTED PERSONAL DATA,1001025,17248,06/06/2023,810,135,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Pickering Psychology Services Ltd,1003564,17249,05/06/2023,"1,061.68",176.95,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Pickering Psychology Services Ltd,1003564,17250,05/06/2023,"1,541.72",256.95,External Legal Fees,10493,64712,Experts Fees,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Sellick Partnership Limited,1001076,17262,05/06/2023,"1,526.33",254.39,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Tough Furniture Ltd,1002963,17319,06/06/2023,403.2,67.2,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Philredom Ltd,1004159,17329,06/06/2023,"2,600.00",0,Advisory Service - General,10469,63413,Consultants,Children's Services,,CHISER,Children's Services,MNGMT,Central Management,MNGMT2,Central Management
Askews And Holts Library Services Ltd,1000479,17433,05/06/2023,361.51,0,Bibliography,50007,63308,Servicing,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Lifeline Language Services Ltd,1001286,17444,01/06/2023,324,54,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Whistlejacket London Limited,1004293,17447,06/06/2023,438.54,73.09,Growth Team,50144,63315,Marketing,Communication & Regeneration,,AMCPI,Communication & Regeneration,HJ,Growth & Prosperity Team,HJA1,Growth
Lomas Office Furniture & Stationery Ltd,1003435,17496,06/06/2023,315,52.5,Highfurlong -Administration,10362,63302,Stationery,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED511,Highfurlong
Integrex Ltd,1001014,17497,05/06/2023,894,149,Highfurlong -Sensory Education,10345,63533,Computer Software Purchases,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED511,Highfurlong
Les Mills Fitness Uk Ltd,1002165,17504,06/06/2023,472.5,78.75,Blackpool Sports Centre,30027,63801,Other Expenses,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Concerto Support Services Ltd,1001312,18097,01/06/2023,"24,000.00","4,000.00",Strat Ass Mgt & Business Admin,40271,63532,Computer Running and License Costs,Resources,,TRSTOT,Resources,AEG,Strat Ass Mgt & Business Admin,AEG2,Strat Ass Mgt & Business Admin
Civica Uk Limited,1001524,18134,01/06/2023,999.6,166.6,Strategic Management& Admin,40101,63532,Computer Running and License Costs,Resources,,TRSTOT,Resources,FGAA,Ict Corporate Services,FGAA2,Ict Corporate Services
The Networking People,1002170,18148,01/06/2023,355.8,59.3,Strategic Management& Admin,40101,63531,Computer Hardware Purchase,Resources,,TRSTOT,Resources,FGAA,Ict Corporate Services,FGAA2,Ict Corporate Services
Wyre Scaffolding Ltd,1004403,18192,01/06/2023,"1,440.00",240,Chapel Street 27a,40207,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,INVTOT,Investments Portfolio,FMAACA,Chapel Street
Wyre Scaffolding Ltd,1004403,18193,01/06/2023,"2,002.97",333.83,Eighty One Central,40030,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDAAAA,Buildings - Operational
Symetri Ltd,1004220,18213,06/06/2023,"3,624.00",604,"Depot, Management & Admin",50102,63401,General Services,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJHA1,"Depot, Management & Admin"
Ebuyer (Uk) Ltd,1001414,18247,05/06/2023,450.72,75.12,St John Vianney -General,10215,63531,Computer Hardware Purchase,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED221,St John Vianney Catholic
The Helping Hand Company Ltd,1000076,18312,06/06/2023,"3,964.80",660.8,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Key Engineering Supplies Ltd,1000771,18726,06/06/2023,"1,150.46",191.74,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Key Engineering Supplies Ltd,1000771,18733,06/06/2023,642.48,107.08,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Key Engineering Supplies Ltd,1000771,18737,06/06/2023,302.46,50.41,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Teleshore (Uk) Ltd,1000918,18774,06/06/2023,799.2,133.2,Carleton Crematorium Services,61064,47412,Caskets/Urns/Posy Holders,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Whistl Uk Limited,1001944,18799,06/06/2023,"3,684.79",614.13,Post Team,40115,63511,Postages,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
REDACTED PERSONAL DATA,1001757,19008,05/06/2023,"1,571.14",0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Prepaid Financial Services Limited,1006274,19047,01/06/2023,"2,166.00",361,Client Finances,40067,63401,General Services,Resources,,TRSTOT,Resources,FCAC1,Benefits - Admin,FCAC3,Benefits - Admin
Apollo Home Healthcare Limited,1006625,19069,06/06/2023,"1,800.00",0,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Skip Hire Ltd,1000674,19240,16/06/2023,430.94,71.82,Carleton Crematorium Services,61064,63801,Other Expenses,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Ken Taylor Supplies Limited,1002486,19377,06/06/2023,569.16,94.86,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Lifeline Language Services Ltd,1001286,19389,01/06/2023,469.8,78.3,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Health Assured Ltd,1002978,19426,02/06/2023,"3,170.70",528.45,Corporate Health,64003,60992,Medical Fees,Chief Executive,,CEXTOT,Chief Executive,OCHEALT,Doesn?t Exist,OCHEALT2,Doesn?t Exist
REDACTED PERSONAL DATA,1002856,19432,01/06/2023,400,0,Foster Care Payments,10526,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
REDACTED PERSONAL DATA,1003028,19434,05/06/2023,750,0,Adoption Services,10528,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Progressive Care Limited,1003904,19445,01/06/2023,"18,192.86",0,Mother And Baby Unit,10546,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
UNION HOUSE NW LTD,1139470,19449,02/06/2023,"16,585.80",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Appletree Treatment Centre Ltd,1000482,19450,02/06/2023,"21,886.00",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Bedspace Resource Ltd,1002502,19466,06/06/2023,"1,098.00",183,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Care Afloat Ltd,1003187,19468,02/06/2023,"6,182.29",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Care Afloat Ltd,1003187,19469,02/06/2023,"19,884.29",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Active 8 Support Services,1004404,19471,01/06/2023,"1,131.51",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Active 8 Support Services,1004404,19472,01/06/2023,"1,435.71",0,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Siemens Financial Services Ltd,1000123,19500,08/06/2023,"1,310.40",218.4,Vitaline Services,20019,63711,Subscriptions,Adult Services,,ADULTS,Adult Services,APFBAB,Vitaline,APFBAB2,Vitaline
Zurich Insurance Company,1000028,19536,05/06/2023,625.42,0,Reconciliations,90055,29641,Insurance Holding Account,Balance Sheet Corporate,,ZCORP,Balance Sheet Corporate,ZCORP2,Balance Sheet Corporate,ZCORP4,Balance Sheet Corporate
Salvation Army,1000662,19547,12/06/2023,365,37.5,Democratic Services,61052,66215,Hire Of Meeting Rooms,Governance & Partnerships,,DEMTOT,Governance & Partnerships,BE,Democratic Services & Admin,BE2,Democratic Services & Admin
The Edge (Systems) Limited,1003547,19563,06/06/2023,554.04,39.94,Holy Family -Office,10084,63201,Clothing and Uniforms,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED091,Holy Family Rc
REDACTED PERSONAL DATA,1000283,19737,05/06/2023,864,144,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
REDACTED PERSONAL DATA,1002744,19740,06/06/2023,"2,280.00",380,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
REDACTED PERSONAL DATA,1006619,19743,06/06/2023,390,65,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
REDACTED PERSONAL DATA,1001862,19746,06/06/2023,732,122,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
REDACTED PERSONAL DATA,1001922,19747,06/06/2023,660,110,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
REDACTED PERSONAL DATA,1006619,19749,06/06/2023,720,120,Legal And Court Costs,61060,64707,Counsels Fees,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Sellick Partnership Limited,1001076,19762,12/06/2023,"1,679.45",279.91,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
Venn Group Limited,1001263,19764,06/06/2023,"1,443.00",240.5,"Prop, Comm & Litigation Gen",61002,60793,Supply Other,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LADTOT1,Legal Services,LADTOT3,Legal Services
M2 Education,1001787,19822,08/06/2023,455.1,75.85,Bispham Endowed -Supply Costs,10024,60792,Supply Education Support,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
Embrace Care,1004086,19846,02/06/2023,"7,909.42",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Access Independent Ltd (Fac001),1003958,19880,01/06/2023,"1,056.00",176,Blue Badge Reform,40098,63401,General Services,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Cornerstone Design And Marketing Limited,1005360,19928,02/06/2023,360,60,Dd Account,30022,63806,Advertising General,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Cornerstone Design And Marketing Limited,1005360,19930,02/06/2023,"3,000.00",500,Leisure Management Staffing,30016,63401,General Services,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Lifeline Language Services Ltd,1001286,19932,01/06/2023,622.8,103.8,Sct17,10545,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Lifeline Language Services Ltd,1001286,19942,06/06/2023,400.8,66.8,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Haldane Fisher,1004232,19965,07/06/2023,367.2,61.2,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Oh Sourcing Ltd,1006633,19968,13/06/2023,423,70.5,Corporate Health,64003,60791,Agency Staff,Chief Executive,,CEXTOT,Chief Executive,OCHEALT,Doesn?t Exist,OCHEALT2,Doesn?t Exist
Barnfield Investment Properties Ltd,1001902,19969,06/06/2023,"7,804.80","1,300.80","Depot, Management & Admin",50102,47227,Ground Rents,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJHA1,"Depot, Management & Admin"
Groundwork Cheshire Lancs And Merseyside,1001523,19970,01/06/2023,"1,422.60",237.1,At The Grange,40050,63101,Provisions,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Gemini Reinstatement Products Ltd,1002017,19974,05/06/2023,763.2,127.2,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services,,ZBPLSER,Balance Sheet Blackpool Services,ZBPLSER2,Balance Sheet Blackpool Services,ZBPLSER4,Balance Sheet Blackpool Services
Beverly Pearson Educational Consultant,1008001,20135,13/06/2023,"3,290.00",0,Sen Central Team,10430,63408,Services to Clients,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Key Engineering Supplies Ltd,1000771,20173,05/06/2023,419.4,69.9,Maintenance,50095,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJLA1,Maintenance
Brm Pool Care Ltd,1001006,20192,16/06/2023,816,136,Highfurlong -Hydrotherapy,10343,61064,Delegated Maintenance,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED511,Highfurlong
Rj Lift Services Ltd,1004100,20239,01/06/2023,497.52,82.92,Bickerstaffe,40062,61101,Lifts,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDBH,Buildings - Bickerstaffe House
Tmp (Uk) Ltd,1000064,21215,13/06/2023,396.98,66.16,Planning Development Management,50137,63806,Advertising General,Communication & Regeneration,,AMCPI,Communication & Regeneration,HP,Planning Services,HP2,Planning Services
Lancashire Interpretation & Translation Serv,1002862,21217,02/06/2023,462.6,77.1,Other Services,20432,63419,Interpreters Fees,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cemex Uk Materials Ltd,1000526,21267,13/06/2023,757.64,126.27,Core Footway-Day To Day,30201,63041,Other Materials,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,ENGINE1,Engineering
Cemex Uk Materials Ltd,1000526,21268,06/06/2023,"1,946.14",324.36,Core Footway-Day To Day,30201,63041,Other Materials,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,ENGINE1,Engineering
Mayne Special Needs,1002730,21284,07/06/2023,540,0,Sen Central Team,20025,65401,Aids To Daily Living,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Dm Orthotics Limited,1002058,21285,13/06/2023,584.1,97.35,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Health And Safety Executive,1003108,21287,06/06/2023,715,0,Climbing,30026,62008,Running Costs Licences,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
G2 Recruitment Solutions,1004046,21425,13/06/2023,560.7,93.45,Facilities,40269,60791,Agency Staff,Resources,,TRSTOT,Resources,AEF,Facilities,AEF2,Facilities
Fylde Maintenance Services Ltd,1002195,21442,06/06/2023,372,62,Christ The King,40051,61121,Heating and Ventilation,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Fylde Maintenance Services Ltd,1002195,21444,06/06/2023,355.92,59.32,Central Library - General,50008,61121,Heating and Ventilation,Communication & Regeneration,,AMCPI,Communication & Regeneration,LB,Library Service,LB2,Library Service
Fylde Maintenance Services Ltd,1002195,21445,06/06/2023,492,82,Boundary Primary - General,10082,61066,Service Contracts,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
Fylde Maintenance Services Ltd,1002195,21446,12/06/2023,"1,675.20",279.2,R&M Recharge Acct - St Georges Academy,40020,61121,Heating and Ventilation,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Mobile Mini Uk Limited,1000158,21451,09/06/2023,378.24,63.04,Burials,61062,61012,Maintenance Private Contractor,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Automatic Alarms Ltd,1000535,21458,12/06/2023,782.86,130.48,Festival House,40031,61171,Alarms,Resources,,TRSTOT,Resources,AEB,Buildings,BDAAAA,Buildings - Operational
Automatic Alarms Ltd,1000535,21459,13/06/2023,"1,649.09",274.85,The Willows,40049,61171,Alarms,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Automatic Alarms Ltd,1000535,21460,13/06/2023,913.2,152.2,Whitegate Manor,40047,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Automatic Alarms Ltd,1000535,21461,13/06/2023,383.06,63.84,R&M Recharge Acct - Queens Drive Primar,40016,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Automatic Alarms Ltd,1000535,21462,13/06/2023,512.02,85.34,At The Grange,40050,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Federation Of Jewish Services,1001992,21796,02/06/2023,"1,532.00",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Aegis Residential Care Homes Ltd,1000276,21964,02/06/2023,"1,432.18",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fairhaven Lodge Care Home,1001424,22283,16/06/2023,"1,518.68",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fairhaven Lodge Care Home,1001424,22675,16/06/2023,"1,766.86",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
The Helping Hand Company Ltd,1000076,22735,06/06/2023,"3,964.80",660.8,Childrens Equipment Service,20024,65401,Aids To Daily Living,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Swim England Trading Limited,1000557,23519,05/06/2023,"4,416.66",736.11,Palatine Pool,30021,63815,Saleable Goods,Community & Env Services,,BPLSER,Community & Env Services,LESR,Leisure,LEISUR1,Leisure Managem
Spencer Clarke Group,1007543,23533,01/06/2023,720,120,Moor Park -General,10302,60794,Supply Teaching,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED361,Moor Park
Marshall Leasing Ltd,1004167,23576,02/06/2023,564,94,Kincraig - General,10135,62221,Operating Leases,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED101,Kincraig Primary
Groundwork Cheshire Lancs And Merseyside,1001523,23584,01/06/2023,"5,280.00",0,Holiday Activities & Food(Haf),62046,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
EXCLUSIVE SECURE CARE SERVICES LTD,1139780,23715,01/06/2023,"1,221.00",0,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
REDACTED PERSONAL DATA,1002856,23812,01/06/2023,300,0,Foster Care Payments,10526,63801,Other Expenses,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Ncctc Limited,1003428,23817,16/06/2023,648,76.8,Commissioning,10502,60915,Conferences,Children's Services,,CHISER,Children's Services,EHOTH,Early Help Other,EHOTH2,Early Help Other
J & J Decorating Services Ltd,1004101,23858,19/06/2023,"2,688.00",448,Bickerstaffe,40062,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDBH,Buildings - Bickerstaffe House
J & J Decorating Services Ltd,1004101,23859,19/06/2023,"2,376.00",396,Sure Start Grange Park,40043,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Fylde Maintenance Services Ltd,1002195,23910,19/06/2023,538.56,89.76,Sure Start Tab,40044,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Quartzelec Ltd,1000665,23911,13/06/2023,"11,630.40","1,938.40",R&M Recharge Acct - St Georges Academy,40020,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Jpf Systems Limited,1002135,23912,01/06/2023,732,122,R&M Recharge Acct - Park Primary,40025,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Jpf Systems Limited,1002135,23913,01/06/2023,505.2,84.2,Bickerstaffe,40062,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDBH,Buildings - Bickerstaffe House
