Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Mchalls Accommodation Ltd T/A Mchalls Hotel,1005098,85112,31/10/2023,"19,840.00","1,240.00",Prevention Fund,64016,61704,Bed and Breakfast Accommodation,Chief Executive,,CEXTOT,Chief Executive,HOPTION,Housing Options,HOPTION2,Housing Options
Blackpool Council,Mobile Mini Uk Limited,1000158,86496,02/10/2023,378.24,63.04,Burials,61062,61012,Maintenance Private Contractor,Governance & Partnerships,,DEMTOT,Governance & Partnerships,LIFEVE1,Life Events Reg & Care,LIFEVE3,Life Events Reg & Care
Blackpool Council,Courtyard Care Limited,1002466,86902,03/10/2023,"51,469.92",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Allied Publicity Services (Manchester) Ltd,1003694,87178,02/10/2023,910.67,151.78,Blue Badge Reform,40098,63401,General Services,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Blackpool Council,Generation (Uk) Ltd,1000862,87220,03/10/2023,"4,044.24",674.04,E.O.D. (Erection/Operation/Dis,50094,63012,Other Equipment,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJAA1,"Erection, Operation & Dismantl"
Blackpool Council,Led Projects Ltd,1001144,87242,03/10/2023,"1,911.00",318.5,Manufacturing,50114,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJNA1,New Features / Schemes - C & E
Blackpool Council,Triple P Uk Ltd,1001815,87262,03/10/2023,"3,808.75",0,North Hub,10555,63304,Books and Periodicals,Children's Services,,CHISER,Children's Services,EARHEL,Early Help,EARHEL2,Early Help
Blackpool Council,Automatic Alarms Ltd,1000535,88272,04/10/2023,862.38,143.73,CCTV Maintenance,30149,61012,Maintenance Private Contractor,Community & Env Services,,BPLSER,Community & Env Services,CCTV,Cctv,CCTV2,Cctv
Blackpool Council,Automatic Alarms Ltd,1000535,88273,04/10/2023,989.34,164.89,The Foyer - Singleton Court,40006,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDAAAA,Buildings - Operational
Blackpool Council,HERAS PERIMETER PROTECTION LTD,1140628,88321,02/10/2023,"2,292.00",382,Minor Work,30273,63041,Other Materials,Community & Env Services,,BPLSER,Community & Env Services,HIGENG,Highways & Engineering,SCHEME1,Highways Scheme
Blackpool Council,Horizon Care & Education Group Ltd,1001031,88849,02/10/2023,"15,650.14",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Charanga Ltd,1002118,88983,03/10/2023,354,59,Bispham Endowed -Computer Licences,10031,63532,Computer Running and License Costs,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
