Body Name,,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,REDACTED PERSONAL DATA,1001770,175143,29/01/2024,"1,492.86",0,Foster Care Payments,10526,64832,Carer Level 2,Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1001777,158536,04/01/2024,332.5,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,E-On Uk Sustainable Energy Services Ltd,1001783,160898,08/01/2024,"1,122.60",187.1,Electrical Infrastructure,50110,63041,Other Materials,Communication & Regeneration,,AMCPI,Communication & Regeneration,PJOP,Illuminations - Operations,PJRA1,Electrical Infra - Places
Blackpool Council,M2 Education,1001787,151718,08/01/2024,"2,787.46",464.58,Bispham Endowed -Supply Costs,10024,60794,Supply Teaching,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
Blackpool Council,M2 Education,1001787,156003,12/01/2024,"1,553.40",258.9,Bispham Endowed -Supply Costs,10024,60794,Supply Teaching,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
Blackpool Council,M2 Education,1001787,157394,19/01/2024,"2,218.30",369.72,Bispham Endowed -Supply Costs,10024,60794,Supply Teaching,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
Blackpool Council,M2 Education,1001787,162587,23/01/2024,"1,569.90",261.65,Bispham Endowed -Supply Costs,10024,60794,Supply Teaching,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED031,Bispham Endowed C Of E Primary
Blackpool Council,REDACTED PERSONAL DATA,1001789,175351,31/01/2024,308.35,0,Adult Placement Schemes,20420,64504,Adult Placements Learning Disability,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Ad Merchandise Ltd,1001797,153147,15/01/2024,"2,928.00",488,Print Blackpool - Production,50033,63408,Services to Clients,Communication & Regeneration,,AMCPI,Communication & Regeneration,PRINTS,Print Blackpool,PRINTS2,Print Blackpool
Blackpool Council,The Key Support Services Limited,1001798,160775,09/01/2024,"1,171.20",195.2,Our Lady Of The Asumption General,10137,63532,Computer Running and License Costs,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED161,Our Lady Of The Assumption
Blackpool Council,The Key Support Services Limited,1001798,167060,25/01/2024,"1,166.40",194.4,St Nicholas -Assessment,10242,63532,Computer Running and License Costs,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED241,St Nicholas Ce
Blackpool Council,REDACTED PERSONAL DATA,1001802,158595,04/01/2024,943.74,0,Residence Orders,10527,64811,Residence Orders,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001802,158898,04/01/2024,907.86,0,Residence Orders,10527,64811,Residence Orders,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001803,158659,04/01/2024,"1,620.38",0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001803,158660,04/01/2024,"1,620.38",0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001803,158937,04/01/2024,"1,770.95",0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001803,158938,04/01/2024,"1,620.38",0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001803,161082,08/01/2024,"1,167.00",0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1001803,175259,29/01/2024,"1,167.00",0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,Association Of Democratic Services-CONFERENCES/JOB ADVERTS,1001808,152557,09/01/2024,561,93.5,Democratic Services,61052,63711,Subscriptions,Governance & Partnerships,,DEMTOT,Governance & Partnerships,BE,Democratic Services & Admin,BE2,Democratic Services & Admin
Blackpool Council,Community Lighting Partnership (Bpool) Ltd,1001811,176152,31/01/2024,"531,868.02","88,644.67",Pfi Management Costs,30107,64501,Private Contractors,Community & Env Services,,BPLSER,Community & Env Services,STRLGT,Street Lighting,STRLGT2,Street Lighting
Blackpool Council,REDACTED PERSONAL DATA,1001814,158860,04/01/2024,499.5,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Triple P Uk Ltd,1001815,162444,19/01/2024,"2,623.50",0,Start for Life Programme,10564,63304,Books and Periodicals,Children's Services,,CHISER,Children's Services,EARHEL,Early Help,EARHEL2,Early Help
Blackpool Council,Triple P Uk Ltd,1001815,176136,31/01/2024,"33,198.00","5,533.00",Start for Life Programme,10564,63401,General Services,Children's Services,,CHISER,Children's Services,EARHEL,Early Help,EARHEL2,Early Help
Blackpool Council,Clifton Primary School,1001817,169352,22/01/2024,"1,350.00",0,Looked after Children - Pupil Premium,10398,65101,Transfer Payments - General,Children's Services,,CHISER,Children's Services,VIRTUL,Virtual Hub,VIRTUL2,Virtual Hub
Blackpool Council,Paypartners Ltd Client Account,1001818,166493,15/01/2024,"1,945.30",0,Ongoing Direct Payments,20433,65604,Direct Payments,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,REDACTED PERSONAL DATA,1001819,161116,08/01/2024,987,0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1001819,175291,29/01/2024,987,0,Foster Care Payments,10526,64832,Gen (Ie Wkly Basic),Children's Services,,CHISER,Children's Services,JBR,Lac - Placements,JBR2,Lac - Placements
Blackpool Council,REDACTED PERSONAL DATA,1001826,158584,04/01/2024,465,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001826,158585,04/01/2024,500.88,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,REDACTED PERSONAL DATA,1001826,158586,04/01/2024,500.88,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160333,05/01/2024,575.52,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160334,05/01/2024,"1,824.62",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160335,05/01/2024,"1,502.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160336,05/01/2024,"1,427.45",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160337,05/01/2024,"1,427.46",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160338,05/01/2024,"1,713.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160339,05/01/2024,"1,894.34",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160340,05/01/2024,"1,502.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160341,05/01/2024,"1,586.02",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160342,05/01/2024,"1,506.76",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160343,05/01/2024,"1,586.02",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160344,05/01/2024,"1,502.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160345,05/01/2024,"2,014.32",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160346,05/01/2024,"1,959.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160347,05/01/2024,"2,797.39",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160348,05/01/2024,"1,502.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160349,05/01/2024,"1,560.05",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160350,05/01/2024,"1,560.05",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160351,05/01/2024,"1,642.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160352,05/01/2024,"1,502.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160353,05/01/2024,"1,642.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160354,05/01/2024,"1,709.87",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160355,05/01/2024,"1,727.14",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160356,05/01/2024,"1,709.87",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160357,05/01/2024,"1,709.87",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160358,05/01/2024,"1,727.14",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160359,05/01/2024,"1,720.04",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160360,05/01/2024,"1,959.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160361,05/01/2024,"1,913.60",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160362,05/01/2024,"1,719.62",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160363,05/01/2024,"1,713.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160364,05/01/2024,"1,730.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160365,05/01/2024,"1,687.77",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160366,05/01/2024,"1,670.89",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160367,05/01/2024,"1,959.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160368,05/01/2024,"1,633.90",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160369,05/01/2024,"2,014.32",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160370,05/01/2024,"1,560.05",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160371,05/01/2024,"1,642.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160372,05/01/2024,"1,221.33",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160373,05/01/2024,"1,730.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160374,05/01/2024,"1,713.55",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160375,05/01/2024,"1,761.15",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160376,05/01/2024,"1,778.94",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160377,05/01/2024,"1,959.86",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160378,05/01/2024,"1,690.88",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160379,05/01/2024,"1,787.06",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160380,05/01/2024,"1,861.87",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160381,05/01/2024,"2,779.14",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160382,05/01/2024,"2,362.64",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160383,05/01/2024,"4,515.42",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160384,05/01/2024,"3,367.98",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160385,05/01/2024,"4,785.34",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160386,05/01/2024,"3,315.48",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160387,05/01/2024,"3,695.02",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160388,05/01/2024,"3,695.02",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160389,05/01/2024,"3,637.48",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160390,05/01/2024,"3,637.48",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160391,05/01/2024,"3,637.48",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160392,05/01/2024,"4,603.20",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160393,05/01/2024,"2,014.32",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,160394,05/01/2024,"2,720.06",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,162059,11/01/2024,"3,455.34",0,Mother And Baby Fostering,10542,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164197,12/01/2024,912.31,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164198,12/01/2024,751.27,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164199,12/01/2024,713.73,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164200,12/01/2024,713.73,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164201,12/01/2024,856.77,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164202,12/01/2024,947.17,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164203,12/01/2024,751.27,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164204,12/01/2024,793.01,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164205,12/01/2024,753.38,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164206,12/01/2024,793.01,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164207,12/01/2024,751.27,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164208,12/01/2024,"1,007.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164209,12/01/2024,979.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164210,12/01/2024,"1,398.69",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164211,12/01/2024,751.27,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164212,12/01/2024,780.02,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164213,12/01/2024,780.02,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164214,12/01/2024,821.08,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164215,12/01/2024,751.27,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164216,12/01/2024,821.08,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164217,12/01/2024,854.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164218,12/01/2024,863.57,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164219,12/01/2024,854.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164220,12/01/2024,854.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164221,12/01/2024,863.57,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164222,12/01/2024,979.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164223,12/01/2024,956.8,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164224,12/01/2024,"1,007.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164225,12/01/2024,859.81,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164226,12/01/2024,865.43,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164227,12/01/2024,843.89,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164228,12/01/2024,835.45,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164229,12/01/2024,979.93,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164230,12/01/2024,816.95,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164231,12/01/2024,860.02,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164232,12/01/2024,"1,007.16",0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164233,12/01/2024,780.02,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164234,12/01/2024,821.08,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164235,12/01/2024,865.43,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164236,12/01/2024,856.77,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Excel Fostering Limited,1001832,164237,12/01/2024,856.77,0,External Fostering,10540,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
