Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,LABC ,1234875,,,,28/06/2024,2200402506,"1,740.00",,Training related expenditure,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Ihs Global Ltd ,1234760,,,,28/06/2024,2200402509,"10,450.00",,Subscriptions,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,K & T Heating Services Ltd ,1231384,,,,22/05/2024,2200395137,"61,342.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Michael Jenkins Ltd,1292734,,,,22/04/2024,2200388968,"8,598.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Michael Jenkins Ltd,1292734,,,,10/05/2024,2200392706,"3,500.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Michael Jenkins Ltd,1292734,,,,03/06/2024,2200397022,"6,892.00",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Michael Jenkins Ltd,1292734,,,,10/06/2024,2200398916,950,,Vehicle : Hire Charges,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Plowman Craven Limited,1324586,,,,28/06/2024,2200402507,"2,200.00",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Plowman Craven Limited,1324586,,,,28/06/2024,2200402508,"2,300.00",,Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,PublicHighway Ltd,1289411,,,,16/04/2024,2200387836,"4,000.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,PublicHighway Ltd,1289411,,,,07/05/2024,2200391854,"4,000.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Seventy Eight Ltd,1266384,,,,25/06/2024,2200401962,"2,250.00",,Professional Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,08/04/2024,2200385845,"157,561.45",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,22/05/2024,2200395136,"127,229.78",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,12/06/2024,2200399494,"130,008.50",,Service Charges : Premises,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Planning and Place,Support and Systems,,Wates Living Space (Maintenance) Ltd,1231445,,,,12/06/2024,2200399500,"209,439.00",,Hired and Contracted Services,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,23/04/2024,2200389384,541,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,23/04/2024,2200389386,584,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,23/04/2024,2200389388,"1,030.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,25/04/2024,2200390054,"1,666.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,25/04/2024,2200390057,"2,524.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395941,876,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395945,"1,500.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395962,"2,400.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395969,910,,Creditors Control : AP GRIR,,,,,,No
