Body_Code,Body_Name,Supplier Name,Document Number,GL Code,GL Code Description,Service,Posting Date,Doc Net Amount
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Acacia Lodge Care Home,3111833233,OCC/5686,Residential Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-8057.15
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201303979,OCC/3951,Electricity,CCC-UTILITIES,01/01/2025,-7690.01
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Royal National College for the,3111846753,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,31/01/2025,-7572.75
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Redacted Data,3111837259,OCC/5899,Direct Payments ASC,Support at Home U65 Autism /Abated,14/01/2025,-7495.39
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,8 * 8 UK Limited,2201307478,OCC/4495,IT Software,IT Operations & Maintenance,17/01/2025,-7369.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,OCC One Time Vendor,3111841415,OCC/5537,Payments to Other Es,HFU Employment and Skills Programme,23/01/2025,-7190.14
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Roland Residential Care Homes Ltd,3111835506,OCC/5686,Residential Home Bed,Support at Home U65 Memory & Cognition,10/01/2025,-7140.22
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Propeller Academy Trust,3111838548,OCC/5537,Payments to Other Es,POST 16 SEN,15/01/2025,-7115.58
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Fewcott Healthcare Ltd,3111833534,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Memory & Cognition,10/01/2025,-6537.23
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SYNTHETIC TURF MANAGEMENT,3111846024,OCC/7203,Other Misc Inc,Procurement Rebates & Income,30/01/2025,-6389.93
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dolce Ltd,2201303360,OCC/4665,Catering,DRAP-SCHOOL GENERAL,07/01/2025,-6336.44
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111845542,OCC/5785,Client Lodgings and,POST18 UASC DCSF FND,29/01/2025,-6335.77
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,New Barn School,3111841751,OCC/5537,Payments to Other Es,Core schools Budget Grant,24/01/2025,-6311.71
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Four Seasons (Headington) Ltd,3111835713,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-6176.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Middletown Grange Care Home,3111833676,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Memory & Cognition,10/01/2025,-6166.57
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,New Barn School,3111841752,OCC/5537,Payments to Other Es,Teachers Pension Grant,24/01/2025,-6156.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Grange Care Centre,3111835678,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-6121.09
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Bridge House,3111833345,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-5957.64
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111845517,OCC/5785,Client Lodgings and,YPSH Int Prop Management,29/01/2025,-5905.64
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Four Seasons (Headington) Ltd,3111835693,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-5748
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Lincroft Meadow,3111835109,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Mental Health,10/01/2025,-5714.29
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Jah Jireh Charity Homes,3111834877,OCC/5686,Residential Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-5687
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Langston,3111833786,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-5631.49
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John,3111835415,OCC/5686,Residential Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-5554.29
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Kirlena House,3111833656,OCC/5686,Residential Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-5314.29
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Acacia Lodge Care Home,3111833243,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Physical Sypport,10/01/2025,-5256.74
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CARE UK COMMUNITY PARTNERSHIPS LIMI,3111833619,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-5198.3
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845852,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-5179.72
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dolce Ltd,3111842091,OCC/5931,Int Serv to Schs-Cat,WNMP-SCHOOL MEALS,28/01/2025,-5162.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cheney House Care Home,3111833490,OCC/5686,Residential Home Bed,Care Homes - Over 65 Mental Health,10/01/2025,-5142.86
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cambian Autism Services Ltd,3111839801,OCC/5537,Payments to Other Es,High Cost INMSS Placements,17/01/2025,-5070.56
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,OCC One Time Vendor,3111841414,OCC/5537,Payments to Other Es,HFU Employment and Skills Programme,23/01/2025,-5042.15
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845854,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-5022.51
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MOTUS GROUP (UK) LIMITED,2201306534,OCC/4201,Purchase of Vehicle,VEHICLE RENEW FUND,15/01/2025,-5000
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John,3111835443,OCC/5687,Nursing Home Bed,Support at Home 65+ Physical Support,10/01/2025,-4996.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dolce Ltd,3111831150,OCC/5931,Int Serv to Schs-Cat,WNMP-SCHOOL MEALS,06/01/2025,-4860
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxford City Council,2201307495,OCC/5526,Payments to Private,DRAINAGE REPAIRS,17/01/2025,-4800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John,3111835183,OCC/5686,Residential Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-4789.6
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Autism at Kingwood Limited,3111836190,OCC/5688,Supported Living,Support at Home U65 Learning Disability,10/01/2025,-4735.26
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SANCTUARY CARE LTD,3111833806,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-4653.13
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Middletown Grange Care Home,3111835236,OCC/5687,Nursing Home Bed,Support at Home U65 Physical Support,10/01/2025,-4641.03
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,HEALTHCARE HOMES (SPRING) LIMITED,3111834603,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-4598.22
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201308609,OCC/8102,Pymnts to main cont.,9020/Not assigned,22/01/2025,-4511.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845849,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-4511.37
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,GCH (St Katherines) Ltd,3111833723,OCC/5686,Residential Home Bed,Support at Home U65 Learning Disability,10/01/2025,-4457.14
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845851,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-4374.44
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,LAWTON GROUP LTD,3111834135,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-4360.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,HENLEY MANOR CARE HOME,3111834697,OCC/5656,3rd Pty Cont-Resi C,Care Homes - Over 65 Memory & Cognition,10/01/2025,-4338.32
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845855,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-4316.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Redacted Data,3111841248,OCC/5899,Direct Payments ASC,Support at Home U65 MH OBC Contract,22/01/2025,-4222.16
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111845516,OCC/5785,Client Lodgings and,YPSH Int Prop Management,29/01/2025,-4213.93
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845857,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-4185.42
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,GCH (St Katherines) Ltd,3111833717,OCC/5687,Nursing Home Bed,Support at Home 65+ Physical Support,10/01/2025,-4046.2
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Local Government Association,2201305540,OCC/1362,Creditors GR/IR -,MEMBERS SERVICES,13/01/2025,-4044
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dolce Ltd,3111836255,OCC/4665,Catering,JHAP-CATERING,10/01/2025,-4001.62
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Brandon Trust,3111836060,OCC/5688,Supported Living,Support at Home U65 Learning Disability,10/01/2025,-3974.2
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,TURN IT ON LTD,2201311929,OCC/4494,Purchase of IT Equip,DUNC-DEVOLVD CAPITAL,30/01/2025,-3969.88
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Redacted Data,3111834048,OCC/5555,Payments to Carers,SHARED LIVES,10/01/2025,-3945.24
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Key Support Services Ltd,2201303482,OCC/5380,"Author, Speaker and",GOVERNANCE,08/01/2025,-3936
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Mon Choisy,3111835292,OCC/5686,Residential Home Bed,Care Homes - Over 65 Physical Sypport,10/01/2025,-3926.85
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845858,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-3898.71
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201305979,OCC/3951,Electricity,SBLP-SCHOOL GENERAL,01/01/2025,-3897.79
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201308021,OCC/8102,Pymnts to main cont.,9020/Not assigned,21/01/2025,-3784.87
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMBIAN WHINFELL SCHOOL LIMITED,3111845860,OCC/5537,Payments to Other Es,SEN ISP and FE College Funding,30/01/2025,-3780.38
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Camden Society,3111833163,OCC/5690,Other Supp-Community,Support at Home 65+ Learning Disability,10/01/2025,-3619.99
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SANCTUARY CARE LTD,3111833835,OCC/5686,Residential Home Bed,Support at Home 65+ Physical Support,10/01/2025,-3600
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Freeland House,3111833572,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Physical Sypport,10/01/2025,-3571.89
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201306000,OCC/3951,Electricity,SBLP-SCHOOL GENERAL,01/01/2025,-3468.18
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201308030,OCC/8102,Pymnts to main cont.,9020/Not assigned,21/01/2025,-3420.47
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dolce Ltd,3111842169,OCC/4665,Catering,JHAP-CATERING,28/01/2025,-3415.81
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Dimensions (UK) Ltd,3111834580,OCC/5688,Supported Living,LD Continuing Care - Sup at Home - 65+,10/01/2025,-3314.62
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201305977,OCC/3951,Electricity,SBLP-SCHOOL GENERAL,01/01/2025,-3257.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841324,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841325,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841326,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841327,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841328,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841329,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841330,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841331,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841332,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841333,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841334,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841335,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3250.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,H3 Finance,2201311065,OCC/4861,Hired and Contracted,IBC Partnership,28/01/2025,-3250.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Busy Bees Day Nursery (Bicester),2201303593,OCC/4940,Other Services,Family Solutions Plus Non-staff - North,08/01/2025,-3191.3
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Elidyr Communities Trust Ltd,3111839775,OCC/5537,Payments to Other Es,Support at Home U65 HFA,17/01/2025,-3190.3
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Grace Care Service Ltd T/A Burford,3111833392,OCC/5687,Nursing Home Bed,Care Homes - Over 65 Memory & Cognition,10/01/2025,-3178.1
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Castle Water Ltd - Thames Water,2201304054,OCC/3956,Water - Metered,FRWS-SITE MANG/MAINT,01/01/2025,-3166.76
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841336,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3145.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841337,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3145.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841338,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3145.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841339,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3145.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,RAINBOW FOSTERING SERVICES LTD,3111841340,OCC/5559,Off-Contract,Independent Foster,22/01/2025,-3145.8
