Body_Code,Body_Name,Service,Posting Date,GL Code,GL Code Desc,Doc Number,Doc Net Amount,Supplier Name
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,08/08/2024,4330,Transport to School Activities,3111730521,"4,140.00",LINK SHIRES LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,05/08/2024,5227,Other Transport Arrangements,3111729017,"4,140.00",Oxford Cab LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,16/08/2024,5227,Other Transport Arrangements,3111738383,"4,140.00",Oxon Transport Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,06/08/2024,5227,Other Transport Arrangements,3111729209,"4,140.00",Phoenixx Cars Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731824,"4,141.38",Beech Haven Care Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733657,"4,141.38",St Johns Residential Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Memory & Cognition,27/08/2024,5899,Adult Social Care - Direct Payments,3111742042,"4,142.00",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,ON ST PARK OXFD RES,01/08/2024,4861,Hired and Contracted Services,2201255482,"4,142.25",Patrol
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111732567,"4,142.36",Orders of St John
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5686,Residential Home Bed,3111732870,"4,142.36",Orders of St John
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,MAINSTREAM-SECONDARY,01/08/2024,4330,Transport to School Activities,3111728206,"4,148.00",Chris Gilbert Travel
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,13/08/2024,5227,Other Transport Arrangements,3111734400,"4,148.00",The Oxfordshire Taxi Company Ltd T/
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Capability & Ambition Fund,07/08/2024,4531,Materials and Supplies,2201256443,"4,150.00",Intelligent Data (Collection) Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731759,"4,150.59",Elysium Neurological Services (Badb
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SHARED LIVES B & L,12/08/2024,5555,Payments to Carers,3111731302,"4,151.23",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CAMERA ENFORCEMENT,01/08/2024,4861,Hired and Contracted Services,2201255354,"4,151.25",Patrol
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,UASC 16&17,07/08/2024,5559,Children's Placements Off-Contract,3111730279,"4,154.31",Capstone Foster Care (South East) L
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,UASC 16&17,07/08/2024,5559,Children's Placements Off-Contract,3111730280,"4,154.31",Capstone Foster Care (South East) L
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,UASC 16&17,07/08/2024,5559,Children's Placements Off-Contract,3111730281,"4,154.31",Capstone Foster Care (South East) L
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,27/08/2024,5899,Adult Social Care - Direct Payments,3111741938,"4,154.40",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111733061,"4,155.02",LAWTON GROUP LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,27/08/2024,5899,Adult Social Care - Direct Payments,3111742417,"4,159.44",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Management Admin Support Team,02/08/2024,5190,Subscriptions,2201255717,"4,159.48",EMAP PUBLISHING LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,13/08/2024,5227,Other Transport Arrangements,3111734450,"4,159.68",The Oxfordshire Taxi Company Ltd T/
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN Alternative Provision,20/08/2024,4861,Hired and Contracted Services,3111739832,"4,160.00",Orchard Therapeutic Farm
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,16/08/2024,5227,Other Transport Arrangements,3111738391,"4,160.00",Oxon Transport Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,16/08/2024,5227,Other Transport Arrangements,3111738393,"4,160.00",Oxon Transport Services Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Memory & Cognition,27/08/2024,5899,Adult Social Care - Direct Payments,3111742281,"4,160.00",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5696,Extra Care Housing,3111735927,"4,161.84",All Care GB Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Change Team,30/08/2024,4940,Other Services,2201260650,"4,163.00",Enventure Research
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,ContrO ASC Payments Control Account,28/08/2024,5554,Childrens' Social Care - Direct Payments,3111742515,"4,164.08",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,ENV & RES EFF STAFF,21/08/2024,4861,Hired and Contracted Services,2201259116,"4,166.60",Wharton Natural Infrastructure Cons
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,01/08/2024,5227,Other Transport Arrangements,3111728208,"4,170.00",Local Cars Kidlington
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CONTRACEPTION,09/08/2024,4933,General Practice Services,3111734302,"4,170.00",Summertown Medical Group
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Early Years SEN Funding,30/08/2024,5537,Payments to Other Establishments,3111743338,"4,172.80",Bishopswood Day Nursery
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CONTRACT & PERF MNGT,21/08/2024,5526,Payments to Private Contractors,2201259242,"4,174.07",Milestone Infrastructure Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Under 65 Leaning Disability,12/08/2024,5686,Residential Home Bed,3111733553,"4,174.59",PURLEY PARK TRUST LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Under 65 Leaning Disability,12/08/2024,5686,Residential Home Bed,3111733555,"4,174.59",PURLEY PARK TRUST LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Reactive Maintenance,01/08/2024,3787,Premises Repairs,2201255538,"4,175.00",SH Carpentry & Construction LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Physical Support,27/08/2024,5899,Adult Social Care - Direct Payments,3111741911,"4,175.16",Personal Redacted Data
