Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Children and Adults Services,ADULT SOCIAL CARE,DIRECT MEDICAL TRANSPORT LIMITED,55587771,11/11/2024,13/11/2024,600,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DIRECT MEDICAL TRANSPORT LIMITED,55587772,11/11/2024,13/11/2024,600,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DR SUMEET GUPTA,55586480,13/10/2024,12/11/2024,577.65,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57724770,11/11/2024,12/11/2024,"1,647.92",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57724767,11/11/2024,12/11/2024,"3,965.20",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57724767,11/11/2024,12/11/2024,"3,876.66",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57724767,11/11/2024,12/11/2024,"4,758.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55588533,01/09/2024,21/11/2024,"1,429.97",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55588388,31/10/2024,28/11/2024,"7,954.29",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55588389,31/10/2024,28/11/2024,"4,590.00",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55588390,31/10/2024,28/11/2024,"1,490.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55588391,31/10/2024,28/11/2024,"2,916.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55589252,31/10/2024,29/11/2024,"7,954.29",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55589253,31/10/2024,29/11/2024,"2,916.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,EAST FURNITURE LTD,55586656,29/10/2024,05/11/2024,"2,328.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57724776,11/11/2024,12/11/2024,"12,480.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57724776,11/11/2024,12/11/2024,"1,337.14",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57724776,11/11/2024,12/11/2024,"19,165.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57724776,11/11/2024,12/11/2024,"28,017.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57724776,11/11/2024,12/11/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57724777,11/11/2024,12/11/2024,"9,440.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57724777,11/11/2024,12/11/2024,"1,337.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57724777,11/11/2024,12/11/2024,"14,000.01",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57724777,11/11/2024,12/11/2024,"21,777.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EILEEN HUMPHREY,57726290,26/11/2024,26/11/2024,942.4,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELAN CARE WHITETHORN LIMITED,57726151,25/11/2024,26/11/2024,"3,310.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57724778,11/11/2024,12/11/2024,"1,114.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57724778,11/11/2024,12/11/2024,"48,805.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57724778,11/11/2024,12/11/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57724778,11/11/2024,12/11/2024,"12,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELTON HALL CARE HOME,57724780,11/11/2024,12/11/2024,"1,532.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ESSENTIAL CARE AND SUPPORT LIMITED,57726152,25/11/2024,26/11/2024,"1,068.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,"1,274.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,"13,593.80",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,"4,853.66",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,"6,565.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,"2,560.54",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57726153,25/11/2024,26/11/2024,524.72,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GAINFORD CARE HOMES LTD,57724781,11/11/2024,12/11/2024,"2,179.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GAINFORD CARE HOMES LTD,57724781,11/11/2024,12/11/2024,850.43,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GREEN LINK (NORTH EAST),55587424,01/10/2024,12/11/2024,840,External Courier Service,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"14,500.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"9,705.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"18,250.01",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"73,640.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57724782,11/11/2024,12/11/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROVE LODGE & THE COURTYARD,57724783,11/11/2024,12/11/2024,"5,738.46",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57726154,25/11/2024,26/11/2024,"8,391.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57726154,25/11/2024,26/11/2024,903.1,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57726155,25/11/2024,26/11/2024,"1,346.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57726155,25/11/2024,26/11/2024,"7,978.45",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57726156,25/11/2024,26/11/2024,"1,907.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57726156,25/11/2024,26/11/2024,"11,942.91",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57726156,25/11/2024,26/11/2024,"2,233.31",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HES GROUP UK LTD,55585559,02/10/2024,19/11/2024,980,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,HOME GROUP LTD,57726157,25/11/2024,26/11/2024,"1,935.89",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HOME GROUP LTD,57726157,25/11/2024,26/11/2024,"8,265.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HUNDENS PARK CARE CENTRE,57724786,11/11/2024,12/11/2024,"18,960.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HUNDENS PARK CARE CENTRE,57724786,11/11/2024,12/11/2024,"4,312.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HUNDENS PARK CARE CENTRE,57724786,11/11/2024,12/11/2024,"19,226.43",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INCLUDE 'IN' AUTISM,57726158,25/11/2024,26/11/2024,"11,452.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INNOVATIONS,57726159,25/11/2024,26/11/2024,"25,916.03",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INNOVATIONS,57726159,25/11/2024,26/11/2024,"5,575.10",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
