Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Children and Adults Services,ADULT SOCIAL CARE,ANCHOR HANOVER GROUP,57733459,03/02/2025,28/02/2025,"3,140.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57733515,03/02/2025,04/02/2025,"35,100.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57733515,03/02/2025,04/02/2025,"6,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57733461,03/02/2025,04/02/2025,"8,603.57",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57734999,17/02/2025,18/02/2025,"1,112.08",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57734999,17/02/2025,18/02/2025,"8,648.27",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57734999,17/02/2025,18/02/2025,"16,405.90",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57734999,17/02/2025,18/02/2025,"7,431.45",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57733460,03/02/2025,04/02/2025,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57733460,03/02/2025,04/02/2025,"4,626.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BLACKWELL HEATING & PLUMBING LTD,55595902,04/02/2025,06/02/2025,"1,206.00",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57733463,03/02/2025,04/02/2025,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57733470,03/02/2025,04/02/2025,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57733466,03/02/2025,04/02/2025,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57735000,17/02/2025,18/02/2025,523.45,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57735000,17/02/2025,18/02/2025,"5,590.97",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE QUALITY COMMISSION,55595794,16/01/2025,06/02/2025,"2,358.00",Memberships,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,ADULT SOCIAL CARE,CARE UK COMMUNITY PARTNERSHIPS LTD,57733511,03/02/2025,04/02/2025,"3,514.25",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55595522,22/01/2025,19/02/2025,"4,351.06",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55593807,31/12/2024,05/02/2025,560.28,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55595048,16/01/2025,13/02/2025,"1,705.83",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55595047,16/01/2025,13/02/2025,"1,910.12",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARE-ABILITY,55595046,16/01/2025,13/02/2025,"1,807.11",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,"2,220.67",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,"41,956.65",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,816.12,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,"4,544.23",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,"19,470.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57735001,17/02/2025,18/02/2025,"28,120.77",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57733509,03/02/2025,04/02/2025,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55596971,10/01/2025,19/02/2025,"135,137.88",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55596973,10/01/2025,19/02/2025,"88,132.86",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55596974,10/01/2025,19/02/2025,"147,875.71",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55596976,10/01/2025,19/02/2025,"143,480.00",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CLARENCE COURT,57733467,03/02/2025,04/02/2025,"3,328.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57735003,17/02/2025,18/02/2025,"7,549.52",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57735003,17/02/2025,18/02/2025,"10,726.16",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57735003,17/02/2025,18/02/2025,"2,722.95",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CROWN CARE,57733458,03/02/2025,04/02/2025,"2,344.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57736082,24/02/2025,25/02/2025,"6,714.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57733468,03/02/2025,04/02/2025,"5,950.75",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57733481,03/02/2025,04/02/2025,"22,467.48",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57733468,03/02/2025,04/02/2025,"21,195.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,55596725,31/01/2025,14/02/2025,"21,528.44",Advocacy,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57735004,17/02/2025,18/02/2025,516.24,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57735004,17/02/2025,18/02/2025,"9,347.85",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57735022,17/02/2025,18/02/2025,903.71,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57735006,17/02/2025,18/02/2025,"237,728.71",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57735006,17/02/2025,18/02/2025,"4,877.49",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57735006,17/02/2025,18/02/2025,"54,943.59",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS PERSONALISED SUPPORT,55597157,15/01/2025,25/02/2025,"309,017.00",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS PERSONALISED SUPPORT,55597158,30/01/2025,25/02/2025,"311,546.96",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIVNE CARE & SERVICES LTD,57735007,17/02/2025,18/02/2025,"25,038.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DR IBRAHIM ZURMI,55595854,16/12/2024,12/02/2025,"3,388.94",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57733462,03/02/2025,04/02/2025,"5,858.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57733462,03/02/2025,04/02/2025,"3,965.20",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57733465,03/02/2025,04/02/2025,"1,647.92",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57733462,03/02/2025,04/02/2025,"3,876.66",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57733462,03/02/2025,04/02/2025,"4,758.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55596787,01/02/2025,28/02/2025,"1,490.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55596788,01/02/2025,28/02/2025,"2,916.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55596789,01/02/2025,28/02/2025,"7,954.29",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DYLAN STOKES,57735304,18/02/2025,19/02/2025,527.2,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57733471,03/02/2025,04/02/2025,"4,791.42",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57733471,03/02/2025,04/02/2025,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57733471,03/02/2025,04/02/2025,"9,360.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57733471,03/02/2025,04/02/2025,"3,745.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE HOUSE LTD,57733471,03/02/2025,04/02/2025,"28,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57733472,03/02/2025,04/02/2025,"23,082.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57733472,03/02/2025,04/02/2025,"9,440.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EILEEN HUMPHREY,57735162,18/02/2025,19/02/2025,942.4,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELAN CARE WHITETHORN LIMITED,57735008,17/02/2025,18/02/2025,"3,310.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57733473,03/02/2025,04/02/2025,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57733473,03/02/2025,04/02/2025,"8,994.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELDERWOOD RESIDENTIAL HOME,57733473,03/02/2025,04/02/2025,"46,242.85",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELTON HALL CARE HOME,57733475,03/02/2025,04/02/2025,"1,532.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ESSENTIAL CARE AND SUPPORT LIMITED,57735009,17/02/2025,18/02/2025,"1,068.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57735010,17/02/2025,18/02/2025,"2,481.69",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57735010,17/02/2025,18/02/2025,"13,074.50",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57735010,17/02/2025,18/02/2025,"3,855.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,FIRST POINT HOME CARE LTD,57735010,17/02/2025,18/02/2025,"2,188.69",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GAINFORD CARE HOMES LTD,57733477,03/02/2025,04/02/2025,"2,179.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GAINFORD CARE HOMES LTD,57733565,04/02/2025,05/02/2025,"12,804.15",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"1,128.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"12,706.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"72,181.42",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROSVENOR PARK,57733478,03/02/2025,04/02/2025,"16,750.01",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,GROVE LODGE & THE COURTYARD,57733479,03/02/2025,04/02/2025,"5,738.46",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57735011,17/02/2025,18/02/2025,"9,153.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HELPING HANDS HOME CARE,57735011,17/02/2025,18/02/2025,"1,814.54",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57735012,17/02/2025,18/02/2025,"9,320.54",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57735012,17/02/2025,18/02/2025,"1,246.05",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HERITAGE,57735012,17/02/2025,18/02/2025,"1,654.60",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HOME GROUP LTD,57735013,17/02/2025,18/02/2025,"8,071.20",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HOME GROUP LTD,57735013,17/02/2025,18/02/2025,"9,126.27",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HUNDENS PARK CARE CENTRE,57733482,03/02/2025,04/02/2025,"13,300.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,HUNDENS PARK CARE CENTRE,57733482,03/02/2025,04/02/2025,"18,960.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INCLUDE 'IN' AUTISM,57735014,17/02/2025,18/02/2025,"11,452.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INNOVATIONS,57735015,17/02/2025,18/02/2025,"11,854.94",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,INNOVATIONS,57735015,17/02/2025,18/02/2025,"3,414.20",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,JACK DORMAND CARE HOME,57733483,03/02/2025,04/02/2025,"1,657.48",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,KEY HEALTHCARE LTD,57733520,03/02/2025,04/02/2025,"5,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,KHIRON CLINICS,57733484,03/02/2025,04/02/2025,"6,678.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,KINGSWAY CARE HOME,57733485,03/02/2025,04/02/2025,"1,994.52",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,KISIMUL GROUP LTD,57733486,03/02/2025,04/02/2025,"15,831.92",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LAM SERVICES LIMITED,57735016,17/02/2025,18/02/2025,"5,852.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LEARNING FOR LIFE,57735017,17/02/2025,18/02/2025,"3,110.64",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LIFEWAYS COMMUNITY CARE LIMITED,57735018,17/02/2025,18/02/2025,"15,228.56",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LINDISFARNE COURT,57735037,17/02/2025,18/02/2025,"4,978.78",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LINDISFARNE COURT,11166050,17/02/2025,18/02/2025,"3,300.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LINDISFARNE COURT,57735037,17/02/2025,18/02/2025,"2,555.79",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,LINDISFARNE COURT,57735037,17/02/2025,18/02/2025,"6,717.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
