Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55567318,03/04/2024,"44,041.55",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55567318,03/04/2024,"6,470.27",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55567320,03/04/2024,"2,984.35",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55564992,06/03/2024,"37,116.46",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NORTHUMBRIAN HEALTHCARE NHS FOUNDATION TRUST,55564992,06/03/2024,"5,137.58",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PIERCEBRIDGE PARISH COUNCIL,11161759,10/04/2024,"1,665.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LIFE & PENSIONS,11161519,02/04/2024,590.72,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LIFE & PENSIONS,11161971,30/04/2024,590.72,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11161970,30/04/2024,"37,057.33",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11161518,02/04/2024,"36,048.10",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,SADBERGE PARISH COUNCIL,11161760,10/04/2024,"17,484.50",Parish Precepts,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,SALARY FINANCE,11161917,24/04/2024,"4,841.30",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11161973,30/04/2024,"5,700.35",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11161521,02/04/2024,"5,386.06",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11161541,02/04/2024,"2,419.70",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11161996,30/04/2024,"2,419.70",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11161995,30/04/2024,"6,349.62",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11161540,02/04/2024,"6,281.23",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,VIVUP,55567159,01/04/2024,"2,074.80",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,WHESSOE PARISH COUNCIL,11161761,10/04/2024,"11,880.00",Parish Precepts,NON-BUDGETED,NON BUDGETED
COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11161831,15/04/2024,"2,909.55",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11161779,11/04/2024,"6,555.96",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11161772,11/04/2024,"6,552.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11161774,11/04/2024,"6,300.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11161763,11/04/2024,"6,781.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11161765,11/04/2024,"5,754.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11161767,11/04/2024,"8,109.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11161769,11/04/2024,919,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11161770,11/04/2024,"5,189.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11161957,29/04/2024,"12,450.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11161833,15/04/2024,"5,569.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11161835,15/04/2024,"5,869.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11161958,29/04/2024,"24,670.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11161829,15/04/2024,"3,681.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11161783,11/04/2024,"2,516.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11161837,15/04/2024,"1,060.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11161839,15/04/2024,592,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,THE STAIR CLIMBING COMPANY,11161932,24/04/2024,"5,395.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11161778,11/04/2024,"5,842.21",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11161781,11/04/2024,"6,150.30",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11161775,11/04/2024,"2,374.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11161776,11/04/2024,"5,817.10",Capital Grants,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,AMP NORTH EAST LTD,55566970,31/03/2024,"1,160.00",Consultant Structural,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,ARTIS CONSULTING LTD,55567129,31/03/2024,750,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,BLOOM PROCUREMENT SERVICES LTD,55567572,15/04/2024,"4,706.43",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,CANDIVA ENTERPRISES LTD,55567916,30/04/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,CANDIVA ENTERPRISES LTD,55566778,26/04/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57701319,05/03/2024,"2,515.33",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57701352,05/03/2024,"2,419.55",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57701377,27/02/2024,"2,674.67",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57701379,27/02/2024,"2,745.10",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57701272,05/03/2024,"1,256.09",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,JOSEPH JAMESON EVANS LTD,55568999,17/04/2024,"5,782.50",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55567204,01/04/2024,"2,171.47",Site Costs,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCURATOR LTD,55567613,29/03/2024,930,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,TRUCKS & TRACTORS LTD,55568383,31/03/2024,525,"Other Cap - Vehicles, Plant, Equip & Mach",Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,WATERPLUS,55567402,12/04/2024,798.34,Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,WATERPLUS,55567402,12/04/2024,"3,168.57",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,WATERPLUS,55567398,12/04/2024,"1,183.46",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,WATERPLUS,55567399,12/04/2024,"1,183.46",Fees - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55567385,11/04/2024,"1,779,361.81",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55567604,27/03/2024,"10,409.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,REGULATORY SERVICES,WARD HADAWAY SOLICITORS,55567608,27/03/2024,750,Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,FINDLAY SURVEYS,55566816,17/02/2024,"1,275.00",Engineers Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,TRACSIS TRAFFIC DATA LIMITED,55566605,27/03/2024,"2,700.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DRIVER GLOBAL CONSTRUCTION CONSULTANCY,55568110,31/03/2024,"15,960.00",Consultants - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DTA CONSULTING ENGINEERS LLP,55568654,22/04/2024,720,Consultants - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,DUFELL ROOFING CO LTD,55567618,27/02/2024,"14,125.00",Fees - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55568035,14/04/2024,"1,208.33",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55568720,21/04/2024,625,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55567112,31/03/2024,750,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55563472,25/02/2024,"2,256.24",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55561036,28/01/2024,"1,625.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55562443,11/02/2024,983.33,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BRITISH GAS BUSINESS,55568109,27/03/2024,"1,466.47",Dlo Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DURHAM COUNTY COUNCIL,55566387,27/03/2024,"47,162.72",Fees - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EDENDENE CONSTRUCTION SERVICES LTD,55566721,28/03/2024,"11,000.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,FACADES,55565083,08/03/2024,"24,250.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55560177,31/12/2023,"7,336.92",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55564964,29/02/2024,"38,180.04",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,LOCKWISE LTD,55561186,29/01/2024,872,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MARTON CARE HOMES LTD,55566249,24/08/2023,"1,244.57",Removals,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55566902,27/03/2024,"56,459.05",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SCHOTT REMOVALS TRANSPORT LTD,55567455,03/04/2024,567.2,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55566644,28/03/2024,"8,535.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55567256,28/03/2024,"2,289.22",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55563725,28/02/2024,"42,394.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55564055,29/02/2024,738.5,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55560787,23/01/2024,"16,660.45",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55564054,29/02/2024,"4,465.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOLAR MAINTENANCE SERVICES LTD,55567736,11/04/2024,650,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOLAR MAINTENANCE SERVICES LTD,55568772,19/04/2024,650,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,TWIN SERVICES,55565926,21/03/2024,561,Other Contractor Payments,Capital Expenditure,Capital Construction
Children and Adults Services,ADULT SOCIAL CARE,1ST ENABLE LTD,57701922,15/04/2024,"72,134.98",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ACTIVE CARE GROUP,57703647,29/04/2024,"6,541.20",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57701926,15/04/2024,"2,061.26",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57703620,29/04/2024,"6,744.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57700587,02/04/2024,"6,744.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALZHEIMERS SOCIETY,55566436,15/01/2024,"5,333.88",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57701927,15/04/2024,"12,823.41",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ANCHOR HANOVER GROUP,57703623,29/04/2024,"4,446.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AP & D CONSULTANCY,55569050,14/03/2024,"1,267.25",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57700641,02/04/2024,"4,326.00",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57703626,29/04/2024,"6,600.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57700592,02/04/2024,"6,600.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57700641,02/04/2024,"38,110.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57703675,29/04/2024,"36,719.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57703675,29/04/2024,"4,412.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57702794,17/04/2024,"6,123.77",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57702794,17/04/2024,"1,102.19",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57702794,17/04/2024,"14,425.91",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57702794,17/04/2024,"7,114.79",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57700590,02/04/2024,"3,898.84",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57700590,02/04/2024,"1,949.42",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57703624,29/04/2024,"4,144.49",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57703624,29/04/2024,"2,045.20",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57701928,15/04/2024,"8,234.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57700594,02/04/2024,"7,980.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIERTON LODGE CARE HOME - HC ONE OVAL LTD,57700595,02/04/2024,"1,893.42",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIERTON LODGE CARE HOME - HC ONE OVAL LTD,57703629,29/04/2024,"1,893.42",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BYKARE SERVICES LTD,57701929,15/04/2024,"25,349.20",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57700602,02/04/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57703636,29/04/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57703632,29/04/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57700598,02/04/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57701930,15/04/2024,"2,450.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE QUALITY COMMISSION,55567404,15/01/2024,"2,847.00",Memberships,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57701931,15/04/2024,"14,000.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57701931,15/04/2024,"28,444.51",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57701931,15/04/2024,"1,958.54",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57701931,15/04/2024,"15,350.31",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57701931,15/04/2024,"3,517.28",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11161713,04/04/2024,643.8,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11161714,04/04/2024,636.2,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11161715,04/04/2024,678.1,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,11161716,04/04/2024,632.5,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57700637,02/04/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57703672,29/04/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARERS UK,55568080,08/04/2024,"1,250.00",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55568671,09/04/2024,"126,356.01",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55568672,09/04/2024,"73,905.42",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55568673,09/04/2024,"125,127.73",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CASTLE CENTRAL SERVICES LIMITED,55568670,17/04/2024,"125,420.29",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CHOICES & VOICES,55568209,12/04/2024,"1,827.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,CHOICES & VOICES,55567716,10/04/2024,"1,782.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
