Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55575307,17/06/2024,900,Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55575853,25/06/2024,"1,367.87",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55576652,27/06/2024,"4,859.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55576492,27/06/2024,"2,450.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55574098,31/05/2024,"7,500.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,BGP CONSULTING LIMITED,55574852,13/06/2024,825,Consultant Structural,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55573636,26/06/2024,"3,414.28",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55573570,25/06/2024,"27,635.26",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,BLOOM PROCUREMENT SERVICES LTD,55575396,10/07/2024,"6,000.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55574858,13/06/2024,"6,926.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55575772,24/06/2024,600,Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,MIDDLESBROUGH BOROUGH COUNCIL,55574964,14/06/2024,500,Traffic Signals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,TRANSPORT,NATIONWIDE DATA COLLECTION,55574943,14/06/2024,"1,650.00",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,TRANSPORT,NEWSQUEST MEDIA GROUP,55575866,25/06/2024,"1,226.98",Advertising,Capital Expenditure,Capital Other
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55577113,04/07/2024,"239,930.48",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55577277,07/07/2024,895.83,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55576733,30/06/2024,"1,333.32",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55574541,09/06/2024,562.5,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55574503,07/06/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55577433,09/07/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EASBY FLOORING LTD,55574362,01/06/2024,"11,569.98",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55573932,30/04/2024,"73,141.61",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55575294,17/06/2024,"111,182.09",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55576195,30/06/2024,"137,031.94",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55576196,30/06/2024,"48,206.99",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55573690,31/05/2024,"38,826.87",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55577435,09/07/2024,"7,835.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55576575,28/06/2024,"58,766.03",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55577413,09/07/2024,"23,361.40",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55577437,09/07/2024,"3,481.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55576582,28/06/2024,"4,692.10",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55573376,28/05/2024,"3,035.50",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55576850,24/06/2024,"5,827.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,RIDER INDUSTRIAL & SPECIALIST CLEANING,55574060,04/06/2024,"3,761.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,RIDER INDUSTRIAL & SPECIALIST CLEANING,55574482,07/06/2024,734.4,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SCHOTT REMOVALS TRANSPORT LTD,55577400,08/07/2024,524,Removals,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SCHOTT REMOVALS TRANSPORT LTD,55574201,05/06/2024,985,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55573761,03/06/2024,"1,145.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55574464,07/06/2024,"16,789.08",Sce(R) - Education,Capital Income,Capital Borrowing
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55574253,06/06/2024,"14,121.20",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55574855,13/06/2024,"7,600.60",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55576454,28/06/2024,"6,250.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55575202,17/06/2024,"17,500.00",Sce(R) - Housing,Capital Income,Capital Borrowing
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55575217,17/06/2024,"38,160.08",Sce(R) - Education,Capital Income,Capital Borrowing
Children and Adults Services,ADULT SOCIAL CARE,ACTION FIRST ASSESSMENTS LTD,55574192,05/06/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,ACTION FIRST ASSESSMENTS LTD,55574195,05/06/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,55575890,26/06/2024,"4,740.10",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57711290,08/07/2024,960.77,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57711290,08/07/2024,"1,035.80",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AIT MITRA LIMITED,55575215,17/06/2024,736,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57712861,22/07/2024,"6,744.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57711291,08/07/2024,"15,415.96",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ANCHOR HANOVER GROUP,57712864,22/07/2024,"6,880.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ANCHOR HANOVER GROUP,57712864,22/07/2024,"4,234.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57712867,22/07/2024,"9,900.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
