Directorate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,VIVUP,55573626,01/11/2023,"2,299.05",General Debits,NON-BUDGETED,NON BUDGETED
CHILDREN'S SERVICES,EDUCATION,EASBY FLOORING LTD,1112543,30/04/2024,"5,004.00","Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction
COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162640,18/06/2024,"5,756.05",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11162642,18/06/2024,"5,688.71",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162638,18/06/2024,"6,920.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11162634,18/06/2024,"5,882.50",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162820,28/06/2024,"9,451.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11162794,24/06/2024,"10,494.50",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11162791,24/06/2024,"10,780.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11162792,24/06/2024,"5,295.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162635,18/06/2024,640,Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162636,18/06/2024,"4,619.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162637,18/06/2024,"3,830.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162647,18/06/2024,"2,686.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162649,18/06/2024,"1,149.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11162651,18/06/2024,"4,133.00",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162655,18/06/2024,"8,344.80",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162500,05/06/2024,"2,398.26",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162793,24/06/2024,"7,121.82",Capital Grants,Capital Expenditure,Capital Other
COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11162822,28/06/2024,"7,630.80",Capital Grants,Capital Expenditure,Capital Other
ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55570695,07/05/2024,"223,837.00",Vehicles,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,BLOOM PROCUREMENT SERVICES LTD,55571979,31/05/2024,"4,706.43",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,CANDIVA ENTERPRISES LTD,55572471,11/06/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,CORNERS TRANSPORT,55572360,21/05/2024,850,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,CUSHMAN & WAKEFIELD,55572728,31/03/2024,"4,500.00",Valuation & Estates Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,DISPLAYPRO,55573128,28/05/2024,592,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,GEAVES SURFACE SOLUTIONS LTD,55573004,20/06/2024,"1,414.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,JACOBS UK LTD,55572279,22/05/2024,"1,530.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,NEWSQUEST MEDIA GROUP,55572013,21/05/2024,"4,061.33",Advertising,Capital Expenditure,Capital Other
ECONOMIC GROWTH,CAPITAL PROJECTS,PWS SURVEYORS LTD,55572861,15/05/2024,"2,200.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,SANDERSON WEATHERALL LLP,55572570,31/03/2024,"5,475.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55573490,31/05/2024,"1,178.91",Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55573487,31/05/2024,750,Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55573915,01/06/2024,"2,171.47",Removals,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,CAPITAL PROJECTS,TONY LEWIS,55572668,04/11/2022,"1,000.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,CAPITAL PROJECTS,ULTIMATE ONE LIMITED,55572251,21/05/2024,841.4,Furniture Equipment,Capital Expenditure,Capital Equipment
ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55572642,14/05/2024,"1,457,545.04",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
ECONOMIC GROWTH,ECONOMIC INITIATIVE,MTL SCAFFOLDING LTD,55572754,06/06/2024,"1,740.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,MTL SCAFFOLDING LTD,55572755,06/05/2024,"1,740.00",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55573258,30/05/2024,"1,750.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55573248,30/05/2024,"1,850.00",Legal Fees,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,ELLIOTT CONSULTANCY LTD,55571052,09/05/2024,575,Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,ENGLAND & LYLE CHARTERED TOWN PLANNERS,55571999,16/05/2024,"1,856.30",Consultants - Other,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,LYNAS ENGINEERS,55573116,28/05/2024,"3,542.50",Consultant Civil Engineer,Capital Expenditure,Capital Fees
ECONOMIC GROWTH,TRANSPORT,MARLEC ENGINEERING CO LTD,55573225,30/05/2024,"1,479.22",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,BGP CONSULTING LIMITED,55573349,28/03/2024,"3,750.00",Consultants - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,CORPORATE LANDLORD,GREENHATCH GROUP LTD,55573514,31/05/2024,"6,325.00",Consultants - Other,Capital Expenditure,Capital Fees
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55572448,17/05/2024,"96,510.20",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55572339,03/04/2024,"9,594.88",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55569278,22/04/2024,"44,477.35",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,AYCLIFFE FABRICATIONS LTD,55572392,29/04/2024,624,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55573013,26/05/2024,500,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BRITISH GAS TRADING LIMITED (ELECTRICITY,55572377,23/05/2024,872.73,Dlo Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55572364,21/05/2024,672,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55572366,21/05/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EASBY FLOORING LTD,55572489,01/05/2024,"2,479.95",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EASBY FLOORING LTD,55571776,14/05/2024,"11,933.20",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,EDENDENE CONSTRUCTION SERVICES LTD,55573268,30/05/2024,"24,748.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55570725,31/03/2024,"488,242.56",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55573479,31/05/2024,"8,898.92",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55573510,25/06/2024,"8,743.03",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55570451,31/03/2024,"18,360.49",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,LEGRAND ASSISTED LIVING AND HEALTHCARE,55572414,29/05/2024,"75,186.76",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55573113,28/05/2024,"2,835.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55573112,28/05/2024,"2,835.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,N T SWEETING ROOFING CONTRACTORS LTD,55572006,29/04/2024,"7,720.95",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SCHOTT REMOVALS TRANSPORT LTD,55572753,23/05/2024,524,Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55572323,22/05/2024,"17,960.00",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55572276,21/05/2024,"14,824.00",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55569584,23/04/2024,"10,769.70",Other Contractor Payments,Capital Expenditure,Capital Construction
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55573029,28/05/2024,"37,000.00",Sce(R) - Housing,Capital Income,Capital Borrowing
NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOLAR MAINTENANCE SERVICES LTD,55569295,25/04/2024,650,Other Contractor Payments,Capital Expenditure,Capital Construction
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57708058,10/06/2024,910.45,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57708058,10/06/2024,"1,044.08",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ALEXANDRA PARK (AUTISM CARE) UK LTD,57709764,24/06/2024,"6,744.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,AMBITO SALUTEM SHARED SERVICES III LTD,57708059,10/06/2024,"12,823.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709092,14/06/2024,"16,497.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709092,14/06/2024,"13,699.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709820,24/06/2024,"7,577.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709820,24/06/2024,"13,699.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709820,24/06/2024,"48,025.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709770,24/06/2024,"9,900.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE (NORTH EAST) LTD,57709820,24/06/2024,"11,224.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57708060,10/06/2024,872.69,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57708060,10/06/2024,"5,630.95",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57708060,10/06/2024,"12,901.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ASCOT CARE AGENCY LTD,57708060,10/06/2024,"15,335.80",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BC GROUNDWORKS,55571077,02/02/2024,750,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57709768,24/06/2024,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BENFIELD HALL,57709768,24/06/2024,"4,200.28",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BLOSSOM HOME CARE (DURHAM),57708061,10/06/2024,"7,657.80",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BONDCARE WILLINGTON LTD,57708062,10/06/2024,"7,620.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BRIARDENE CARE HOME,57709772,24/06/2024,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,BYKARE SERVICES LTD,57708063,10/06/2024,"26,616.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,C/O CARELINE LIFESTYLES LTD,57709779,24/06/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CADE CARE (BLUE RIBBON),57709775,24/06/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARE MATTERS,57708064,10/06/2024,"4,487.24",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57708065,10/06/2024,"29,523.77",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57708065,10/06/2024,"2,096.15",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57708065,10/06/2024,"12,385.12",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57708065,10/06/2024,"17,111.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE HOMECARE,57708065,10/06/2024,"3,151.52",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CARELINE LIFESTYLES,57709816,24/06/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CHOICES & VOICES,55573150,29/05/2024,"3,080.70",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,CLARENCE COURT,57709776,24/06/2024,"3,328.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57708066,10/06/2024,"11,233.88",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57708066,10/06/2024,"2,738.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CREATIVE SUPPORT LIMITED,57708066,10/06/2024,"4,665.60",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CROWN CARE,57709767,24/06/2024,"5,041.92",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57709789,24/06/2024,"67,618.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57709777,24/06/2024,"5,950.75",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,CYGNET (DH) LTD,57709777,24/06/2024,"21,195.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON ASSOCIATION ON DISABILITY LTD,57708067,10/06/2024,"5,483.80",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DARLINGTON MIND,57708083,10/06/2024,945.48,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57708069,10/06/2024,"252,385.41",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57708069,10/06/2024,"43,309.96",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIMENSIONS (UK) LTD,57708069,10/06/2024,"4,814.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DIRECT MEDICAL TRANSPORT LIMITED,55572993,20/04/2024,600,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DR IBRAHIM ZURMI,55572594,03/05/2024,"3,600.44",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57709774,24/06/2024,"1,615.58",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57709771,24/06/2024,"3,965.20",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CARELINE LTD,57709771,24/06/2024,"4,758.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,DURHAM CAT HOTEL,55572859,10/06/2024,567.51,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55573839,01/06/2024,"7,954.29",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55573844,01/06/2024,"1,429.97",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DURHAM COUNTY CARERS SUPPORT,55573845,01/06/2024,"1,490.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
Children and Adults Services,ADULT SOCIAL CARE,DYLAN STOKES,57708429,11/06/2024,"1,083.92",Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57709780,24/06/2024,"6,128.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57709780,24/06/2024,"9,360.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57709780,24/06/2024,"25,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57709780,24/06/2024,"11,997.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57709780,24/06/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EASTBOURNE CARE HOME LTD (IN ADMINISTRATION),57707527,04/06/2024,"4,110.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57709781,24/06/2024,"9,440.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57709781,24/06/2024,780,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57709781,24/06/2024,"7,174.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57709781,24/06/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EDEN COTTAGE,57709781,24/06/2024,"20,997.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,EILEEN HUMPHREY,57708276,11/06/2024,942.4,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ELAN CARE WHITETHORN LIMITED,57708070,10/06/2024,"2,584.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
