columns,,text description,text servdesc,apar_name,voucher_no,voucher_date,amount,accdesc,text bal,text bals,
,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704214,09/04/2024,"1,206.65",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,57704203,09/04/2024,"2,306.70",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,EDF ENERGY CUSTOMERS LTD,55570603,20/05/2024,648.22,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ENERGY ASSETS LIMITED,55570245,03/05/2024,"1,141.28",Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ENERGY ASSETS LIMITED,55570538,03/05/2024,500.00,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ENGLAND & LYLE CHARTERED TOWN PLANNERS,55570502,29/04/2024,577.50,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SANDERSON WEATHERALL LLP,55571511,27/02/2024,"2,430.00",Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55569027,23/02/2024,600.00,Removals,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SCHOTT REMOVALS TRANSPORT LTD,55570399,02/05/2024,"2,171.47",Site Costs,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SOUTHERN ELECTRIC GAS,55569646,19/04/2024,569.08,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,TOURISM UK LTD,55568879,22/04/2024,"10,224.00",Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,TRUCKS & TRACTORS LTD,55571791,12/05/2024,675.00,Security,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55569820,02/05/2024,"1,069,270.53",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55569542,29/04/2024,"2,500.00",Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,LANDSCAPE SOLUTIONS (NORTH EAST) LTD,55571014,09/05/2024,"1,905.00",Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,SYSTRA LTD,55570171,12/03/2024,"18,850.00",Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55566388,11/03/2024,"8,475.98",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55568658,23/04/2024,"5,526.10",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55570453,22/04/2024,"19,738.95",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,ANGLIAN WINDOWS LTD,55570896,22/04/2024,"24,049.59",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,B & Q PLC,55570299,05/05/2024,874.98,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,BRITISH GAS BUSINESS,55569581,23/04/2024,929.97,Dlo Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55568751,18/04/2024,805.34,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,DARLINGTON DOOR SERVICES LTD,55571158,14/05/2024,748.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,JOHN FLOWERS LIMITED (GRANTS),55570723,31/01/2024,"221,415.84",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55570452,31/03/2024,"7,193.48",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55567319,31/03/2024,"36,316.07",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,K M ELECTRICAL SERVICES,55569406,30/04/2024,"39,179.52",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55566646,28/03/2024,"92,137.20",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55566647,28/03/2024,"15,000.00",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55569476,29/04/2024,"15,433.00",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55569477,29/04/2024,"2,462.00",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,MITIE PROPERTY SERVICES (NORTH EAST) LTD,55569478,29/04/2024,"3,718.00",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,RE:GEN GROUP,55569276,25/04/2024,"9,390.45",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,RE:GEN GROUP,55569141,25/04/2024,"10,899.82",Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SECURESHIELD LTD,55569489,29/04/2024,895.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,NEIGHBOURHOOD SERVICES & RESOURCES,HOUSING,SOLAR MAINTENANCE SERVICES LTD,55569235,24/04/2024,650.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,1ST ENABLE LTD,57705118,13/05/2024,"78,832.94",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AGE UK DARLINGTON,57705121,13/05/2024,"1,349.22",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AIT MITRA LIMITED,55566641,28/03/2024,"1,467.50",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AIT MITRA LIMITED,55567074,02/04/2024,570.00,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES,
INSERTED DETAIL,,Children and Adults Services,ADULT SOCIAL CARE,AIT MITRA LIMITED,55568780,19/04/2024,"1,095.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES,
