Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
CENTRICA BUSINESS SOLUTIONS (GENERATION) LTD,55591964,01/12/2024,02/01/2025,"3,668.59",Catering Equipt Repairs,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
CORGI (NOTIFICATIONS),55591549,30/11/2024,02/01/2025,"2,004.75",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
CORONA ENERGY LTD,57730336,17/12/2024,24/12/2024,"2,336.08",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730347,17/12/2024,24/12/2024,"2,293.01",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730332,17/12/2024,24/12/2024,"10,656.08",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730341,17/12/2024,24/12/2024,526.7,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730343,17/12/2024,24/12/2024,661.59,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730372,17/12/2024,24/12/2024,"1,230.28",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730327,17/12/2024,24/12/2024,724.41,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730329,17/12/2024,24/12/2024,"5,597.19",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730379,17/12/2024,24/12/2024,884.85,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730377,17/12/2024,24/12/2024,"3,635.11",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730378,17/12/2024,24/12/2024,"1,775.54",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730345,17/12/2024,24/12/2024,698.41,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730374,17/12/2024,24/12/2024,525.44,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730326,17/12/2024,24/12/2024,"33,373.43",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730357,17/12/2024,24/12/2024,560.97,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730376,17/12/2024,24/12/2024,"2,704.51",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730356,17/12/2024,24/12/2024,501.68,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730365,17/12/2024,24/12/2024,566.1,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57730364,17/12/2024,24/12/2024,"10,751.31",Gas,PREMISES,ENERGY COSTS
CROSSLING LTD,55589110,07/11/2024,05/12/2024,749.34,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590390,21/11/2024,19/12/2024,552.02,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591274,29/11/2024,02/01/2025,836,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591300,29/11/2024,02/01/2025,675.1,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591037,28/11/2024,24/12/2024,"1,011.84",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590251,19/11/2024,17/12/2024,500,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CROSSLING LTD,55590026,15/11/2024,13/12/2024,847.74,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590098,18/11/2024,17/12/2024,836.25,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55589599,12/11/2024,10/12/2024,"1,428.33",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55589600,12/11/2024,10/12/2024,"1,010.57",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55589602,12/11/2024,10/12/2024,764.04,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591678,03/12/2024,02/01/2025,"1,680.14",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591688,04/12/2024,02/01/2025,"1,026.31",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591299,29/11/2024,02/01/2025,"1,486.12",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591608,04/12/2024,02/01/2025,"1,026.31",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591641,04/12/2024,02/01/2025,"1,932.34",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591677,03/12/2024,02/01/2025,"1,026.31",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591687,03/12/2024,02/01/2025,"1,264.44",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591685,03/12/2024,02/01/2025,"1,073.81",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590024,15/11/2024,13/12/2024,"1,465.13",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591295,29/11/2024,02/01/2025,"1,026.31",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591297,29/11/2024,02/01/2025,"1,330.79",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591296,29/11/2024,02/01/2025,"1,137.80",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591679,03/12/2024,02/01/2025,"1,135.77",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591800,05/12/2024,02/01/2025,"1,700.27",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590021,15/11/2024,13/12/2024,"1,381.48",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590017,15/11/2024,13/12/2024,"1,020.53",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590420,20/11/2024,18/12/2024,"1,778.30",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590484,22/11/2024,20/12/2024,"1,036.46",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590550,25/11/2024,20/12/2024,"1,335.87",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590551,25/11/2024,20/12/2024,"1,472.94",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590243,19/11/2024,17/12/2024,"1,032.02",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590096,18/11/2024,13/12/2024,834.71,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590374,21/11/2024,19/12/2024,"1,036.46",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590022,15/11/2024,17/12/2024,"1,032.02",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590028,15/11/2024,17/12/2024,"1,482.92",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590847,26/11/2024,24/12/2024,"1,138.41",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590858,26/11/2024,24/12/2024,710.96,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590941,27/11/2024,24/12/2024,"1,991.42",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590939,27/11/2024,24/12/2024,"1,032.02",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590940,27/11/2024,24/12/2024,834.71,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590950,27/11/2024,24/12/2024,"1,895.34",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591016,28/11/2024,24/12/2024,"1,026.31",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55591017,28/11/2024,24/12/2024,"1,293.39",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590421,20/11/2024,18/12/2024,948.82,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590376,21/11/2024,19/12/2024,"1,185.95",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590671,25/11/2024,20/12/2024,"1,036.46",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590942,27/11/2024,24/12/2024,"2,054.26",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590244,19/11/2024,17/12/2024,"1,767.85",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590337,29/10/2024,17/12/2024,"1,256.24",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590373,21/11/2024,19/12/2024,"1,901.44",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CROSSLING LTD,55590375,21/11/2024,19/12/2024,"1,138.41",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
DALE POWER SOLUTIONS PLC,55590248,19/11/2024,17/12/2024,540,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DALE POWER SOLUTIONS PLC,55591031,28/11/2024,24/12/2024,659,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DURHAM COUNTY COUNCIL,55590830,13/12/2024,17/12/2024,546,Repairs - Lifts,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55591082,19/11/2024,18/12/2024,"1,012.54",Repairs - Building Fabric,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55590220,19/11/2024,17/12/2024,585.56,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55591081,01/11/2024,18/12/2024,764.93,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55590347,01/11/2024,10/12/2024,672.9,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55591826,29/11/2024,02/01/2025,583.58,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55589684,06/11/2024,06/12/2024,579.52,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55589683,05/11/2024,17/12/2024,820.83,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55589676,13/11/2024,06/12/2024,688.5,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASBY FLOORING LTD,55590331,20/11/2024,18/12/2024,785.77,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDF ENERGY CUSTOMERS LTD,57727148,07/11/2024,03/12/2024,572.36,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727145,07/11/2024,03/12/2024,"1,399.36",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727224,31/10/2024,03/12/2024,982.13,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727241,31/10/2024,03/12/2024,659.96,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727072,08/11/2024,03/12/2024,958.27,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727168,01/11/2024,03/12/2024,"51,877.90",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727167,01/11/2024,03/12/2024,"2,546.02",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727164,01/11/2024,03/12/2024,"1,820.52",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727166,01/11/2024,03/12/2024,"19,318.06",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727180,01/11/2024,03/12/2024,"37,363.57",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727171,01/11/2024,03/12/2024,"1,829.39",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727172,01/11/2024,03/12/2024,"2,119.50",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727179,01/11/2024,03/12/2024,"1,716.76",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727185,01/11/2024,03/12/2024,"3,613.36",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727178,01/11/2024,03/12/2024,614.7,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727184,01/11/2024,03/12/2024,"2,697.23",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727174,01/11/2024,03/12/2024,"2,417.16",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727187,01/11/2024,03/12/2024,"6,089.85",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727342,29/10/2024,03/12/2024,"1,577.44",Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727213,31/10/2024,03/12/2024,705.51,Electricity,PREMISES,ENERGY COSTS
EDF ENERGY CUSTOMERS LTD,57727129,07/11/2024,03/12/2024,556.52,Electricity,PREMISES,ENERGY COSTS
ELECTRONIC SECURITY SOLUTIONS LTD,55590175,18/11/2024,13/12/2024,"1,631.00",Cctv Monitoring Charge,PREMISES,FIXTURES & FITTINGS
ELECTRONIC SECURITY SOLUTIONS LTD,55589801,13/11/2024,11/12/2024,821.73,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELECTRONIC SECURITY SOLUTIONS LTD,55589543,12/11/2024,10/12/2024,"11,976.57",Cyclical - Fire Alarms,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
ENTERPRISE RENT-A-CAR,55590186,18/11/2024,13/12/2024,689.08,Traffic Management,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
ENTERPRISE RENT-A-CAR,55590378,21/11/2024,19/12/2024,689.08,Vehicle Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
EXPERT FIRE SOLUTIONS LIMITED,55589854,07/11/2024,05/12/2024,634.1,Repairs - Fire Alarms,PREMISES,FIXTURES & FITTINGS
FIRE TECH LTD,55590840,26/11/2024,24/12/2024,592,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
FIRE TECH LTD,55590840,26/11/2024,24/12/2024,"3,600.00",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GLASS & MIRROR SOLUTIONS LIMITED,55588917,05/11/2024,04/12/2024,575.63,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GOOM ELECTRICAL,55589555,11/11/2024,06/12/2024,"1,595.81",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GOOM ELECTRICAL,55591978,02/12/2024,02/01/2025,"3,191.62",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GOOM ELECTRICAL,55589770,11/11/2024,12/12/2024,"2,625.00",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
GOOM ELECTRICAL,55590172,18/11/2024,13/12/2024,"3,191.62",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GOOM ELECTRICAL,55590191,18/11/2024,13/12/2024,"2,625.00",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
GOOM ELECTRICAL,55590814,25/11/2024,20/12/2024,"3,191.62",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GOOM ELECTRICAL,55591120,20/11/2024,18/12/2024,"1,595.81",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GUARDIAN ELECTRICAL COMPLIANCE LIMITED,55589988,14/11/2024,12/12/2024,"1,261.20",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
JCB FINANCE (LEASING LTD),55590704,01/12/2024,17/12/2024,"1,687.97",Leasing Charges,CAPITAL CHARGES,CAPITAL CHARGES
JCB FINANCE (LEASING LTD),55591095,08/11/2024,18/12/2024,"95,783.80",Leasing Charges,CAPITAL CHARGES,CAPITAL CHARGES
JCB FINANCE (LEASING LTD),55590065,31/10/2024,06/12/2024,"1,032.24",Leasing Charges,CAPITAL CHARGES,CAPITAL CHARGES
JH MECHANICAL SERVICES LTD,55591354,30/11/2024,24/12/2024,"6,143.22",Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
K M ELECTRICAL SERVICES,55591397,30/11/2024,02/01/2025,"3,600.00",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591379,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591372,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591373,30/11/2024,02/01/2025,"2,853.14",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591374,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591377,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591380,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591382,30/11/2024,02/01/2025,"2,853.14",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
K M ELECTRICAL SERVICES,55591383,30/11/2024,02/01/2025,"2,529.70",Alterations & Improvements - Electrical,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
LYTESTREAM ELECTRICAL CONTRACTORS,55588414,31/10/2024,04/12/2024,694.59,Direct Charges - Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,874.11,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,764.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,948.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,861.71,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,874.11,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,991.37,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,754.63,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,628.93,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,639.59,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,639.59,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,874.11,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,941.67,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,948.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,948.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,906.09,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,874.11,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,941.67,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,941.67,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,941.67,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,831.47,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,957.75,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,779.46,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,788.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,864.31,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,626.46,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,803.26,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
