Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
BGP CONSULTING LIMITED,55578171,22/07/2024,750,Consultant Civil Engineer,Capital Expenditure,Capital Fees
BLOOM PROCUREMENT SERVICES LTD,55579472,16/08/2024,"4,706.43",Consultants - Other,Capital Expenditure,Capital Fees
CANDIVA ENTERPRISES LTD,55579132,13/08/2024,"1,250.00",Compensation Payments,Capital Expenditure,Capital Other
DTA CONSULTING ENGINEERS LLP,55579687,31/07/2024,726,Direct Payments Northern Electric,Capital Expenditure,Capital Construction
ELECTRONIC SECURITY SOLUTIONS LTD,55576517,28/06/2024,"4,000.00",Sce(R) - Education,Capital Income,Capital Borrowing
EXPERT FIRE SOLUTIONS LIMITED,55577452,09/07/2024,"2,646.45",Consultants - Other,Capital Expenditure,Capital Fees
K C JUGO,55577978,16/07/2024,"7,718.00",Furniture Equipment,Capital Expenditure,Capital Equipment
PHB RAIL LTD,55578893,24/07/2024,"5,417.00",Consultants - Other,Capital Expenditure,Capital Fees
PHB RAIL LTD,55578894,24/07/2024,"5,884.00",Consultants - Other,Capital Expenditure,Capital Fees
SANDERSON WEATHERALL LLP,55579437,26/06/2024,"2,463.14",Legal Fees,Capital Expenditure,Capital Fees
SANDERSON WEATHERALL LLP,55579662,31/07/2024,"1,000.00",Consultant Civil Engineer,Capital Expenditure,Capital Fees
TAYLOR KIDD LTD,55576776,18/06/2024,"3,798.62",Fees - Other,Capital Expenditure,Capital Fees
TOTAL RESOURCES UK LTD,55579068,28/07/2024,720.7,Consultants - Other,Capital Expenditure,Capital Fees
TRAFFIC DIRECT LIMITED,55579465,12/07/2024,"2,220.00",Traffic Signals,Capital Expenditure,Capital Construction
WILLIAM SMITH GROUP 1832 LTD,55577485,11/07/2024,"1,769.40",Dlo Contractor Payments,Capital Expenditure,Capital Construction
WILLMOTT DIXON CONSTRUCTION LTD,55579154,12/08/2024,"344,311.64",Other Contractor Payments,Capital Expenditure,Capital Construction
HOMES BY ESH,55579414,19/08/2024,"1,027.50",Consultants - Other,Capital Expenditure,Capital Fees
MTL SCAFFOLDING LTD,55580313,06/08/2024,"1,740.00",Consultants - Other,Capital Expenditure,Capital Fees
MTL SCAFFOLDING LTD,55580190,27/02/2024,"1,740.00",Consultants - Other,Capital Expenditure,Capital Fees
NICHOLSON NAIRN ARCHITECTS,55578503,11/07/2024,"4,053.41",Consultants - Other,Capital Expenditure,Capital Fees
RWO ASSOCIATES (GEOTECHNICAL) LTD,55578304,15/07/2024,"1,000.00",Consultants - Other,Capital Expenditure,Capital Fees
WARD HADAWAY SOLICITORS,55579317,30/07/2024,"5,400.00",Legal Fees,Capital Expenditure,Capital Fees
WARD HADAWAY SOLICITORS,55579300,30/07/2024,"3,059.50",Legal Fees,Capital Expenditure,Capital Fees
WARD HADAWAY SOLICITORS,55579313,30/07/2024,"1,150.00",Legal Fees,Capital Expenditure,Capital Fees
WARD HADAWAY SOLICITORS,55579304,30/07/2024,700,Legal Fees,Capital Expenditure,Capital Fees
WARD HADAWAY SOLICITORS,55579599,31/07/2024,"1,275.00",Legal Fees,Capital Expenditure,Capital Fees
BLOOM PROCUREMENT SERVICES LTD,55576772,23/07/2024,"18,333.33",Dlo Contractor Payments,Capital Expenditure,Capital Construction
LYNAS ENGINEERS,55577063,04/07/2024,"4,076.10",Consultant Civil Engineer,Capital Expenditure,Capital Fees
TRAFFIC DIRECT LIMITED,55579465,12/07/2024,"3,515.00",Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
B & Q PLC,55578097,21/07/2024,666.67,Other Contractor Payments,Capital Expenditure,Capital Construction
CARE-ABILITY,55579020,29/07/2024,"3,034.38",Other Contractor Payments,Capital Expenditure,Capital Construction
CARE-ABILITY,55579021,29/07/2024,"3,034.38",Other Contractor Payments,Capital Expenditure,Capital Construction
CARE-ABILITY,55577554,11/07/2024,"2,866.23",Other Contractor Payments,Capital Expenditure,Capital Construction
CARE-ABILITY,55577555,12/07/2024,"2,866.23",Other Contractor Payments,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578799,24/07/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578672,23/07/2024,805.34,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578675,23/07/2024,805.34,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578935,24/07/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578486,23/07/2024,805.34,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DARLINGTON DOOR SERVICES LTD,55578487,23/07/2024,738.67,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
DTA CONSULTING ENGINEERS LLP,55579554,31/07/2024,544.5,Direct Payments Northern Electric,Capital Expenditure,Capital Construction
EASBY FLOORING LTD,55578686,01/07/2024,"13,954.31",Other Contractor Payments,Capital Expenditure,Capital Construction
K M ELECTRICAL SERVICES,55579488,31/07/2024,"34,289.84",Other Contractor Payments,Capital Expenditure,Capital Construction
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55578008,17/07/2024,"10,789.00",Other Contractor Payments,Capital Expenditure,Capital Construction
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55579113,29/07/2024,"109,041.23",Other Contractor Payments,Capital Expenditure,Capital Construction
SCHOTT REMOVALS TRANSPORT LTD,55580254,06/08/2024,515,Removals,Capital Expenditure,Capital Construction
SECURESHIELD LTD,55578846,25/07/2024,"3,618.25",Other Contractor Payments,Capital Expenditure,Capital Construction
SECURESHIELD LTD,55579966,02/08/2024,"1,825.00",Other Contractor Payments,Capital Expenditure,Capital Construction
ACTION FIRST ASSESSMENTS LTD,55579286,03/07/2024,700,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
ACTION FIRST ASSESSMENTS LTD,55579288,03/07/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
AGE UK DARLINGTON,57714330,05/08/2024,"1,082.62",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
AGE UK DARLINGTON,57714330,05/08/2024,885.1,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
AIT MITRA LIMITED,55579764,14/06/2024,"1,660.50",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
ALEXANDRA PARK (AUTISM CARE) UK LTD,57715723,19/08/2024,"6,744.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
AMBITO SALUTEM SHARED SERVICES III LTD,57714331,05/08/2024,"13,621.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ANCHOR HANOVER GROUP,57715725,19/08/2024,"3,391.42",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE (NORTH EAST) LTD,57715779,19/08/2024,"9,360.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE (NORTH EAST) LTD,57715779,19/08/2024,"40,671.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE (NORTH EAST) LTD,57715728,19/08/2024,"9,900.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE (NORTH EAST) LTD,57715779,19/08/2024,"13,075.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE AGENCY LTD,57714332,05/08/2024,"7,104.16",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE AGENCY LTD,57714332,05/08/2024,959,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE AGENCY LTD,57714332,05/08/2024,"15,286.02",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASCOT CARE AGENCY LTD,57714332,05/08/2024,"5,581.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BENFIELD HALL,57715726,19/08/2024,"2,077.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BENFIELD HALL,57715726,19/08/2024,"4,200.28",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BONDCARE WILLINGTON LTD,57714333,05/08/2024,"7,444.13",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BRIARDENE CARE HOME,57715730,19/08/2024,"3,990.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BYKARE SERVICES LTD,57714334,05/08/2024,"26,645.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
C/O CARELINE LIFESTYLES LTD,57715737,19/08/2024,"3,002.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CADE CARE (BLUE RIBBON),57715733,19/08/2024,"13,797.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARE MATTERS,57714335,05/08/2024,541.5,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARE MATTERS,57714335,05/08/2024,"4,487.24",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARE-ABILITY,55575099,17/06/2024,"4,430.36",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CARE-ABILITY,55575100,17/06/2024,"2,131.45",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CARE-ABILITY,55576308,30/06/2024,698.59,Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CARELINE HOMECARE,57714336,05/08/2024,"18,008.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARELINE HOMECARE,57714336,05/08/2024,"31,009.75",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARELINE HOMECARE,57714336,05/08/2024,"2,086.56",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARELINE HOMECARE,57714336,05/08/2024,"19,236.95",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARELINE HOMECARE,57714336,05/08/2024,"1,867.91",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CARELINE LIFESTYLES,57715775,19/08/2024,"3,018.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CHOICES & VOICES,55579751,31/07/2024,"1,485.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
CLARENCE COURT,57715734,19/08/2024,"3,328.40",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CREATIVE SUPPORT LIMITED,57714337,05/08/2024,"11,518.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CREATIVE SUPPORT LIMITED,57714337,05/08/2024,"4,568.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CREATIVE SUPPORT LIMITED,57714337,05/08/2024,"2,741.10",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CROSSLING LTD,55580136,05/08/2024,"1,408.36",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CYGNET (DH) LTD,57715735,19/08/2024,"21,195.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CYGNET (DH) LTD,57715747,19/08/2024,"22,539.48",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
CYGNET (DH) LTD,57715735,19/08/2024,"5,950.75",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON ASSOCIATION ON DISABILITY LTD,57714338,05/08/2024,"20,676.66",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON MIND,57714355,05/08/2024,942.43,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DIMENSIONS (UK) LTD,57714341,05/08/2024,"4,814.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DIMENSIONS (UK) LTD,57714341,05/08/2024,"33,084.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DIMENSIONS (UK) LTD,57714341,05/08/2024,"251,993.94",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DR IBRAHIM ZURMI,55578507,13/06/2024,"4,163.96",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DR SUMEET GUPTA,55580173,27/07/2024,574.95,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DURHAM CARELINE LTD,57715732,19/08/2024,"1,615.58",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DURHAM CARELINE LTD,57715729,19/08/2024,"4,758.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DURHAM CARELINE LTD,57715729,19/08/2024,"3,965.20",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DURHAM CONSTABULARY,55578050,19/07/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DURHAM COUNTY CARERS SUPPORT,55577915,16/07/2024,"1,429.97",Services For Carers,SUPPLIES & SERVICES,SERVICES
DURHAM COUNTY CARERS SUPPORT,55577916,16/07/2024,"2,916.67",Services For Carers,SUPPLIES & SERVICES,SERVICES
DURHAM COUNTY CARERS SUPPORT,55580069,01/08/2024,"1,429.97",Services For Carers,SUPPLIES & SERVICES,SERVICES
DYLAN STOKES,57714640,06/08/2024,"1,083.92",Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"1,002.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"25,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"9,360.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"22,508.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EASTBOURNE HOUSE LTD,57715738,19/08/2024,"15,679.15",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDEN COTTAGE,57715739,19/08/2024,"7,984.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDEN COTTAGE,57715739,19/08/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDEN COTTAGE,57715739,19/08/2024,"2,674.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDEN COTTAGE,57715739,19/08/2024,"9,440.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EDEN COTTAGE,57715739,19/08/2024,"18,991.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EILEEN HUMPHREY,57714491,06/08/2024,942.4,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELAN CARE WHITETHORN LIMITED,57714342,05/08/2024,"3,310.40",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELDERWOOD RESIDENTIAL HOME,57715740,19/08/2024,"47,134.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELDERWOOD RESIDENTIAL HOME,57715740,19/08/2024,"12,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELDERWOOD RESIDENTIAL HOME,57715740,19/08/2024,780,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELDERWOOD RESIDENTIAL HOME,57715740,19/08/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ELTON HALL CARE HOME,57715742,19/08/2024,"1,532.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ESSENTIAL CARE AND SUPPORT LIMITED,57714343,05/08/2024,"1,068.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
EXCELLENCE HOME CARE LTD,57714344,05/08/2024,694.62,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,"1,274.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,573.46,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,"13,904.35",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,"6,565.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,"1,068.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FIRST POINT HOME CARE LTD,57714345,05/08/2024,"3,575.47",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GAINFORD CARE HOMES LTD,57715743,19/08/2024,"2,179.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GAINFORD CARE HOMES LTD,57715743,19/08/2024,"19,635.64",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"5,304.28",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"3,770.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"77,948.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"41,872.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"20,018.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROSVENOR PARK,57715744,19/08/2024,"11,086.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
GROVE LODGE & THE COURTYARD,57715745,19/08/2024,"5,738.46",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HELPING HANDS HOME CARE,57714346,05/08/2024,"10,085.59",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HELPING HANDS HOME CARE,57714346,05/08/2024,"1,430.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HERITAGE,57714347,05/08/2024,"11,938.12",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HERITAGE,57714347,05/08/2024,"2,621.50",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HERITAGE,57714347,05/08/2024,"2,247.68",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUNDENS PARK CARE CENTRE,57715748,19/08/2024,"16,016.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUNDENS PARK CARE CENTRE,57715748,19/08/2024,"60,046.42",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUNDENS PARK CARE CENTRE,57715748,19/08/2024,"34,418.57",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
INCLUDE 'IN' AUTISM,57714348,05/08/2024,"11,563.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
INNOVATIONS,57714349,05/08/2024,"2,506.60",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
INNOVATIONS,57714349,05/08/2024,"18,782.66",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
JACK DORMAND CARE HOME,57715749,19/08/2024,"1,625.14",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KEY HEALTHCARE LTD,57715783,19/08/2024,"5,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KINGSWAY CARE HOME,57715750,19/08/2024,"1,962.18",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KINGSWAY CARE HOME,57715750,19/08/2024,"3,034.80",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KISIMUL GROUP LTD,57715751,19/08/2024,"11,647.32",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LAM SERVICES LIMITED,57714350,05/08/2024,"5,852.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LEARNING FOR LIFE,57714351,05/08/2024,"2,704.80",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,57714366,05/08/2024,"8,203.78",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,11163290,05/08/2024,"3,850.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
LINDISFARNE COURT,57715752,19/08/2024,"22,061.76",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
