,Expenditure over £500,,,,,,,,
,<<For the period from 01 January 2024 to 31 March 2024>>,,,,,,,,
,,,,,,,,,
Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Oxford City Council,Business Improvement,Main Contractor,Y021,09/01/2024,1096818 - 0,"3,075.00",Capital,20021596,CORELLA CONSULTING LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,05/03/2024,1096834 - 0,"2,304.07",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,30/01/2024,1096842 - 0,"3,937.50",Capital,20021491,FIVIUM LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,30/01/2024,1096843 - 0,"9,581.00",Revenue,20016203,PENNA PLC
Oxford City Council,Business Improvement,Photocopying/Paper Supplies,D3306,30/01/2024,1096848 - 1,"5,559.39",Revenue,20007881,RICOH UK LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,02/02/2024,1096875 - 0,"1,171.86",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,02/02/2024,1096876 - 0,"6,380.02",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,16/01/2024,1096884 - 0,525,Revenue,20013463,IDOX SOFTWARE LTD
Oxford City Council,Business Improvement,External Telephone Charges (for Employees),D3506,16/01/2024,1096957 - 1,"23,417.98",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Subscriptions,D3703,23/01/2024,1096962 - 0,"2,575.00",Revenue,20014451,STONEWALL EQUALITY LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096964 - 0,"2,500.00",Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096965 - 0,900,Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,Main Contractor,Y021,16/01/2024,1096966 - 0,"1,562.50",Capital,20021001,LA FOSSE
Oxford City Council,Business Improvement,General Contracted Services,D3401,30/01/2024,1096973 - 0,"1,500.00",Revenue,20021460,MAX TALENT
Oxford City Council,Business Improvement,Contract Printing (External),D3303,02/02/2024,1096979 - 0,557.61,Revenue,20021265,LEXON GB LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,02/02/2024,1096994 - 0,"7,050.60",Capital,20021492,PHOENIX SOFTWARE LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,02/02/2024,1097003 - 0,"5,010.16",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,13/02/2024,1097031 - 0,"10,354.14",Revenue,20019027,ALEMBA LIMITED
Oxford City Council,Business Improvement,Contract Printing (External),D3303,13/02/2024,1097053 - 0,"1,397.00",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Health Screening,D3428,23/01/2024,1097081 - 0,746.45,Revenue,20012497,CHILDCARE VOUCHERS LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,13/02/2024,1097083 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Management Development,A0637,13/02/2024,1097103 - 1,600,Revenue,20021386,PASSE-PARTOUT CONSULTING LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,20/02/2024,1097122 - 0,"1,040.88",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,30/01/2024,1097145 - 1,"24,970.88",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Main Contractor,Y021,30/01/2024,1097159 - 0,"32,582.80",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,13/02/2024,1097171 - 0,"2,100.00",Revenue,20021605,SUZY LAMPLUGH TRUST
Oxford City Council,Business Improvement,Main Contractor,Y021,20/02/2024,1097225 - 0,"3,790.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,13/02/2024,1097229 - 0,"1,567.13",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Network Rental,D3531,02/02/2024,1097232 - 1,"1,325.18",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,IT Skills Development,A0638,20/02/2024,1097253 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,20/02/2024,1097259 - 0,535.93,Revenue,20016844,NG BAILEY IT SERVICES LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,13/02/2024,1097291 - 1,"1,677.79",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,External Telephone Charges,D3503,13/02/2024,1097292 - 1,774,Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Main Contractor,Y021,20/02/2024,1097295 - 0,"21,604.80",Capital,20020482,PROBRAND
Oxford City Council,Business Improvement,IT Skills Development,A0638,20/02/2024,1097305 - 0,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,13/02/2024,1097330 - 0,"1,202.10",Revenue,20020068,"WORD360 LTD.,"
Oxford City Council,Business Improvement,Consultants Fees,D3411,20/02/2024,1097363 - 0,"1,030.50",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097390 - 0,"6,750.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097407 - 1,"5,385.08",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,IT Skills Development,A0638,05/03/2024,1097436 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,General Stationery Supplies,D3301,05/03/2024,1097459 - 1,565.82,Revenue,20007849,LYRECO UK LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,27/02/2024,1097505 - 1,"43,350.21",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,27/02/2024,1097506 - 1,"1,805.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,27/02/2024,1097507 - 1,"1,250.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Main Contractor,Y021,05/03/2024,1097508 - 1,"25,321.18",Capital,20019855,CAE TECHNOLOGY SERVICES LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,05/03/2024,1097509 - 1,"6,543.10",Capital,20019855,CAE TECHNOLOGY SERVICES LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,07/03/2024,1097514 - 1,"9,231.58",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,27/02/2024,1097530 - 1,"12,897.50",Revenue,20016203,PENNA PLC
Oxford City Council,Business Improvement,Main Contractor,Y021,20/02/2024,1097536 - 1,"5,330.00",Capital,20021596,CORELLA CONSULTING LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,19/03/2024,1097540 - 1,"1,143.30",Revenue,20021460,MAX TALENT
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097543 - 1,"10,800.00",Capital,20019852,Jadu Creative Limited
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097556 - 1,"2,385.00",Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097586 - 1,"27,591.38",Capital,20017849,NETCALL TECHNOLOGY LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,26/03/2024,1097589 - 1,"7,250.00",Capital,20021441,EMBRIDGE CONSULTING UK LTD
Oxford City Council,Business Improvement,Contract Printing (External),D3303,27/02/2024,1097600 - 1,"6,998.00",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Postage & Carriage,D3501,07/03/2024,1097601 - 1,"7,333.81",Revenue,20021007,PSL PRINT MANAGEMENT LTD
Oxford City Council,Business Improvement,Health Screening,D3428,05/03/2024,1097621 - 1,681.36,Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,27/02/2024,1097713 - 1,"7,500.00",Capital,20021667,HABLE EDUCATION LTD
Oxford City Council,Business Improvement,Photocopying/Paper Supplies,D3306,07/03/2024,1097717 - 1,"1,534.39",Revenue,20007881,RICOH UK LTD
Oxford City Council,Business Improvement,Network Rental,D3531,05/03/2024,1097749 - 1,"4,994.49",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,Network Rental,D3531,05/03/2024,1097750 - 1,"4,994.49",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,IT Skills Development,A0638,07/03/2024,1097792 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,14/03/2024,1097793 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,External Telephone Charges,D3503,07/03/2024,1097806 - 1,"26,269.61",Revenue,20014760,BT PAYMENT SERVICES
Oxford City Council,Business Improvement,Main Contractor,Y021,12/03/2024,1097808 - 1,"20,900.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,14/03/2024,1097822 - 1,"20,000.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,27/02/2024,1097824 - 1,"137,394.13",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Main Contractor,Y021,14/03/2024,1097826 - 1,"1,075.00",Capital,20019855,CAE TECHNOLOGY SERVICES LTD
