Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,06/12/2024,10646584,2707.50,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2178,PRESTON PARK (LUF),31/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",GR ESTATES LTD,79852,10/12/2024,10646712,744.23,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOUSING & FAIRER STOCKTON,4037,"Professional, Consultancy and Hired Services",59076,ACCOMMODATION EX-OFFENDERS,12/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",BAYDALE CONTROL SYSTEMS LIMITED,36268,10/12/2024,10646855,7369.40,192200,Facilities & Management Services,Security,Not Classified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4009,"Equipment, Furniture & Materials",50006,SEC & SURV,19/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,03/12/2024,10646929,4995.38,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50257,CORE,10/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,COMMUNITY CAMPUS 87 LTD,26006,18/12/2024,10646967,3738.48,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,01/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,COMMUNITY CAMPUS 87 LTD,26006,10/12/2024,10646968,2040.00,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,01/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NORTH EAST TRAFFIC DATA COLLECTION LTD,64275,03/12/2024,10646976,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",10126,OFF STREET CAR PARKING,01/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TEES ACTIVE LTD,38311,06/12/2024,10646999,601.52,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30063,STEPS & COMMUNITY BRIDGE BUILDING,01/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,COMMUNITY CAMPUS 87 LTD,26006,03/12/2024,10647047,2040.00,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",21007,STAYING PUT / SUPPORT LODGINGS,01/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",REDCAR & CLEVELAND BOROUGH COUNCIL,33240,05/12/2024,10647050,1327.42,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30859,ASST DIRECTOR OF PUBLIC HEALTH & TEAM,16/10/2024,0,0,2024,202409,SBC,
