Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10629336,5152.97,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,14/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,ROYAL MAIL GROUP PLC,38863,12/07/2024,10629654,691.04,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,DEMOCRATIC SERVICES,4050,Mail Services,70028,LOCAL ELECTIONS,29/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,UNIT4 BUSINESS SOFTWARE LIMITED,36550,10/07/2024,10629664,-2898.49,271501,Information Communication Technology,,,no,REVENUE,TRANSACTIONAL FINANCE & HR,4021,ICT Costs,90059,XENTRALL SOLUTIONS,19/10/2023,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10629949,10846.51,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,21/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,ROYAL MAIL GROUP PLC,38863,12/07/2024,10629967,13900.18,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,DEMOCRATIC SERVICES,4050,Mail Services,70028,LOCAL ELECTIONS,31/03/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PROUDREED REAL ESTATE LTD,71240,09/07/2024,10630250,3031.66,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",10449,THORNABY TOWN CENTRE,26/04/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PROUDREED REAL ESTATE LTD,71240,09/07/2024,10630251,634.84,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",80045,PROPERTIES RENTED BY SBC,26/04/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,ROYAL MAIL GROUP PLC,38863,12/07/2024,10630542,12817.00,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,DEMOCRATIC SERVICES,4050,Mail Services,70008,MAYOR & PCC ELECTIONS,07/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10630569,10266.79,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,28/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,AD ASTRA ACADEMY TRUST,68814,03/07/2024,10631179,2584.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20077,SCITT,07/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,FOREVER CARE- (NORTH EAST) SUPPORTED LIVING,69397,25/07/2024,10631217,-11106.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,22/04/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,04/07/2024,10631254,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,06/06/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,04/07/2024,10631256,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,06/06/2024,0,0,2024,202402,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10631615,10946.18,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,05/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TEES ACTIVE LTD,38311,05/07/2024,10631907,601.52,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30063,STEPS & COMMUNITY BRIDGE BUILDING,15/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10631968,8186.90,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,12/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10632299,8492.85,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,19/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TAYLORS TRANSPORT SERVICES,47171,16/07/2024,10632456,1139.30,381400,Vehicle Management,Maintenance,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50380,VEHICLES,20/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",SIMON BAILES,47741,12/07/2024,10632703,1552.84,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50380,VEHICLES,30/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",COLIN MCGINLEY FUNERAL SERVICE LTD,36162,03/07/2024,10632744,975.00,120000,Cemetery & Crematorium,Not Classified,Not Classified,no,REVENUE,ADULT SERVICES,6030,Care Services Clients,30888,ADULT SOCIAL CARE FINANCIAL SERVICES,05/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10632760,7691.79,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,26/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,LAWYERS IN LOCAL GOVERNMENT,62129,09/07/2024,10633051,1020.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",70037,LEGAL SERVICES,11/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,HAGUE COMPUTER SUPPLIES LTD,61047,05/07/2024,10633067,2137.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,TRANSACTIONAL FINANCE & HR,4021,ICT Costs,90046,FINANCE SYSTEMS,07/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,02/07/2024,10633105,2335.58,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,12/03/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",CONSULT YO LTD,67554,03/07/2024,10633338,670.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30757,TEESWIDE SAFEGUARDING ADULTS TEAM,27/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ROC SOLID LIMITED,62068,02/07/2024,10633340,6650.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,27/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TU ENTERPRISE AND INNOVATION LIMITED,78676,10/07/2024,10633370,18215.43,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PUBLIC HEALTH,4037,"Professional, Consultancy and Hired Services",30859,ASST DIRECTOR OF PUBLIC HEALTH & TEAM,29/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,19/07/2024,10633406,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"SAFEGUARDING, EARLY HELP & CIOC",5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,21/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NEW VENTURES HOLDINGS LTD,74893,19/07/2024,10633464,924.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOUSING & FAIRER STOCKTON,4037,"Professional, Consultancy and Hired Services",50542,BED & BREAKFAST,21/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING CAPITAL",THYSSENKRUPP ENCASA,34786,19/07/2024,10633491,5331.56,321311,Social Community Care Supplies & Services ,Supplies,Equipment,no,CAPITAL,HOUSING,C610,PAYMENT OF CAPITAL GRANT,C5004,DISABLED FACILITY GRANTS,21/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",EVENT WIFI LIMITED,75677,02/07/2024,10633515,880.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4009,"Equipment, Furniture & Materials",20593,SIRF,30/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PROUDREED REAL ESTATE LTD,71240,09/07/2024,10633522,15770.39,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",10449,THORNABY TOWN CENTRE,01/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,PROUDREED REAL ESTATE LTD,71240,09/07/2024,10633523,3050.88,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",80045,PROPERTIES RENTED BY SBC,01/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",HOWARTH LITCHFIELD PARTNERSHIP,65913,02/07/2024,10633565,1040.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",40368,PLANNED MAINTENANCE,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TAYLORS TRANSPORT SERVICES,47171,16/07/2024,10633568,748.00,381400,Vehicle Management,Maintenance,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50380,VEHICLES,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",BUILDING COST INFORMATION SERVICES,78976,02/07/2024,10633578,9053.10,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4016,Grants and Subscriptions,10095,DESIGN SERVICES,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",FR365 LTD,78201,02/07/2024,10633579,1500.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",40368,PLANNED MAINTENANCE,03/06/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",HOUSE OF TYPE,56036,09/07/2024,10633593,1752.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4036,Printing & Stationery,20154,MUSEUMS MANAGEMENT & PRESTON HALL,30/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,LATHAMS ARCHITECTURE & URBANISM,77461,16/07/2024,10633602,1650.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,TOWN CENTRE INVESTMENT,4037,"Professional, Consultancy and Hired Services",10087,TOWN CENTRE DEVELOPMENT TEAM,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ENVIRONMENT, CULTURE, LEISURE & EVENTS CAPITAL",HOWARTH LITCHFIELD PARTNERSHIP,65913,02/07/2024,10633617,1560.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,LIBRARIES,C201,CONTRACTOR PAYMENTS,C5357,HOUSEHOLD WASTE RECYCLING CENTRE,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE ITEMS,HOWARTH LITCHFIELD PARTNERSHIP,65913,02/07/2024,10633618,2600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,BORROWING & PROVISIONS,4037,"Professional, Consultancy and Hired Services",40302,ACCOMMODATION STRATEGY,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",PHILMEEWAGONLTD,79048,02/07/2024,10633652,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30883,MENTAL HEALTH ASSESSMENT TEAM,16/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",HOWARTH LITCHFIELD PARTNERSHIP,65913,02/07/2024,10633669,1560.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",40368,PLANNED MAINTENANCE,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NORTH EAST TRUCK & VAN,35127,03/07/2024,10633682,711.84,381400,Vehicle Management,Maintenance,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50380,VEHICLES,31/05/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,02/07/2024,10633704,2964.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HR,4037,"Professional, Consultancy and Hired Services",40226,DBS CHECKS,04/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,02/07/2024,10633705,532.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HR,4037,"Professional, Consultancy and Hired Services",40226,DBS CHECKS,04/06/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,TOWN CENTRE INVESTMENT CAPITAL,ESH CONSTRUCTION LIMITED,34802,02/07/2024,10633716,136334.20,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,TOWNS FUND,C201,CONTRACTOR PAYMENTS,C2169,NORTON TOWN CENTRE,31/05/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633736,736.15,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,26/04/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633737,736.15,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,19/04/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633738,630.00,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,08/03/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633739,630.00,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,01/03/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633741,630.00,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,02/02/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,VISION FOR EDUCATION LTD,51291,02/07/2024,10633742,630.00,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20244,EARLY SUPPORT NURSERY,26/01/2024,0,0,2024,202403,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",RENTOKIL INITIAL UK LTD,46517,17/07/2024,10633743,1108.42,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",5014,Private Contractors,20154,MUSEUMS MANAGEMENT & PRESTON HALL,29/04/2024,0,0,2024,202404,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",BREEDON TRADING LIMITED,73343,02/07/2024,10633755,1324.98,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,11/02/2024,0,0,2024,202403,SBC
