Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,CORAM BAAF PUBLICATIONS,64903,02/04/2024,10625446,4038.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,30434,CIOC-SBC FOSTERING,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,BUTTERFIELD PRESCHOOL GROUP,46067,02/04/2024,10625449,863.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,4037,"Professional, Consultancy and Hired Services",30121,CIOC-SUPPORT,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,CHILDREN NORTH EAST,33921,02/04/2024,10625450,10731.75,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,4037,"Professional, Consultancy and Hired Services",30121,CIOC-SUPPORT,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MEON LTD,39791,02/04/2024,10625451,542.46,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",EASIBATHE / EASIACESS LTD,44364,02/04/2024,10625455,560.51,321311,Social Community Care Supplies & Services ,Supplies,Equipment,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,50950,HIA SERVICE,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MARSHALLS (MONO) LTD,36233,02/04/2024,10625457,2552.56,230000,Highway Equipment & Materials ,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",SAFESPACES (CORNHOLME) LIMITED,64055,02/04/2024,10625460,2005.06,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4009,"Equipment, Furniture & Materials",30015,OT EQUIPMENT & ADAPTATIONS,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",PREMIER ROADMARKINGS,63341,02/04/2024,10625461,600.13,391400,"Works - Construction, Repair & Maintenance",Roads,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625466,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625470,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
