Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647841,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647842,-2439.94,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647843,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647844,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647845,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647846,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647847,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647848,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647849,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647851,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647852,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647853,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647854,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647855,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647856,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647857,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647858,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647859,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647861,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647862,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647863,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647864,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647866,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647867,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647870,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647878,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647879,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647881,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647882,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647883,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647884,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647885,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647886,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647887,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647888,-9759.75,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647889,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,22/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647890,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647891,-17079.56,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647892,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647893,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647894,-18299.53,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647895,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647896,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,21/11/2024,0,0,2024,202410,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,ENVIRONMENT & POWER TECHNOLOGY LTD,58765,08/01/2025,10647900,-1316.80,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ICT AND DESIGN & PRINT,4037,"Professional, Consultancy and Hired Services",90024,DATA CENTRE (MIA),17/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,07/01/2025,10647914,-18909.51,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,27/11/2024,0,0,2024,202410,SBC,
