,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0086606831,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45706,1200,0,Revenue,Link Project CIC,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0086606503,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45727,8700,0,Revenue,Middlesbrough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086603958,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45672,3840,0,Revenue,Nite Light CIC,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086608437,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45730,1560,0,Revenue,Nite Light CIC,No,171010,Education - Adult & Further Education Services 
Hartlepool Borough Council,0086605057,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45709,2160,0,Revenue,Nur Fitness,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0086603978,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45672,840,0,Revenue,People's Meeples,No,170000,Education
Hartlepool Borough Council,0086603977,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45672,1080,0,Revenue,People's Meeples,No,170000,Education
Hartlepool Borough Council,0086608450,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45734,1080,0,Revenue,People's Meeples,No,170000,Education
Hartlepool Borough Council,0086608449,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45730,1200,0,Revenue,People's Meeples,No,170000,Education
Hartlepool Borough Council,0086605665,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45695,2200,0,Revenue,Play Out Hartlepool CIC,No,401099,Social Community Care Supplies & Services - Children - Community Based Services - Not Elsewhere Classified
Hartlepool Borough Council,0086603935,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45672,2400,0,Revenue,Play Out Hartlepool CIC,No,401099,Social Community Care Supplies & Services - Children - Community Based Services - Not Elsewhere Classified
Hartlepool Borough Council,0086605665,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45695,600,0,Revenue,Play Out Hartlepool CIC,No,401099,Social Community Care Supplies & Services - Children - Community Based Services - Not Elsewhere Classified
Hartlepool Borough Council,0086604119,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45674,1080,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086606632,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45728,2100,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086604122,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45693,5100,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086606632,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45728,8400,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086604122,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45693,9360,0,Revenue,Redcar & Cleveland Borough Council,No,999999,Financial Services - Other Local Authority
Hartlepool Borough Council,0086606203,Adult & Community Based Services,Adult Education,Third PP - Other Establishmnts,45699,1440,0,Revenue,Three13 Training & Enterprise Ltd,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0086604984,Adult & Community Based Services,Adult Education,Training Crse Pro,45706,5000,0,Revenue,Durham Spray Paints,No,291200,Arts & Leisure Services - Outsourced Service 
Hartlepool Borough Council,0086606977,Adult & Community Based Services,Adult Education,Training Crse Pro,45734,527.83,0,Revenue,Slutmouth,No,291300,Arts & Leisure Services - Performing Arts 
Hartlepool Borough Council,0086607814,Adult & Community Based Services,Adult Education,Training Crse Pro,45723,660,0,Revenue,Woodturning Hartlepool,No,201799,Financial Services - Grants - Not Elsewhere Classified
Hartlepool Borough Council,0060598000,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45665,850,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060599713,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45693,850,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060602993,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45721,850,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060597998,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45665,5610,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060599711,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45693,5610,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060602991,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45721,5610,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060597996,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45665,24686.67,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060599709,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45693,24686.67,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0060602989,Adult & Community Based Services,Carers & AssistiveTechnology,Third PP - Independent Sector,45721,24686.67,0,Revenue,Hartlepool Carers,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0021025005,Adult & Community Based Services,Church Street Regeneration,Cap -Payment Of Grant,45678,2039,0,Capital,Jamal Shirvani,No,201711,Financial Services - Grants - Non-charitable
Hartlepool Borough Council,0021025243,Adult & Community Based Services,Church Street Regeneration,Cap -Payment Of Grant,45744,3870,0,Capital,Michael Hung,No,201711,Financial Services - Grants - Non-charitable
Hartlepool Borough Council,0086602308,Adult & Community Based Services,"Coast, Countryside & Heritage",Cyclical Maintenance,45665,506.05,0,Revenue,IFZW Maintenance Ltd,No,121200,Cemetery & Crematorium - Repairs & Maintenance 
Hartlepool Borough Council,0086607755,Adult & Community Based Services,"Coast, Countryside & Heritage",Cyclical Maintenance,45744,870,0,Revenue,IFZW Maintenance Ltd,No,121200,Cemetery & Crematorium - Repairs & Maintenance 
Hartlepool Borough Council,0086603463,Adult & Community Based Services,"Coast, Countryside & Heritage",Cyclical Maintenance,45688,1313.7,0,Revenue,IFZW Maintenance Ltd,No,121200,Cemetery & Crematorium - Repairs & Maintenance 
Hartlepool Borough Council,0086607269,Adult & Community Based Services,"Coast, Countryside & Heritage",Maintenance-Contractor,45720,600,0,Revenue,Hodgson Site Services Limited,No,391111,"Works - Construction, Repair & Maintenance - Buildings - Repair & Maintenance"
Hartlepool Borough Council,0086603340,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees - Medical Referals,45681,1276.5,0,Revenue,YFT Consult Ltd,No,151510,Healthcare - Public Health
Hartlepool Borough Council,0086607566,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees - Medical Referals,45742,1276.5,0,Revenue,YFT Consult Ltd,No,151510,Healthcare - Public Health
Hartlepool Borough Council,0086605667,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees - Medical Referals,45714,1517,0,Revenue,YFT Consult Ltd,No,151510,Healthcare - Public Health
