DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312011,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312015,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,01/02/2024,75686,312090,"2,480.00",Housing Options (Private),10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,VAISALA,01/02/2024,75474,312092,"8,100.00",Highways - Winter Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312097,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312101,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312105,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,01/02/2024,75686,312106,"2,480.00",Housing Options (Private),10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312111,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,01/02/2024,75686,312113,"2,480.00",Housing Options (Private),10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312115,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312118,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312121,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312123,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312124,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312127,840,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,MILLS WILSON LTD RAINBOW RESTORATION,01/02/2024,75710,312130,875,Fostering - Family and Friends Team,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312133,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312140,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312143,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312145,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/02/2024,75670,312149,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,01/02/2024,75686,312157,"2,480.00",Housing Options (Private),10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TEACHING PERSONNEL LTD.,01/02/2024,75416,312172,994.62,Pupil Premium Grant,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,01/02/2024,75570,312173,"5,738.46",Digital and Business Applications,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,01/02/2024,75570,312174,"5,857.78",Digital and Business Applications,10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARMAC BUILDING PRODUCTS LIMITED,01/02/2024,75698,312178,960,Highways Maintenance Reactionary Works,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,GREENSTAFF MEDICAL LIMITED,01/02/2024,75664,312179,516,Agency Fostering,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/02/2024,75671,312181,"3,795.75",Vehicle Maintenance,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,GREENSTAFF MEDICAL LIMITED,01/02/2024,75664,312182,516,Agency Fostering,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,GREENSTAFF MEDICAL LIMITED,01/02/2024,75664,312183,516,Agency Fostering,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,GREENSTAFF MEDICAL LIMITED,01/02/2024,75664,312184,516,Agency Fostering,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,FOOTSTEPS NURSERY AND FOREST SCHOOL,01/02/2024,75693,312186,814.09,Sinfin Team,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,FOOTSTEPS NURSERY AND FOREST SCHOOL,01/02/2024,75693,312187,527.11,Sinfin Team,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,ASH'S PLACE LTD,01/02/2024,75703,312192,708.98,Deprivation Of Liberty Safeguards,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",EAST MIDLANDS CHAMBER,01/02/2024,75561,312194,"5,000.00",Derby Market Place,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,JONES LANG LASALLE LIMITED,01/02/2024,75683,312203,999,Our City Our River - Package 2,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Trading Standards,REDACTED,01/02/2024,75613,312206,750,Trading Standards,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,GREENSTAFF MEDICAL LIMITED,01/02/2024,75664,312253,516,Agency Fostering,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HEARTHFIRE PROPERTY INVESTMENTS LTD,01/02/2024,75701,312269,"1,155.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HEARTHFIRE PROPERTY INVESTMENTS LTD,01/02/2024,75701,312272,"1,100.00",Housing Options (Private),40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,01/02/2024,75673,312273,"22,915.50",TCF Tranche 2 - Bus & Rapid Transit Links: Nottingham Road,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,THE CHILD PSYCHOLOGY SERVICE CIC,01/02/2024,75607,312310,750,Adoption Support Fund,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WHITEHOUSE CONSTRUCTION CO LTD,01/02/2024,75407,312343,"29,460.50",Forward Works Programme,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,01/02/2024,75537,312415,"2,060.80",Home To School Transport - SEN,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312436,618.85,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312437,572.53,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312443,705.35,Rechargeable Work,40 - SME,SME
