DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Communities,Streetpride,Cleansing,ARDEN WINCH & CO LTD,04/01/2024,62440,220165,853.3,Street Cleaning,40 - SME,SME
Chief Executives,Corporate Management,"Comms, Website & Engagement",Communication,BAUER RADIO LTD,04/01/2024,62975,225174,"2,500.00",Corporate Communications,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,04/01/2024,63650,229934,"3,331.00",HR Shared Services,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY CITY COUNCIL - FUND 13,04/01/2024,63692,233688,688,Milestone House,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY CITY COUNCIL - FUND 13,04/01/2024,63692,233739,756.91,Milestone House,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY CITY COUNCIL - FUND 13,04/01/2024,63692,233774,756.91,Milestone House,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY CITY COUNCIL - FUND 13,04/01/2024,63692,233777,"6,261.71",Milestone House,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,AMA SUPPLIES LTD,04/01/2024,62493,234237,951.7,Grounds Maintenance Derby Homes,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Economic Growth,RAIL POSITIVE RELATIONS,04/01/2024,63463,246385,"2,500.00",Economic Regeneration,40 - SME,SME
Children and Young People,Children and Young People,Children and Young People,Children and Young People,ESTEEM MULTI ACADEMY TRUST,04/01/2024,63036,246527,"146,889.50",St Clares Expansion,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,APS GROUP,04/01/2024,63068,246628,"1,516.47",Blue Badge,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,04/01/2024,66489,253293,"2,198.46",Controlled Drugs Costs,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Chief Executives,Chief Executives,Chief Executives,WATERMAN ASPEN LTD,04/01/2024,66245,253798,"2,581.44",UPRN 10150 - Our City Our River,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,04/01/2024,63661,253853,"7,052.73",Design of Future Years Schemes,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,CADENT GAS LIMITED,04/01/2024,62919,254110,"4,362.80",Market Hall Replacement - Phase 2,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,LODGE TYRES CO LTD,04/01/2024,62744,254200,"8,500.17",Vehicle Maintenance,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,IT PROFESSIONAL SERVICES LIMITED,04/01/2024,63164,254242,"1,048.75",IT Infrastructure,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,THE OT PRACTICE LTD,04/01/2024,62920,254282,750,Deprivation Of Liberty Safeguards,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,THE OT PRACTICE LTD,04/01/2024,62920,254292,750,Deprivation Of Liberty Safeguards,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,THE OT PRACTICE LTD,04/01/2024,62920,254299,750,Deprivation Of Liberty Safeguards,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,THE OT PRACTICE LTD,04/01/2024,62920,254310,750,Deprivation Of Liberty Safeguards,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,PHS GROUP PLC,04/01/2024,62480,254686,"-2,584.34",Kings Chambers,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CIVICA UK LIMITED.,04/01/2024,63075,254939,"7,875.00",Digital and Business Applications,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,SOUTHERN DERBYSHIRE LIFT PROJECT COMPANY (NO 1) LTD,04/01/2024,63025,256121,"49,423.37",IDCS Admin,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",ARTHUR J GALLAGHER INSURANCE BROKERS LTD,04/01/2024,66925,256156,560,Derby Live - Outdoor Events,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY HOMES LTD,04/01/2024,62516,256268,"20,614.10",Milestone House,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,ST PETERS QUARTER DERBY LTD,04/01/2024,62681,256693,"4,452.47",Non Domestic Rates Billing & Recovery,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,CATHEDRAL QUARTER CO LTD,04/01/2024,62567,256754,"1,647.86",Non Domestic Rates Billing & Recovery,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 3/4,ZAYAN PROPERTIES LIMITED,04/01/2024,63116,259282,560,Unsupported Foreign Nationals,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/01/2024,63504,261852,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Regulatory Services,Bereavement Services,TELESHORE UK LTD,04/01/2024,62498,262025,"1,270.50",Crematorium,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,GELDARD AND SON LIMITED,04/01/2024,63123,262347,812,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,SAFESPACES CORNHOLME LTD,04/01/2024,62582,262468,"1,228.75",IDCS Residential,40 - SME,SME
Resources,Resources,Resources,Resources,HAYS SPECIALIST RECRUITMENT LTD,04/01/2024,62424,262780,739.5,Major IT Systems Developments,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,PREMIER MOBILITY (UK) LIMITED,04/01/2024,62570,262996,"2,157.00",Occupational Therapy Team,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/01/2024,62992,262999,"9,840.00",Police Escorts,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,NOTTINGHAM CITY COUNCIL,04/01/2024,62441,263283,669.24,Grounds Maintenance,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Waste Disposal,Waste Disposal,H W MARTIN WASTE LIMITED,04/01/2024,63188,263862,"104,110.39",Waste Disposal,40 - SME,SME
Corporate,Corporate,Corporate,Corporate Resources Other,DERBYSHIRE COUNTY COUNCIL,04/01/2024,62447,264958,"102,771.33",Compensatory Added Years,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Regulatory Services,Bereavement Services,TELESHORE UK LTD,04/01/2024,62498,265017,"1,815.50",Crematorium,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,04/01/2024,62419,265064,"6,173.58",Transactional Services,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,04/01/2024,62497,265087,"1,351.46",Derby Live Catering - Derby Arena,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,04/01/2024,62497,265092,"1,527.23",Derby Live Catering - Alvaston Park,10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,04/01/2024,62656,265150,"2,130.10",Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265227,"2,000.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265240,"2,041.67",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,WESTERN CARS CO,04/01/2024,62423,265241,545,Fostering Allowances,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BV DEVELOPMENTS,04/01/2024,63688,265245,605,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,WESTERN CARS CO,04/01/2024,62423,265259,"1,280.00",Haddon Team,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,WESTERN CARS CO,04/01/2024,62423,265267,"1,600.00",Chatsworth Team,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,FACULTATIEVE TECHNOLOGIES,04/01/2024,62425,265283,"1,457.24",Crematorium,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,04/01/2024,63308,265308,"1,004.09",Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,ROLLIN TRANSPORT TRAINING,04/01/2024,63675,265325,"2,850.00",Fleet Hire,10 - Company,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,Leisure,BRITISH GYMNASTICS,04/01/2024,62546,265365,536,Springwood Centre DSO,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,FINANCIAL DATA MANAGEMENT LTD,04/01/2024,62514,265404,"2,222.02",Transactional Services,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265491,"1,750.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265522,"2,041.67",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,MEDEQUIP ASSISTIVE TECH LTD,04/01/2024,62657,265526,"5,183.50",Healthy Housing Hub,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265546,"2,770.83",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265552,"2,800.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,BEECHWOOD PARK,04/01/2024,62540,265558,"2,800.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,EMS SECURITY SERVICES LTD,04/01/2024,62896,265562,"6,088.20",Stores Road Depot,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Waste Disposal,MINDVISION MEDIA LTD,04/01/2024,63754,265638,999.38,Waste Disposal,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Waste Disposal,**WARD RECYCLING.,04/01/2024,62573,265646,"2,543.40",Waste Disposal,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",GCC FACILITIES MANAGEMENT PLC,04/01/2024,63711,265666,514.91,Derby Live Catering - Alvaston Park,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,SAYMEZ CARS,04/01/2024,63289,265667,"2,523.00",Normanton Under 11's Team,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,SAYMEZ CARS,04/01/2024,63289,265669,"1,155.00",Normanton Under 11's Team,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 2,YMCA,04/01/2024,62483,265683,"1,463.36",8 - 18 MAT Team E - Locality 2,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,04/01/2024,63118,265685,"4,969.81",Highways Maintenance Works,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,DIAMOND PRINT LTD,04/01/2024,62616,265717,"15,831.55",Transactional Services,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,04/01/2024,62486,265731,"1,534.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/01/2024,63116,265743,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/01/2024,63116,265756,630,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/01/2024,63116,265761,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/01/2024,63116,265763,560,Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BEBIDA BEVERAGE SOLUTIONS LTD,04/01/2024,66728,265774,691.48,Derby Live Catering - Markeaton Park,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BEBIDA BEVERAGE SOLUTIONS LTD,04/01/2024,66728,265784,571.78,Derby Live Catering - Derby Arena,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AVERY WEIGH TRONIX,04/01/2024,62528,265791,725.6,Highways - Winter Maintenance,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CROWN CARS Derby LTD,04/01/2024,62636,265796,898.2,High Needs Contingency,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265806,"1,152.80",Central Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265808,"1,152.80",Central Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265810,"1,176.08",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265812,"1,176.08",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265814,"1,176.08",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265816,"1,176.08",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265819,"1,079.20",Central Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265821,902.96,Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265825,902.96,Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265827,"1,398.36",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265828,"1,475.16",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265830,"1,176.08",South OP (over 65) Memory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265832,"1,475.16",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265834,657.4,Central Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265836,927.32,South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265838,516.44,Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265842,922.84,South OP (over 65) Memory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,SENTRICARE EAST MIDS LTD,04/01/2024,62547,265843,645.76,South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PATHWAY TO CARE LIMITED,04/01/2024,63135,265845,789.56,South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265847,"1,173.64",Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265850,"2,379.88",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265854,"1,206.24",Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265858,"1,935.20",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,04/01/2024,63289,265860,"2,684.00",Home To School Transport - SEN,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265863,"3,651.32",West Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Shared Lives,REDACTED,04/01/2024,62867,265867,666.48,South Team - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,DIMENSIONS UK LTD,04/01/2024,62522,265869,"2,249.48",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,04/01/2024,63113,265874,819.36,Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,04/01/2024,63113,265879,"1,612.92",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,04/01/2024,63225,265881,"1,101.21",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,04/01/2024,63225,265884,630.13,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,265901,"1,060.08",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,265903,"1,060.08",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,265929,588.04,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266032,"1,124.08",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266035,"1,030.04",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266036,832.08,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266040,"1,092.88",Preparing for Adulthood PD Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266042,832.08,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266044,832.08,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266047,"1,092.88",Preparing for Adulthood PD Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266048,902.96,West/South MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266051,546.36,South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,REDACTED,04/01/2024,63819,266054,562.5,MH West/South Staff Costs,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266056,671.01,South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,DERBYSHIRE CARE SERVICES,04/01/2024,62459,266057,689.16,South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,04/01/2024,62680,266061,"2,259.64",Ordinary Lives LD - Shared Lives,30 - Individual (Non Business),Individual (Non Business)
