DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184518,738.72,South OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184520,819.36,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184524,"1,096.60",Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184525,830.36,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,NATIONWIDE CARE SERVICES,3/10/2023,00041002,184531,519.15,West/South MH PD Support (over 65) - DP/Mgd,,Company
Communities & Place,Public Protection and Streetride,"Environmental Protection, Housing Standa",Environmental Protection,SANDRA WHILES COACHING LTD,3/10/2023,00041255,184543,845.00,Env Health Mangmnt & Adm,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184546,"6,585.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184547,"4,704.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184548,"1,276.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184551,"3,292.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184553,"6,585.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184554,"4,704.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,TURNING POINT,3/10/2023,00040681,184555,"1,612.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Company
Corporate Resources,Property,Facilities Management,Accommodation Buildings,TOTALENERGIES GAS AND POWER LIMITED.,3/10/2023,00041487,184563,"46,100.26",Corporate Utilities Gas & Electricity,,SME
Corporate Resources,Property,Facilities Management,Accommodation Buildings,TOTALENERGIES GAS AND POWER LIMITED.,3/10/2023,00041487,184569,"42,865.75",Corporate Utilities Gas & Electricity,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,GODFREY BARNES CARE SL LIMITED GODFREY BARNES CARE SL LIMITED,3/10/2023,00041780,184587,"46,481.44",Preparing for adulthood 18-24 LD ? DP/Mgd,,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,3/10/2023,00041720,184602,"2,898.40",Land Drainage: Mitre Island,,Company
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,PHILLIP DOUGHTY CONSULTANCY,3/10/2023,00040763,184603,854.00,DASH Project,,Sole Trader
Communities & Place,Planning & Transportation,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,3/10/2023,00041720,184604,993.23,Clean Air Zone,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184609,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184610,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184611,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184612,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184613,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184614,866.84,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184615,684.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,3/10/2023,00041390,184616,860.72,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,PEAR TREE JUNIOR SCHOOL,3/10/2023,00041033,184617,"1,059.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,PEAR TREE JUNIOR SCHOOL,3/10/2023,00041033,184619,643.23,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,3/10/2023,00041167,184620,"1,286.40",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,3/10/2023,00041167,184621,"1,576.40",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,3/10/2023,00041167,184622,643.23,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184626,634.76,High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184627,"1,012.68",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184628,"1,197.80",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184629,"1,097.16",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184630,"1,834.28",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184633,950.04,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184634,997.08,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184635,"2,348.28",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184636,568.04,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184637,"1,310.40",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184638,"1,197.80",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184639,572.20,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184640,825.44,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184641,643.23,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184642,501.16,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. CAVENDISH CLOSE JUNIOR ACADEMY,3/10/2023,00041108,184644,618.67,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. REIGATE PARK PRIMARY ACADEMY,3/10/2023,00041111,184646,"1,174.48",High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. REIGATE PARK PRIMARY ACADEMY,3/10/2023,00041111,184647,"1,176.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184649,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184650,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184652,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184653,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184654,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184655,737.68,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184658,985.00,High Needs Contingency,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184660,"1,421.80",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184661,"1,802.04",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184662,"1,020.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184663,"1,020.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184664,799.88,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184665,"2,580.44",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184666,525.16,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184667,"1,304.77",Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184672,619.55,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),3/10/2023,00041165,184674,643.23,Element 3 Funding,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184676,509.56,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184678,"1,113.60",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184679,"1,084.52",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184680,"1,063.28",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184681,546.32,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184686,"1,105.60",Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,3/10/2023,00041109,184689,798.44,Element 3 Funding,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,3/10/2023,00041102,184694,632.38,Element 3 Funding,,Public/Government Agency
