DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,GLOBAL TRANSLATION SERVICES,01/08/2023,26029,119233,909.95,Interpreting and Translation,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",AMY VALLANCE FINE ART,01/08/2023,26139,119426,"1,250.00",Arts Development,,Sole Trader
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,T C HARRISON FORD,01/08/2023,25445,119430,"2,060.00",Gash Account (SSGA0074),,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,01/08/2023,25369,119503,"4,190.90",Valuation,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,119515,"1,547.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119592,"1,080.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119593,"1,740.00",Home To School Transport - SEN,,SME
Communities & Place,Public Protection and Streetride,"Environmental Protection, Housing Standa",Environmental Protection,SANDRA WHILES COACHING LTD,01/08/2023,26022,119602,900,Env Health Mangmnt & Adm,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/08/2023,25383,119605,"2,590.00",Home To School Transport - SEN,,Sole Trader
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,JC BALLS AND SONS,01/08/2023,25621,119649,665,Highways Maintenance Reactionary Works,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,GREENSTAFF MEDICAL LIMITED,01/08/2023,26329,119668,"16,016.00",Kedleston Team,,SME
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",JAMES BAKER PRODUCTIONS LIMITED,01/08/2023,26561,119688,"1,036.67",Derby Live - Presented,,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119692,"1,056.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,STEPS - Schools Block,MISCO,01/08/2023,26043,119702,"2,560.91",Specialist Support Teaching Services (SSTS),,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119723,"1,080.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119725,"2,840.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119727,"1,764.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,26375,119827,510,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119830,"2,180.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,26375,119831,510,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119832,"1,406.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119834,"2,180.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,26375,119835,850,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119837,"2,240.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,JIGSAW CREATIVE CARE LIMITED,01/08/2023,26421,119838,"77,000.40",Agency Residential,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119839,"2,140.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119840,"1,748.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119845,"1,121.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119850,"2,640.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119851,"1,940.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,SAYMEZ CARS,01/08/2023,26155,119853,"1,273.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,26375,119855,"3,050.00",Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,WESTERN CARS CO,01/08/2023,25367,119856,"1,840.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,26197,119858,550,Legal Fees,,SME
Corporate Resources,Financial Services,Financial Services,Benefits and Exchequer Services,LIBERATA UK LTD,01/08/2023,25504,119867,"19,480.31",Housing Benefits & C Tax Support Admin,,SME
Corporate Resources,Financial Services,Financial Services,Benefits and Exchequer Services,LIBERATA UK LTD,01/08/2023,25504,119871,"19,095.83",Housing Benefits & C Tax Support Admin,,SME
People Services - Adults and Health,Mental Health,Social Care Activities,Mental Health - Social Care Activities,JJG CONSULTANTS LTD,01/08/2023,25566,119884,600,Adult Workforce Learning and Development,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,THE TRAINING SOCIETY,01/08/2023,26200,119905,966,Fleet Hire,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,THE TRAINING SOCIETY,01/08/2023,26200,119906,876,Fleet Hire,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,THE TRAINING SOCIETY,01/08/2023,26200,119907,690,Fleet Hire,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,WOLSELEY UK LTD,01/08/2023,25429,119909,"1,412.88",Highways Maintenance Reactionary Works,,Public/Government Agency
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",EAST MIDLANDS CHAMBER,01/08/2023,25726,119910,800,Tourism,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Cleansing,CDW LTD,01/08/2023,25762,119912,515.58,Street Cleaning,,Company
Communities & Place,"Leisure, Culture and Tourism",Leisure,Leisure,SHOWSEC INTERNATIONAL LTD,01/08/2023,25411,119914,617.73,Derby Multi Use Sports Arena,,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,PARALLEL PARENTS,01/08/2023,25481,119916,"4,430.80",Out of Authority Education Placements,,SME
Chief Executives,Chief Executives,Chief Executives,Chief Executives,CDW LTD,01/08/2023,25762,119920,"2,454.00",UPRN 20306H - Major IT Hardware Developments,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,HILBROKE HOUSE LTD,01/08/2023,25940,119932,980,Intentionally Homeless People,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,FUCHS LUBRICANTS UK PLC,01/08/2023,25363,119934,"1,520.00",Vehicle Maintenance,,Company
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,FUCHS LUBRICANTS UK PLC,01/08/2023,25363,119935,"1,850.00",Vehicle Maintenance,,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ESTEEM MULTI ACADEMY TRUST THE FOUNTAINS PRIMARY SCHOOL,01/08/2023,25908,119936,"51,175.00",Out of Authority Education Placements,,Public/Government Agency
Corporate Resources,Property,Facilities Management,Accommodation Buildings,EMS SECURITY SERVICES LTD,01/08/2023,25780,119946,"9,384.00",Council House,,SME
Corporate Resources,Property,Facilities Management,Accommodation Buildings,EMS SECURITY SERVICES LTD,01/08/2023,25780,119947,"6,070.35",Council House,,SME
Corporate Resources,Property,Facilities Management,Accommodation Buildings,EMS SECURITY SERVICES LTD,01/08/2023,25780,119952,"3,721.45",Council House,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,CURTINS CONSULTING LIMITED,01/08/2023,26466,119956,"1,750.00",The Knoll NB,,SME
Communities & Place,"Leisure, Culture and Tourism",Parks & Healthy Living,Parks & Outdoor Recreation,BUNZL CLEANING AND HYGIENE SUPPLIES,01/08/2023,25371,119958,799.25,Outdoor Amenities,,SME
Corporate Resources,Property,Facilities Management,Accommodation Buildings,EMS SECURITY SERVICES LTD,01/08/2023,25780,119959,"8,829.60",Council House,,SME
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,EMS SECURITY SERVICES LTD,01/08/2023,25780,119960,"1,049.50",Surplus Properties,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,119965,"1,375.33",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,119966,"1,373.60",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,119968,895.93,Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,119970,"1,262.46",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,119971,"2,260.01",Highways Maintenance Works,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,DA LANGUAGES LTD,01/08/2023,25666,119982,"9,863.87",Interpreting and Translation,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,HALSALL LLOYD LLP,01/08/2023,26388,119987,"5,635.55",Warkwick House - HRA,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,HALSALL LLOYD LLP,01/08/2023,26388,119988,"2,318.22",Brentford Drive - HRA,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,HALSALL LLOYD LLP,01/08/2023,26388,119989,"4,826.15",Drewry Lane,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,HALSALL LLOYD LLP,01/08/2023,26388,119990,"1,201.92",Greenwood Avenue,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,HALSALL LLOYD LLP,01/08/2023,26388,119991,"5,491.53",The Knoll NB,,SME
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Trading Standards,TERSUS CONSULTANCY LTD,01/08/2023,25510,119996,510,Trading Standards,,SME
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25853,120008,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,25633,120013,888.64,Central/East MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,25865,120018,666.48,Central/East MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25586,120019,"2,603.84",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,26301,120020,666.48,West/South MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25865,120021,666.48,Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25871,120030,"2,259.64",Central Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25987,120032,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25987,120034,819.36,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25682,120035,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25847,120038,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25469,120043,546.24,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25682,120047,"1,570.36",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25732,120061,"1,612.92",South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25631,120072,"1,612.92",South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25583,120073,"2,259.64",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,26171,120087,666.48,East Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25753,120100,"1,847.24",West Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25753,120101,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,01/08/2023,25986,120103,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,26121,120108,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,25871,120109,614.52,West/South MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,25772,120111,"2,867.56",West/South MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,01/08/2023,25600,120123,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,01/08/2023,25962,120128,999.72,Central/East MH Support - Shared Lives,,Individual (Non Business)
Corporate Resources,Digital Services & Customer Management,Digital Services & Customer Management,Digital Services,CDW LTD,01/08/2023,25762,120139,"15,418.93",IT Infrastructure,,Company
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,TELESHORE UK LTD,01/08/2023,25448,120140,811.25,Crematorium,,SME
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,TELESHORE UK LTD,01/08/2023,25448,120142,"1,687.50",Crematorium,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120146,"1,944.29",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120147,"1,867.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120154,"1,660.03",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120157,967.4,Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120159,"1,852.44",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120162,"2,613.92",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120163,"3,147.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120165,"1,367.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120167,"2,190.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120169,"1,925.55",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120171,"1,147.40",Home To School Transport - SEN,,Sole Trader
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,01/08/2023,25390,120173,"1,092.00",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,AARON SERVICES LTD,01/08/2023,26258,120178,"3,969.00",REFCUS - Healthy Housing Assistance,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,MEDEQUIP ASSISTIVE TECH LTD,01/08/2023,25558,120182,922,REFCUS - Healthy Housing Assistance,,Company
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,JONES LANG LASALLE LIMITED,01/08/2023,26533,120187,"25,495.00",Valuation,,SME
Children and Young People,Children and Young People,Children and Young People,Children and Young People,ESTEEM MULTI ACADEMY TRUST,01/08/2023,25909,120190,"25,000.00",REFCUS St Clare's feasibility grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,01/08/2023,26154,120201,525,Pupil Premium Grant,,Sole Trader
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,HGV DIRECT,01/08/2023,25442,120209,711.51,Vehicle Maintenance,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,HILBROKE HOUSE LTD,01/08/2023,25940,120220,980,West Team,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,LAWTON LOWNDES GROUP LIMITED,01/08/2023,26180,120227,"1,695.00",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,01/08/2023,26435,120230,"3,596.90",Vehicle Maintenance,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,JC BALLS AND SONS,01/08/2023,25621,120242,665,Highways Maintenance Reactionary Works,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120244,967.4,Home To School Transport - SEN,,Sole Trader
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,TS MEDICAL SERVICES LTD,01/08/2023,25668,120246,647.5,Crematorium,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120247,"3,107.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120248,"1,178.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120249,"1,869.03",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120250,725.55,Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120252,"1,767.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120254,"1,397.92",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120255,"1,747.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120256,"1,367.40",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/08/2023,25488,120258,"1,520.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,01/08/2023,26047,120260,"1,667.40",Home To School Transport - SEN,,Sole Trader
Communities & Place,Planning & Transportation,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,01/08/2023,25374,120262,"2,525.28",Engineering Section,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ACORN CARE AND EDUCATION LTD,01/08/2023,25635,120267,"17,302.00",Out of Authority Education Placements,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Reception Servic,TRANSLATE UK LIMITED,01/08/2023,26544,120268,792.24,Reception South Team,,Company
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,120269,895.93,Highways Maintenance Works,,SME
Communities & Place,Planning & Transportation,Traffic & Transportation,Parking Services,SIMPLY UNIFORM LIMITED,01/08/2023,26085,120274,604.65,Parking Services,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,GREENHATCH GROUP LIMITED,01/08/2023,26173,120290,750,Design of Future Years Schemes,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Stores Road Depot & Fleet Management,T C HARRISON JCB,01/08/2023,25551,120295,"2,850.00",Stores Road Depot,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,01/08/2023,25922,120297,850,Legal Fees,,SME
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,THE YABOO CO LTD,01/08/2023,25451,120298,"1,265.67",Crematorium,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,120301,964.3,Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,01/08/2023,25992,120302,"1,385.70",Highways Maintenance Works,,SME
