DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,05/12/2023,57685,246164,"249,500.00",Genitourinary Medicine Services (GUM),,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,AARON SERVICES LTD,05/12/2023,59003,246737,"2,378.00",REFCUS - Healthy Housing Assistance,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,FAMILY MATTERS ENTERPRISE,05/12/2023,59389,246824,695,West Team,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,05/12/2023,58397,246921,"6,232.00",Police Escorts,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,HILBROKE HOUSE LTD,05/12/2023,58524,247932,980,West Team,,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/12/2023,57508,247942,"1,821.88",Projects Water & Flood Risk Management,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,05/12/2023,58282,247967,"9,750.00",Legal Fees,,SME
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,CATHEDRAL QUARTER CO LTD,05/12/2023,57550,248128,"3,782.66",Non Domestic Rates Billing & Recovery,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,OAKLANDS SUPPORT LIMITED,05/12/2023,58560,248173,"1,000.00",Appointeeships (SSGA0227),,SME
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,ST PETERS QUARTER DERBY LTD,05/12/2023,57758,248188,"2,764.80",Non Domestic Rates Billing & Recovery,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,ABSOLUTE INTERPRETING AND TRANSLATIONS LTD,05/12/2023,57944,248194,"5,930.70",Interpreting and Translation,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HILBROKE HOUSE LTD,05/12/2023,58524,248234,805,Housing Options (Private),,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HILBROKE HOUSE LTD,05/12/2023,58524,248238,805,Housing Options (Private),,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HILBROKE HOUSE LTD,05/12/2023,58524,248279,752.5,Housing Options (Private),,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,05/12/2023,58065,248371,"31,794.24",Principal Bridge Inspections,,Company
Corporate,Corporate,Corporate,Corporate Resources Other,MATRIX SCM LTD,05/12/2023,57368,248373,"7,771.44",Temporary Workers Control A/C,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ST RALPH SHERWIN CATHOLIC MULTI ACADEMY TRUST SAINT JOHN HOUGHTON CATHOLIC VOLUN,05/12/2023,58471,248379,"1,765.00",Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDHILL ACADEMY TRUST ROBERT MELLORS PRIMARY ACADEMY,05/12/2023,58545,248389,645,Pupil Premium Grant,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COUNTY COUNCIL BRACKENFIELD SEND SCHOOL,05/12/2023,57397,248395,"1,890.00",Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COUNTY COUNCIL MILFORD PRIMARY SCHOOL,05/12/2023,57396,248401,585,Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THOMAS TELFORD MULTI ACADEMY TRUST,05/12/2023,58889,248403,725,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERRYMOUNT SCHOOL,05/12/2023,58697,248417,600,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FOUR CS MAT,05/12/2023,58868,248418,"1,695.00",Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SAINT PIUS X CATHOLIC HIGH SCHOOL,05/12/2023,58656,248420,825,Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SAINT PIUS X CATHOLIC HIGH SCHOOL,05/12/2023,58656,248423,635,Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GREATER NOTTINGHAM EDUCATION TRUST,05/12/2023,58546,248424,"1,500.00",Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COUNTY COUNCIL BRACKENFIELD SEND SCHOOL,05/12/2023,57397,248428,630,Pupil Premium Grant,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248430,830.5,Highways Maintenance Works,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NORTHAMPTON SCHOOL FOR GIRLS,05/12/2023,58665,248431,"1,311.00",Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERRYMOUNT SCHOOL,05/12/2023,58697,248433,800,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BEAUFORT PRIMARY SCHOOL,05/12/2023,58541,248434,528,Pupil Premium Grant,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,HILBROKE HOUSE LTD,05/12/2023,58524,248435,752.5,Housing Options (Private),,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Accommodation Buildings,EMS SECURITY SERVICES LTD,05/12/2023,58219,248437,"6,558.52",Council House,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248446,"1,380.00",Highways Maintenance Works,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248454,850,Highways Maintenance Works,,SME
Chief Executives,"Corporate Governance, Procurement & Property",Legal Services,Legal Services,DWF LAW LLP,05/12/2023,58732,248462,852.6,Corporate Services - Legal,,SME
Chief Executives,"Corporate Governance, Procurement & Property",Legal Services,Legal Services,DWF LAW LLP,05/12/2023,58732,248463,594.8,Corporate Services - Legal,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,AHS CARS LTD,05/12/2023,58835,248464,"1,661.80",Home To School Transport - SEN,,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,MABEY HIRE LIMITED,05/12/2023,59263,248468,"8,455.25",Access Fund,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248480,"2,240.00",Housing Options (Private),,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248485,"2,800.00",Housing Options (Private),,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248498,"2,480.00",Housing Options (Private),,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248502,"1,335.00",Highways Maintenance Works,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248504,"2,640.00",Highways Maintenance Works,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ARRIVING LTD,05/12/2023,58025,248511,"1,825.00",Highways Maintenance Works,,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,ATLOW CONTRACTING LIMITED.,05/12/2023,58332,248514,737.5,Neighbourhood Boards,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ATLOW CONTRACTING LIMITED.,05/12/2023,58332,248517,"1,795.00",Parks & Open Spaces Rolling Programme,,SME
Communities & Place,Communities,Waste Disposal,Waste Disposal,M360 LIMITED,05/12/2023,59669,248524,"4,530.00",Waste Disposal,,Company
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,ATLOW CONTRACTING LIMITED.,05/12/2023,58332,248525,"5,059.06",Outdoor Amenities,,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,HI SPEC FACILITIES SERVICES LTD,05/12/2023,59164,248526,"4,174.42",Sadler Bridge Studios,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,**WARD RECYCLING.,05/12/2023,57557,248530,543,Highways Maintenance Works,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,SAYMEZ CARS,05/12/2023,58864,248532,"2,219.00",Normanton Under 11's Team,,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Regeneration Projects,AVISON YOUNG,05/12/2023,58529,248535,"4,550.00",Regeneration Projects,,SME
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,05/12/2023,57685,248539,"249,500.00",Genitourinary Medicine Services (GUM),,SME
Communities & Place,Communities,Streetpride,Cleansing,BROXAP LTD,05/12/2023,57444,248541,"19,493.60",Street Cleaning,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SWARCO UK AND IRELAND LTD,05/12/2023,59213,248546,"1,408.73",Private Network Fibre Upgrade,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,PREMIER MOBILITY (UK) LIMITED,05/12/2023,57554,248549,"4,502.00",Occupational Therapy Team,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,PREMIER MOBILITY (UK) LIMITED,05/12/2023,57554,248550,"1,786.00",Occupational Therapy Team,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,PREMIER MOBILITY (UK) LIMITED,05/12/2023,57554,248556,"3,229.00",Occupational Therapy Team,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,PREMIER MOBILITY (UK) LIMITED,05/12/2023,57554,248561,"2,116.00",Occupational Therapy Team,,SME
Resources,Resources,Resources,Resources,TECHNOLOGY ONE UK LTD,05/12/2023,59134,248591,"4,737.65",Major IT Systems Developments,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,HUWS GRAY LIMITED,05/12/2023,57929,248592,707.72,Highways Maintenance Reactionary Works,,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/12/2023,57508,248593,"1,821.88",Projects Water & Flood Risk Management,,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,05/12/2023,58190,248617,"3,287.55",IT Infrastructure,,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,CDW LTD,05/12/2023,58190,248618,"13,143.58",UPRN 20306H - Major IT Hardware Developments,,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BV DEVELOPMENTS,05/12/2023,59513,248628,770,South Adults (under 65) Physical - DP/Mgd,,Sole Trader
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,05/12/2023,58614,248631,889.59,Highways Maintenance Works,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,05/12/2023,58614,248633,"2,476.69",Highways Maintenance Works,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,PELL FRISCHMANN,05/12/2023,58539,248641,"8,314.26",TCF Tranche 2 - Public Realm,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,KIELY BROS LTD,05/12/2023,59585,248645,"78,347.50",Footway surface treatment schemes (slurry sealing),,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,JAMES COLES AND SONS NURSERIES LTD,05/12/2023,57718,248647,"5,715.00",UPRN 10150 - Our City Our River,,SME
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,Learning & Inclusion - Schools Block,PHP LAW LLP,05/12/2023,59468,248650,910,Secondary FAP,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,KIELY BROS LTD,05/12/2023,59585,248651,"55,500.53",Footway surface treatment schemes (slurry sealing),,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DAYS RENTAL LTD,05/12/2023,57669,248653,"1,864.20",Fleet Hire,,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,PAYGATE SOLUTIONS LIMITED,05/12/2023,58745,248655,"1,381.82",Digital and Business Applications,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,LETS TALK SPEECH THERAPY,05/12/2023,59385,248656,779.13,Out of Authority Education Placements,,Sole Trader
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,TEACHING PERSONNEL LTD.,05/12/2023,57383,248657,"4,272.37",Out of Authority Education Placements,,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DAYS RENTAL LTD,05/12/2023,57669,248658,516.06,Fleet Hire,,Company
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Constitutional and Member Se,LOCAL GOVERNMENT ASSOCIATION,05/12/2023,57443,248659,"2,068.00",Members Allowances,,Public/Government Agency
Corporate Resources,Property,Strategic Asset Management,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,05/12/2023,58461,248701,"2,975.00",Valuation,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248706,609.61,Highways Maintenance Works,,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BOOKER,05/12/2023,57480,248708,"2,375.26",Derby Live Catering - Derby Arena,,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248709,"2,617.21",Highways Maintenance Works,,SME
Communities & Place,Communities,Streetpride,Cleansing,AMA SUPPLIES LTD,05/12/2023,57471,248715,528.8,Building Cleaning Derby Homes,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248716,579.89,Highways Maintenance Works,,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,05/12/2023,59304,248718,"3,307.50",Vehicle Maintenance,,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,05/12/2023,59304,248721,"4,756.50",Vehicle Maintenance,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248726,"1,971.29",Highways Maintenance Works,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248727,"2,800.00",Housing Options (Private),,Company
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/12/2023,57508,248728,"1,746.03",Engineering Section,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248729,"1,654.97",Highways Maintenance Works,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248730,"2,800.00",Housing Options (Private),,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248731,"1,713.46",Highways Maintenance Works,,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/12/2023,57710,248733,568.11,Highways Maintenance Works,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248738,960,Housing Options (Private),,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/12/2023,59528,248743,640,Housing Options (Private),,Company
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,BHANDAL CARE LIMITED,05/12/2023,59021,248763,578.88,East OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,BHANDAL CARE LIMITED,05/12/2023,59021,248764,771.84,East OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,BHANDAL CARE LIMITED,05/12/2023,59021,248766,693.12,East OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248771,866.24,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248777,848.04,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,BHANDAL CARE LIMITED,05/12/2023,59021,248784,891.84,Central OP (over 65) Sensory - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248787,711.76,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248790,708.45,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,BHANDAL CARE LIMITED,05/12/2023,59021,248791,"1,040.48",Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248794,708.45,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248796,539.84,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248797,539.84,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248798,"1,060.08",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248799,"1,190.00",Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248800,"1,190.00",Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248804,520.24,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248806,"1,459.92",East Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248807,"1,459.92",East Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248809,767.94,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248810,767.05,East Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248812,503.44,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248813,520.24,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,BHANDAL CARE LIMITED,05/12/2023,59021,248816,884.44,South OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248823,780.36,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248824,530.83,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248827,"1,329.72",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248828,"1,329.72",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248829,"1,131.80",Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248830,780.36,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248832,780.36,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248833,"1,105.80",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248834,"1,089.28",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,WISE HOME CARE LIMITED,05/12/2023,58624,248836,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,WISE HOME CARE LIMITED,05/12/2023,58624,248837,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,WISE HOME CARE LIMITED,05/12/2023,58624,248839,"1,482.92",East OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,WISE HOME CARE LIMITED,05/12/2023,58624,248840,"1,842.92",Central OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BHANDAL CARE LIMITED,05/12/2023,59021,248841,"1,450.12",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248843,902.96,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,WISE HOME CARE LIMITED,05/12/2023,58624,248845,936.68,East OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,COMPLETE NURSING SERVICES LTD,05/12/2023,57453,248846,"2,131.96",South Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248847,726.38,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,COMPLETE NURSING SERVICES LTD,05/12/2023,57453,248848,"1,452.12",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/12/2023,58437,248849,"5,040.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/12/2023,58437,248850,"3,080.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248851,"1,594.08",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/12/2023,58624,248852,"1,594.08",East OP (over 65) Physical - DP/Mgd,,SME
