DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Planning & Transportation,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,05/09/2023,34020,152203,"1,749.38",Projects Water & Flood Risk Management,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,05/09/2023,35129,152434,"1,126.00",Residents Fund Client (FINP0379),,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,05/09/2023,35022,153247,"1,088.10",Strategic Network Management: Chain Lane,,Company
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,ODLINGS LIMITED THE COLUMBARIA COMPANY,05/09/2023,701,153584,"14,175.00",Crematorium,,Company
Communities & Place,"Leisure, Culture and Tourism",Leisure,Leisure,SHARPE PRITCHARD LLP,05/09/2023,34340,153703,666,Moorways Sports Village,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,05/09/2023,34347,153704,540,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,05/09/2023,34065,153745,750,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,34835,153808,"1,807.20",Home To School Transport - SEN,,Individual (Non Business)
Communities & Place,Planning & Transportation,Traffic & Transportation,Traffic and Transport other,G2V RECRUITMENT GROUP LIMITED,05/09/2023,34450,153839,"2,325.00",Transforming Cities Programme,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,G2V RECRUITMENT GROUP LIMITED,05/09/2023,34450,153842,"3,675.00",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,,SME
Communities & Place,Public Protection and Streetride,Community Safety,Partnerships,ARCHWAY LEARNING TRUST,05/09/2023,34397,153845,"3,402.00",Ukraine Family Support,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153851,"2,962.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153857,"2,180.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,34109,153861,"1,281.60",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,34559,153864,662.4,Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153872,948,Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153893,"2,138.60",Home To School Transport - SEN,,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,05/09/2023,34534,153937,560,Housing Options (Private),,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153948,"1,346.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153962,"2,893.40",Home To School Transport - SEN,,SME
Corporate,Corporate,Corporate,Corporate Resources Other,MATRIX SCM LTD,05/09/2023,34126,153963,"59,135.29",Temporary Workers Control A/C,,Company
Corporate,Corporate,Corporate,Corporate Resources Other,MATRIX SCM LTD,05/09/2023,34126,153968,"142,932.88",Temporary Workers Control A/C,,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153969,"1,720.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153972,"1,258.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,153975,"1,159.20",Home To School Transport - SEN,,SME
Communities & Place,Public Protection and Streetride,Community Safety,Neighbourhood Boards,DG LAWN MAINTENANCE AND PITCH CARE SERVICES LTD,05/09/2023,35103,153979,750,Neighbourhood Boards,,Company
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,05/09/2023,34534,153984,560,Housing Options (Private),,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,05/09/2023,34534,153986,560,Housing Options (Private),,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,35059,153990,554.4,Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,34907,153992,"1,015.20",Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,34851,153994,"1,166.40",Home To School Transport - SEN,,Individual (Non Business)
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/09/2023,35056,153997,640,Housing Options (Private),,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,05/09/2023,35033,153998,"1,645.20",Home To School Transport - SEN,,Individual (Non Business)
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,05/09/2023,34769,154001,"10,657.19",Personal Budgets,,Individual (Non Business)
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/09/2023,35056,154002,"1,600.00",Housing Options (Private),,Company
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,05/09/2023,35056,154003,"1,040.00",Housing Options (Private),,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154008,"2,318.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154013,"1,706.40",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154015,"2,516.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154022,"1,496.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154026,"2,447.20",Home To School Transport - SEN,,SME
Communities & Place,Public Protection and Streetride,Community Safety,Partnerships,ST RALPH SHERWIN CATHOLIC MULTI ACADEMY TRUST SAINT BENEDICT CVA (BEN),05/09/2023,34456,154029,"3,780.00",Ukraine Family Support,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,A2B CARS,05/09/2023,34191,154034,"1,422.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,SPINNING TOPS DAY NURSERY,05/09/2023,35088,154035,568.8,Sinfin Team,,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,PURELIFE CARE SERVICES LTD,05/09/2023,35101,154041,"8,540.00",Housing Placements for Young People,,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,PURELIFE CARE SERVICES LTD,05/09/2023,35101,154042,"1,742.86",Housing Placements for Young People,,Company
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,I CARE GB LTD,05/09/2023,34311,154046,"1,151.76",South OP (over 65) LD - DP/Mgd,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,I CARE GB LTD,05/09/2023,34311,154047,587,Central OP (over 65) Physical - DP/Mgd,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,05/09/2023,33985,154048,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,05/09/2023,33985,154049,"1,420.10",Central/East MH LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,WISE HOME CARE LIMITED,05/09/2023,34542,154051,936.68,East OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,WISE HOME CARE LIMITED,05/09/2023,34542,154052,"1,294.80",East OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,WISE HOME CARE LIMITED,05/09/2023,34542,154053,"1,842.92",Central OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,WISE HOME CARE LIMITED,05/09/2023,34542,154054,881.66,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,WISE HOME CARE LIMITED,05/09/2023,34542,154055,"1,105.80",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,WISE HOME CARE LIMITED,05/09/2023,34542,154056,"1,089.28",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154057,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154058,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154059,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154060,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154061,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,WISE HOME CARE LIMITED,05/09/2023,34542,154062,546.24,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,WISE HOME CARE LIMITED,05/09/2023,34542,154064,"1,594.08",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,WISE HOME CARE LIMITED,05/09/2023,34542,154065,"1,594.08",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,WISE HOME CARE LIMITED,05/09/2023,34542,154069,819.36,East OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154070,"1,409.68",Central OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154072,"1,320.20",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154073,"1,320.20",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154075,"4,420.00",West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154076,"3,040.00",West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154077,"4,420.00",West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154078,"3,040.00",West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154079,"1,060.08",West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154080,"1,060.08",West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154081,"1,060.08",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154082,539.84,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154083,"1,369.84",Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154084,"1,256.15",Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154085,"1,372.20",Central/East MH PD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154087,"1,013.07",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154088,"1,153.60",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154089,"1,043.28",West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154090,929.88,West/South MH Memory Support (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154091,650.16,Central OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154092,520.24,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154093,"1,240.36",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154094,650.16,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154095,650.16,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154096,856.08,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154100,734.06,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154103,706.56,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154104,986.28,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154105,"1,033.05",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154108,"1,274.96",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154112,"1,226.48",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154113,"1,226.48",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154114,520.24,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154116,512.4,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154120,"1,320.20",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154121,"1,320.20",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154122,769.99,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154123,"1,520.38",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154124,"1,087.04",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154126,706.56,South OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154127,706.56,South OP (over 65) Memory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154128,780.36,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154130,560.01,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154131,799.96,Central OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154132,628.47,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154133,"1,190.00",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154134,"1,190.00",West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154135,632.76,West Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154137,"1,037.64",West Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154139,"1,199.80",West OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154140,"1,014.67",South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,BWA HEALTH AND CARE SERVICE LTD,05/09/2023,34033,154143,799.96,West OP (over 65) Physical - DP/Mgd,,SME
