DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,594.91,594.91,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,SENTRICARE EAST MIDS LTD,02/05/2023,3598,594.91,594.91,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,064.40","1,064.40",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MEDILINE HOME CARE LIMITED,02/05/2023,4102,"1,512.80","1,512.80",East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,EBENEZER (STONE OF HELP) LTD,02/05/2023,3969,"1,176.00","1,176.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MELLOWCARE LTD,02/05/2023,4032,"4,354.56","4,354.56",Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MELLOWCARE LTD,02/05/2023,4032,"4,354.56","4,354.56",Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,KE 247 STAFFING SOLUTIONS LTD,02/05/2023,4209,"2,739.60","2,739.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,KE 247 STAFFING SOLUTIONS LTD,02/05/2023,4209,"1,080.00","1,080.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,KE 247 STAFFING SOLUTIONS LTD,02/05/2023,4209,"3,652.80","3,652.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,KE 247 STAFFING SOLUTIONS LTD,02/05/2023,4209,"1,440.00","1,440.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MELLOWCARE LTD,02/05/2023,4032,"2,488.32","2,488.32",Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,490.60","2,490.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MELLOWCARE LTD,02/05/2023,4032,"1,866.24","1,866.24",Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,302.60","2,302.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,490.60","2,490.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,302.60","2,302.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,490.60","2,490.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,953.04,953.04,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"4,383.96","4,383.96",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,550.23,550.23,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,622.69,622.69,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,891.42","1,891.42",Ordinary Lives PD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,558.57,558.57,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",West Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,558.57,558.57,West Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,558.57,558.57,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,636.68","1,636.68",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,375.56","1,375.56",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,406.66","1,406.66",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,241.50","2,241.50",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,825.34,825.34,West Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,756.57,756.57,Preparing for adulthood 18-24 LD ? DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,134.85","1,134.85",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,957.2,957.2,West Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,045.85","2,045.85",Ordinary Lives LD Support (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,777.73,777.73,East Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,722.05","2,722.05",East Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,150.00","1,150.00",East Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,694.32,694.32,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,591.75,591.75,East Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,795.32,795.32,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,477.01","1,477.01",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,570.33,570.33,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,213.26","1,213.26",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,591.75,591.75,East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"2,722.05","2,722.05",East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,150.00","1,150.00",East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.3,653.3,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,192.52","1,192.52",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.3,653.3,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,933.95","1,933.95",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.2,653.2,East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,213.26","1,213.26",East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,518.49,518.49,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.3,653.3,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,933.95","1,933.95",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.3,653.3,East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,933.95","1,933.95",East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,213.26","1,213.26",East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.2,653.2,East OP (over 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,653.2,653.2,Ordinary Lives LD Support (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,02/05/2023,4400,"1,213.26","1,213.26",Ordinary Lives LD Support (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,543.66,543.66,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,543.66,543.66,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,510.18,510.18,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,510.18,510.18,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,567.2,567.2,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,567.2,567.2,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,575.47,575.47,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,559,559,Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,559,559,Central Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,680.93,680.93,Central OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,657.68,657.68,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,657.68,657.68,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,525.89,525.89,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,591.15,591.15,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,DERBYSHIRE CARE SERVICES,02/05/2023,3498,680.93,680.93,West OP (over 65) Mental Health - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,753.69,753.69,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,571.43,571.43,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,594.51,594.51,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,594.51,594.51,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,753.69,753.69,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,605.55,605.55,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,605.55,605.55,West OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,753.69,753.69,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,753.69,753.69,South OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,681.85,681.85,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,681.85,681.85,East OP (over 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,558.36,558.36,Central Adults (under 65) Sensory - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,02/05/2023,3498,561.4,561.4,South OP (over 65) Physical - DP/Mgd,,SME
