DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,2/11/2023,00049569,216345,"15,000.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,2/11/2023,00049755,217382,850.00,Legal Fees,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,PREMIER MOBILITY (UK) LIMITED,2/11/2023,00049635,217520,"2,381.36",REFCUS - Disabled Facilities Grant 96 Act,,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,2/11/2023,00049609,217698,"1,821.88",Projects Water & Flood Risk Management,,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,F G ADAMSON AND SON PART OF THE RIPON FAMILY,2/11/2023,00049803,217709,"2,175.93",Grounds Maintenance,,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,MATCHTECH GROUP PLC,2/11/2023,00049609,217727,"1,746.03",Engineering Section,,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,SSE,2/11/2023,00049778,217853,532.33,Chaddesden Community Managed Library,,Company
Communities & Place,Communities,Community Safety & Localities,Libraries,SSE,2/11/2023,00049778,217858,536.29,Chellaston Community Managed Library,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,AR CHOLERTON LTD,2/11/2023,00049614,217909,"2,202.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,2/11/2023,00049872,217911,"2,289.60",Personal Budgets,,Individual (Non Business)
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,2/11/2023,00049902,217914,"1,470.00",Personal Budgets,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,NEWDEC INTERIORS LTD,2/11/2023,00049642,217927,550.00,REFCUS - Disabled Facilities Grant 96 Act,,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,2/11/2023,00049540,217936,"8,820.73",Transactional Services,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,L B CONSTRUCTION DERBY LIMITED,2/11/2023,00049859,217940,"6,000.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,NEWDEC INTERIORS LTD,2/11/2023,00049642,217944,"5,500.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,ROYAL MAIL GROUP PLC.,2/11/2023,00049540,217945,"6,632.75",Transactional Services,,Company
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,2/11/2023,00049612,217984,"7,100.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,2/11/2023,00049854,217996,600.00,Legal Fees,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,ADEEL SHOAIB AWAMI TRAVEL LTD,2/11/2023,00049783,218027,"1,605.00",Home To School Transport - SEN,,Sole Trader
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,2/11/2023,00049612,218031,"7,825.20",REFCUS - Disabled Facilities Grant 96 Act,,SME
Communities & Place,Communities,Community Safety & Localities,Partnerships,SANDRA WHILES COACHING LTD,2/11/2023,00049777,218035,"3,650.00",City and Neighbourhoods Partnerships Core,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,2/11/2023,00049621,218052,"1,785.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,2/11/2023,00049621,218059,"1,674.50",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,2/11/2023,00049621,218063,"1,890.00",Home To School Transport - SEN,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,SECURITAS TECHNOLOGY LTD,2/11/2023,00049716,218064,"1,169.49",Shine,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218065,"1,003.00",Home To School Transport - SEN,,Sole Trader
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,2/11/2023,00049673,218069,"1,137.77",Highways Maintenance Works,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218071,"2,430.00",Home To School Transport - SEN,,Sole Trader
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,HARTSHORNE MOTOR SERVICES LTD,2/11/2023,00049616,218078,511.24,Vehicle Maintenance,,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",CROCKER BROS LTD,2/11/2023,00049588,218083,"3,219.09",Derby Live - Outdoor Events,,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,ROYAL MAIL GROUP PLC,2/11/2023,00049541,218084,870.00,Riverside Chambers,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,WESTERN CARS CO,2/11/2023,00049546,218085,"1,130.00",Haddon Team,,SME
Chief Executives,Corporate Management,"Comms, Website & Engagement",Communication,LOSTBOYS PRODUCTIONS,2/11/2023,00049651,218088,525.00,Corporate Communications,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,WESTERN CARS CO,2/11/2023,00049546,218092,"1,250.00",Haddon Team,,SME
Chief Executives,Corporate Management,"Comms, Website & Engagement",Communication,REDACTED,2/11/2023,00049878,218102,565.50,Corporate Communications,,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,NOTTINGHAMSHIRE COUNTY COUNCIL,2/11/2023,00049571,218111,"45,931.63",CIC Leaving Care Team,,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,DERBYSHIRE LANDSKILLS,2/11/2023,00049701,218126,717.00,Arboricultural Maintenance,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,BALFOUR BEATTY CIVIL ENGINEERING LTD,2/11/2023,00049671,218134,"26,027.62",TCF Tranche 2 - Bus & Rapid Transit Links: Nottingham Road,,SME
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,PARKSAFE,2/11/2023,00049559,218153,"10,399.99",Parking Services,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,JACKSON FRAMEWORKS LTD,2/11/2023,00049879,218167,"23,400.84",Our City Our River - Package 2,,Company
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218168,"1,827.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218173,"1,985.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218175,"2,365.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218180,"1,045.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218183,"1,732.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218184,854.05,Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218188,"1,092.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218190,"2,446.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218210,"1,140.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218276,"1,649.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218283,"1,170.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,JJG CONSULTANTS LTD,2/11/2023,00049677,218289,660.00,IDCS Residential,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218304,"2,125.00",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218306,"1,225.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218310,"1,606.50",Home To School Transport - SEN,,Sole Trader
Resources,Resources,Resources,Resources,HAYS SPECIALIST RECRUITMENT LTD,2/11/2023,00049548,218341,591.60,Major IT Systems Developments,,SME
Communities & Place,Communities,Community Safety & Localities,Partnerships,ATLAS ENFORCEMENT LTD,2/11/2023,00049629,218363,"2,333.10",CCTV,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REFLECTIVE SCHOOL SUPPORT LIMITED.,2/11/2023,00049831,218367,"1,300.00",Pupil Premium Grant,,SME
Communities & Place,Public Protection and Streetride,"Environmental Protection, Housing Standa",Housing Standards,G2V RECRUITMENT GROUP LIMITED,2/11/2023,00049753,218377,"1,850.00",Housing Standards,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NOVA CENTRIC LIMITED,2/11/2023,00049737,218383,"20,722.48",Post 16 LDD,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Commissioning,Commissioned Providers,ENDORPHINS GROUP,2/11/2023,00049849,218384,"2,800.00",IDCS Community Short Breaks,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,RUSHCLIFFE SPECIALIST SCHOOLS MICKLEOVER LTD,2/11/2023,00049824,218386,"33,955.80",Out of Authority Education Placements,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,WESTERN CARS CO,2/11/2023,00049546,218387,650.00,Chatsworth Team,,SME
Communities & Place,Communities,Streetpride,Cleansing,GRAFFITI REMOVAL LTD,2/11/2023,00049587,218388,790.00,Street Cleaning,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,SOUTHERN DERBYSHIRE LIFT PROJECT COMPANY (NO 1) LTD,2/11/2023,00049749,218390,"49,764.70",IDCS Admin,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CROWN HOUSE PUBLISHING LIMITED,2/11/2023,00049838,218393,671.55,Pupil Premium Grant,,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,SALLY STANLEY CONSULTANCY,2/11/2023,00049856,218394,"3,000.00",Early Years Quality Assurance,,Sole Trader
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CROWN HOUSE PUBLISHING LIMITED,2/11/2023,00049838,218395,"1,854.61",Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TEACHING PERSONNEL LTD.,2/11/2023,00049553,218396,"1,085.04",Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,TARGETED PROVISION LTD,2/11/2023,00049833,218399,"8,710.00",Out of Authority Education Placements,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,TEACHING PERSONNEL LTD.,2/11/2023,00049553,218400,"4,362.77",Out of Authority Education Placements,,SME
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ASPRIS CHILDRENS SERVICES LIMITED,2/11/2023,00049858,218402,"5,677.71",Out of Authority Education Placements,,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,2/11/2023,00049844,218411,630.00,Housing Options (Private),,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,2/11/2023,00049589,218412,885.00,Housing Options (Private),,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218435,"2,150.00",Home To School Transport - SEN,,Sole Trader
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,2/11/2023,00049867,218469,747.00,Clean Air Zone,,Company
Communities & Place,Communities,Community Safety & Localities,Libraries,REVIVE MANAGEMENT SERVICES LTD.,2/11/2023,00049648,218479,"4,101.01",Derwent Community Managed Library,,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,STANNAH LIFT SERVICES LTD,2/11/2023,00049578,218489,"1,358.32",Occupational Therapy Team,,Company
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,STANNAH LIFT SERVICES LTD,2/11/2023,00049578,218497,534.00,Occupational Therapy Team,,Company
Communities & Place,City Growth & Vibrancy,Culture & Leisure,Leisure,EVERYONE ACTIVE,2/11/2023,00049840,218520,"13,974.00",Moorways Sports Village,,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218547,"1,415.50",Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,EAGLE CITY CARS,2/11/2023,00049664,218555,"1,395.00",Home To School Transport - SEN,,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,PRIM SHORT STAYS LTD,2/11/2023,00049875,218559,"4,015.00",Housing Options (Private),,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,VODAFONE LTD,2/11/2023,00049585,218570,"16,032.58",IT Infrastructure,,Company
People Services - Adults and Health,Public Health,Public Health,COVID19 Test and Trace,DERBYSHIRE VOLUNTARY ACTION,2/11/2023,00049885,218591,"50,000.00",Community Vaccine Champions,,Voluntary
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WHITEHOUSE CONSTRUCTION CO LTD,2/11/2023,00049539,218596,"350,795.01",Kingsway Retail Park Signals,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,2/11/2023,00049852,218610,"5,248.19",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,2/11/2023,00049852,218660,"5,932.78",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218718,622.77,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218719,"2,759.00",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218725,"1,611.51",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218726,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218727,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218729,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218730,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218731,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218732,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218734,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218735,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218736,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218737,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218739,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218740,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218741,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218743,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218744,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218745,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218747,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218749,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218752,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218753,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218754,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218755,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218757,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218758,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218760,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218761,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049813,218765,503.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,2/11/2023,00049855,218766,"2,148.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,2/11/2023,00049644,218770,"8,718.80",East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,2/11/2023,00049684,218771,"1,014.32",Central Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,ALPHEUS ENVIRONMENTAL LTD,2/11/2023,00049560,218813,"10,929.07",Repair & Maintenance Works,,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,KONE PLC,2/11/2023,00049627,218816,544.92,Building Services,,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,2/11/2023,00049638,218838,841.68,Repair & Maintenance Works,,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,2/11/2023,00049638,218839,"1,174.32",Repair & Maintenance Works,,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,2/11/2023,00049638,218851,735.00,Repair & Maintenance Works,,SME
