DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ROYAL SCHOOL FOR THE DEAF DERBY,04/07/2023,19120,66256,"26,538.67",Out of Authority Education Placements,,Public/Government Agency
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Cleansing,BROXAP LTD,04/07/2023,18235,81061,"14,827.00",Street Cleaning,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,04/07/2023,18479,88808,"3,848.00",Highways Maintenance Reactionary Works,,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,MULTEVO LIMITED,04/07/2023,18847,88871,"147,463.00",UPRN 10110 - Asset Management - Highways Maintenance,,SME
People Services - Adults and Health,Mental Health,Social Care Activities,Mental Health - Social Care Activities,THE UNIVERSITY OF BIRMINGHAM,04/07/2023,18234,89741,535.83,Adult Workforce Learning and Development,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,REDACTED,04/07/2023,19398,89879,"6,300.00",Short Breaks Innovation Fund SEND,,Public/Government Agency
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,PHOENIX LEARNING AND CARE LIMITED,04/07/2023,18641,89936,"1,468.32",Preparing for adulthood 18-24 LD ? DP/Mgd,,Public/Government Agency
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,19362,90001,"2,398.50",Ordinary Lives LD Support (under 65) - DP/Mgd,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Unaccompanied Children Asylum Seekers,HOME OFFICE,04/07/2023,19167,90008,"15,000.00",Unaccomp Childn Asylum Seeker,,Public/Government Agency
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Trading Standards,HOME OFFICE,04/07/2023,19167,90015,"4,358.06",Trading Standards,,Public/Government Agency
Corporate Resources,Financial Services,Financial Services,Business Support,RESTORE PLC,04/07/2023,18573,90031,"4,370.20",Transactional Services,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,PORTLAND CARE 4 LTD,04/07/2023,19331,90037,"8,226.00",West/South MH Support Adults (under 65) - R/N,,SME
Corporate Resources,"Legal, Procurement and Democratic Servic","Legal, Procurement and Democratic Servic",Democracy - Constitutional and Member Se,REDACTED,04/07/2023,18350,90051,505.67,Members Allowances,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ESTEEM MULTI ACADEMY TRUST HOLBROOK SCHOOL FOR AUTISM,04/07/2023,18717,90082,600,Pupil Premium Grant,,Public/Government Agency
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,ARRIVING LTD,04/07/2023,18489,90097,"6,546.84",Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,ARRIVING LTD,04/07/2023,18490,90104,"2,273.92",Highways Maintenance Works,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,1ST PLANNER LTD,04/07/2023,18921,90106,"4,000.00",High Needs Contingency,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BROADLEAF PARTNERSHIP TRUST,04/07/2023,19106,90116,980,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,19356,90127,750,Legal Fees,,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WINTERTON COMMUNITY ACADEMY,04/07/2023,19256,90129,640,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST GRAMPIAN ACADEMY,04/07/2023,18958,90130,515,Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LANDAU FORTE CHARITABLE TRUST,04/07/2023,18959,90131,"1,305.00",Pupil Premium Grant,,Public/Government Agency
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,04/07/2023,18523,90133,700,Housing Options (Private),,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,QEGSMAT CHELLASTON ACADEMY,04/07/2023,18828,90136,640,Pupil Premium Grant,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FOUR CS MAT,04/07/2023,18961,90140,"2,217.00",Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,DA LANGUAGES LTD,04/07/2023,18474,90141,"5,080.39",Interpreting and Translation,,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE DE MONTFORT SCHOOL,04/07/2023,19236,90142,700,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST ASTERDALE PRIMARY SCHOOL,04/07/2023,18757,90145,585,Pupil Premium Grant,,Public/Government Agency
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,04/07/2023,18257,90169,715,Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,04/07/2023,18257,90170,935,Home To School Transport - SEN,,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,04/07/2023,18863,90408,836.54,Adoption,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,04/07/2023,18385,90443,866.27,Adoption,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,04/07/2023,18462,90628,700,Fostering Allowances,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,04/07/2023,19337,90794,568.39,Fostering Allowances,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,18664,91297,626.83,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,19229,91316,688,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,19285,91322,698,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,04/07/2023,19351,91409,782.38,Leaving & After Care,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,19359,91426,"1,529.69",Locality 1 and 5 - Kinship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,18834,91541,545.54,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,18879,91549,634.48,Special Guardianship,,Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/07/2023,18996,91600,639,Special Guardianship,,Individual (Non Business)
Communities & Place,Planning & Transportation,Planning,Spatial Planning,BE GROUP,04/07/2023,19227,91625,"2,810.00",Spatial Planning,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/07/2023,18679,91627,"2,514.00",Police Escorts,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/07/2023,18679,91629,"9,517.00",Police Escorts,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/07/2023,18679,91632,"9,517.00",Police Escorts,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/07/2023,18679,91635,"7,061.00",Police Escorts,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,SHARED SERVICES CONNECTED LTD HM PRISON & PROBATION SERVICE - NOMS,04/07/2023,18679,91659,"9,517.00",Police Escorts,,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,04/07/2023,19210,91681,650,REFCUS - Disabled Facilities Grant 96 Act,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18916,91742,523.66,Central Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18971,91759,666.48,East Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,18677,91761,666.48,Central/East MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18677,91762,666.48,Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18388,91765,"2,603.84",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18792,91766,819.36,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18491,91777,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18491,91780,"1,570.36",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18580,91781,666.48,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18741,91784,"1,238.52",Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,18580,91785,"2,867.56",West/South MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,18446,91796,888.64,Central/East MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18272,91799,546.24,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18792,91808,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18543,91813,819.36,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18543,91814,"1,612.92",South Team - Shared Lives,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,MEDEQUIP ASSISTIVE TECH LTD,04/07/2023,18368,91818,"1,149.00",REFCUS - Healthy Housing Assistance,,Company
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18442,91824,"1,612.92",South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18333,91826,"1,612.92",Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18385,91832,"2,259.64",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18564,91836,"1,847.24",West Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18564,91843,666.48,South Team - Shared Lives,,Individual (Non Business)
Communities & Place,"Leisure, Culture and Tourism","Culture, Business Development & Tourism","Culture, Business Development & Tourism",PW HIRE LIMITED,04/07/2023,18634,91850,"2,100.00",Derby Live - Outdoor Events,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18791,91851,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18928,91853,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18682,91854,"2,259.64",Central Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,18682,91855,512.1,West/South MH Support - Shared Lives,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,04/07/2023,19140,91856,"8,500.00",REFCUS - Disabled Facilities Grant 96 Act,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18407,91865,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18272,91878,"1,238.52",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18629,91881,666.48,Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,18771,91883,999.72,Central/East MH Support - Shared Lives,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,04/07/2023,18205,91889,"19,100.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18433,91894,666.48,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18666,91898,666.48,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18629,91900,666.48,Central Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18577,91901,888.64,South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Community Support,Shared Lives,Community Support - Shared Lives,REDACTED,04/07/2023,18577,91905,"1,612.92",South Team - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18577,91907,"1,467.16",Preparing for adulthood LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18577,91908,819.36,Ordinary Lives LD - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,04/07/2023,19098,91913,666.48,West/South MH Support - Shared Lives,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18661,91916,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,04/07/2023,18205,91918,"2,385.00",REFCUS - Disabled Facilities Grant 96 Act,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,04/07/2023,18661,91919,"1,612.92",Ordinary Lives LD - Shared Lives,,Individual (Non Business)
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,04/07/2023,19314,91922,755,REFCUS - Disabled Facilities Grant 96 Act,,Individual (Non Business)
Communities & Place,Public Protection and Streetride,"Trading Standards, Food and Safety, Bere",Bereavement Services,PARK LANE SURGERY,04/07/2023,18319,92038,647.5,Crematorium,,Public/Government Agency
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,04/07/2023,18800,92040,881.66,Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Highways Maintenance,STACEY ASPHALT LIMITED,04/07/2023,18800,92041,888,Highways Maintenance Works,,SME
Communities & Place,Public Protection and Streetride,"Waste, Street Cleansing & Fleet",Waste Disposal,BIFFA WASTE SERVICES LTD,04/07/2023,18181,92102,"42,939.46",Waste Disposal,,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ACORN CARE AND EDUCATION LTD,04/07/2023,18448,92110,"18,472.33",Out of Authority Education Placements,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,NORTHERN TAXIS LTD VEEZU,04/07/2023,19166,92122,"2,527.00",Chatsworth Team,,SME
Communities & Place,Public Protection and Streetride,Highways and Grounds Maintenance,Grounds Maintenance,CROMWELL POLYTHENE LTD,04/07/2023,18651,92378,"2,636.55",Grounds Maintenance,,Company
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,04/07/2023,18359,92385,"9,780.96",Genitourinary Medicine Services (GUM) - Out Of Area,,SME
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,04/07/2023,18359,92386,"7,937.52",Genitourinary Medicine Services (GUM) - Out Of Area,,SME
Communities & Place,City Development & Growth,Strategic Housing,Housing and Advice,TYGER HOLDINGS LTD,04/07/2023,19169,92412,"1,200.00",Housing Options (Private),,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92413,788.92,South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92414,"1,458.24",South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92415,788.92,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92416,"7,056.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92417,788.92,South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92418,"1,284.64",South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92419,788.92,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92420,"6,492.64",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92422,788.92,South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92423,"8,888.32",South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92425,788.92,Ordinary Lives Sensory Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92426,788.92,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92427,"5,224.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92428,788.92,South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CREATIVE SUPPORT LTD,04/07/2023,18297,92429,"6,857.20",South Adults (under 65) LD - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92430,788.92,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,CREATIVE SUPPORT LTD,04/07/2023,18297,92431,"7,056.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92433,"1,104.49",South Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92436,"1,111.04",South Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92437,"1,041.60",South Adults (under 65) Physical - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92439,555.52,West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92440,555.56,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92448,694.4,West/South MH Support Adults (under 65) - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92457,555.56,Central/East MH Support OP (over 65) - DP/Mgd,,SME
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92460,694.4,Central Adults (under 65) Sensory - DP/Mgd,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,CREATIVE SUPPORT LTD,04/07/2023,18297,92461,555.52,West/South MH Support Adults (under 65) - DP/Mgd,,SME
