Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Rent Payments,10/09/2024,30037494,450,Yarburgh Village Hall
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Rent Payments,10/09/2024,30037560,450,Yarburgh Village Hall
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Legal Fees,10/09/2024,30037398,380.5,Freeths LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,10/09/2024,30037448,241.64,Sid Dennis and Sons Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,10/09/2024,30037552,"1,550.00",M.A.P Security Solutions Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Rent Payments,10/09/2024,30037277,"1,494.67",Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Works to Buildings (Main Contractor),10/09/2024,30037558,515.1,The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Public Protection,Professional and Contractors Fees,10/09/2024,30037345,300,BT
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),10/09/2024,30037467,"27,609.90",Andrew Wrisdale Building Contractor
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Transformation Services Manager,Grants and Contributions - Where a Service is Received,10/09/2024,30037475,"1,097.64",Louth Spiritual Community Centre
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,10/09/2024,30037549,"4,890.18",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,10/09/2024,30037550,930.63,Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,10/09/2024,30037280,380.58,Chandlers (Farm Equipment) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,10/09/2024,30037301,218.4,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,12/09/2024,30037616,800,Chartered Inst of Environmental Health
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Staff Recruitment,12/09/2024,30037615,800,Chartered Inst of Environmental Health
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Buildings Maintenance - Responsive,12/09/2024,30037539,460,Selmec Lincoln Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,12/09/2024,30037400,"38,008.40",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,12/09/2024,30037401,"38,008.40",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,12/09/2024,30037402,"38,008.40",F.P.Smith Motors Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Programmed,12/09/2024,30037496,"8,000.00",Gelder Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Programmed,12/09/2024,30037497,"8,000.00",Gelder Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Responsive,12/09/2024,30037539,230,Selmec Lincoln Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Other Private Contractors,12/09/2024,30037547,653.5,Lincs Design Consultancy Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Premises Lease Payments (More than 12 months),12/09/2024,30037292,"5,833.33",Innes England
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),12/09/2024,30037698,"35,831.48",Belton Construction
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),12/09/2024,30037700,"1,965.65",Mark Donner Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Economic Growth,Professional Fees,17/09/2024,30037609,"644,280.37",TEC Partnership
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Economic Growth,Professional Fees,17/09/2024,30037696,"626,910.27",TEC Partnership
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Economic Growth,Professional Fees,17/09/2024,30037697,"169,085.80",EMR
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Regulation,Professional and Contractors Fees,17/09/2024,30037773,"5,784.48",Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional and Contractors Fees,17/09/2024,30037771,"1,169.00",Browne Jacobson LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,17/09/2024,30037609,"644,280.37",TEC Partnership
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,17/09/2024,30037696,"626,910.27",TEC Partnership
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,17/09/2024,30037697,"169,085.80",EMR
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Public Sector Partnership Services,17/09/2024,30037315,"563,291.48",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Economic Growth,Professional Fees,17/09/2024,30037603,"9,020.41",Constellia Public Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Bed and Breakfast Accommodation (Homelessness Service),17/09/2024,30037701,630,Fairfield Guest House
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions to Outside Bodies - No Service Received,17/09/2024,30037775,"9,489.00",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Rent Payments,17/09/2024,30037742,382.66,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Building Control,Professional and Contractors Fees,17/09/2024,30037773,"2,892.24",Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Climate Change and Environment,Employee Professional Subscriptions (Non-Payroll),17/09/2024,30037395,378,Elmhurst Energy Systems Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Climate Change and Environment,Staff Training Expenses (Non-Payroll),17/09/2024,30037395,"2,560.00",Elmhurst Energy Systems Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Project Manager,Professional Fees,17/09/2024,30037603,"9,020.41",Constellia Public Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions to Outside Bodies - No Service Received,17/09/2024,30037775,"9,489.00",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),17/09/2024,30037701,630,Fairfield Guest House
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Rent Payments,17/09/2024,30037742,382.66,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Computer Software Licence Costs,17/09/2024,30037553,"86,751.35",Housing Partners Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,17/09/2024,30037483,"2,760.00",Empire Waste Services Ltd
