,,,,March 2024 £500 spend data,,,,
,,,,,,,,
Payment Date,Transaction Number,Non-Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
26/03/2024,936853,0,850,42 BEDFORD ROW BARRISTERS,10108700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
14/03/2024,936854,0,750,4-5 GRAY'S INN SQUARE,8677700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
14/03/2024,936855,0,750,4-5 GRAY'S INN SQUARE,8677700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
05/03/2024,936856,0,1096.98,7 MOUNTAINS PROPERTIES LTD,10213800,Housing Rent it Right,Place,Housing and Strategic Planning
26/03/2024,936857,0,1400,A C E (PRIMARY CONSULTANCY) LIMITED,10113200,Agency Staff,Children's Services,Education Services
14/03/2024,936870,0,2367.42,A R RALPH SOLICITORS,8751200,Legal Fees,Place,Housing and Strategic Planning
05/03/2024,936871,0,820.81,A W  KEIL LTD,99000,Major Repairs and Structural,Place,Housing and Strategic Planning
28/03/2024,936872,0,-1690,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936873,0,-1433.12,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
04/03/2024,936878,0,-1041.4,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936879,0,-716.56,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936880,0,-676,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936884,0,-520.7,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936893,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936894,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936895,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936896,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936897,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936898,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936899,0,542.8,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
28/03/2024,936905,0,549.92,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
04/03/2024,936906,0,687.4,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
04/03/2024,936907,0,687.4,ABANTU CARE UK,8400028800,CommServs-ProvPayOP,Adults & Health,BOROUGHWIDE
