Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81229378,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,700
Bath and North East Somerset Council,81229376,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,750
Bath and North East Somerset Council,81229388,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,750
Bath and North East Somerset Council,11059713,LP5,Software Support,P26,Economic Development & Resources,FLOWBIRD SMART CITY UK LTD,02/10/2023,630
Bath and North East Somerset Council,81229387,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,1200
Bath and North East Somerset Council,81229386,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,1500
Bath and North East Somerset Council,81229384,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,1655
Bath and North East Somerset Council,11059717,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,SIMPLE STUFF WORKS ASSOCIATED LTD,02/10/2023,671
Bath and North East Somerset Council,11059704,LJ4,Contracts,P25,Transport,ALLIED PUBLICITY SERVICES (MANCHESTER) LIMITED,02/10/2023,680.67
Bath and North East Somerset Council,11059654,LA1,Equipment Purchase (Non Medical),P28,Adult Services & Council House Building,CEFNDY HEALTHCARE & MANUFACTURING,02/10/2023,682.52
Bath and North East Somerset Council,11059699,HA2,Servicing,P26,Economic Development & Resources,FIREMARK LTD,02/10/2023,687.71
Bath and North East Somerset Council,11059563,HA1,Responsive Maintenance,P26,Economic Development & Resources,ADT FIRE & SECURITY PLC,02/10/2023,691.7
Bath and North East Somerset Council,11059683,LK1,Fees,P31,"Economic Development, Regeneration & Growth",CHURCHES TOGETHER IN KEYNSHAM AND SALTFORD,02/10/2023,750
Bath and North East Somerset Council,11059641,LA1,Equipment Purchase (Non Medical),P28,Adult Services & Council House Building,PEARCE BROTHERS MOBILITY CENTRE,02/10/2023,765
Bath and North East Somerset Council,11059620,HE5,Security of Premises,P26,Economic Development & Resources,RS SECURITY LTD,02/10/2023,902
Bath and North East Somerset Council,11059679,LJ4,Contracts,P05,Neighbourhood Services,HAKO MACHINES LTD,02/10/2023,976.68
Bath and North East Somerset Council,11059681,LJ4,Contracts,P05,Neighbourhood Services,HAKO MACHINES LTD,02/10/2023,976.68
Bath and North East Somerset Council,11059643,EA1,Training,P26,Economic Development & Resources,MENTORING PLUS BATH AND NE SOMERSET LTD,02/10/2023,980
Bath and North East Somerset Council,11059705,LV1,Grants to Voluntary Bodies,P04,Leader,MAYOR OF BATH'S CORPS OF HONORARY GUIDES,02/10/2023,989
Bath and North East Somerset Council,81229278,LA7,Purchases for Resale,P04,Leader,COTSWOLD LAVENDER,02/10/2023,1021.14
Bath and North East Somerset Council,11059586,HA3,Planned Maintenance,P30,Planning & Licensing,WESSEX WATER SERVICES LIMITED,02/10/2023,1021.74
Bath and North East Somerset Council,11059621,HE5,Security of Premises,P26,Economic Development & Resources,RS SECURITY LTD,02/10/2023,1070
Bath and North East Somerset Council,11059652,LA1,Equipment Purchase (Non Medical),P28,Adult Services & Council House Building,HERIDA HEALTHCARE LTD,02/10/2023,1112
Bath and North East Somerset Council,11059622,LA1,Equipment Purchase (Non Medical),P28,Adult Services & Council House Building,DRIVE DEVILBISS HEALTHCARE LIMITED,02/10/2023,1159.48
Bath and North East Somerset Council,11059582,3F7,External Fees,P19,Resources,CSQUARED REAL ESTATE LLP,02/10/2023,1200
Bath and North East Somerset Council,11059612,HE5,Security of Premises,P26,Economic Development & Resources,RS SECURITY LTD,02/10/2023,1223
Bath and North East Somerset Council,11059655,LJ4,Contracts,P05,Neighbourhood Services,AVON TRAILER TOWBAR CENTRE,02/10/2023,1247
Bath and North East Somerset Council,11059700,HA2,Servicing,P26,Economic Development & Resources,FIREMARK LTD,02/10/2023,1334.81
Bath and North East Somerset Council,11059658,LJ4,Contracts,P05,Neighbourhood Services,TOM DAY LTD,02/10/2023,1376.63
Bath and North East Somerset Council,11059653,HV1,Contract Cleaning,P26,Economic Development & Resources,DIRECT CLEANING SERVICES SW LTD,02/10/2023,1523.07
Bath and North East Somerset Council,81229279,LA7,Purchases for Resale,P04,Leader,GHIL,02/10/2023,1789.84
Bath and North East Somerset Council,81229272,LA7,Purchases for Resale,P04,Leader,ARTHOUSE UNLIMITED,02/10/2023,1901.8
Bath and North East Somerset Council,11059619,LV2,Contributions to Organisations,P31,"Economic Development, Regeneration & Growth",LITTLE LOST ROBOT CIC,02/10/2023,2125
Bath and North East Somerset Council,81229280,LA7,Purchases for Resale,P04,Leader,HATTON TEXTILES (UK) LTD,02/10/2023,2230
Bath and North East Somerset Council,11059604,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,TACT,02/10/2023,2328.1
Bath and North East Somerset Council,11059627,DB1,Agency Staff,P28,Adult Services & Council House Building,PERMANENT FUTURES LIMITED,02/10/2023,2500
Bath and North East Somerset Council,81229283,LA7,Purchases for Resale,P04,Leader,MICRODESIGNS LTD,02/10/2023,2700
Bath and North East Somerset Council,81229287,LA7,Purchases for Resale,P04,Leader,TEMPLE ISLAND COLLECTIONS,02/10/2023,2714
Bath and North East Somerset Council,11058997,LL1,Services to/for Clients,P29,Children and Young People & Communities,ALWAYS PRECIOUS LTD,02/10/2023,2816.6
Bath and North East Somerset Council,11059630,LP1,Hardware Purchase,P29,Children and Young People & Communities,BECHTLE DIRECT LTD,02/10/2023,2979.54
Bath and North East Somerset Council,11059005,LJ4,Contracts,P29,Children and Young People & Communities,MIAG LTD,02/10/2023,3013.2
Bath and North East Somerset Council,11059718,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,SCHUCHMANN LLP,02/10/2023,3038
Bath and North East Somerset Council,81229284,LA7,Purchases for Resale,P04,Leader,MY DORIS,02/10/2023,3050
Bath and North East Somerset Council,11059602,LA5,Materials,P05,Neighbourhood Services,JPK TRADE  SUPPLIES LTD,02/10/2023,3071.28
Bath and North East Somerset Council,11059611,LA5,Materials,P05,Neighbourhood Services,JPK TRADE  SUPPLIES LTD,02/10/2023,3071.28
Bath and North East Somerset Council,11059600,LJ1,Consultants Fees,P30,Planning & Licensing,CTS TRAFFIC AND TRANSPORTATION,02/10/2023,3148.5
Bath and North East Somerset Council,11059599,HE5,Security of Premises,P25,Transport,SAFE AND SOUND UK LIMITED,02/10/2023,3295.79
Bath and North East Somerset Council,11059613,LA5,Materials,P05,Neighbourhood Services,JPK TRADE  SUPPLIES LTD,02/10/2023,3425.5
Bath and North East Somerset Council,11059581,LK1,Fees,P29,Children and Young People & Communities,LUCY BILLINGTON,02/10/2023,3594.4
Bath and North East Somerset Council,11059682,LA1,Equipment Purchase (Non Medical),P28,Adult Services & Council House Building,DRIVE DEVILBISS HEALTHCARE LIMITED,02/10/2023,3730.32
Bath and North East Somerset Council,11059693,LP5,Software Support,P26,Economic Development & Resources,IDOX SOFTWARE LTD,02/10/2023,3804.23
Bath and North East Somerset Council,81229288,LA7,Purchases for Resale,P04,Leader,TINKER TAILOR LTD,02/10/2023,3850
Bath and North East Somerset Council,81229282,LA7,Purchases for Resale,P04,Leader,I WAS HERE SOUVENIRS LTD,02/10/2023,4050
Bath and North East Somerset Council,11058995,LL1,Services to/for Clients,P29,Children and Young People & Communities,ALWAYS PRECIOUS LTD,02/10/2023,4547.67
Bath and North East Somerset Council,11059608,LA5,Materials,P05,Neighbourhood Services,JPK TRADE  SUPPLIES LTD,02/10/2023,4674.8
Bath and North East Somerset Council,11059006,LJ4,Contracts,P29,Children and Young People & Communities,MIAG LTD,02/10/2023,4687.2
Bath and North East Somerset Council,11059690,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,ACTION FOR CHILDREN,02/10/2023,5571.3
Bath and North East Somerset Council,11058994,LL1,Services to/for Clients,P29,Children and Young People & Communities,ALWAYS PRECIOUS LTD,02/10/2023,6149
Bath and North East Somerset Council,11059593,DB1,Agency Staff,P28,Adult Services & Council House Building,NEWCROSS HEALTHCARE SOLUTIONS LTD,02/10/2023,6677.6
Bath and North East Somerset Council,11059689,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,ACTION FOR CHILDREN,02/10/2023,8700
Bath and North East Somerset Council,11059691,LM1,Volunt Homes Placements Top/Up,P29,Children and Young People & Communities,BEAR CARE SERVICES LIMITED,02/10/2023,8880
Bath and North East Somerset Council,11059589,3C4,Building Works,P19,Resources,ADT FIRE & SECURITY PLC,02/10/2023,10000
Bath and North East Somerset Council,11059703,LM1,Volunt Homes Placements Top/Up,P29,Children and Young People & Communities,BEAR CARE SERVICES LIMITED,02/10/2023,10360
Bath and North East Somerset Council,11059080,LJ4,Contracts,P29,Children and Young People & Communities,LEARN@MAT,02/10/2023,13500
Bath and North East Somerset Council,11059708,LJ4,Contracts,P29,Children and Young People & Communities,SOUTHSIDE FAMILY PROJECT,02/10/2023,50000
Bath and North East Somerset Council,11059712,LJ4,Contracts,P29,Children and Young People & Communities,SOUTHSIDE FAMILY PROJECT,02/10/2023,100207.87
Bath and North East Somerset Council,81229711,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229735,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229717,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229687,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229737,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229698,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229566,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,580
Bath and North East Somerset Council,81229567,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,580
Bath and North East Somerset Council,11056243,LK1,Fees,P27,Climate Emergency & Sustainable Travel,MODESHIFT,04/10/2023,250
Bath and North East Somerset Council,11059730,LW9,Other Expenses,P29,Children and Young People & Communities,B&NES COUNCIL -  OFFICE SERVICES,04/10/2023,4559.28
Bath and North East Somerset Council,11059885,KD1,Employees Public Transport,P04,Leader,VEEZU LTD,04/10/2023,325.3
Bath and North East Somerset Council,11059766,LN5,Data Lines,P26,Economic Development & Resources,MAINTEL EUROPE LTD,04/10/2023,424.03
Bath and North East Somerset Council,81229547,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,642.86
Bath and North East Somerset Council,11059760,EG3,Recruitment Advertising,P30,Planning & Licensing,PEOPLESCOUT LIMITED,04/10/2023,440
Bath and North East Somerset Council,11059869,LJ4,Contracts,P05,Neighbourhood Services,L&F COMMERCIAL PARTS,04/10/2023,445
Bath and North East Somerset Council,11059857,LJ4,Contracts,P05,Neighbourhood Services,L&F COMMERCIAL PARTS,04/10/2023,454
Bath and North East Somerset Council,11058535,LK1,Fees,P29,Children and Young People & Communities,FREE RANGERS FOREST SCHOOLS LTD,04/10/2023,462.93
Bath and North East Somerset Council,11058535,LK1,Fees,P29,Children and Young People & Communities,FREE RANGERS FOREST SCHOOLS LTD,04/10/2023,462.93
Bath and North East Somerset Council,11059839,LK1,Fees,P05,Neighbourhood Services,ACCESS UK LTD,04/10/2023,475
Bath and North East Somerset Council,11059786,PA3,Payments to Health Authorities,P28,Adult Services & Council House Building,"NHS BANES, SWINDON AND WILTSHIRE ICB",04/10/2023,531.64
Bath and North East Somerset Council,11056243,LK1,Fees,P27,Climate Emergency & Sustainable Travel,MODESHIFT,04/10/2023,599
Bath and North East Somerset Council,81229661,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,04/10/2023,500
Bath and North East Somerset Council,81229662,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,04/10/2023,750
Bath and North East Somerset Council,11059907,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,HKD SOLUTIONS LTD,04/10/2023,625
Bath and North East Somerset Council,81229654,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,04/10/2023,1000
Bath and North East Somerset Council,81229666,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,04/10/2023,1000
Bath and North East Somerset Council,81229652,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,04/10/2023,1200
Bath and North East Somerset Council,11059757,HE6,Improvements,P31,"Economic Development, Regeneration & Growth",PCC TWERTON,04/10/2023,655
Bath and North East Somerset Council,11059808,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,KINDERKEY HEALTHCARE LTD,04/10/2023,660
Bath and North East Somerset Council,11059801,KB1,Hire of Vehicles,P05,Neighbourhood Services,DAYS RENTAL,04/10/2023,666
Bath and North East Somerset Council,11059853,LJ4,Contracts,P05,Neighbourhood Services,L&F COMMERCIAL PARTS,04/10/2023,699
Bath and North East Somerset Council,11059768,LA1,Equipment Purchase (Non Medical),P05,Neighbourhood Services,TUDOR (UK) LTD T/S TUDOR ENVIRONMENTAL,04/10/2023,708.6
Bath and North East Somerset Council,11059758,LK1,Fees,P30,Planning & Licensing,BRISTOL CITY COUNCIL,04/10/2023,750
Bath and North East Somerset Council,11059806,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,JAMES LECKEY DESIGN LTD,04/10/2023,754
Bath and North East Somerset Council,11059922,HA1,Responsive Maintenance,P26,Economic Development & Resources,POWER-A-DOOR LTD,04/10/2023,755
Bath and North East Somerset Council,11059927,LL6,Needs & Services,P29,Children and Young People & Communities,MRS K M MOGG,04/10/2023,769
Bath and North East Somerset Council,11059934,3N7,Misc. Costs,P25,Transport,PR SIGNALS LTD,04/10/2023,770
Bath and North East Somerset Council,11059791,KB1,Hire of Vehicles,P05,Neighbourhood Services,LEEDS COMMERCIAL LTD,04/10/2023,840
Bath and North East Somerset Council,11059851,LJ4,Contracts,P05,Neighbourhood Services,MOTUS COMMERCIALS LTD,04/10/2023,851.91
Bath and North East Somerset Council,81229764,PG1,Rent Allowances,P26,Economic Development & Resources,CURO,04/10/2023,686.83
Bath and North East Somerset Council,81229756,PG1,Rent Allowances,P26,Economic Development & Resources,CURO,04/10/2023,1344.12
Bath and North East Somerset Council,81229686,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229541,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229543,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229684,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229669,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059905,LK1,Fees,P05,Neighbourhood Services,ACCESS UK LTD,04/10/2023,950
Bath and North East Somerset Council,11059912,LD4,Uniforms,P04,Leader,WATERFRONT MANUFACTURING LTD,04/10/2023,956.41
Bath and North East Somerset Council,11059935,LK1,Fees,P05,Neighbourhood Services,ACCESS UK LTD,04/10/2023,1006.25
Bath and North East Somerset Council,11059802,KB1,Hire of Vehicles,P05,Neighbourhood Services,DAYS RENTAL,04/10/2023,1036.5
Bath and North East Somerset Council,11059849,LK1,Fees,P31,"Economic Development, Regeneration & Growth",CLARKE WILLMOTT,04/10/2023,1062.6
Bath and North East Somerset Council,11059820,KB1,Hire of Vehicles,P05,Neighbourhood Services,SFS LIMITED T/A CTS,04/10/2023,1071.6
Bath and North East Somerset Council,11059766,LN1,Telephones,P26,Economic Development & Resources,MAINTEL EUROPE LTD,04/10/2023,1099.31
Bath and North East Somerset Council,11059938,LL1,Services to/for Clients,P29,Children and Young People & Communities,IMPACT MENTORING,04/10/2023,1140
Bath and North East Somerset Council,81229730,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229725,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229733,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059933,HE5,Security of Premises,P26,Economic Development & Resources,RS SECURITY LTD,04/10/2023,1150
Bath and North East Somerset Council,81229727,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229672,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229706,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059897,LJ4,Contracts,P05,Neighbourhood Services,T H WHITE LTD,04/10/2023,1173.33
Bath and North East Somerset Council,11059885,KD1,Employees Public Transport,P04,Leader,VEEZU LTD,04/10/2023,1192.75
Bath and North East Somerset Council,81229625,LL9,Special Guardianship,P29,Children and Young People & Communities,REDACTED,04/10/2023,507.28
Bath and North East Somerset Council,81229701,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229689,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229736,LJ3,Other Services to the Council,P26,Economic Development & Resources,First Direct,04/10/2023,500
Bath and North East Somerset Council,11059824,LA1,Equipment Purchase (Non Medical),P29,Children and Young People & Communities,ETAC LIMITED,04/10/2023,1233
Bath and North East Somerset Council,81229716,LJ3,Other Services to the Council,P26,Economic Development & Resources,Graham Long and Company Limited,04/10/2023,500
Bath and North East Somerset Council,11059686,LA5,Materials,P05,Neighbourhood Services,NEWPORT PAPER COMPANY LTD,04/10/2023,1360
Bath and North East Somerset Council,11059904,HK1,Highway Maintenance,P05,Neighbourhood Services,BROOKRIDGE TIMBER LTD,04/10/2023,1360
Bath and North East Somerset Council,81229721,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229739,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059833,KB1,Hire of Vehicles,P05,Neighbourhood Services,LEEDS COMMERCIAL LTD,04/10/2023,1386
Bath and North East Somerset Council,11059835,KB1,Hire of Vehicles,P05,Neighbourhood Services,LEEDS COMMERCIAL LTD,04/10/2023,1386
Bath and North East Somerset Council,11059694,HP1,Rent Payable,P25,Transport,MUTLEY PROPERTIES (HOLDINGS) LTD,04/10/2023,1412.5
Bath and North East Somerset Council,11059794,PB4,Payments to Private Contractors,P05,Neighbourhood Services,R J KING & SONS,04/10/2023,1473.5
Bath and North East Somerset Council,11059814,LK1,Fees,P30,Planning & Licensing,BATH CATS & DOGS HOME,04/10/2023,1500
Bath and North East Somerset Council,11059942,LJ2,Legal Fees,P30,Planning & Licensing,ALBION CHAMBERS FEES ACCOUNT,04/10/2023,1500
Bath and North East Somerset Council,81229734,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229726,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229668,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229752,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229512,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229714,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229482,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059646,HA1,Responsive Maintenance,P28,Adult Services & Council House Building,BS3 SERVICES LTD,04/10/2023,1597.5
Bath and North East Somerset Council,11059647,HA1,Responsive Maintenance,P28,Adult Services & Council House Building,BS3 SERVICES LTD,04/10/2023,1597.5
Bath and North East Somerset Council,81229676,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229742,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229704,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229495,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,580
Bath and North East Somerset Council,81229690,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229401,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059727,LP5,Software Support,P26,Economic Development & Resources,WEBCURL LTD,04/10/2023,1700
Bath and North East Somerset Council,81229720,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229753,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229673,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229688,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229743,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229544,LM2,Foster Carer Allowances,P29,Children and Young People & Communities,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229749,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229693,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229750,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059799,KB1,Hire of Vehicles,P05,Neighbourhood Services,DAYS RENTAL,04/10/2023,1866
Bath and North East Somerset Council,11059800,KB1,Hire of Vehicles,P05,Neighbourhood Services,DAYS RENTAL,04/10/2023,1866
Bath and North East Somerset Council,81229578,LL9,Special Guardianship,P29,Children and Young People & Communities,REDACTED,04/10/2023,820
Bath and North East Somerset Council,81229579,LL9,Special Guardianship,P29,Children and Young People & Communities,REDACTED,04/10/2023,820
Bath and North East Somerset Council,81229732,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229508,LL9,Special Guardianship,P29,Children and Young People & Communities,REDACTED,04/10/2023,517.73
Bath and North East Somerset Council,81229718,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229746,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229679,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229719,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229709,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229747,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229722,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229699,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229702,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229729,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229745,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,11059716,LJ4,Contracts,P29,Children and Young People & Communities,SOUTH GLOUCESTERSHIRE COUNCIL,04/10/2023,1947.22
Bath and North East Somerset Council,81229694,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229682,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229683,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229712,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
Bath and North East Somerset Council,81229675,LJ3,Other Services to the Council,P26,Economic Development & Resources,REDACTED,04/10/2023,500
