SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 FEB 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
SPANSET LIMITED,30/01/2025,"£1,349.00",Non IT Equipment
SPORT SENSE,26/02/2025,"£2,150.00",Partnership Grants
SPRING DESIGN AND ADVERTISING LIMITED,23/01/2025,"£9,740.00",Professional Fees
STRATSTONE AUTOMOTIVE LIMITED (BURY ST EDMUNDS),12/02/2025,£537.26,Vehicles - Spares
STREAMLINED FORENSIC REPORTING LIMITED,21/01/2025,"£1,200.00",Medical Report Fees
SUFFOLK COUNTY COUNCIL,30/01/2025,"£25,000.00",Partnership Grants
SUFFOLK COUNTY COUNCIL,05/02/2025,"£12,563.00",Building Insurance
SUMILLION LIMITED,20/01/2025,£664.61,Hardware - purchase
TASCOR SERVICES LIMITED,24/01/2025,"£2,408.32",Maintenance
THE AUTOMOBILE ASSOCIATION,20/01/2025,"£3,768.00",Vehicle Recovery Costs
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,03/02/2025,"£26,815.50",Psychology Services
TOTAL ENERGIES GP,13/02/2025,"£17,757.77",Gas
TREBLE 5 TREBLE 1 LIMITED,23/01/2025,"£5,420.75",Other Partnerships
UNDERWOODS GARAGE LIMITED,27/01/2025,£731.04,Vehicle Repairs
UNIPAR SERVICES,22/01/2025,"£5,815.00",Non IT Equipment
VESTIGO CONSULTING LIMITED,29/01/2025,£950.00,External Training Course
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,28/12/2024,"£1,695.16",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,16/01/2025,"£1,656.35",SOC Consumables
WALKER 7095 HOLDINGS LIMITED (BENCHMARK KENNELS),30/01/2025,"£2,833.33",Police Dogs - Equipment
WEATHERFIELD LIMITED,14/02/2025,"£4,884.00",Hire of Operational Equipment
WEIGHTMANS LLP,19/12/2024,"£2,818.00",Public Liability
WEIGHTMANS LLP,30/01/2025,£510.00,Public Liability
WIRELESS LOGIC LIMITED,30/01/2025,"£6,359.26",Mobile Phone Charges Contract Cost
WOODBRIDGE ENGINEERING COMPANY LIMITED,01/01/2025,"£1,040.00",Service Charge
ZURICH MUNICIPAL,16/01/2025,"£4,224.00",Other Insurance Costs
