SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUN 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
R G CARTER CAMBRIDGE LIMITED,28/05/2024," £82,187.92 ",Building Works,,,,,,
RESOLUTION GB LIMITED,20/05/2024, £547.50 ,Printing,,,,,,
RSP RAIL TRAVEL ACCOUNT,24/05/2024," £1,767.20 ",Detained Persons - Other Expenses,,,,,,
SALTERS PET FOOD,24/05/2024, £679.50 ,Police Dogs Food,,,,,,
SCENEPRO LIMITED,25/05/2024," £7,856.00 ",Maintenance Specialist Operation Equipment,,,,,,
SEED BROTHERS (EAST ANGLIA) LIMITED,29/05/2024, £660.18 ,Vehicle Cleaning,,,,,,
SIGMA SECURITY DEVICES LIMITED,30/05/2024, £590.00 ,Specialist Operational Training Equipment,,,,,,
SIGNS FOR YOU LIMITED,31/05/2024, £596.00 ,Printing,,,,,,
STANNAH LIFT SERVICES LIMITED,15/05/2024," £4,678.50 ",Maintenance  ,,,,,,
STANNAH LIFT SERVICES LIMITED,21/05/2024," £1,038.00 ",Maintenance  ,,,,,,
SUFFOLK COUNTY COUNCIL,29/04/2024," £117,800.00 ",Other Grants and External Contributions,,,,,,
THE AUTOMOBILE ASSOCIATION,21/05/2024," £2,724.68 ",Vehicle Recovery Costs,,,,,,
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,31/05/2024," £19,853.50 ",Psychology Services,,,,,,
THE PURPLE COMPANY (UK) LIMITED,28/05/2024, £584.50 ,Promotional material,,,,,,
TOTAL ENERGIES GP,16/05/2024," £52,151.00 ",Gas,,,,,,
TOTAL ENERGIES GP,13/06/2024," £14,870.21 ",Gas,,,,,,
TURNING FACTOR,06/06/2024," £1,500.00 ",External Training Course ,,,,,,
ULTIMAT DEFENCE LIMITED,21/05/2024," £32,237.00 ",Specialist Operational Training Equipment,,,,,,
VOLKSWAGEN GROUP UK LIMITED,16/05/2024, £784.84 ,Vehicles - Spares,,,,,,
VR FORENSICS,07/05/2024," £3,605.00 ",Professional Fees,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,08/05/2024, £718.10 ,Forensic Analysis,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,14/05/2024," £3,485.19 ",Forensic Analysis,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,22/05/2024, £618.73 ,SOC Consumables,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,28/05/2024," £1,543.70 ",Forensic Analysis,,,,,,
WEETING TYRES LIMITED T/A PAGE AND BIRD,07/05/2024," £1,002.00 ",Vehicles - Tyres and Tubes,,,,,,
WEIGHTMANS LLP,22/03/2024," £8,211.00 ",Public Liability,,,,,,
WEIGHTMANS LLP,22/05/2024," £1,145.59 ",Public Liability,,,,,,
WEIGHTMANS LLP,28/05/2024," £34,272.83 ",Public Liability,,,,,,
WEIGHTMANS LLP,06/06/2024," £2,550.00 ",Cyber Insurance,,,,,,
WIRELESS LOGIC LIMITED,30/05/2024," £6,766.19 ",Mobile Phone Contract Cost,,,,,,
WOODBRIDGE ENGINEERING COMPANY LIMITED,01/06/2024," £2,080.00 ",Service Charge,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
