SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 MAY 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
CARPENTERS CLIENT ACCOUNT,15/05/2024," £1,858.57 ",Vehicle Insurance,,,,,,
CATER CARE GROUP SERVICES LIMITED,11/04/2024, £517.22 ,Maintenance ,,,,,,
CBRE MANAGED SERVICES LIMITED,30/04/2024," £2,167.00 ",Maintenance ,,,,,,
CCTV IMAGING LIMITED,24/04/2024," £1,596.57 ",TSU Equipment,,,,,,
CEETECH LIMITED,12/04/2024," £9,205.23 ",Building Works,,,,,,
CEETECH LIMITED,15/04/2024," £16,929.54 ",Building Works,,,,,,
CEETECH LIMITED,30/04/2024," £1,706.31 ",Maintenance ,,,,,,
CELLMARK LIMITED,14/04/2024," £42,472.50 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,30/04/2024, £884.00 ,Forensic Analysis,,,,,,
CELLMARK LIMITED,15/05/2024," £65,022.08 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,23/05/2024," £8,141.75 ",Forensic Analysis,,,,,,
CIPFA BUSINESS LIMITED,18/04/2024," £20,000.00 ",Subscriptions,,,,,,
CLEARTONE TELECOMS LIMITED,10/04/2024," £11,872.00 ",Hardware,,,,,,
COLLEGE OF POLICING,17/04/2024," £2,447.50 ",External Training Course,,,,,,
COLLEGE OF POLICING,26/04/2024," £1,670.00 ",External Training Course ,,,,,,
CONNEKTIVITY LIMITED,16/05/2024," £5,700.00 ",Licence Fees,,,,,,
CONSTANT COOLING LIMITED,02/04/2024, £960.00 ,Maintenance ,,,,,,
CONTACT LEFT LIMITED (CL DISTRIBUTION),04/04/2024," £1,029.00 ",Specialist Operational Equipment,,,,,,
COOLERAID LIMITED,18/04/2024," £3,251.22 ",Other Fittings,,,,,,
CPOSA,01/04/2024," £2,800.00 ",Subscriptions,,,,,,
DAISY CORPORATE SERVICES (FORMERLY ALTERNATIVE NETWORKS PLC),30/04/2024," £8,640.00 ",Data - Consultancy - Implementation,,,,,,
DEEPSTORE LIMITED,30/04/2024," £6,666.43 ",Storage,,,,,,
DELL COMPUTER CORPORATION LIMITED,04/04/2024, £899.23 ,Hardware,,,,,,
DELL COMPUTER CORPORATION LIMITED,01/05/2024," £2,398.00 ",Hardware,,,,,,
DONALD'S GARAGE,11/04/2024, £912.18 ,Vehicle Repairs,,,,,,
DONALD'S GARAGE,19/04/2024, £912.18 ,Vehicle Repairs,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,15/02/2024, £787.50 ,Maintenance ,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,26/03/2024," £3,891.73 ",Maintenance ,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,09/04/2024," £4,630.70 ",Maintenance ,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,29/04/2024," £15,000.00 ",Other Fittings,,,,,,
EAST SUFFOLK COUNCIL,05/04/2024," £2,082.50 ",Business Rates,,,,,,
ECCO SAFETY GROUP UK LIMITED,29/04/2024, £701.22 ,Vehicles - Spares,,,,,,
EE LIMITED,03/04/2024," £28,810.54 ",Mobile Phone Contract Cost,,,,,,
EE LIMITED,03/05/2024," £28,799.02 ",Mobile Phone Contract Cost,,,,,,
ELMSTOK LIMITED,05/04/2024, £960.00 ,Printing,,,,,,
ENTERPRISE RENT-A-CAR,15/04/2024, £749.84 ,Long Term Hire of Vehicles,,,,,,
EUROFINS FORENSIC SERVICES,27/04/2024," £21,903.13 ",Forensic Analysis,,,,,,
EUROFINS FORENSIC SERVICES,07/05/2024," £58,451.50 ",Forensic Analysis,,,,,,
EUROFINS FORENSIC SERVICES,28/05/2024," £61,079.00 ",Forensic Analysis,,,,,,
EVIDEN TECHNOLOGY SERVICES LIMITED,24/04/2024," £449,867.68 ",ERP Support Charges,,,,,,
FMG REPAIR SERVICES LIMITED,18/04/2024," £1,355.44 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,24/04/2024," £4,269.00 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,30/04/2024," £1,281.27 ",Vehicle Insurance,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,09/04/2024, £689.10 ,Vehicles - Spares,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,25/04/2024, £537.00 ,Vehicles - Spares,,,,,,
FORENSIC PATHOLOGY SERVICES,26/04/2024," £2,968.70 ",Pathologists Fees,,,,,,
FORENSIC PATHOLOGY SERVICES,03/05/2024," £2,968.70 ",Pathologists Fees,,,,,,
FORESTER'S FINANCIAL,13/05/2024," £5,000.00 ",Public Liability,,,,,,
FUCHS LUBRICANTS (UK) PLC,17/04/2024," £3,129.80 ",Lubricants (Oil and Grease),,,,,,
FUCHS LUBRICANTS (UK) PLC,28/05/2024, £655.20 ,Lubricants (Oil and Grease),,,,,,
GAMMA TELECOM LIMITED,09/04/2024," £8,570.39 ",Telephone Line Rental,,,,,,
GOODYEAR TYRES UK LIMITED,05/04/2024," £2,224.01 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,16/04/2024, £890.78 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,24/04/2024," £2,248.28 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,30/04/2024, £920.10 ,Vehicles - Tyres and Tubes,,,,,,
GRESHAM OFFICE FURNITURE LIMITED,16/04/2024," £5,619.90 ","Furniture, Fixtures and Fittings",,,,,,
GRESHAM OFFICE FURNITURE LIMITED,23/04/2024," £2,376.00 ","Furniture, Fixtures and Fittings",,,,,,
GRESHAM OFFICE FURNITURE LIMITED,01/05/2024, £720.00 ,"Furniture, Fixtures and Fittings",,,,,,
HENRY SCHEIN MEDICAL,22/03/2024, £882.59 ,Medical and Hygiene Supplies,,,,,,
HENRY SCHEIN MEDICAL,30/04/2024, £539.90 ,Medical and Hygiene Supplies,,,,,,
HETHEL ENGINEERING CENTRE,23/04/2024," £1,375.00 ",Hire of Rooms/Premises,,,,,,
HICKLEYS LIMITED,03/05/2024," £1,378.00 ",Software Licences,,,,,,
HIS MAJESTY'S PRISON AND PROBATION SERVICE (HMPPS),23/04/2024," £7,351.47 ",Other Partnerships,,,,,,
INCHCAPE IPSWICH,08/04/2024," £1,141.62 ",Vehicles - Spares,,,,,,
INGLETON WOOD LIMITED,31/03/2024," £1,080.00 ",Consultant Estates Fees,,,,,,
INGLETON WOOD LIMITED,30/04/2024," £7,901.45 ",Consultant Estates Fees,,,,,,
INTOXIMETERS UK LIMITED,04/04/2024," £17,650.00 ",Breath Testing Equipment,,,,,,
IPSWICH TOWN FOOTBALL CLUB,08/04/2024," £4,496.95 ",Other Legal Costs,,,,,,
JOHN GROSE GROUP LIMITED,10/04/2024," £1,390.26 ",Vehicle Repairs,,,,,,
KEY FORENSIC SERVICES LIMITED,30/04/2024," £2,829.00 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,14/05/2024," £8,884.92 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,20/05/2024," £1,400.56 ",Forensic Analysis,,,,,,
LANGUAGELINE SOLUTIONS,30/04/2024," £15,298.70 ",Interpreters Fees,,,,,,
LASER ENERGY,28/03/2024," £8,650.00 ",Fees - Other,,,,,,
LINK UP MITAKA LIMITED (THE BIG WORD),30/04/2024, £882.09 ,Interpreters Fees,,,,,,
MARRIOTT MOTOR GROUP,16/04/2024, £555.74 ,Vehicle Repairs,,,,,,
MEWA LLP,18/04/2024," £2,600.00 ",Doctors Statements,,,,,,
MICRO SYSTEMATION LIMITED (MSAB),24/04/2024," £16,150.85 ",Software - Maintenance,,,,,,
MITIE CARE AND CUSTODY LIMITED,01/05/2024," £71,914.28 ",FME Contract Payments,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",30/04/2024," £1,058.75 ",FME Contract Payments,,,,,,
NPS PROPERTY CONSULTANTS LIMITED,23/04/2024," £4,599.00 ",Consultant Estates Fees,,,,,,
OECONNECTION,30/04/2024," £11,884.94 ",Vehicles - Spares,,,,,,
PASS (PORTABLE APPLIANCE SAFETY SERVICES) LIMITED,29/04/2024," £1,070.00 ",Specialist Operational Equipment,,,,,,
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/05/2024," £1,044.50 ",Postage Costs,,,,,,
POLICE CRIME PREVENTION INITIATIVES LIMITED (FORMERLY ACPO CRIME PREVENTION INITIATIVES LIMITED),25/04/2024," £4,700.00 ",External Training Course,,,,,,
POLICE DIGITAL SERVICE,01/04/2024," £144,208.49 ",Home Office Systems,,,,,,
POLICE DIGITAL SERVICE,08/04/2024," £1,840.00 ",Software Licences,,,,,,
PROFESSOR A J FREEMONT,06/05/2024," £1,200.00 ",Pathologists Fees,,,,,,
QUADIENT UK LIMITED,29/04/2024," £1,500.00 ",Postage Costs,,,,,,
QUADIENT UK LIMITED,05/05/2024," £4,000.00 ",Postage Costs,,,,,,
R G CARTER CAMBRIDGE LIMITED,09/04/2024," £43,386.80 ",Other Fittings,,,,,,
R G CARTER CAMBRIDGE LIMITED,15/04/2024," £20,255.70 ",Maintenance ,,,,,,
R G CARTER CAMBRIDGE LIMITED,29/04/2024," £58,873.33 ",Other Fittings,,,,,,
REDTRONIC LIMITED,15/04/2024," £1,254.40 ",Vehicles - Spares,,,,,,
RICHARD LEIGH EVANS,18/04/2024, £789.50 ,Professional Fees,,,,,,
RSP RAIL TRAVEL ACCOUNT,26/04/2024," £1,935.30 ",Detained Persons - Other Expenses,,,,,,
SBFM LIMITED,10/04/2024," £3,225.20 ",Cleaning Contract,,,,,,
SEPURA LIMITED,26/04/2024," £6,520.30 ",Radio / Airwave - Equipment,,,,,,
SSAF WINDOW FILMS LIMITED,05/04/2024," £2,778.80 ",Maintenance ,,,,,,
STANLEY TEE LLP CLIENT ACCOUNT,29/05/2024," £15,000.00 ",Public Liability,,,,,,
STREAMLINED FORENSIC REPORTING LIMITED,02/05/2024," £3,630.00 ",Medical Contract,,,,,,
THE AUTOMOBILE ASSOCIATION,10/04/2024," £4,739.20 ",Vehicle Recovery Costs,,,,,,
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,01/05/2024," £18,555.50 ",Psychology Services,,,,,,
THE WINDSCREEN COMPANY,22/04/2024, £545.00 ,Vehicle Insurance,,,,,,
THE WINDSCREEN COMPANY,03/05/2024, £645.00 ,Vehicle Insurance,,,,,,
TICK SOLUTIONS LIMITED,09/04/2024," £10,794.60 ","Furniture, Fixtures and Fittings",,,,,,
UNITED KINGDOM ACCREDITATION SERVICE,09/04/2024," £1,190.00 ",Accreditation Fees,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,09/04/2024, £764.16 ,SOC Consumables,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,09/04/2024," £1,795.60 ",Forensic Analysis,,,,,,
WEETING TYRES LIMITED T/A PAGE AND BIRD,29/04/2024," £2,170.22 ",Vehicles - Tyres and Tubes,,,,,,
WEIGHTMANS LLP,22/04/2024, £500.00 ,Public Liability,,,,,,
WEIGHTMANS LLP,30/04/2024," £34,624.07 ",Legal Services Contract,,,,,,
WEIGHTMANS LLP,05/05/2024," £1,110.00 ",Public Liability,,,,,,
WEST SUFFOLK COUNCIL,14/03/2024," £155,610.00 ",Business Rates,,,,,,
WEST SUFFOLK COUNCIL,08/04/2024," £30,000.00 ",Partnership Grants,,,,,,
WIRELESS LOGIC LIMITED,30/03/2024," £7,573.41 ",Mobile Phone Contract Cost,,,,,,
WIRELESS LOGIC LIMITED,29/04/2024," £8,985.89 ",Mobile Phone Contract Cost,,,,,,
WOODBRIDGE ENGINEERING COMPANY LIMITED,01/05/2024," £2,080.00 ",Service Charge,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
