SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 AUG 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
CBRE MANAGED SERVICES LIMITED,31/07/2024," £27,881.25 ",Grounds & Caretaking Contract,,,,,,
CELLMARK LIMITED,31/07/2024," £9,452.40 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,05/08/2024," £48,760.09 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,15/08/2024," £8,454.05 ",Forensic Analysis,,,,,,
CHAPLANE ACCIDENT REPAIR CENTRE,05/08/2024," £2,447.90 ",Vehicle Insurance,,,,,,
CJS EVENT SOLUTIONS LIMITED (CJS UK MANAGEMENT LIMITED),18/07/2024, £990.00 ,Conference and Seminar Fees,,,,,,
COLLEGE OF POLICING,11/07/2024," £1,628.00 ",External Training Course,,,,,,
COLLEGE OF POLICING,24/07/2024," £3,027.00 ",External Training Course,,,,,,
COPACC LIMITED,30/07/2024," £1,995.00 ",Subscriptions,,,,,,
DAISY CORPORATE SERVICES (FORMERLY ALTERNATIVE NETWORKS PLC),08/07/2024," £327,709.91 ",Software - Maintenance,,,,,,
DAS UK GROUP,14/08/2024, £945.00 ,Vehicle Insurance,,,,,,
DAVE MARSHALL CONSULTANCY LIMITED,09/07/2024," £6,500.00 ",External Training Course ,,,,,,
DEEPSTORE LIMITED,30/06/2024," £6,925.25 ",Storage,,,,,,
DEEPSTORE LIMITED,31/07/2024," £6,009.43 ",Storage,,,,,,
DELL COMPUTER CORPORATION LIMITED,31/07/2024," £1,108.00 ",Hardware,,,,,,
DONOGHUE SOLICITORS,27/08/2024," £7,000.00 ",Public Liability,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,31/07/2024," £5,092.50 ",Other Fittings,,,,,,
EAST SUFFOLK COUNCIL,14/03/2024," £209,536.79 ",Business Rates,,,,,,
EDDISONS COMMERCIAL LIMITED,26/07/2024," £1,950.00 ",Consultant Estates Fees,,,,,,
EDDISONS COMMERCIAL LIMITED,22/08/2024," £2,908.00 ",Consultant Valuer Fees,,,,,,
EE LIMITED,03/08/2024," £28,969.33 ",Mobile Phone Contract Cost,,,,,,
ENTERPRISE RENT-A-CAR,29/07/2024," £3,414.91 ",Hire of Vehicles,,,,,,
EUREST SERVICE,24/04/2024," £4,365.45 ",Contract Catering,,,,,,
EUREST SERVICE,22/05/2024," £3,456.36 ",Contract Catering,,,,,,
EUREST SERVICE,26/06/2024," £3,495.68 ",Contract Catering,,,,,,
EUREST SERVICE,24/07/2024," £5,660.71 ",Contract Catering,,,,,,
EUREST SERVICE,29/07/2024," £6,298.55 ",Contract Catering,,,,,,
EUROFINS FORENSIC SERVICES,28/07/2024," £97,555.03 ",Forensic Analysis,,,,,,
EVIDEN TECHNOLOGY SERVICES LIMITED,09/07/2024," £3,672.00 ",Professional Fees,,,,,,
FIRST EASTERN COUNTIES BUSES LIMITED,10/07/2024," £1,620.00 ",Detained Persons - Costs,,,,,,
FMG REPAIR SERVICES LIMITED,10/07/2024," £7,104.83 ",Vehicle Insurance,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,04/07/2024, £743.04 ,Vehicle Insurance,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,19/07/2024, £907.96 ,Vehicles - Spares,,,,,,
FORENSIC ANALYTICS LIMITED,29/05/2024," £1,200.00 ",Training Materials and Study Costs,,,,,,
FORENSIC ANALYTICS LIMITED,04/07/2024, £680.00 ,External Training Course ,,,,,,
FORENSIC PATHOLOGY SERVICES,02/08/2024," £3,295.00 ",Pathologists Fees,,,,,,
FUCHS LUBRICANTS (UK) PLC,22/07/2024," £1,613.35 ",Lubricants (Oil and Grease),,,,,,
GAMMA TELECOM LIMITED,08/07/2024," £8,181.17 ",Fixed Telephone Line Rental,,,,,,
GOODYEAR TYRES UK LIMITED,12/07/2024, £843.53 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,16/07/2024, £868.30 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,23/07/2024, £698.06 ,Vehicles - Tyres and Tubes,,,,,,
GOVERNMENT ACTUARY'S DEPARTMENT,12/07/2024," £5,000.00 ",Professional Fees,,,,,,
GRESHAM OFFICE FURNITURE LIMITED,16/07/2024," £2,110.00 ",Removal Costs,,,,,,
HARROW GREEN LIMITED,08/07/2024," £3,410.80 ",Removal Costs,,,,,,
HARROW GREEN LIMITED,19/07/2024," £1,253.94 ",Removal Costs,,,,,,
HIGGS NEWTON KENYON SOLICITORS,14/08/2024," £5,000.00 ",Public Liability,,,,,,
IMIMOBILE EUROPE LIMITED,14/07/2024," £5,063.21 ",Fixed Telephone Line Rental,,,,,,
INCHCAPE IPSWICH,20/06/2024," £1,375.52 ",Vehicle Repairs,,,,,,
INCHCAPE IPSWICH,05/07/2024, £725.39 ,Vehicles - Spares,,,,,,
INCHCAPE IPSWICH,18/07/2024, £521.20 ,Vehicles - Spares,,,,,,
INGLETON WOOD LIMITED,30/06/2024," £3,373.25 ",Fees - Other,,,,,,
INGLETON WOOD LIMITED,31/07/2024," £10,703.82 ",Fees - Other,,,,,,
INTEGRATED WATER SERVICES LIMITED,31/07/2024," £1,584.14 ",Building Statutory - Water,,,,,,
IPSWICH AND SUFFOLK ESTATES LIMITED,13/03/2024," £6,240.64 ",Service Charge,,,,,,
IPSWICH AND SUFFOLK ESTATES LIMITED,07/06/2024," £6,240.64 ",Service Charge,,,,,,
IPSWICH BOROUGH COUNCIL,24/01/2024," £32,072.91 ",Business Rates,,,,,,
IPSWICH TOWN FOOTBALL CLUB,01/11/2023," £1,000.00 ",Hire of Rooms/Premises,,,,,,
IPSWICH TOWN FOOTBALL CLUB,31/07/2024," £1,013.90 ",Hire of Rooms/Premises,,,,,,
JF LAW,13/08/2024," £5,000.00 ",Public Liability,,,,,,
JF LAW,29/08/2024," £5,500.00 ",Public Liability,,,,,,
JOHN GROSE GROUP LIMITED,25/07/2024," £1,276.53 ",Vehicle Repairs,,,,,,
KEY FORENSIC SERVICES LIMITED,31/07/2024," £7,254.36 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,08/08/2024," £1,804.07 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,15/08/2024," £6,099.92 ",Forensic Analysis,,,,,,
LANGUAGELINE SOLUTIONS,31/07/2024," £18,537.50 ",Interpreters Fees,,,,,,
M J SOUSTER (IPSWICH) LIMITED (TRADING AS MJS SERVICES),30/07/2024," £1,037.05 ",Vehicle Repairs,,,,,,
MARSHALL MOTOR GROUP,18/07/2024, £668.65 ,Vehicles - Spares,,,,,,
METRO ROD LIMITED,15/07/2024," £2,679.00 ",Maintenance,,,,,,
METRO ROD LIMITED,25/07/2024, £756.25 ,Maintenance,,,,,,
MID SUFFOLK DISTRICT COUNCIL,11/03/2024," £55,459.00 ",Business Rates,,,,,,
MITIE CARE AND CUSTODY LIMITED,01/08/2024," £71,914.28 ",FME Contract Payments,,,,,,
MOTOR PARTS DIRECT LIMITED,09/07/2024, £699.00 ,Vehicles - Spares,,,,,,
MOUNTAIN HEALTHCARE LIMITED,31/07/2024," £217,627.61 ",SARC FME Contract Payments,,,,,,
NFU MUTUAL,21/08/2024," £2,337.22 ",Vehicle Insurance,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",30/06/2024," £1,094.75 ",FME Contract Payments,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/07/2024," £1,058.75 ",FME Contract Payments,,,,,,
NPOWER LIMITED,16/08/2024," £83,396.14 ",Electricity,,,,,,
OECONNECTION,31/07/2024," £8,104.04 ",Vehicles - Spares,,,,,,
ORWELL MOTORCYCLES LIMITED,22/07/2024, £529.99 ,Vehicles - Spares,,,,,,
PHOENIX SOFTWARE LIMITED,09/07/2024," £74,692.31 ",Software - Maintenance,,,,,,
PHOENIX SOFTWARE LIMITED,25/07/2024," £1,136.04 ",Software - Maintenance,,,,,,
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/07/2024," £1,523.00 ",Postage Costs,,,,,,
POLICE SUPERINTENDENTS ASSOCIATION LIMITED,22/07/2024," £2,205.00 ",Conference and Seminar Fees,,,,,,
PRO-TECT SAFETY SIGNS,08/07/2024," £2,126.50 ",Specialist Operational Equipment,,,,,,
PRO-TECT SAFETY SIGNS,25/07/2024," £1,360.54 ",Specialist Operational Equipment,,,,,,
PVL UK LIMITED,22/07/2024," £1,575.16 ",Non IT Equipment,,,,,,
QUADIENT UK LIMITED,29/07/2024," £1,000.00 ",Postage Costs,,,,,,
QUADIENT UK LIMITED,05/08/2024," £4,905.63 ",Postage Costs,,,,,,
R G CARTER CAMBRIDGE LIMITED,09/07/2024," £1,309.81 ",Maintenance,,,,,,
R G CARTER CAMBRIDGE LIMITED,22/07/2024," £3,704.46 ",Maintenance,,,,,,
R G CARTER CAMBRIDGE LIMITED,29/07/2024," £32,500.00 ",Building Minor Works,,,,,,
REMIT GROUP LIMITED,09/07/2024," £12,805.00 ",External Training Course,,,,,,
RICOH UK LIMITED,04/07/2024," £1,100.00 ",Photocopiers - Rental,,,,,,
RIEGL UK LIMITED,12/07/2024," £2,065.00 ",Hire of Operational Equipment,,,,,,
RSP RAIL TRAVEL ACCOUNT,19/07/2024," £2,389.00 ",Detained Persons - Other Expenses,,,,,,
SAFETY GEAR STORE LIMITED,01/07/2024," £2,540.76 ",Specialist Operational Equipment,,,,,,
SALTERS PET FOOD,24/07/2024, £679.50 ,Police Dogs - Food,,,,,,
SBFM LIMITED,01/05/2024," £60,110.76 ",Cleaning Contract ,,,,,,
SBFM LIMITED,17/06/2024," £3,710.10 ",Cleaning Contract ,,,,,,
SBFM LIMITED,01/07/2024," £1,100.88 ",Cleaning Contract ,,,,,,
SBFM LIMITED,29/07/2024," £5,630.10 ",Cleaning Contract ,,,,,,
SEED BROTHERS (EAST ANGLIA) LIMITED,17/07/2024, £764.07 ,Vehicle Cleaning,,,,,,
SEPURA LIMITED,19/07/2024," £1,768.00 ",Radio / Airwave - Equipment,,,,,,
SHAKESPEARE MARTINEAU LLP,14/08/2024," £4,855.00 ",Vehicle Insurance,,,,,,
SIGMA SECURITY DEVICES LIMITED,23/07/2024, £929.00 ,Specialist Operational Equipment,,,,,,
STEADFAST (ANGLIA) LIMITED,04/07/2024," £1,515.00 ",Maintenance,,,,,,
STREAMLINED FORENSIC REPORTING LIMITED,02/08/2024," £4,762.75 ",SFR Medical Contract,,,,,,
SUFFOLK COUNTY COUNCIL,30/06/2024," £5,241.00 ",Service Charge,,,,,,
SUFFOLK COUNTY COUNCIL,04/07/2024," £3,350.00 ",Professional Fees,,,,,,
SUFFOLK COUNTY COUNCIL,06/08/2024," £32,196.20 ",Other Grants and External Contributions,,,,,,
SUFFOLK DIGITAL,19/07/2024, £557.00 ,Printing,,,,,,
T E VINCENT,29/07/2024, £646.00 ,Hardware-Maintenance,,,,,,
THE AUTOMOBILE ASSOCIATION,25/07/2024," £3,307.00 ",Vehicle Recovery Costs,,,,,,
THE KNOWLEDGE ACADEMY LIMITED,10/07/2024, £795.00 ,Training Materials and Study Costs,,,,,,
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,01/08/2024," £26,805.66 ",Psychology Services,,,,,,
TOTAL ENERGIES GP,12/08/2024," £8,434.55 ",Gas,,,,,,
UK INSURANCE LIMITED,08/08/2024," £11,407.70 ",Vehicle Insurance,,,,,,
UK LAW NATIONWIDE LIMITED,09/08/2024," £3,750.00 ",Public Liability,,,,,,
UNIPAR SERVICES,10/07/2024, £777.00 ,Maintenance Breath Testing Equipment,,,,,,
UNIPAR SERVICES,25/07/2024, £532.00 ,Maintenance Breath Testing Equipment,,,,,,
UNIVERSITY OF EAST ANGLIA,17/07/2024," £1,166.67 ",University Fees,,,,,,
VILLAGE HOTEL ASHTON MOSS,01/08/2024," £3,200.00 ",Hotel Accommodation,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,08/07/2024," £1,041.72 ",SOC Consumables,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,26/07/2024, £562.06 ,SOC Consumables,,,,,,
WEETING TYRES LIMITED T/A PAGE AND BIRD,15/07/2024, £573.98 ,Vehicles - Tyres and Tubes,,,,,,
WEIGHTMANS LLP,29/07/2024," £2,250.00 ",Cyber Insurance,,,,,,
WEST SUFFOLK COUNCIL,14/03/2024," £104,310.97 ",Business Rates,,,,,,
WIRELESS LOGIC LIMITED,30/07/2024," £6,997.86 ",Mobile Phone Contract Cost,,,,,,
WORCESTERSHIRE MEDAL SERVICE LIMITED,10/07/2024," £3,174.92 ",Gifts and Mementoes,,,,,,
XOS GROUP LIMITED (XEXOS),26/07/2024, £649.64 ,Hardware - purchase,,,,,,
ZEST RECYCLE LIMITED,01/07/2024," £6,619.10 ",Waste Contract,,,,,,
