SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 JAN 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
CBRE MANAGED SERVICES LIMITED,31/12/2024,"£39,145.87",Grounds & Caretaking Contract
CBRE MANAGED SERVICES LIMITED,31/12/2024,"£1,237.50",Maintenance
CELLMARK LIMITED,05/11/2024,"£1,144.35",Forensic Analysis
CELLMARK LIMITED,15/11/2024,"£112,526.85",Forensic Analysis
CELLMARK LIMITED,30/11/2024,"£64,366.15",Forensic Analysis
CELLMARK LIMITED,16/12/2024,"£8,152.05",Forensic Analysis
CELLMARK LIMITED,31/12/2024,"£57,990.30",Forensic Analysis
CELLMARK LIMITED,13/01/2025,"£44,958.95",Forensic Analysis
CIVICA UK LIMITED,20/12/2024,£566.25,Hardware - purchase
COLLEGE OF POLICING,06/12/2024,"£7,617.00",External Training Course 
COLLEGE OF POLICING,11/12/2024,"£6,027.50",External Training Course
COMBINED PRECISION COMPONENTS PLC (CPC),19/12/2024,£837.54,"ICT Tools, Equipment and Consumables"
CONSTANT COOLING LIMITED,31/12/2024,"£1,700.83",Maintenance
CONTROL-F LIMITED,17/12/2024,"£6,050.00",External Training Course 
COOKS BLINDS AND SHUTTERS LIMITED,19/12/2024,"£2,275.00",Maintenance
CY4OR LEGAL LIMITED,25/11/2024,"£1,000.00",Professional Fees
DAC BEACHCROFT LLP,09/01/2025,£540.00,Vehicle Insurance
DEEPSTORE LIMITED,31/12/2024,"£6,877.54",Storage
DONALD'S GARAGE,20/01/2025,£875.00,Non IT Equipment
DONOGHUE SOLICITORS,20/01/2025,"£7,300.00",Public Liability
DPP LAW LIMITED,14/01/2025,"£8,500.00",Public Liability
E RAND & SONS LIMITED,30/11/2024,£825.00,Maintenance
E RAND & SONS LIMITED,05/12/2024,"£1,324.54",Maintenance
EAST BILNEY COACHWORKS LIMITED NORWICH SOUTH,13/01/2025,£949.40,Vehicle Insurance
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,19/12/2024,"£7,135.45",Maintenance
EE LIMITED,19/12/2024,"£1,067.87",Mobile Phone  Contract Costs
EJC PEOPLE SOLUTIONS LIMITED,06/12/2024,"£2,310.00",Professional Fees
ELMSTOK LIMITED,12/12/2024,"£1,146.00",Printing
EUREST SERVICE,11/12/2024,"£6,950.15",Contract Catering
EUREST SERVICE,02/01/2025,"£4,570.35",Contract Catering
EUROFINS FORENSIC SERVICES,15/11/2024,"£25,581.52",Forensic Analysis
EUROFINS FORENSIC SERVICES,27/11/2024,"£30,256.40",Accreditation Fees
EUROFINS FORENSIC SERVICES,10/12/2024,"£6,774.66",Forensic Analysis
EUROFINS FORENSIC SERVICES,28/12/2024,"£71,647.97",Forensic Analysis
EUROFINS FORENSIC SERVICES,10/01/2025,"£17,096.61",Forensic Analysis
EUROFINS FORENSIC SERVICES,28/01/2025,"£7,037.15",Forensic Analysis
FMG REPAIR SERVICES LIMITED,04/10/2024,"£1,460.02",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,05/12/2024,£945.98,Vehicle Repairs
FMG REPAIR SERVICES LIMITED,11/12/2024,"£2,738.82",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,30/12/2024,"£6,004.42",Vehicle Insurance
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,12/12/2024,£639.40,Vehicles - Spares
FORESIGHT CLINICAL SERVICES LIMITED,09/12/2024,"£1,860.00",Professional Fees
GAMMA TELECOM LIMITED,09/12/2024,"£7,457.22",Fixed Telephone Line Rental & Calls
GOODYEAR TYRES UK LIMITED,10/12/2024,"£2,280.16",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,17/12/2024,"£2,925.55",Vehicles - Tyres and Tubes
GRESHAM OFFICE FURNITURE LIMITED,11/12/2024,£720.00,"Furniture, Fixtures and Fittings"
HARROW GREEN LIMITED,11/12/2024,£851.70,Removal Costs
IMIMOBILE EUROPE LIMITED,09/12/2024,"£4,819.72",Fixed Telephone Call Charges
INGLETON WOOD LIMITED,31/12/2024,"£2,320.11",Fees - Other
INSIGHT SOFTWARE UK LIMITED,13/12/2024,"£49,469.92",Software - Maintenance
INTEGRATED WATER SERVICES LIMITED,30/12/2024,"£1,529.96",Building Statutory
IPSWICH BOROUGH COUNCIL,10/01/2025,"£5,500.00",Partnership Grants
JDCC (EAST ANGLIA) LIMITED,05/12/2024,£505.91,Vehicle Workshop Equipment
JOB FAIRS LIMITED,17/12/2024,"£2,251.50",Marketing
KEY FORENSIC SERVICES LIMITED,31/12/2024,"£6,171.51",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,07/01/2025,£552.71,Forensic Analysis
KEY FORENSIC SERVICES LIMITED,14/01/2025,"£4,706.97",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,21/01/2025,"£1,167.33",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,28/01/2025,"£1,305.29",Forensic Analysis
LANGUAGELINE SOLUTIONS,31/12/2024,"£17,562.42",Interpreters Fees
LAST TRANSMISSIONS LIMITED,08/01/2025,£850.00,Vehicle Repairs
MASTERLORD ESTATES LIMITED,11/12/2024,£907.50,Service Charge
MATRIX SCM LIMITED,19/12/2024,"£60,800.00",Consultants Fees
METRO ROD LIMITED,17/12/2024,£547.50,Maintenance 
MICHELDEVER TYRE SERVICES LIMITED,23/12/2024,£714.38,Vehicles - Tyres and Tubes
MITIE CARE AND CUSTODY LIMITED,01/01/2025,"£71,914.28",FME Contract Payments
MOBAS,16/12/2024,"£4,672.00",External Advertising
MOTOHAUS POWERSPORTS LIMITED,18/12/2024,"£1,650.00",Non IT Equipment
MOUNTAIN HEALTHCARE LIMITED,01/01/2025,"£59,495.87",FME Contract Payments
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/12/2024,"£1,093.85",FME Contract Payments
NPOWER LIMITED,16/01/2025,"£90,173.59",Electricity
NTA MONITOR LIMITED (INTERTEK NTA),17/12/2024,"£25,500.00",Penetration Testing
OECONNECTION,31/12/2024,"£6,587.77",Vehicles - Spares
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/12/2024,"£3,525.88",Postage Costs
PROBRAND LIMITED,06/12/2024,£522.70,Printing
QTAC SOLUTIONS LIMITED,27/12/2024,£570.00,Software Licences
QUADIENT UK LIMITED,05/01/2025,"£4,000.00",Postage Costs
R G CARTER CAMBRIDGE LIMITED,05/12/2024,"£4,303.04",Maintenance 
R G CARTER CAMBRIDGE LIMITED,17/12/2024,£967.08,Maintenance 
R G CARTER CAMBRIDGE LIMITED,31/12/2024,"£73,953.66",Maintenance 
RIEGL UK LIMITED,03/01/2025,£700.00,Hire of Operational Equipment
ROYAL MAIL,19/12/2024,£955.00,Postage Costs
RSP RAIL TRAVEL ACCOUNT,03/01/2025,£977.40,Detained Persons costs
SATCHELL MORAN SOLICITORS,27/01/2025,"£2,900.00",Public Liability
SBFM LIMITED,01/01/2025,"£58,590.68",Cleaning Contract
SHARP AUTO ELECTRICAL LIMITED,12/12/2024,"£3,050.00",Vehicle Repairs
SPECIALIST COMPUTER CENTRES PLC,19/12/2024,"£131,207.18",STORM Support
SPORT SENSE,17/12/2024,"£1,810.00",Partnership Grants
SPRING DESIGN AND ADVERTISING LIMITED,19/12/2024,"£18,166.64",Agency / Temp Staff
STREAMLINED FORENSIC REPORTING LIMITED,03/01/2025,"£4,852.75",SFR Medical Contract
SUFFOLK COUNTY COUNCIL,19/12/2024,"£14,501.00",Other Grants and External Contributions
SUFFOLK COUNTY COUNCIL,31/12/2024,"£5,241.00",Service Charge
SUFFOLK COUNTY COUNCIL,10/01/2025,"£437,435.89",Service Charge
TECHNOLOGY GATEWAY SERVICES LIMITED,03/01/2025,"£2,221.79",Specialist Operational Equipment
THE AUTOMOBILE ASSOCIATION,27/12/2024,"£2,864.00",Vehicle Recovery Costs
THE OPEN UNIVERSITY,18/11/2024,"£8,000.00",Other Partnerships
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,03/01/2025,"£16,470.84",Psychology Services
TICK SOLUTIONS LIMITED,11/12/2024,"£1,587.00","Furniture, Fixtures and Fittings"
TOTAL ENERGIES GP,13/01/2025,"£30,331.42",Gas
UNITED KINGDOM ACCREDITATION SERVICE,24/12/2024,"£3,957.50",Accreditation Fees
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,19/12/2024,£723.00,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,28/12/2024,"£1,188.10",SOC Consumables
WEIGHTMANS LLP,18/12/2024,"£7,558.50",Public Liability
WEIGHTMANS LLP,20/12/2024,"£13,298.00",Legal Services Contract
WEIGHTMANS LLP,20/12/2024,"£31,725.17",Civil Protection Orders
WIRELESS LOGIC LIMITED,30/12/2024,"£6,366.70",Mobile Phone Call Charges and Contract Cost
ZEST RECYCLE LIMITED,18/12/2024,"£7,872.93",Waste Contract
ZURICH MUNICIPAL,30/12/2024,"£6,792.28",Vehicle Insurance
