SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 OCT 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
SUFFOLK COUNTY COUNCIL,18/09/2024,"£41,083.00",Partnership Grants
SUFFOLK COUNTY COUNCIL,30/09/2024,"£5,241.00",Service Charge
SUFFOLK COUNTY COUNCIL,08/10/2024,"£5,150.00",Subscriptions
THE AUTOMOBILE ASSOCIATION,04/10/2024,"£9,396.44",Vehicle Recovery Costs
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,01/10/2024,"£27,179.34",Psychology Services
THE WINDSCREEN COMPANY,09/09/2024,"£1,330.00",Vehicle Insurance
TOTAL ENERGIES GP,17/10/2024,"£11,347.87",Gas
TRAFFIC TECHNOLOGY LIMITED,30/09/2024,"£1,100.00",Maintenance Specialist Operation Equipment
UNITED KINGDOM ACCREDITATION SERVICE,30/09/2024,"£14,277.00",Accreditation Fees
VESTIGO CONSULTING LIMITED,09/09/2024,"£12,800.00",External Training Course
VESTIGO CONSULTING LIMITED,30/09/2024,"£1,000.00",Training - Other
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,31/08/2024,£507.50,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,09/09/2024,"£2,563.78",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,21/09/2024,£527.50,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,30/09/2024,"£1,513.63",SOC Consumables
WEETING TYRES LIMITED T/A PAGE AND BIRD,11/09/2024,"£2,984.47",Vehicles - Tyres and Tubes
WEIGHTMANS LLP,30/07/2024,"£59,126.55",Legal Services Contract
WEIGHTMANS LLP,29/08/2024,"£47,646.67",Legal Services Contract
WEIGHTMANS LLP,25/09/2024,"£59,830.50",Public Liability
WEST SUFFOLK COUNCIL,14/03/2024,"£2,564.74",Business Rates
WIRELESS LOGIC LIMITED,29/09/2024,"£6,520.37",Mobile Phone Contract Cost
ZEST RECYCLE LIMITED,01/09/2024,"£7,394.24",Waste Contract
