SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 APRIL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/04/2024," £2,400.50 ",Alarm Monitoring,,,,,,
BEST FOR TRAINING,14/03/2024, £800.00 ,External Training Course,,,,,,
BLANKPRODUCTS LIMITED (MY ACCESSORIES),14/04/2024, £650.00 ,Promotional material,,,,,,
BLUE LIGHTS DIGITAL LIMITED,09/10/2023," £2,370.00 ",External Training Course,,,,,,
BOC LIMITED,31/03/2024, £716.00 ,Breath Testing Equipment,,,,,,
BRATTONSOUND ENGINEERING LIMITED,17/04/2024, £992.25 ,"Furniture, Fixtures and Fittings",,,,,,
BROME GRANGE HOTEL AND SPA,29/01/2024," £1,210.00 ",Hire of Rooms/Premises,,,,,,
BUNTINGS DEVELOPMENT LIMITED,20/03/2024," £3,750.00 ",Service Charge,,,,,,
BUPA OCCUPATIONAL HEALTH,22/03/2024, £583.00 ,Occupational Health Employee Costs,,,,,,
CBRE MANAGED SERVICES LIMITED,29/03/2024," £32,203.99 ",Grounds & Caretaking Contract (FM),,,,,,
CEETECH LIMITED,07/03/2024," £39,119.46 ",Building Works,,,,,,
CEETECH LIMITED,26/03/2024," £5,103.81 ",Maintenance,,,,,,
CELLMARK LIMITED,26/03/2024," £1,757.60 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,31/03/2024," £4,367.00 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,15/04/2024," £7,516.00 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,21/04/2024," £2,026.00 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,01/05/2024," £52,368.50 ",Forensic Analysis,,,,,,
CENTRAL HIGH RISE LIMITED,31/03/2024," £4,221.00 ",Infrastructure Maintenance,,,,,,
CHARACTERS (DRAMA BASED LEARNING) LIMITED,26/03/2024," £1,050.29 ",Internal Training Courses,,,,,,
CHORUS INTELLIGENCE LIMITED,27/03/2024," £8,248.00 ",Drug Squad Equipment,,,,,,
CLARITY FORENSIC SERVICES,05/04/2024, £846.00 ,Forensic Analysis,,,,,,
CLEARTONE TELECOMS LIMITED,20/03/2024," £14,750.00 ",Hardware,,,,,,
CLEARTONE TELECOMS LIMITED,02/04/2024," £14,750.00 ",Hardware,,,,,,
COLLEGE OF POLICING,13/03/2024," £5,192.50 ",External Training Course,,,,,,
COLLEGE OF POLICING,03/04/2024," £7,725.00 ",External Training Course,,,,,,
COMMUNICATING MATTERS - ABELS LIMITED,21/03/2024," £2,139.00 ",External Training Course,,,,,,
CONSTANT COOLING LIMITED,31/01/2024," £2,105.28 ",Maintenance,,,,,,
CONSTANT COOLING LIMITED,15/03/2024," £8,894.66 ",Maintenance,,,,,,
CORPORATE IT SYSTEMS LIMITED,07/03/2024," £55,000.00 ",Software - Maintenance,,,,,,
CPOSA,01/04/2024," £8,400.00 ",Subscriptions,,,,,,
CRAWFORD AND COMPANY ADJUSTERS (UK) LIMITED,12/04/2024," £1,408.19 ",Vehicle Insurance,,,,,,
CRIMESTOPPERS TRUST,19/03/2024," £3,466.86 ",NPCC Contributions,,,,,,
CVS (UK) LIMITED,29/01/2024," £1,060.40 ",Other Operational Expenses,,,,,,
DAISY CORPORATE SERVICES (FORMERLY ALTERNATIVE NETWORKS PLC),07/03/2024," £41,615.00 ",Data - Consultancy - Implementation,,,,,,
DEEPSTORE LIMITED,31/03/2024," £7,329.25 ",Storage,,,,,,
DELL COMPUTER CORPORATION LIMITED,12/03/2024," £83,850.00 ",Hardware,,,,,,
DEWVA,02/04/2024," £1,920.00 ",Drug Squad Equipment,,,,,,
DIGITAL BARRIER SERVICES,15/03/2024," £3,000.33 ",TSU Equipment,,,,,,
DIGITAL DEVICES LIMITED,12/03/2024," £1,335.16 ",Hardware - purchase,,,,,,
DIRECT DIALOG VISUAL LIMITED,01/04/2024, £812.79 ,Refreshments at Meetings,,,,,,
DRAEGER SAFETY UK LIMITED,13/03/2024, £646.04 ,Non IT Equipment,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,20/03/2024," £7,234.90 ",Building Works,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,26/03/2024, £626.15 ,Maintenance ,,,,,,
EAST SUFFOLK COUNCIL,14/03/2024," £472,290.00 ",Business Rates,,,,,,
ENTERPRISE RENT-A-CAR,18/03/2024, £749.84 ,Hire of Vehicles,,,,,,
EUREST SERVICE,07/03/2024," £13,229.56 ",Catering Contract,,,,,,
EUREST SERVICE,13/03/2024," £7,498.30 ",Catering Contract,,,,,,
EUREST SERVICE,03/04/2024," £6,548.85 ",Catering Contract,,,,,,
EUROFINS FORENSIC SERVICES,27/03/2024," £83,551.53 ",Forensic Analysis,,,,,,
FIRST FORENSIC SOLUTIONS LIMITED,27/03/2024," £1,000.00 ",Subscriptions,,,,,,
FMG REPAIR SERVICES LIMITED,07/03/2024," £1,301.18 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,13/03/2024," £10,388.17 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,22/03/2024," £2,271.15 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,28/03/2024," £4,933.51 ",Vehicle Insurance,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,05/03/2024," £1,453.80 ",Vehicles - Spares,,,,,,
FORENSIC PATHOLOGY SERVICES,15/03/2024," £2,968.70 ",Pathologists Fees,,,,,,
GAMMA TELECOM LIMITED,08/03/2024," £8,314.42 ",Fixed Telephone Rental & Calls ,,,,,,
GOODYEAR TYRES UK LIMITED,05/03/2024," £1,516.69 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,14/03/2024," £1,560.40 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,19/03/2024," £2,542.79 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,26/03/2024," £1,956.26 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,03/04/2024," £1,197.93 ",Vehicles - Tyres and Tubes,,,,,,
GRESHAM OFFICE FURNITURE LIMITED,05/03/2024, £847.68 ,"Furniture, Fixtures and Fittings",,,,,,
GRESHAM OFFICE FURNITURE LIMITED,26/03/2024, £735.24 ,"Furniture, Fixtures and Fittings",,,,,,
HCL TECHNOLOGIES UK LIMITED,31/03/2024," £7,625.00 ",Hardware,,,,,,
HIS MAJESTY'S PRISON AND PROBATION SERVICE (HMPPS),18/03/2024," £14,702.94 ",Other Partnerships,,,,,,
IMIMOBILE EUROPE LIMITED,05/03/2024," £3,680.80 ",Fixed Telephone Line Rental,,,,,,
INCHCAPE IPSWICH,05/03/2024, £560.00 ,Non IT Equipment,,,,,,
INCHCAPE IPSWICH,15/03/2024, £633.40 ,Vehicles - Spares,,,,,,
INCHCAPE IPSWICH,28/03/2024, £810.00 ,Vehicles - Spares,,,,,,
INCIDENT MANAGEMENT SOLUTIONS LIMITED,25/04/2024," £1,610.00 ",Vehicle Insurance,,,,,,
INGLETON WOOD LIMITED,31/01/2024," £4,150.00 ",Consultant Estates Fees,,,,,,
INTEGRATED WATER SERVICES LIMITED,28/03/2024," £1,306.66 ",Building Statutory - Water,,,,,,
IPSWICH BOROUGH COUNCIL,04/03/2024, £742.06 ,Business Rates,,,,,,
IT WORKS (SCOTLAND) LIMITED,29/03/2024," £3,240.00 ",Software - Maintenance,,,,,,
KENMOR PSYCHOLOGICAL CONSULTANCY LIMITED,15/04/2024," £1,015.00 ",Professional Fees,,,,,,
KEY FORENSIC SERVICES LIMITED,14/03/2024," £4,822.25 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,21/03/2024," £12,944.23 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,31/03/2024," £7,282.45 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,08/04/2024," £5,470.28 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,15/04/2024," £4,153.06 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,28/04/2024," £9,184.25 ",Forensic Analysis,,,,,,
LANGUAGELINE SOLUTIONS,31/03/2024," £11,242.03 ",Interpreters Fees,,,,,,
LANGUAGELINE SOLUTIONS,31/03/2024," £3,404.03 ",Interpreters Fees,,,,,,
MASTERLORD ESTATES LIMITED,01/03/2024," £15,625.00 ",Rent,,,,,,
METRO ROD LIMITED,25/03/2024," £1,287.50 ",Maintenance ,,,,,,
MITIE CARE AND CUSTODY LIMITED,01/04/2024," £71,914.28 ",FME Contract Payments,,,,,,
MUNICIPAL SECURITY LIMITED,27/03/2024, £965.23 ,Specialist Operational Equipment,,,,,,
NETWATCH GLOBAL,09/04/2024, £722.52 ,Accident Reports,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",29/02/2024, £962.50 ,FME Contract Payments,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/03/2024, £962.50 ,FME Contract Payments,,,,,,
NPOWER LIMITED,16/03/2024," £111,355.87 ",Electricity,,,,,,
NPOWER LIMITED,16/04/2024," £50,914.14 ",Electricity,,,,,,
NPS PROPERTY CONSULTANTS LIMITED,30/01/2024, £587.50 ,Consultant Estates Fees,,,,,,
OECONNECTION,31/03/2024," £9,297.45 ",Vehicles - Spares,,,,,,
PHOENIX SOFTWARE LIMITED,12/03/2024," £2,612,545.44 ",Microsoft Licences,,,,,,
PHOENIX SOFTWARE LIMITED,28/03/2024," £52,843.19 ",Software - Maintenance,,,,,,
PRIMARY CARE COMMISSIONING CIC (PCC CIC),25/03/2024, £833.33 ,Hotel Accommodation,,,,,,
PRO-TECT SAFETY SIGNS,26/03/2024," £2,341.55 ",Specialist Operational Equipment,,,,,,
PVL UK LIMITED,28/02/2024," £1,470.00 ",Non IT Equipment,,,,,,
QUADIENT UK LIMITED,28/03/2024," £1,000.00 ",Postage Costs,,,,,,
R G CARTER CAMBRIDGE LIMITED,21/03/2024," £63,307.68 ",Building Works,,,,,,
R G CARTER CAMBRIDGE LIMITED,27/03/2024," £55,365.83 ",Maintenance ,,,,,,
RICOH UK LIMITED,13/03/2024," £48,455.12 ",Photocopiers - Rental & Click costs,,,,,,
ROYAL MAIL,15/03/2024, £546.58 ,Postage Costs,,,,,,
RSG ENGINEERING LIMITED,19/03/2024, £520.68 ,Vehicles - Spares,,,,,,
SALTERS PET FOOD,27/03/2024, £679.50 ,Police Dogs - Food,,,,,,
SBFM LIMITED,01/02/2024," £58,969.89 ",Cleaning Contract (FM),,,,,,
SBFM LIMITED,29/02/2024," £4,340.00 ",Cleaning Contract (FM),,,,,,
SBFM LIMITED,01/03/2024," £56,619.61 ",Cleaning Contract (FM),,,,,,
SBFM LIMITED,27/03/2024," £2,057.50 ",Cleaning Contract (FM),,,,,,
SBFM LIMITED,01/04/2024," £61,173.68 ",Cleaning Contract (FM),,,,,,
SEED BROTHERS (EAST ANGLIA) LIMITED,03/04/2024, £742.55 ,Vehicle Cleaning,,,,,,
SEPURA LIMITED,27/03/2024," £11,905.00 ",Radio / Airwave - Equipment,,,,,,
SIGNS FOR YOU LIMITED,20/03/2024," £1,112.00 ",Printing,,,,,,
SPANSET LIMITED,27/03/2024," £4,023.00 ",Non IT Equipment,,,,,,
SQUARE SYSTEMS LIMITED,05/03/2024," £1,440.00 ",Software Licences,,,,,,
STREAMLINED FORENSIC REPORTING LIMITED,02/04/2024," £3,728.50 ",SFR Medical Contract,,,,,,
SUFFOLK COUNTY COUNCIL,31/03/2024," £5,241.00 ",Rent,,,,,,
SURVEY SUPPLIES LIMITED (KOREC),26/03/2024," £42,916.19 ",Hardware,,,,,,
TECHNOLOGY GATEWAY SERVICES LIMITED,25/03/2024," £1,220.00 ",Specialist Operational Equipment,,,,,,
THE AUTOMOBILE ASSOCIATION,13/03/2024," £2,160.00 ",Vehicle Recovery Costs,,,,,,
THE INVESTIGATOR CONFERENCES AND PUBLISHING LIMITED,05/04/2024, £699.99 ,External Training Course ,,,,,,
THE POLICE ARBORETUM MEMORIAL TRUST,02/04/2024," £7,250.00 ",Other Partnerships,,,,,,
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,30/03/2024," £23,423.00 ",Psychology Services,,,,,,
THE WINDSCREEN COMPANY,19/02/2024," £4,030.95 ",Vehicle Insurance,,,,,,
THE WINDSCREEN COMPANY,03/04/2024, £700.00 ,Vehicle Insurance,,,,,,
THINK DIFFERENT EVENTS LIMITED,05/04/2024, £655.00 ,Conference and Seminar Fees,,,,,,
TICK SOLUTIONS LIMITED,21/03/2024," £3,900.00 ","Furniture, Fixtures and Fittings",,,,,,
TICTAC COMMUNICATIONS LIMITED,23/03/2024," £13,800.00 ",Software - Maintenance,,,,,,
TOTAL ENERGIES GP,15/04/2024," £43,199.61 ",Gas,,,,,,
ULTIMAT DEFENCE LIMITED,18/03/2024," £1,182.50 ",Specialist Operational Training Equipment,,,,,,
UNIPAR SERVICES,26/03/2024," £5,102.00 ",Non IT Equipment,,,,,,
UNITED KINGDOM ACCREDITATION SERVICE,22/02/2024, £534.50 ,Accreditation Fees,,,,,,
UNITED KINGDOM ACCREDITATION SERVICE,20/03/2024," £7,389.00 ",Accreditation Fees,,,,,,
VOLKSWAGEN GROUP UK LIMITED,05/03/2024, £542.80 ,Vehicle Repairs,,,,,,
VOLKSWAGEN GROUP UK LIMITED,25/03/2024, £521.79 ,Vehicles - Spares,,,,,,
VOLVO CAR UK LIMITED,18/03/2024," £1,350.00 ",Vehicle Workshop Equipment,,,,,,
VR FORENSICS,18/03/2024," £6,160.00 ",Professional Fees,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,18/03/2024, £673.04 ,Forensic Analysis,,,,,,
WEETING TYRES LIMITED T/A PAGE AND BIRD,22/03/2024, £530.02 ,Vehicles - Tyres and Tubes,,,,,,
WEIGHTMANS LLP,16/10/2023, £950.00 ,Training Materials and Study Costs,,,,,,
WEIGHTMANS LLP,07/02/2024," £1,080.00 ",Public Liability,,,,,,
WEIGHTMANS LLP,18/03/2024, £795.00 ,Public Liability,,,,,,
WEIGHTMANS LLP,20/03/2024," £15,227.50 ",Public Liability,,,,,,
WEIGHTMANS LLP,25/03/2024," £40,424.52 ",Public Liability,,,,,,
WEST SUFFOLK COUNCIL,06/03/2024," £2,721.61 ",Council Tax,,,,,,
ZEST RECYCLE LIMITED,31/03/2024," £8,834.11 ",Waste Contract (FM),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
