SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 DEC 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,21/11/2024,£539.43,Vehicles - Spares
FORENSIC ANALYTICS LIMITED,15/11/2024,"£6,120.00",External Training Course 
FORENSIC ANALYTICS LIMITED,25/11/2024,£680.00,External Training Course 
FORENSIC PATHOLOGY SERVICES,15/11/2024,"£3,295.00",Pathologists Fees
FUCHS LUBRICANTS (UK) PLC,11/11/2024,£655.20,Lubricants (Oil and Grease)
FUCHS LUBRICANTS (UK) PLC,19/11/2024,"£1,849.10",Lubricants (Oil and Grease)
FUCHS LUBRICANTS (UK) PLC,25/11/2024,"£3,220.55",Lubricants (Oil and Grease)
FUCHS LUBRICANTS (UK) PLC,02/12/2024,£563.75,Lubricants (Oil and Grease)
G. ELLERAY CONSULTANCY,19/11/2024,"£3,750.00",External Training Course 
GOODYEAR TYRES UK LIMITED,05/11/2024,£994.43,Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,14/11/2024,"£2,575.24",Vehicles - Tyres and Tubes
GRESHAM OFFICE FURNITURE LIMITED,12/11/2024,"£4,784.50","Furniture, Fixtures and Fittings"
GRESHAM OFFICE FURNITURE LIMITED,19/11/2024,£667.00,"Furniture, Fixtures and Fittings"
HARROW GREEN LIMITED,15/11/2024,"£1,105.04",Removal Costs
HM COURTS & TRIBUNAL SERVICE,01/12/2024,£576.00,Attestation Fees
IMIMOBILE EUROPE LIMITED,09/09/2024,"£5,625.95",Fixed Telephone Line Rental
IMIMOBILE EUROPE LIMITED,07/11/2024,"£17,949.41",Fixed Telephone Call Charges
INGLETON WOOD LIMITED,30/11/2024,"£12,157.36",Consultant Estates Fees
INTEGRATED WATER SERVICES LIMITED,30/10/2024,"£1,290.28",Building Statutory - Water
INTEGRATED WATER SERVICES LIMITED,28/11/2024,"£1,259.70",Building Statutory - Water
IPSWICH & SUFFOLK COUNCIL FOR RACIAL EQUALITY,08/12/2024,"£2,470.00",Professional Fees
IPSWICH AND SUFFOLK ESTATES LIMITED,01/12/2024,"£6,350.59",Service Charge
JARROLD TRAINING LIMITED,09/12/2024,£525.00,External Training Course 
JDCC (EAST ANGLIA) LIMITED,15/10/2024,£743.33,Vehicle Workshop Equipment
KENNEDYS LAW LLP,25/06/2024,£850.00,Vehicle Insurance
KENNEDYS LAW LLP,29/11/2024,"£1,845.00",Employers Liability
KEY FORENSIC SERVICES LIMITED,30/11/2024,"£1,393.04",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,08/12/2024,"£1,720.20",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,17/12/2024,"£2,150.76",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,22/12/2024,"£7,352.37",Forensic Analysis
LANGUAGELINE SOLUTIONS,30/11/2024,"£16,706.46",Interpreters Fees
MARSH LIMITED,29/11/2024,"£2,060.80",Other Insurance Costs
MARSH LIMITED,06/12/2024,"£1,247.84",Vehicle Insurance
MASTERLORD ESTATES LIMITED,01/12/2024,"£16,162.50",Rent
MASTERLORD ESTATES LIMITED,10/12/2024,"£1,350.00",Building Insurance
MATRIX SCM LIMITED,28/11/2024,"£59,957.89",Consultants Fees
MD5 LIMITED,05/12/2024,"£1,300.00","ICT Tools, Equipment and Consumables"
MEDIA AND COMMUNICATION (BEST4SYSTEMS),04/11/2024,"£1,530.00",Training Materials and Study Costs
METRO ROD LIMITED,28/11/2024,£983.75,Maintenance
MITIE CARE AND CUSTODY LIMITED,01/12/2024,"£71,914.28",FME Contract
MMA GYM KIT LIMITED,18/11/2024,"£1,436.80",Training Materials and Study Costs
MOJO MEDIA (NORFOLK) LIMITED,12/11/2024,"£5,470.00",External Advertising
MOUNTAIN HEALTHCARE LIMITED,01/12/2024,"£59,495.87",FME Contract
MUNRO NEWS LIMITED (CHESTNUT MEDIA),03/12/2024,"£2,900.00",Subscriptions
NATIONAL CRIME AGENCY,06/11/2024,"£3,045.00",External Training Course 
NHS PROPERTY SERVICES LIMITED,09/12/2024,"£4,031.25",Rent
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",30/11/2024,"£1,123.75",FME Contract 
NPOWER LIMITED,16/12/2024,"£86,979.89",Electricity
NTA MONITOR LIMITED (INTERTEK NTA),04/12/2024,"£1,700.00",Penetration Testing
OECONNECTION,30/11/2024,"£5,746.11",Vehicles - Spares
OPEN TEXT UK LIMITED,27/11/2024,£734.00,Hardware - purchase
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/11/2024,"£1,726.00",Postage Costs
POLICE CRIME PREVENTION INITIATIVES LIMITED (FORMERLY ACPO CRIME PREVENTION INITIATIVES LIMITED),18/11/2024,"£1,250.16",Training Materials and Study Costs
PPL PRS LIMITED,29/11/2024,"£10,900.41",Music PPL PRS Licences
PRO-TECT SAFETY SIGNS,28/11/2024,"£1,056.25",Specialist Operational Equipment
R G CARTER CAMBRIDGE LIMITED,07/11/2024,"£11,432.25",Maintenance
R G CARTER CAMBRIDGE LIMITED,26/11/2024,"£98,944.78",Building Works - Main Contract
RAWLINSON AUTOMOTIVE LIMITED,21/11/2024,"£1,412.20",Vehicles - Spares
RESPECT,05/11/2024,£720.00,External Training Course 
RIEGL UK LIMITED,13/11/2024,£700.00,Hire of Operational Equipment
RSP RAIL TRAVEL ACCOUNT,06/12/2024,"£1,164.70",Detained Persons Expenses
SAFER PLACES PROFESSIONAL TRAINING AND DEVELOPMENT CIC,22/11/2024,£725.00,External Training Course
SALTERS PET FOOD,15/11/2024,£906.00,Police Dogs - Food
SATCHELL MORAN SOLICITORS,10/12/2024,"£4,500.00",Public Liability
SBFM LIMITED,30/09/2024,"£4,112.50",Cleaning Contract
SBFM LIMITED,25/10/2024,"£6,227.60",Cleaning Contract
SBFM LIMITED,01/12/2024,"£58,973.18",Cleaning Contract
SEED BROTHERS (EAST ANGLIA) LIMITED,27/11/2024,£570.67,Vehicle Cleaning
SEPURA LIMITED,21/11/2024,"£1,078.40",External Training Course 
SIGMA SECURITY DEVICES LIMITED,21/11/2024,"£1,039.00",Specialist Operational Equipment
SIGMA SECURITY DEVICES LIMITED,29/11/2024,"£1,460.00",Specialist Operational Equipment
SIGNS FOR YOU LIMITED,20/11/2024,£563.17,Printing
SPECIALIST COMPUTER CENTRES PLC,25/11/2024,"£18,522.40",Capital Budget Balance
SPECIALIST COMPUTER CENTRES PLC,03/12/2024,"£30,122.03",Software - Maintenance
SPORT SENSE,04/12/2024,"£4,240.00",Partnership Grants
SPRING DESIGN AND ADVERTISING LIMITED,24/11/2024,"£14,750.00",Agency / Temp Staff
STANNAH LIFT SERVICES LIMITED,21/11/2024,"£8,771.48",Maintenance
STOPBREEZE LIMITED,25/11/2024,"£2,800.00",Building Minor Works
STREAMLINED FORENSIC REPORTING LIMITED,03/12/2024,"£4,607.75",SFR Medical Contract
SUFFOLK COUNTY COUNCIL,14/11/2024,"£23,787.89",Other Grants and External Contributions
THE AUTOMOBILE ASSOCIATION,21/11/2024,"£9,101.80",Vehicle Recovery Costs
THE KNOWLEDGE ACADEMY LIMITED,28/11/2024,"£1,185.00",Training Materials and Study Costs
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,04/11/2024,"£26,156.67",Psychology Services
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,02/12/2024,"£25,193.00",Psychology Services
THOMPSONS SOLICITORS,16/12/2024,"£8,719.50",Employers Liability
TOTAL ENERGIES GP,14/11/2024,"£17,727.92",Gas
TOTAL ENERGIES GP,13/12/2024,"£26,632.23",Gas
UK SOFTWARE LIMITED,02/12/2024,"£24,130.00",Software - Maintenance
UNITED KINGDOM ACCREDITATION SERVICE,04/11/2024,"£4,012.50",Accreditation Fees
UNITED KINGDOM ACCREDITATION SERVICE,11/11/2024,"£1,402.50",Accreditation Fees
UNITED KINGDOM ACCREDITATION SERVICE,04/12/2024,£561.00,Accreditation Fees
VESTIGO CONSULTING LIMITED,11/11/2024,"£4,200.00",External Training Course
VOLKSWAGEN GROUP UK LIMITED,03/12/2024,£846.72,Vehicles - Spares
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,11/11/2024,£511.00,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,30/11/2024,£630.59,SOC Consumables
WEIGHTMANS LLP,30/10/2024,"£55,732.33",Civil Protection Orders
WEIGHTMANS LLP,29/11/2024,"£76,620.71",Civil Protection Orders
WEIGHTMANS LLP,04/12/2024,"£52,117.33",Legal Services Contract
WEST SUFFOLK COUNCIL,18/11/2024,"£57,611.40",Service Charge
WIRELESS LOGIC LIMITED,29/11/2024,"£6,333.33",Mobile Phone Call and Contract Cost
ZEST RECYCLE LIMITED,25/10/2024,"£8,607.18",Waste Contract
ZEST RECYCLE LIMITED,27/11/2024,"£10,955.63",Waste Contract
