SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 MAR 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
GRESHAM OFFICE FURNITURE LIMITED,04/02/2025,"£1,266.00","Furniture, Fixtures and Fittings"
GRESHAM OFFICE FURNITURE LIMITED,11/02/2025,£720.00,"Furniture, Fixtures and Fittings"
GROUP 1 IPSWICH BMW,24/02/2025,"£2,653.26",Vehicle Insurance
HARROW GREEN LIMITED,13/02/2025,"£1,464.93",Removal Costs
HARROW GREEN LIMITED,27/02/2025,"£1,291.51",Removal Costs
HIGGS NEWTON KENYON SOLICITORS,20/03/2025,"£5,500.00",Public Liability
HUDSON GROUP,11/02/2025,"£2,958.00",Presentations and Awards
IMIMOBILE EUROPE LIMITED,10/02/2025,"£4,294.28",Fixed Telephone Line Rental
IMPERATIVE TRAINING (DEFIBSHOP.CO.UK),14/02/2025,"£2,640.00",First Aid Equipment / Consumables
INFOSHARE LIMITED,10/03/2025,£450.00,Consultants Fees
INGLETON WOOD LIMITED,28/02/2025,"£9,122.65",Fees - Other
INSPIRED ENERGY SOLUTIONS LIMITED,12/02/2025,£780.00,Other Energy Costs
INTERNET INVESTIGATION SOLUTIONS LIMITED,14/02/2025,"£2,229.84",Drugs Fund
INTERNET INVESTIGATION SOLUTIONS LIMITED,21/02/2025,"£1,226.56",Software Licences
INTOXIMETERS UK LIMITED,21/02/2025,"£18,500.00",Breath Testing Equipment
IPSWICH & SUFFOLK COUNCIL FOR RACIAL EQUALITY,09/03/2025,"£2,470.00",Professional Fees
KENNEDYS LAW LLP,11/03/2025,"£2,340.00",Employers Liability
KESGRAVE HALL LIMITED,06/03/2025,"£10,000.00",Hire of Rooms/Premises
KEY FORENSIC SERVICES LIMITED,28/02/2025,"£7,246.10",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,07/03/2025,"£3,774.75",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,15/03/2025,"£5,271.15",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,21/03/2025,"£6,818.99",Forensic Analysis
KITCHEN SOLUTIONS LIMITED,03/03/2025,"£24,349.32",Furniture and Fittings
LANGUAGELINE SOLUTIONS,28/02/2025,"£13,221.06",Interpreters Fees
LASER TECH UK LIMITED,10/02/2025,£510.00,Specialist Operational Equipment
LONDON BUSINESS FORUM LIMITED,03/02/2025,"£10,000.00",External Training Course
MATRIX SCM LIMITED,06/02/2025,£750.00,Consultant Valuer Fees
METRO ROD LIMITED,27/02/2025,"£1,240.00",Maintenance
MILLAR WEST LIMITED,24/02/2025,£636.00,"Furniture, Fixtures and Fittings"
MITIE CARE AND CUSTODY LIMITED,01/03/2025,"£71,914.28",FME Contract Payments
MOUNTAIN HEALTHCARE LIMITED,01/03/2025,"£59,495.87",SARC FME Contract Payments
MR MICHAEL NEIL H COOPER,24/03/2025,"£6,132.00",Vehicle Salvage Fees
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",28/02/2025,"£1,147.85",FME Contract Payments
NTA MONITOR LIMITED (INTERTEK NTA),18/03/2025,"£6,800.00",Penetration Testing
OECONNECTION,28/02/2025,"£9,036.54",Vehicles - Spares
ORACLE CORPORATION UK LIMITED,07/02/2025,"£59,200.19",Software - Maintenance
ORACLE CORPORATION UK LIMITED,24/02/2025,"£30,433.12",Software - Maintenance
PANORAMA ANTENNAS LIMITED,19/02/2025,"£1,134.50",IT Cables and UPS/Batteries
PHOENIX SOFTWARE LIMITED,26/02/2025,"£2,611,016.48",Microsoft Licences
PHOENIX SOFTWARE LIMITED,28/02/2025,"£258,031.57",Software - Maintenance
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/02/2025,"£1,819.80",Postage Costs
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/03/2025,"£1,000.00",Postage Costs
POLICE DIGITAL SERVICE,17/02/2025,"£2,160.00",Software Licences
PONTOON BRIDGE LIMITED (NR MEDICAL TRAINING),31/01/2025,"£1,485.00",External Training Course
PONTOON BRIDGE LIMITED (NR MEDICAL TRAINING),13/03/2025,"£1,500.00",Police Cadet Activity Expenditure
PRO-TECT SAFETY SIGNS,05/02/2025,"£1,323.00",Specialist Operational Equipment
QUADIENT UK LIMITED,05/03/2025,"£4,000.00",Postage Costs
R G CARTER CAMBRIDGE LIMITED,03/02/2025,"£81,012.80",Maintenance
R G CARTER CAMBRIDGE LIMITED,19/02/2025,"£92,126.89",Building Works
R G CARTER CAMBRIDGE LIMITED,25/02/2025,"£13,796.95",Maintenance
RS VAN INTERIORS,20/02/2025,"£4,250.00",Other Non-Operational Equipment
RSP RAIL TRAVEL ACCOUNT,28/02/2025,£884.10,Detained Persons - Other Expenses
SALTERS PET FOOD,27/02/2025,£679.50,Police Dogs - Food
SBFM LIMITED,01/02/2025,"£58,906.56",Cleaning Contract
SEPURA LIMITED,07/02/2025,"£30,622.80",Radio and Communications
SEPURA LIMITED,17/02/2025,"£213,074.20",Radio and Communications
SPECIALIST COMPUTER CENTRES PLC,11/02/2025,"£7,687.50",Hardware
SPECTARE LIMITED T/A RIDE ASSIST CLIENT A/C,24/03/2025,"£8,500.00",Vehicle Insurance
SPORT SENSE,26/02/2025,"£2,580.00",Partnership Grants
SPORT SENSE,10/03/2025,"£2,560.00",Partnership Grants
SPRING DESIGN AND ADVERTISING LIMITED,28/02/2025,"£1,500.00",Agency / Temp Staff
SQUARE SYSTEMS LIMITED,27/02/2025,"£2,880.00",Surveys and Related Costs
STRATSTONE AUTOMOTIVE LIMITED (BURY ST EDMUNDS),24/02/2025,£527.51,Vehicles - Spares
STREAMLINED FORENSIC REPORTING LIMITED,03/02/2025,"£4,858.25",SFR Medical Contract
STREAMLINED FORENSIC REPORTING LIMITED,17/02/2025,"£5,475.00",Doctors Statements
SUFFOLK COUNTY COUNCIL,24/02/2025,"£2,000.00",Partnership Grants
SUFFOLK DIGITAL,10/02/2025,£563.00,Printing
TASCOR SERVICES LIMITED,07/02/2025,"£29,715.24",Grounds & Caretaking Contract 
TASCOR SERVICES LIMITED,28/02/2025,"£1,425.60",Maintenance
TECHNOLOGY GATEWAY SERVICES LIMITED,18/03/2025,"£2,792.00",Specialist Operational Equipment
TEQEX LIMITED,11/02/2025,"£2,338.18",Hardware - purchase
THE AUTOMOBILE ASSOCIATION,27/12/2024,"£1,839.00",Vehicle Recovery Costs
THE AUTOMOBILE ASSOCIATION,20/02/2025,"£4,290.42",Vehicle Recovery Costs
THE INTERMEDIARY GROUP LIMITED,13/02/2025,£524.57,Intermediary Charges
THE INVESTIGATOR CONFERENCES AND PUBLISHING LIMITED,16/03/2025,£555.00,Conference and Seminar Fees
THE POLICE FOUNDATION,18/03/2025,£580.00,External Training Course
THE WINDSCREEN COMPANY,04/02/2025,£595.00,Vehicle Insurance
THOMPSONS SOLICITORS,11/03/2025,"£10,509.00",Public Liability
TICK SOLUTIONS LIMITED,25/11/2024,£618.00,"Furniture, Fixtures and Fittings"
TICK SOLUTIONS LIMITED,10/02/2025,£760.00,"Furniture, Fixtures and Fittings"
TICK SOLUTIONS LIMITED,21/02/2025,"£1,650.00","Furniture, Fixtures and Fittings"
TOTAL ENERGIES GP,13/03/2025,"£14,058.72",Gas
UK LAW NATIONWIDE LIMITED,28/02/2025,"£1,750.00",Public Liability
UNITED KINGDOM ACCREDITATION SERVICE,21/02/2025,"£1,402.50",Accreditation Fees
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,13/02/2025,"£1,457.00",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,20/02/2025,£588.40,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,28/02/2025,"£1,215.18",SOC Consumables
WEIGHTMANS LLP,13/02/2025,"£56,902.50",Legal Services Contract
WEIGHTMANS LLP,04/03/2025,"£56,745.43",Legal Services Contract
WIRELESS LOGIC LIMITED,27/02/2025,"£6,388.54",Mobile Phone Call and Contract Cost
ZEST RECYCLE LIMITED,31/01/2025,"£8,914.04",Waste Contract 
