SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 NOV 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
CELLMARK LIMITED,07/10/2024,"£2,215.20",Forensic Analysis
CELLMARK LIMITED,31/10/2024,"£12,854.25",Forensic Analysis
CELLMARK LIMITED,15/11/2024,"£9,475.10",Forensic Analysis
CERTAS ENERGY,11/11/2024,"£11,352.00",Vehicle Fuel
CIVIL DEFENCE SUPPLY LIMITED,17/10/2024,"£2,404.75",Specialist Operational Training Equipment
CJS EVENT SOLUTIONS LIMITED (CJS UK MANAGEMENT LIMITED),16/10/2024,£825.00,Conference and Seminar Fees
CLEARTONE TELECOMS LIMITED,21/10/2024,"£2,758.00",Hardware
COLLEGE OF POLICING,04/09/2024,"£7,565.50",External Training Course 
COLLEGE OF POLICING,16/10/2024,"£2,669.00",External Training Course 
COLLEGE OF POLICING,23/10/2024,"£2,447.50",External Training Course 
CONSTANT COOLING LIMITED,30/09/2024,"£1,501.56",Maintenance
CRAWFORD AND COMPANY ADJUSTERS (UK) LIMITED,09/10/2024,"£28,647.18",Employers Liability
DAISY CORPORATE SERVICES (FORMERLY ALTERNATIVE NETWORKS PLC),07/10/2024,"£2,210.00",Hardware-Maintenance 
DEEPSTORE LIMITED,31/10/2024,"£6,142.69",Storage
DELL COMPUTER CORPORATION LIMITED,09/10/2024,"£1,960.00",Hardware
DELL COMPUTER CORPORATION LIMITED,25/10/2024,"£42,330.00",Hardware
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,09/10/2024,"£1,483.97",Maintenance
EDDISONS COMMERCIAL LIMITED,25/10/2024,"£13,100.00",Consultant Valuer Fees
EE LIMITED,19/10/2024,"£1,789.44",Mobile Phone Contract Cost
ELMSTOK LIMITED,07/10/2024,"£1,043.70",Printing
ERNST AND YOUNG LLP,11/11/2024,"£68,235.00",External Audit Fee
EUREST SERVICE,25/09/2024,"£6,030.48",Contract Catering
EUREST SERVICE,16/10/2024,"£11,327.90",Contract Catering
EUROFINS FORENSIC SERVICES,28/10/2024,"£27,057.21",Forensic Analysis
EUROFINS FORENSIC SERVICES,15/11/2024,"£21,407.47",Forensic Analysis
FIRST EASTERN COUNTIES BUSES LIMITED,08/10/2024,£990.00,Detained Persons - Costs
FORESIGHT CLINICAL SERVICES LIMITED,23/10/2024,"£1,460.00",Professional Fees
FUCHS LUBRICANTS (UK) PLC,10/10/2024,"£1,000.40",Lubricants (Oil and Grease)
G. ELLERAY CONSULTANCY,28/06/2024,"£1,500.00",External Training Course 
GAMMA TELECOM LIMITED,08/10/2024,"£8,248.07",Fixed Telephone Line Rental
GAMMA TELECOM LIMITED,08/11/2024,"£7,937.23",Fixed Telephone Line Rental
GENTIUM UK LIMITED,02/09/2024,"£2,205.00",External Training Course 
GOODYEAR TYRES UK LIMITED,10/10/2024,"£2,061.12",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,22/10/2024,"£2,492.50",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,31/10/2024,"£1,621.01",Vehicles - Tyres and Tubes
GRESHAM OFFICE FURNITURE LIMITED,22/10/2024,"£5,230.44","Furniture, Fixtures and Fittings"
HARROW GREEN LIMITED,31/10/2024,"£1,266.26",Removal Costs
HASTINGS INSURANCE SERVICES LIMITED,22/11/2024,"£2,867.18",Vehicle Insurance
IMIMOBILE EUROPE LIMITED,14/10/2024,"£5,289.86",Fixed Telephone Line Rental
INGLETON WOOD LIMITED,31/10/2024,"£10,172.85",Fees - Other
IPSWICH INSULATIONS LIMITED,18/10/2024,£880.00,Building Statutory - Asbestos
IPSWICH TOWN FOOTBALL CLUB,03/06/2024,"£2,552.00",Conference and Seminar Fees
JAMIE LEE SMITH CATERING @ GRESHAMS LIMITED,22/11/2024,"£5,199.28",Presentations and Awards
JF LAW,07/11/2024,"£6,000.00",Public Liability
JUST SAY TRAINING,22/05/2024,"£2,120.00",Internal Training Courses
KEY FORENSIC SERVICES LIMITED,31/10/2024,"£7,651.95",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,07/11/2024,"£2,025.36",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,14/11/2024,"£3,862.46",Forensic Analysis
KEY FORENSIC SERVICES LIMITED,21/11/2024,"£3,127.91",Forensic Analysis
LANGUAGELINE SOLUTIONS,31/10/2024,"£14,128.94",Interpreters Fees
MATRIX MANAGED MARKETPLACES LIMITED,24/10/2024,"£2,832.50",Consultant Valuer Fees
MERAKAI LLC (MOS EQUIPMENT),14/10/2024,"£5,398.64",Electronic Forensics
METRO ROD LIMITED,01/11/2024,"£1,708.75",Maintenance
MICHELDEVER TYRE SERVICES LIMITED,29/10/2024,"£1,249.20",Vehicles - Tyres and Tubes
MITIE CARE AND CUSTODY LIMITED,01/11/2024,"£71,914.28",FME Contract Payment
MOBAS,31/10/2024,"£5,704.00",External Advertising
MOUNTAIN HEALTHCARE LIMITED,01/11/2024,"£59,495.87",FME Contract Payment
NITON EQUIPMENT LIMITED,21/10/2024,£544.05,Specialist Operational Equipment
NPOWER LIMITED,16/11/2024,"£89,813.72",Electricity
OECONNECTION,31/10/2024,"£6,588.33",Vehicles - Spares
PEOPLEPANELS LIMITED,05/11/2024,"£2,257.50",Other Non-Operational Equipment
PHOENIX SOFTWARE LIMITED,14/10/2024,"£80,988.34",Software Licences
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/10/2024,"£1,529.00",Postage Costs
POLCOMM TRAINING AND DEVELOPMENT  (PCTD) LIMITED,18/11/2024,"£1,400.00",External Training Course
PONTOON BRIDGE LIMITED (NR MEDICAL TRAINING),31/10/2024,£990.00,External Training Course
PRO-TECT SAFETY SIGNS,28/10/2024,"£6,955.85",Police Cones and Traffic Signs
QUADIENT UK LIMITED,28/10/2024,"£1,000.00",Postage Costs
QUADIENT UK LIMITED,05/11/2024,"£4,000.00",Postage Costs
R G CARTER CAMBRIDGE LIMITED,10/10/2024,"£40,187.35",Maintenance
R G CARTER CAMBRIDGE LIMITED,24/10/2024,"£2,864.31",Police Dogs - Equipment
R G CARTER CAMBRIDGE LIMITED,31/10/2024,"£56,130.17",Building Works - Main Contract
REGIMENTAL REPLICAS (1995) LIMITED,23/11/2024,£567.00,Gifts and Mementoes
RISC (RESEARCH AND INTELLIGENCE SUPPORT CENTRE),24/10/2024,"£1,490.00",External Training Course 
ROYAL MAIL,08/10/2024,"£2,195.00",Postage Costs
RSL CONSTRUCTION LIMITED,21/11/2024,"£4,550.00",Public Liability
RSP RAIL TRAVEL ACCOUNT,11/10/2024,"£1,483.60",Detained Persons - Other Expenses
RSP RAIL TRAVEL ACCOUNT,08/11/2024,"£1,245.30",Detained Persons - Other Expenses
SAFEGUARDING ON SPIKING LIMITED (STOP TOPPS),21/10/2024,£556.94,Crime Prevention Equipment
SBFM LIMITED,01/10/2024,"£58,906.56",Cleaning Contract
SBFM LIMITED,14/10/2024,"£7,469.44",Cleaning Contract
SBFM LIMITED,01/11/2024,"£57,805.68",Cleaning Contract
SERCO LIMITED EMERGENCY PLANNING COLLEGE,16/10/2024,"£2,128.00",External Training Course 
SPANSET LIMITED,15/10/2024,"£1,349.00",Specialist Operational Equipment
SPRING DESIGN AND ADVERTISING LIMITED,28/10/2024,"£6,000.00",Agency / Temp Staff
STOW FORENSIC SERVICES LIMITED,23/10/2024,"£1,147.90",Accreditation Fees
STREAMLINED FORENSIC REPORTING LIMITED,02/11/2024,"£6,898.75",SFR Medical Contract
SURVEY SUPPLIES LIMITED (KOREC),24/10/2024,"£147,924.24",Non IT Equipment
THE AUTOMOBILE ASSOCIATION,07/10/2024,"£1,895.60",Vehicle Recovery Costs
THE ESSEX PIG COMPANY,13/11/2024,"£1,500.00","Animals (Other than Stray, Banned or Dangerous)"
THE NATIONAL ASSOCIATION FOR PEOPLE ABUSED IN CHILDHOOD (NAPAC),12/06/2024,"£2,000.00",Professional Fees
THE OIL LAB LIMITED,11/10/2024,"£1,299.80",Vehicles - Spares
THE WINDSCREEN COMPANY,09/10/2024,£645.00,Vehicle Insurance
THE WINDSCREEN COMPANY,17/10/2024,£535.00,Vehicle Insurance
THINK DIFFERENT EVENTS LIMITED,17/10/2024,£655.00,Conference and Seminar Fees
TICK SOLUTIONS LIMITED,17/10/2024,"£2,475.00","Furniture, Fixtures and Fittings"
TREBLE 5 TREBLE 1 LIMITED,23/10/2024,"£5,420.75",Other Partnerships
TRUVELO (UK) LIMITED,22/10/2024,"£1,756.00",Specialist Operational Equipment
UFFORD PARK LIMITED,09/10/2024,£530.92,Hire of Rooms/Premises
ULTIMAT DEFENCE LIMITED,17/10/2024,"£2,973.50",Training Materials and Study Costs
UNIPAR SERVICES,28/10/2024,£570.00,Maintenance Specialist Operation Equipment
UNITED KINGDOM ACCREDITATION SERVICE,07/10/2024,"£27,261.30",Accreditation Fees
UNITED KINGDOM ACCREDITATION SERVICE,17/10/2024,"£12,099.00",Accreditation Fees
UNIVERSITY OF SUFFOLK (FORMERLY UCS),17/10/2024,"£2,000.00",University Fees
VOLKSWAGEN GROUP UK LIMITED,08/10/2024,£604.35,Vehicles - Spares
VOLKSWAGEN GROUP UK LIMITED,15/10/2024,"£1,215.16",Vehicles - Spares
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,08/10/2024,"£3,972.11",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,15/10/2024,"£4,196.15",SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,22/10/2024,£575.00,SOC Consumables
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,28/10/2024,£507.50,SOC Consumables
WALKER 7095 HOLDINGS LIMITED (BENCHMARK KENNELS),24/10/2024,"£2,458.33",Police Dogs - Equipment
WEIGHTMANS LLP,29/10/2024,"£1,965.00",Cyber Insurance
WIRELESS LOGIC LIMITED,30/10/2024,"£6,325.69",Mobile Phone Contract Cost
ZEST RECYCLE LIMITED,25/10/2024,"£8,650.62",Waste Contract
