SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
GRESHAM OFFICE FURNITURE LIMITED,25/06/2024," £6,078.56 ","Furniture, Fixtures and Fittings",,,,,,
GRESHAM OFFICE FURNITURE LIMITED,02/07/2024, £576.00 ,"Furniture, Fixtures and Fittings",,,,,,
GURU LEADERSHIP AND COACHING,07/06/2024," £2,039.40 ",External Training Course ,,,,,,
HARROW GREEN LIMITED,10/06/2024, £545.00 ,Removal Costs,,,,,,
HCL TECHNOLOGIES UK LIMITED,28/06/2024," £7,625.00 ",Hardware,,,,,,
HETHEL ENGINEERING CENTRE,18/06/2024," £1,485.00 ",Hire of Rooms/Premises,,,,,,
HUDSON GROUP,24/05/2024," £1,218.56 ",Promotional material,,,,,,
IMIMOBILE EUROPE LIMITED,10/06/2024," £4,845.55 ",Fixed Telephone Line Rental,,,,,,
INFORMATION COMMISSIONER,26/07/2024," £2,900.00 ",Subscriptions,,,,,,
INGLETON WOOD LIMITED,18/06/2024," £9,151.55 ",Fees - Other,,,,,,
INGLETON WOOD LIMITED,30/06/2024," £7,606.50 ",Fees - Other,,,,,,
INTEGRATED WATER SERVICES LIMITED,28/06/2024," £1,534.67 ",Building Statutory - Water,,,,,,
IPSWICH & SUFFOLK COUNCIL FOR RACIAL EQUALITY,12/06/2024," £2,470.00 ",Professional Fees,,,,,,
JAMIE LEE SMITH CATERING @ GRESHAMS LIMITED,07/06/2024," £7,124.68 ",Presentations and Awards,,,,,,
JCH CONSULTING LIMITED,21/06/2024," £1,500.00 ",Pathologists Fees,,,,,,
JET PRESS LIMITED,28/06/2024, £983.00 ,Storage,,,,,,
JF LAW,03/07/2024," £3,000.00 ",Public Liability,,,,,,
JOHN GROSE GROUP LIMITED,05/06/2024, £932.35 ,Vehicle Repairs,,,,,,
JUICEBROS LIMITED,22/07/2024," £4,060.00 ",Subsistence,,,,,,
KESGRAVE WAR MEMORIAL COMMUNITY CENTRE,13/06/2024, £887.90 ,Refreshments ,,,,,,
KEY FORENSIC SERVICES LIMITED,30/06/2024," £8,302.65 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,08/07/2024," £3,143.06 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,17/07/2024," £6,366.89 ",Forensic Analysis,,,,,,
LANGUAGELINE SOLUTIONS,30/06/2024," £11,247.96 ",Interpreters Fees,,,,,,
LAST TRANSMISSIONS LIMITED,19/06/2024," £2,978.42 ",Vehicle Repairs,,,,,,
LINK UP MITAKA LIMITED (THE BIG WORD),28/06/2024, £572.83 ,Interpreters Fees,,,,,,
MARRIOTT MOTOR GROUP,27/06/2024, £633.00 ,Vehicle Repairs,,,,,,
MARRIOTT MOTOR GROUP,02/07/2024, £633.00 ,Vehicle Repairs,,,,,,
METRO ROD LIMITED,06/06/2024, £539.50 ,Maintenance,,,,,,
MITIE CARE AND CUSTODY LIMITED,01/07/2024," £71,914.28 ",FME Contract Payments,,,,,,
NANTMOR BLINDS LIMITED,12/06/2024, £867.59 ,Maintenance,,,,,,
NHS PROPERTY SERVICES LIMITED,02/04/2024," £4,031.25 ",Rent,,,,,,
NHS PROPERTY SERVICES LIMITED,24/06/2024," £4,031.25 ",Rent,,,,,,
NPOWER LIMITED,16/05/2024," £90,396.13 ",Electricity,,,,,,
NPOWER LIMITED,18/06/2024," £84,990.78 ",Electricity,,,,,,
NPOWER LIMITED,16/07/2024," £81,324.13 ",Electricity,,,,,,
OECONNECTION,30/06/2024," £5,930.53 ",Vehicles - Spares,,,,,,
ORACLE CORPORATION UK LIMITED,22/06/2024," £1,779.58 ",Software - Maintenance,,,,,,
PHOENIX SOFTWARE LIMITED,25/06/2024," £181,837.12 ",Software - Maintenance,,,,,,
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/06/2024," £1,537.00 ",Postage Costs,,,,,,
