Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000313408,M S WEBB AND COMPANY LIMITED,02/02/2024,940.80,156.80,Asset Management,Hanover House,Other Miscellaneous Expenses
0000313416,REDACTED PERSONAL INFORMATION,09/02/2024,"2,418.00",403.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313417,REDACTED PERSONAL INFORMATION,09/02/2024,"2,232.00",372.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313418,FLOOD SAX LTD,02/02/2024,"6,479.42","1,079.90",Depot,Emergency Planning,Other Consumables
0000313419,CATRIONA RIDDELL ASSOCIATES LTD,02/02/2024,"6,000.00","1,000.00",Planning,Planning Policy and Implement,Consultants fees
0000313420,SEE SERVICES,02/02/2024,"1,459.52",243.25,Depot,Neighbourhood Serv Mgt Support,Operational Equipment purchase
0000313422,REDACTED PERSONAL INFORMATION,13/02/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313423,SELLICK PARTNERSHIP LTD,02/02/2024,"1,932.53",322.09,Car Parks,Legal,Agency Staff
0000313429,CHALLENGE FENCING LTD,02/02/2024,"1,272.24",212.04,Depot,Grounds Maintenance,Weed Spraying
0000313432,FIRST CALL CONTRACT SERVICES,02/02/2024,"1,373.76",228.96,Depot,"Refuse Collection, Street cleaning",Agency Staff
0000313435,REDACTED PERSONAL INFORMATION,02/02/2024,"1,100.00",0.00,Housing Needs,Homelessness Prevention,Rent Deposits
0000313442,GLEEDS ADVISORY LTD,02/02/2024,"25,854.20","4,309.03",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000313443,SAFESITE SECURITY SOLUTIONS LTD,02/02/2024,"2,966.70",494.45,Asset Management,Ashford Hospital - Victory Pla,Security services
0000313444,ANGERMANN GODDARD,02/02/2024,"3,000.00",500.00,Asset Management,Elmsleigh,Premises Letting Fees
0000313445,ANGERMANN GODDARD,02/02/2024,"1,800.00",300.00,Asset Management,Elmsleigh,Premises Letting Fees
0000313446,THE OYSTER PARTNERSHIP,02/02/2024,"1,828.13",304.69,Planning,Planning Policy and Implement,Salaries
0000313447,MORGAN HUNT,02/02/2024,850.50,141.75,Office Services,Customer Services,Agency Staff
0000313448,VIVID RESOURCING,02/02/2024,"1,159.20",193.20,Office Services,Environmental Health Admin,Agency Staff
0000313449,TRACE SOLUTIONS LTD,09/02/2024,"6,281.72","1,046.95",Asset Management,Asset Management Admin,Computer Software
0000313450,REDACTED PERSONAL INFORMATION,09/02/2024,"3,100.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313462,LCE,02/02/2024,"2,400.00",400.00,Asset Management,Energy Initiatives,Consultants fees
0000313464,REDACTED PERSONAL INFORMATION,02/02/2024,895.00,0.00,Housing Needs,Rent Assure Scheme,Deposit bond claims
0000313465,SPELTHORNE DIRECT SERVICES LTD,06/02/2024,607.20,101.20,Office Services,Facilities Management,Trade waste collection
0000313467,SURREY RECRUITMENT SERVICES LIMITED,02/02/2024,"5,049.11",841.51,Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000313469,REDACTED PERSONAL INFORMATION,02/02/2024,"1,875.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000313470,LOCAL GOVERNMENT FUTURES LTD,02/02/2024,"2,376.00",396.00,Accounts,Consultants,Subscriptions General
0000313471,GALE AND SNOWDEN ARCHITECTS LTD,09/02/2024,660.00,110.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000313475,REDACTED PERSONAL INFORMATION,02/02/2024,"37,363.20","6,227.20",Housing Needs,LAHF properties,LAHF property expenditure
0000313476,D2 INTEGRATED SYSTEMS LTD,02/02/2024,780.00,130.00,Housing Needs,White House,Security Systems
0000313482,TUSKERDIRECT LIMITED,02/02/2024,918.80,146.93,Human Resources,Electric car scheme,Advances made
0000313485,CENTERPRISE INTERNATIONAL LTD,06/02/2024,"1,197.84",199.64,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000313486,REDACTED PERSONAL INFORMATION,13/02/2024,"1,855.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313487,REDACTED PERSONAL INFORMATION,23/02/2024,"1,855.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313488,REDACTED PERSONAL INFORMATION,23/02/2024,"1,855.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313491,TUDOR ENVIRONMENTAL,02/02/2024,919.61,153.27,Depot,Grounds Maintenance,Operational equipment leasing
0000313492,PRODRIVE PERSONNEL LTD,02/02/2024,"1,167.36",194.56,Depot,Grounds Maintenance,Agency Staff
0000313497,TUSKERDIRECT LIMITED,02/02/2024,794.22,126.87,Human Resources,Electric car scheme,Advances made
0000313498,TUSKERDIRECT LIMITED,02/02/2024,972.39,156.55,Human Resources,Electric car scheme,Advances made
0000313502,INSIGHT DIRECT (UK)LTD,06/02/2024,"1,331.10",221.85,Information Technology,Applications - CCTV Monitoring,Computer Software
0000313503,REDACTED PERSONAL INFORMATION,16/02/2024,"15,135.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313504,VANTA STAFFING LTD,02/02/2024,820.32,136.72,Depot,Refuse Collection,Agency Staff
0000313510,REDACTED PERSONAL INFORMATION,13/02/2024,"2,790.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313511,REDACTED PERSONAL INFORMATION,09/02/2024,"4,989.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313512,TUSKERDIRECT LIMITED,02/02/2024,649.07,102.85,Human Resources,Electric car scheme,Advances made
0000313513,LAVAT CONSULTING LTD,02/02/2024,780.00,130.00,Accounts,Accountancy,Consultants fees
0000313515,REDACTED PERSONAL INFORMATION,02/02/2024,539.00,0.00,Asset Management,Asset Management Admin,Professional subscriptions
0000313516,REID'S PLAYGROUND MAINTENANCE LTD,02/02/2024,"1,020.00",170.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000313517,SEARCHFLOW LTD,02/02/2024,678.21,110.54,Car Parks,Property acquisition for famil,Other Works
0000313518,THAMESWAY CONTRACTORS LTD,02/02/2024,"6,240.00","1,040.00",Asset Management,Ashford Hospital,Site Security
0000313519,REDACTED PERSONAL INFORMATION,06/02/2024,"7,811.30",0.00,Independent Living,Meals on Wheels,Food Purchases
0000313521,EZE LIFTS LIMITED,02/02/2024,735.00,122.49,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000313522,ORLO,02/02/2024,"5,940.00",990.00,Community Safety and Corporate Services,Corporate Publicity,Computer Software
0000313525,EZE LIFTS LIMITED,02/02/2024,847.92,141.32,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000313526,TOWER SURVEYS ASSOCIATES LTD,02/02/2024,"2,880.00",480.00,Asset Management,Ashford MSCP,Planning Application fees
0000313527,REDACTED PERSONAL INFORMATION,06/02/2024,"6,476.21",0.00,Environmental Health,Disabled Facilities Mandatory,Grants and Contributions
0000313534,PERTEMPS RECRUITMENT PARTNERSHIP LTD,06/02/2024,"2,617.34",436.22,Depot,Refuse Collection,Agency Staff
0000313535,HBINFO LTD,06/02/2024,"1,123.20",187.20,Housing Benefits,HB Administration,Books & publications
0000313541,CUSHMAN & WAKEFIELD,06/02/2024,"1,200.00",200.00,Asset Management,12 Hammersmith Grove,Consultants fees
0000313543,REDACTED PERSONAL INFORMATION,06/02/2024,"40,000.00",0.00,Planning,CIL - Local,Other Miscellaneous Expenses
0000313545,REDACTED PERSONAL INFORMATION,06/02/2024,750.00,0.00,Housing Needs,Homelessness Prevention,Rents
0000313547,EMPEROR CLEANING SERVICES LIMITED,06/02/2024,852.00,142.00,Housing Needs,COVID ICS Step-Down Accommodat,Contract cleaning
0000313551,A J PROCTER CLEANING CONTRACTORS CO LTD,06/02/2024,"1,128.40",188.07,Depot,White House Garage Site,Contract cleaning
0000313562,CFH DOCMAIL LTD,06/02/2024,"1,395.62",232.60,Financial Support,Electoral Registration,Postage Direct charge
0000313564,RECITE ME LTD,06/02/2024,"3,240.00",540.00,Community Safety and Corporate Services,Corporate Publicity,Computer Software
0000313565,SELLICK PARTNERSHIP LTD,06/02/2024,"2,813.18",468.86,Car Parks,Legal,Agency Staff
0000313566,SELLICK PARTNERSHIP LTD,06/02/2024,"2,143.69",357.28,Car Parks,Legal,Agency Staff
0000313568,SDK ENVIRONMENTAL LTD,16/02/2024,"2,070.00",345.00,Environmental Health,Control of Stray Dogs,Kennel Costs
0000313569,SIGN FX AND GRAPHICS LTD,06/02/2024,"1,050.00",175.00,Community Safety and Corporate Services,Corporate Publicity,Marketing
0000313572,REDACTED PERSONAL INFORMATION,13/02/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313573,REDACTED PERSONAL INFORMATION,13/02/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313574,REDACTED PERSONAL INFORMATION,13/02/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313575,REDACTED PERSONAL INFORMATION,13/02/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313590,REDACTED PERSONAL INFORMATION,09/02/2024,"10,145.04","1,690.84",Human Resources,General Staff Exp Unallocated,Consultants fees
0000313591,SPECIALIST FLEET SERVICES LIMITED,09/02/2024,"7,631.89","1,263.73",Depot,"Facilities Management, Neighbourhood Serv Mgt Support, Refuse Collection, Grounds maintenance, SAT",Commercial Vehicle Maintenance
0000313593,REDACTED PERSONAL INFORMATION,13/02/2024,"5,580.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313594,REDACTED PERSONAL INFORMATION,16/02/2024,"1,920.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313595,REDACTED PERSONAL INFORMATION,23/02/2024,"1,855.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313596,REDACTED PERSONAL INFORMATION,13/02/2024,"1,240.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313597,REDACTED PERSONAL INFORMATION,16/02/2024,"4,085.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313599,VIVID RESOURCING,09/02/2024,"1,159.20",193.20,Office Services,Environmental Health Admin,Agency Staff
0000313600,SAFESITE SECURITY SOLUTIONS LTD,09/02/2024,616.48,102.75,Asset Management,Thameside House,Site Security
0000313602,SAFESITE SECURITY SOLUTIONS LTD,09/02/2024,"2,966.70",494.45,Asset Management,Ashford Hospital - Victory Pla,Security services
0000313603,REDACTED PERSONAL INFORMATION,13/02/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313604,REDACTED PERSONAL INFORMATION,13/02/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313605,REDACTED PERSONAL INFORMATION,13/02/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313606,SAFESITE FACILITIES LTD,09/02/2024,"4,038.81",673.14,Asset Management,Ashford Hospital - Victory Pla,Security services
0000313607,THE OYSTER PARTNERSHIP,09/02/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000313608,THE OYSTER PARTNERSHIP,09/02/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000313609,SEE SERVICES,09/02/2024,"3,221.53",536.92,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000313613,REDACTED PERSONAL INFORMATION,07/02/2024,"32,400.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000313616,CYAN,09/02/2024,"1,775.00",295.83,,Grounds Maintenance,Operational Training
0000313617,SELLICK PARTNERSHIP LTD,09/02/2024,"2,257.93",376.32,Car Parks,Legal,Agency Staff
0000313619,CAPSTICKS SOLICITORS LLP,09/02/2024,938.40,156.40,Car Parks,Legal,Legal and Court Costs
0000313621,REDACTED PERSONAL INFORMATION,09/02/2024,"40,000.00",0.00,Leisure,Share Prosperity Fund,Upskill Communities
0000313622,REDACTED PERSONAL INFORMATION,13/02/2024,"1,959.62",0.00,Independent Living,Meals on Wheels,Food Purchases
0000313624,MORGAN HUNT,09/02/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000313625,ACCELERATED MAILING & MARKETING,09/02/2024,778.12,129.69,Office Services,Customer Services,Bureau Printing
0000313629,DELL COMPUTER CORPORATION LTD,09/02/2024,"39,912.00","6,652.00",Information Technology,IT Administration,Facilities Management
0000313632,CHANDLERS LTD,09/02/2024,538.77,0.00,Car Parks,Legal,Legal
0000313634,REDACTED PERSONAL INFORMATION,09/02/2024,"2,160.00",360.00,Planning,Planning Policy and Implement,Consultants fees
0000313635,ACCELERATED MAILING & MARKETING,09/02/2024,"1,762.32",293.72,Office Services,Customer Services,Bureau Printing
0000313637,THE OYSTER PARTNERSHIP,09/02/2024,"1,725.76",287.63,Planning,Planning Policy and Implement,Salaries
0000313638,LONDON WARRANT ENFORCEMENT,09/02/2024,"1,315.11",0.00,Office Services,Office Services,Council tax
0000313639,BOOKING LIVE,09/02/2024,"11,700.00","1,950.00",Office Services,Customer Services,Computer Software
0000313640,DELL COMPUTER CORPORATION LTD,09/02/2024,"15,600.00","2,600.00",Information Technology,IT Administration,Facilities Management
0000313641,CENTRAL SECURITY SYSTEMS,09/02/2024,"1,579.94",263.32,Community Safety and Corporate Services,Grounds Maintenance,Grounds maintained noncontract
0000313642,ACTIVE PRINT SERVICES LIMITED,16/02/2024,822.00,137.00,Office Services,External Printing,External printing
0000313643,DELL COMPUTER CORPORATION LTD,09/02/2024,"32,688.00","5,448.00",Information Technology,IT Administration,Facilities Management
0000313644,CHANDLERS LTD,09/02/2024,"1,020.91",0.00,Car Parks,Legal,Legal
0000313652,CHANDLERS LTD,09/02/2024,635.00,0.00,Car Parks,Legal,Legal
0000313655,EVERYONE ACTIVE,13/02/2024,"11,499.99","1,916.66",Leisure,Spelthorne Leisure Centre,General repairs
0000313659,REDACTED PERSONAL INFORMATION,09/02/2024,"1,800.00",0.00,Housing Needs,Accommodation for Offenders,Other Miscellaneous Expenses
0000313663,CHANDLERS LTD,09/02/2024,542.25,0.00,Car Parks,Legal,Legal
0000313668,REDACTED PERSONAL INFORMATION,09/02/2024,"1,859.95",0.00,Leisure,Share Prosperity Fund,Urban Garden & Food Growth
0000313671,JADE SECURITY SERVICES LTD,09/02/2024,"3,016.32",502.72,Car Parks,Car Park Administration,Security services
0000313672,SELLICK PARTNERSHIP LTD,09/02/2024,"1,929.60",321.60,Car Parks,Legal,Agency Staff
0000313703,PREMIER SERVICES,09/02/2024,"1,599.60",266.60,Depot,Grounds Maintenance,Security services
0000313704,PREMIER SERVICES,09/02/2024,"2,940.00",490.00,Depot,Grounds Maintenance,Security services
0000313710,APSE,09/02/2024,"5,220.00",870.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000313712,REDACTED PERSONAL INFORMATION,09/02/2024,785.00,0.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000313714,INSIGHT DIRECT (UK)LTD,09/02/2024,745.42,124.24,Information Technology,Applications - Microsoft,Computer Software
0000313715,SAFEPLAY PLAYGROUND SERVICES LTD,13/02/2024,"2,570.40",428.40,Environmental Health,Grounds Maintenance,Playground Improvements
0000313716,GAMMA BUSINESS COMMUNICATIONS,13/02/2024,"5,177.88",862.98,Information Technology,Office Services,Telephones call charges
0000313728,VIP SYSTEMS LIMITED,13/02/2024,"1,351.87",225.31,Office Services,Licensing,Office Stationery
0000313729,VANTA STAFFING LTD,13/02/2024,716.26,119.38,Depot,Refuse Collection,Agency Staff
0000313730,PRODRIVE PERSONNEL LTD,13/02/2024,"1,167.36",194.56,Depot,Grounds Maintenance,Agency Staff
0000313742,SURREY RECRUITMENT SERVICES LIMITED,13/02/2024,"5,378.64",896.44,Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000313744,PERTEMPS RECRUITMENT PARTNERSHIP LTD,13/02/2024,"3,053.57",508.93,Depot,Refuse Collection,Agency Staff
0000313748,HOUSING/HOUSING NEEDS BACS,13/02/2024,"43,107.37",0.00,Asset Management,C&W Rent Debtors Acc,Cash received
0000313752,THE OYSTER PARTNERSHIP,13/02/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000313755,HOLLIS GLOBAL LTD,13/02/2024,"5,400.00",900.00,Asset Management,Spelthorne Leisure Centre,Consultants fees
0000313757,VAIL WILLIAMS,13/02/2024,"13,454.40","2,242.40",Asset Management,Elmbrook House,Premises Letting Fees
0000313759,VAIL WILLIAMS,13/02/2024,"14,390.40","2,398.40",Asset Management,Elmbrook House,Premises Letting Fees
0000313761,THE OYSTER PARTNERSHIP,13/02/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000313766,REDACTED PERSONAL INFORMATION,27/02/2024,"25,413.58",0.00,Independent Living,DFG management fee,Cap Exp Financed fr Cap Grnts
0000313767,MAYDENCROFT LTD,23/02/2024,"2,478.00",413.00,Depot,River Ash Broadwalk,Other Works
0000313768,THE IT SERVICE LTD,13/02/2024,"8,160.00","1,360.00",Office Services,IT Administration,Facilities Management
0000313771,WATSON FUELS,13/02/2024,656.62,31.26,Depot,Grounds Maintenance,Protective clothing
0000313776,REDACTED PERSONAL INFORMATION,13/02/2024,"10,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313781,NOBLE POLYTHENE LTD,13/02/2024,"2,395.87",399.31,Depot,Grounds Maintenance,Grounds maintained noncontract
0000313783,REDACTED PERSONAL INFORMATION,20/02/2024,"1,320.00",0.00,Accounts,Bed and Breakfast,Bed & Breakfast Accommodation
0000313788,REDACTED PERSONAL INFORMATION,13/02/2024,"3,875.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000313791,REDACTED PERSONAL INFORMATION,16/02/2024,731.95,0.00,Independent Living,Fordbridge Day Centre,Food Purchases
0000313792,REID'S PLAYGROUND MAINTENANCE LTD,16/02/2024,"2,358.00",393.00,Environmental Health,Grounds Maintenance,Playground Improvements
0000313799,REDACTED PERSONAL INFORMATION,20/02/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313804,SELLICK PARTNERSHIP LTD,16/02/2024,"2,813.18",468.86,Car Parks,Legal,Agency Staff
0000313805,REDACTED PERSONAL INFORMATION,20/02/2024,"5,040.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313810,AREA 4 FILMS LTD,16/02/2024,"11,250.00","1,875.00",Asset Management,Charter Building,Consultants fees
0000313811,THAMESWAY CONTRACTORS LTD,16/02/2024,"40,426.64","6,737.77",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000313812,AREA 4 FILMS LTD,16/02/2024,"11,250.00","1,875.00",Asset Management,Charter Building,Consultants fees
0000313823,REDACTED PERSONAL INFORMATION,16/02/2024,"2,400.00",400.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig
0000313831,THE OYSTER PARTNERSHIP,16/02/2024,"1,667.26",277.88,Planning,Planning Policy and Implement,Agency Staff
0000313834,BTP FOODSERVICE LTD,16/02/2024,"2,417.70",402.95,Asset Management,Charter Building,Landlord's Subsidy
0000313835,AREA 4 FILMS LTD,16/02/2024,"11,250.00","1,875.00",Asset Management,Charter Building,Consultants fees
0000313836,PREMIER SERVICES,16/02/2024,"12,672.00","2,112.00",Depot,Hanover House,Security services
0000313843,MORGAN HUNT,16/02/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000313846,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,16/02/2024,"1,404.00",234.00,Environment Services,Grounds Maintenance,Weed Spraying
0000313851,REDACTED PERSONAL INFORMATION,16/02/2024,600.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313855,PREMIER SERVICES,16/02/2024,804.00,134.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000313857,PRODRIVE PERSONNEL LTD,23/02/2024,"1,167.36",194.56,Depot,Grounds Maintenance,Agency Staff
0000313861,REDACTED PERSONAL INFORMATION,20/02/2024,"13,770.00","2,295.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313865,THE IT SERVICE LTD,16/02/2024,"1,387.20",231.20,Information Technology,Apps - Software Developments,Computer Software
0000313866,ASHFORD YOUTH AND COMMUNITY CLUB CIC,16/02/2024,"3,787.60",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees
0000313868,MAYDENCROFT LTD,20/02/2024,"4,515.00",752.50,Depot,River Ash Broadwalk,Other Works
0000313869,REDACTED PERSONAL INFORMATION,16/02/2024,919.29,0.00,Housing Needs,Homes for Ukraine,Other Miscellaneous Expenses
0000313870,BOXPHISH LTD,16/02/2024,"3,240.00",540.00,Office Services,Applications - Email Filtering,Computer Software
0000313871,TUDOR ENVIRONMENTAL,16/02/2024,981.48,163.58,Depot,Grounds Maintenance,Operational equipment leasing
0000313872,CPGEXP,16/02/2024,"3,456.00",576.00,Chief Exec. Dpt,Share Prosperity Fund,Business Growth Plans & Innova
0000313886,AIB MERCHANT SERVICES,29/02/2024,763.68,0.00,Car Parks,Car Park Administration,Credit Card Charges
0000313888,BOTTOMLINE TECHNOLOGIES,29/02/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000313889,CLOVER,29/02/2024,"2,258.92",0.00,Car Parks,Car Park Administration,Credit Card Charges
0000313890,BT GLOBAL SERVICES,16/02/2024,"1,577.02",262.83,Information Technology,IT Overheads & Infrastructure,Networking
0000313891,PAY360 LTD,29/02/2024,"7,262.38",0.00,Accounts,Customer Services,Computer Software
0000313901,THE OYSTER PARTNERSHIP,16/02/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000313903,THE OYSTER PARTNERSHIP,16/02/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000313904,ANGERMANN GODDARD,16/02/2024,"3,000.00",500.00,Asset Management,Elmsleigh,Premises Letting Fees
0000313906,GREEN & PARTNERS LLP,16/02/2024,"3,000.00",500.00,Asset Management,Elmsleigh,Premises Letting Fees
0000313907,CUSHMAN & WAKEFIELD,16/02/2024,"4,380.00",730.00,Asset Management,Thames Tower,Consultants fees
0000313908,CUSHMAN & WAKEFIELD,16/02/2024,"1,080.00",180.00,Asset Management,Thames Tower,Consultants fees
0000313909,MAY HARRIS MULTI SERVICES LTD,16/02/2024,"12,552.83","2,092.14",Office Services,Fordbridge Day Centre Various,Contract cleaning
0000313927,JOHN O'CONNER GROUNDS MAINTENANCE,20/02/2024,"3,120.00",520.00,Depot,Grounds Maintenance,Weed Spraying
0000313929,GLASDON UK LTD,20/02/2024,"5,990.96",998.49,Depot,Grounds Maintenance,Grounds maintained noncontract
0000313934,THE CDS GROUP,20/02/2024,"16,346.40","2,724.40",Depot,All Cemeteries &Burial Grounds, Memorials testing
0000313940,IDOX SOFTWARE LTD,27/02/2024,"9,019.37","1,503.23",Financial Support,Electoral Registration,Computer Software
0000313941,VON BRADSKY ENTERPRISES LTD,20/02/2024,"2,000.00",0.00,Planning,Planning Policy and Implement,Consultants fees
0000313943,REDACTED PERSONAL INFORMATION,20/02/2024,"1,170.00",195.00,Human Resources,Human Resources,Consultants fees
0000313944,REDACTED PERSONAL INFORMATION,20/02/2024,"1,170.00",195.00,Human Resources,Human Resources,Consultants fees
0000313947,THE OYSTER PARTNERSHIP,20/02/2024,"3,432.00",572.00,Car Parks,Procurement,Agency Staff
0000313948,THE OYSTER PARTNERSHIP,20/02/2024,"3,432.00",572.00,Car Parks,Procurement,Agency Staff
0000313957,WILLMOTT DIXON CONSTRUCTION LIMITED,20/02/2024,"1,478,339.46","246,389.91",Asset Management,SpelthorneLeisurCenDevelopment,Other Works
0000313958,REDACTED PERSONAL INFORMATION,20/02/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313959,REDACTED PERSONAL INFORMATION,20/02/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
