Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
,AMAZON MARKETPLACE,,49.90,8.32,Facilities Management,Tea Trolley provisions,Sugar,,,,
,AMAZON MARKETPLACE,,219.50,0.00,Facilities Management,Tea Trolley provisions,"Tea bags, nursery and depot",,,,
,AMAZON MARKETPLACE,,10.99,1.83,Street Cleaning,Operational equip mats & suppl,Heavy duty hasp and stable dry,,,,
,AMAZON MARKETPLACE,,176.16,0.00,Facilities Management,Tea Trolley provisions,coffee,,,,
,AMAZON* NURSERY,,6.07,1.01,Grounds Maintenance,Grounds maintained noncontract,olive oil,,,,
,AMAZONBUSINESS,,119.96,20.00,Facilities Management,Tea Trolley provisions,shackles,,,,
,PROFESSIONAL TRADERS,,478.80,79.80,Grounds Maintenance,Grounds maintained noncontract,prebbles,,,,
,TENSID,,249.60,41.60,Street Cleaning,Operational equip mats & suppl,green paint,,,,
,WWW.DEFIB4LIFE.CO.UK,,124.00,20.67,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses,Defib battery pack,,,,
,TESCO STORES,,20.15,0.00,Facilities Management,Tea Trolley provisions,Milk,,,,
,COSTCO ONLINE,,88.34,4.75,Street Cleaning,Operational equip mats & suppl,Various items,,,,
,KENDALL CARS LTD,,500.00,0.00,Parliamentary Elections 2024,Polling Staion Costs,Refundable deposit for election vans,,,,
,KENDALL CARS LTD,,500.00,0.00,Parliamentary Elections 2024,Polling Staion Costs,Refundable deposit for election vans,,,,
,CLEARCHECK.CO.UK,,20.00,3.33,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses,DBS check,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,43.46,7.24,Parliamentary Elections 2024,Polling Staion Costs,Heavy duty trestle table for elections,,,,
,AMAZONBUSINESS,,35.62,0.00,Neighbourhood Serv Mgt Support,Office Stationery,Blackstone Handbook,,,,
,SAINSBURYS.CO.UK,,-2.10,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,SAINSBURYS.CO.UK,,203.39,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,SAINSBURYS.CO.UK,,225.01,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,SAINSBURYS.CO.UK,,300.44,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,WWW.FOWLESSKIPHIRE.COM,,396.00,66.00,Social Prescribing,Hoarding Services,skip hire for hoarding services,,,,
,CATERING APPLIANCE SUP,,133.12,22.19,Staines Community Centre,Kitchen & Canteen Equipment,filter cartridges for filterflow automatic,,,,
,SP CUPSDIRECT.CO.UK,,61.02,10.17,Fordbridge Day Centre,Kitchen & Canteen Equipment,aluminum foil trays and lids,,,,
,SAINSBURYS.CO.UK,,235.40,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,FIRST RESCUE TRAIN,,73.14,12.19,Fordbridge Day Centre,Operational Equipment Maint.,defibtech lifeline electrode pads,,,,
,SAINSBURYS.CO.UK,,179.72,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café,,,,
,CANVA,,10.99,1.83,Corporate Publicity,Marketing,design software,,,,
,THE FLAG SHOP LTD,,32.90,5.48,Corporate Publicity,Marketing,pride flag,,,,
,NEXT RETAIL,,-36.50,0.00,Corporate Publicity,Marketing,purchase,,,,
,NEXT RETAIL,,36.50,0.00,Corporate Publicity,Marketing,refund,,,,
,AMAZON,,19.99,3.33,Environmental Health Admin,Office Stationery,stationery,,,,
,AMAZON,,31.65,5.28,Environmental Health Admin,Office Stationery,stationery,,,,
,AMAZON,,33.14,5.53,Environmental Health Admin,Office Stationery,stationery,,,,
,ADOBE,,88.47,0.00,IT Overheads & Infrastructure,Computer Software,creative cloud,,,,
,DNH*GO DADDY,,25.99,0.00,IT Overheads & Infrastructure,Computer Software,Spelthorne Business awards domain,,,,
,GOOGLE*GSUITE KG-ESTAT,,24.00,0.00,Asset Management Admin,Computer Software,KGEL DOMAIN,,,,
,C I H,,262.00,0.00,Housing Needs Administration,Subscriptions General,membership fee Ken Emerson,,,,
,COUNTRYNORTH,,973.50,0.00,Homelessness Prevention,Rents,rent in advance for Sarah Abusin,,,,
,TESCO STORES,,100.00,0.00,Rough Sleep Initiative,Subsistence,voucher for rough sleeper,,,,
,OVO ENERGY LTD,,28.78,1.37,COVID ICS Step-Down Accommodat,Electricity,Electricity - 19 Mitchison Court,,,,
,OVO ENERGY LTD,,42.72,2.03,COVID ICS Step-Down Accommodat,Electricity,Electricity - 19 Beechwood Court,,,,
,OVO ENERGY LTD,,24.32,1.16,COVID ICS Step-Down Accommodat,Gas,Gas - 19 Beechwood Court,,,,
,OVO ENERGY LTD,,52.53,2.50,COVID ICS Step-Down Accommodat,Electricity,Electricity - 13 Beechwood court,,,,
,OVO ENERGY LTD,,20.80,0.99,COVID ICS Step-Down Accommodat,Gas,Gas - 13 Beechwood Court,,,,
,OVO ENERGY LTD,,29.50,0.00,COVID ICS Step-Down Accommodat,Bedding,bedding items,,,,
,TESCO STORES,,3.51,0.00,COVID ICS Step-Down Accommodat,Personal Budgets,cleaning items,,,,
,TESCO STORES,,9.20,0.00,COVID ICS Step-Down Accommodat,Food Purchases,Food items,,,,
,SAINSBURYS,,78.06,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Sundries,,,,
,CARD FACTORY,,16.56,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Balloons,,,,
,SAINSBURYS,,71.48,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Sundries,,,,
,AMAZON,,20.48,3.41,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Banners,,,,
,TRAVELODGE,,10.20,0.00,Members Expenses,Other training,Adminstration,,,,
,BOOKER LTD,,208.64,26.31,Parliamentary Elections 2024,Count Costs,Elections,,,,
,SUM UP MAYOR OF RUNNYMEDE,,100.00,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Summer evening,,,,
,SPH MULTI STOREY CAR PARK,,4.50,0.75,Rough Sleep Initiative,Housing First,hospital parking for client,,,,
,TESCO STORES,,200.00,0.00,Rough Sleep Initiative,Housing First,homeless provision vouchers,,,,
,AMAZON,,59.24,0.00,Rough Sleep Initiative,Housing First,hoover - safety lock,,,,
,TESCO STORES,,126.95,0.00,Rough Sleep Initiative,Housing First,household items JH's move on flat,,,,
,AFFINITY WATER CCP WEB,,84.22,0.00,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,water bill 70 floral House,,,,
,OVO ENERGY LTD,,59.61,2.84,COVID ICS Step-Down Accommodat,Gas,gas and electric 13 Beechwood Court,,,,
