Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
0000320203,REDACTED PERSONAL INFORMATION,09/07/2024,960.00,160.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320204,REDACTED PERSONAL INFORMATION,02/07/2024,"5,520.00",920.00,Asset Management,Charter Building,Consultants fees,,,,
0000320205,REDACTED PERSONAL INFORMATION,02/07/2024,"1,200.00",200.00,Asset Management,Charter Building,Consultants fees,,,,
0000320207,SELLICK PARTNERSHIP LTD,02/07/2024,"2,171.39",361.90,Car Parks,Legal,Agency Staff,,,,
0000320208,REDACTED PERSONAL INFORMATION,02/07/2024,794.22,126.87,Leisure,Electric car scheme,Advances made,,,,
0000320209,REDACTED PERSONAL INFORMATION,02/07/2024,649.07,102.85,Leisure,Electric car scheme,Advances made,,,,
0000320212,REDACTED PERSONAL INFORMATION,02/07/2024,918.80,146.93,Leisure,Electric car scheme,Advances made,,,,
0000320213,REDACTED PERSONAL INFORMATION,02/07/2024,972.39,156.55,Leisure,Electric car scheme,Advances made,,,,
0000320216,REDACTED PERSONAL INFORMATION,02/07/2024,"1,397.09",225.95,Leisure,Electric car scheme,Advances made,,,,
0000320218,REDACTED PERSONAL INFORMATION,02/07/2024,"9,344.86","1,557.48",Asset Management,Corporate Project Management,Consultants fees,,,,
0000320219,REDACTED PERSONAL INFORMATION,02/07/2024,"2,874.00",479.00,Asset Management,Energy Initiatives,Consultants fees,,,,
0000320229,REDACTED PERSONAL INFORMATION,02/07/2024,"28,380.52","4,730.09",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000320230,PREMIER SERVICES,02/07/2024,"13,543.20","2,257.20",Asset Management,Thameside House,Site Security,,,,
0000320231,REDACTED PERSONAL INFORMATION,02/07/2024,"3,600.00",600.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000320232,REDACTED PERSONAL INFORMATION,02/07/2024,"1,179.64",196.61,Housing Needs,Longford Village,General repairs,,,,
0000320233,REDACTED PERSONAL INFORMATION,02/07/2024,"8,880.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320237,SELLICK PARTNERSHIP LTD,05/07/2024,"1,925.60",320.93,Car Parks,Legal,Agency Staff,,,,
0000320240,REDACTED PERSONAL INFORMATION,05/07/2024,"2,020.00",300.00,Leisure,General Staff Exp Unallocated,Medical Advisor,,,,
0000320247,REDACTED PERSONAL INFORMATION,23/07/2024,"28,620.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320248,REDACTED PERSONAL INFORMATION,05/07/2024,600.00,0.00,Independent Living,Staines Community Centre,Tutors,,,,
0000320250,DAVID JOHN PAPERS LTD,12/07/2024,718.68,119.78,Office Services,Internal Printing,PrintUnit Supplies White Paper,,,,
0000320251,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320252,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320254,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320255,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320257,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320258,REDACTED PERSONAL INFORMATION,09/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320259,CLEAR SKIES SOFTWARE,05/07/2024,"2,288.44",381.41,Depot,All Cemeteries &Burial Grounds,Computer Software,,,,
0000320260,REDACTED PERSONAL INFORMATION,09/07/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320261,REDACTED PERSONAL INFORMATION,09/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320262,REDACTED PERSONAL INFORMATION,05/07/2024,"1,800.00",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Consultants fees,,,,
0000320263,SELLICK PARTNERSHIP LTD,19/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000320264,REDACTED PERSONAL INFORMATION,12/07/2024,"6,300.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320265,REDACTED PERSONAL INFORMATION,05/07/2024,840.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320270,BACS IDS,05/07/2024,"1,800.00",300.00,Asset Management,Asset Management Admin,Computer Software,,,,
0000320273,DICOL EFFLUENT,05/07/2024,"1,026.00",171.00,Depot,White House Garage Site,Environmental Services,,,,
0000320275,REDACTED PERSONAL INFORMATION,05/07/2024,880.00,0.00,Independent Living,Staines Community Centre,Tutors,,,,
0000320289,VIVID RESOURCING,05/07/2024,"1,490.40",248.40,Office Services,Environmental Health Admin,Agency Staff,,,,
